English Word	Emotion	Emotion-Intensity-Score	Croatian Word
soangry	anger	0.758	tako ljut
outburst	anger	0.757	ispad
snarl	anger	0.754	zarežati
profane	anger	0.750	profano
revolting	anger	0.750	revoltiran
aggravating	anger	0.750	otežavajući
horror	anger	0.750	užas
despise	anger	0.750	prezirati
offend	anger	0.750	uvrijediti
stfu	anger	0.750	stfu
vulgarity	anger	0.750	vulgarnost
crazed	anger	0.750	bjesomučan
douchebags	anger	0.750	glupane
growling	anger	0.750	režeći
dontmesswithme	anger	0.750	ne petljaj se sa mnom
screaming	anger	0.742	vrištanje
threat	anger	0.742	prijetnja
erupt	anger	0.742	izbiti
horrible	anger	0.742	užasno
molestation	anger	0.742	zlostavljanje
fuckedoff	anger	0.742	odjebano
violence	anger	0.742	nasilje
bastards	anger	0.741	gadovi
revenge	anger	0.738	osveta
menacing	anger	0.735	prijeteći
crushing	anger	0.735	drobljenje
damn	anger	0.735	proklet
catastrophe	anger	0.735	katastrofa
demon	anger	0.735	demon
argue	anger	0.734	raspravljati
persecute	anger	0.734	progoniti
deplore	anger	0.734	žaliti
flog	anger	0.734	bičevati
fedup	anger	0.734	sitnica
riotous	anger	0.734	buntovnički
vehement	anger	0.734	vehementan
revolt	anger	0.734	pobuna
warfare	anger	0.734	ratovanje
thrash	anger	0.734	mlatiti
altercation	anger	0.729	svađa
warlike	anger	0.728	ratoboran
shitday	anger	0.727	sranje
mutiny	anger	0.727	pobuna
castrate	anger	0.727	kastrirati
sabotage	anger	0.727	sabotaža
malevolent	anger	0.721	zlonamjeran
strike	anger	0.721	štrajk
disaster	anger	0.721	katastrofa
disastrous	anger	0.720	katastrofalan
bastarding	anger	0.719	kopile
treachery	anger	0.719	izdaja
arseholes	anger	0.719	šupci
horseshit	anger	0.719	konjsko sranje
slay	anger	0.719	ubiti
disdain	anger	0.719	prezir
aggravates	anger	0.719	otežava
brutal	anger	0.719	brutalan
scorching	anger	0.719	spaljivanjem
devil	anger	0.719	vrag
madden	anger	0.719	izludjeti
spiteful	anger	0.719	pakostan
scream	anger	0.719	vrisak
choke	anger	0.719	gušiti
vermin	anger	0.719	štetočina
tumult	anger	0.719	metež
criminal	anger	0.714	zločinac
mangle	anger	0.714	komadati
anarchism	anger	0.714	anarhizam
mutilation	anger	0.714	sakaćenje
denunciation	anger	0.713	denunciranje
punch	anger	0.713	bušiti
virulence	anger	0.712	virulencija
fatal	anger	0.712	koban
hurting	anger	0.712	ranjavanje
crucifixion	anger	0.712	raspeće
dontlikeyou	anger	0.712	ne sviđa ti se
blasphemous	anger	0.712	bogohulan
holocaust	anger	0.712	holokaust
dumbasses	anger	0.712	glupane
battled	anger	0.712	borio se
deranged	anger	0.706	poremećen
irritated	anger	0.706	razdraženo
atrocious	anger	0.706	okrutan
evil	anger	0.706	zlo
aggravated	anger	0.703	otežano
intimidation	anger	0.703	zastrašivanje
dicks	anger	0.703	kurac
assassin	anger	0.703	ubojica
scolding	anger	0.703	grdnja
persecution	anger	0.703	progon
slayer	anger	0.703	ubojica
kidnap	anger	0.703	oteti
aggression	anger	0.702	agresija
armed	anger	0.700	naoružan
battle	anger	0.697	bitka
poison	anger	0.697	Otrov
snarling	anger	0.697	režeći se
venom	anger	0.697	otrov
disgruntled	anger	0.693	nezadovoljan
resentment	anger	0.691	zamjeranje
assailant	anger	0.691	napadač
insidious	anger	0.691	podmukao
contemptuous	anger	0.690	prezriv
lynch	anger	0.690	linčovati
temper	anger	0.688	temperament
terrible	anger	0.688	strašno
disparage	anger	0.688	omalovažavati
lunatic	anger	0.688	luđak
bully	anger	0.688	zlostavljati
mad	anger	0.688	lud
makesmemad	anger	0.688	čini memad
infanticide	anger	0.688	čedomorstvo
domination	anger	0.688	dominacija
peeved	anger	0.688	zlovoljan
imprisonment	anger	0.688	zatvorska kazna
curse	anger	0.688	kletva
volatility	anger	0.687	volatilnost
eradication	anger	0.685	iskorjenjivanje
eradicate	anger	0.682	iskorijeniti
tantrum	anger	0.682	tantrum
scoundrel	anger	0.682	hulja
devastate	anger	0.682	opustošiti
aggressively	anger	0.680	agresivno
agitation	anger	0.680	uznemirenost
dictatorship	anger	0.676	diktatura
irritates	anger	0.676	iritira
profanity	anger	0.673	vulgarnost
shove	anger	0.672	gurati
nasty	anger	0.672	gadan
shot	anger	0.672	pucao
cruelly	anger	0.672	okrutno
shoot	anger	0.672	pucati
condemnation	anger	0.672	osuda
crushed	anger	0.672	zgnječen
aggravation	anger	0.672	pogoršanje
poisonous	anger	0.672	otrovan
egregious	anger	0.672	nečuven
crime	anger	0.672	zločin
corrupting	anger	0.672	kvareći
dastardly	anger	0.672	kukavički
contempt	anger	0.672	prezir
harmful	anger	0.672	štetan
expletive	anger	0.672	psovka
wreak	anger	0.672	iskaliti
maniac	anger	0.670	manijak
cutthroat	anger	0.667	koljač
enemy	anger	0.667	neprijatelj
hit	anger	0.667	pogoditi
hateeveryone	anger	0.667	mrziti sve
eruption	anger	0.667	erupcija
irritable	anger	0.667	razdražljiv
odious	anger	0.667	odvratan
shooting	anger	0.667	pucanje
shout	anger	0.667	vikati
aggressive	anger	0.667	agresivan
kick	anger	0.667	udarac nogom
combat	anger	0.667	borbena
fight	anger	0.667	borba
punished	anger	0.662	kažnjen
yell	anger	0.661	vikati
ambush	anger	0.661	zasjeda
harass	anger	0.659	uznemiravati
malignant	anger	0.656	maligni
aggressor	anger	0.656	agresor
gore	anger	0.656	gore
destruction	anger	0.656	uništenje
grudge	anger	0.656	inat
antichrist	anger	0.656	antikrist
incense	anger	0.656	tamjan
expel	anger	0.656	protjerati
cranky	anger	0.653	mrzovoljan
slave	anger	0.652	rob
reprisal	anger	0.652	odmazda
growl	anger	0.652	režanje
animosity	anger	0.652	neprijateljstvo
insurrection	anger	0.652	ustanak
clashing	anger	0.652	sukobljavanje
denounce	anger	0.652	otkazati
offended	anger	0.652	uvrijeđen
spank	anger	0.652	pljuska
insulting	anger	0.652	uvredljiv
growls	anger	0.649	reži
executioner	anger	0.644	krvnik
twat	anger	0.644	pičko
doomsday	anger	0.643	Sudnji dan
obscenity	anger	0.641	opscenost
accused	anger	0.641	optuženik
feud	anger	0.641	svađa
daemon	anger	0.641	demon
havoc	anger	0.641	pustoš
shackle	anger	0.641	okov
inexcusable	anger	0.641	neoprostivo
indignant	anger	0.641	ogorčeno
grr	anger	0.641	grr
expulsion	anger	0.641	protjerivanje
bombard	anger	0.641	bombardirati
spat	anger	0.641	pljunuo
arson	anger	0.641	palež
reprimand	anger	0.641	ukor
somad	anger	0.637	tako ljut
frustrated	anger	0.636	frustriran
batter	anger	0.636	tijesto
kicking	anger	0.636	udaranje nogama
anarchy	anger	0.636	anarhija
spanking	anger	0.636	batinanje
glaring	anger	0.636	blistavo
suicidal	anger	0.636	samoubilački
disgusting	anger	0.636	odvratan
wound	anger	0.636	rana
hanging	anger	0.636	vješanje
poisoned	anger	0.636	otrovana
combatant	anger	0.636	borca
wrecked	anger	0.633	uništena
inflict	anger	0.633	nanositi
grievous	anger	0.632	žalostan
prosecute	anger	0.630	procesuirati
agitated	anger	0.630	uzrujan
cheat	anger	0.630	varati
swastika	anger	0.627	svastika
injure	anger	0.625	ozlijediti
indict	anger	0.625	optužnica
scourge	anger	0.625	bičevati
provocation	anger	0.625	izazivanje
suffocation	anger	0.625	gušenje
strife	anger	0.625	svađa
raid	anger	0.625	prepad
enslaved	anger	0.625	porobljeni
cursing	anger	0.625	psujući
defamatory	anger	0.625	klevetnički
harassing	anger	0.625	uznemirujući
thundering	anger	0.625	grmeći
betray	anger	0.625	izdati
arsehole	anger	0.624	šupak
theft	anger	0.621	krađa
insane	anger	0.621	lud
retaliation	anger	0.621	osveta
irritate	anger	0.621	iritirati
deprivation	anger	0.621	uskraćivanje
fiend	anger	0.621	zlovolja
jerk	anger	0.621	kreten
convict	anger	0.621	osuđenik
cussed	anger	0.619	psovao
turmoil	anger	0.618	previranja
smack	anger	0.615	cmoknuti
retribution	anger	0.614	odmazda
rebellion	anger	0.609	pobuna
oppressor	anger	0.609	tlačitelj
gang	anger	0.609	banda
slavery	anger	0.609	ropstvo
intolerable	anger	0.609	nepodnošljiv
adverse	anger	0.609	nepovoljan
injurious	anger	0.609	štetan
twats	anger	0.609	pičke
collision	anger	0.609	sudar
battery	anger	0.609	baterija
bitterly	anger	0.609	gorko
antagonism	anger	0.609	antagonizam
irritability	anger	0.609	razdražljivost
disgraced	anger	0.608	osramoćen
diatribe	anger	0.606	dijatriba
asshole	anger	0.606	šupak
blast	anger	0.606	eksplozija
bombardment	anger	0.606	bombardiranje
irks	anger	0.606	iritacije
ranting	anger	0.606	laprdanje
revolution	anger	0.606	revolucija
thug	anger	0.606	razbojnik
antagonistic	anger	0.606	antagonistički
irritating	anger	0.606	iritantan
sickening	anger	0.606	odvratan
discrimination	anger	0.606	diskriminacija
frustrate	anger	0.604	frustrirati
insult	anger	0.603	uvreda
hurtful	anger	0.603	štetno
oppression	anger	0.603	ugnjetavanje
manipulation	anger	0.603	manipulacija
tiredofit	anger	0.603	umoran
bigot	anger	0.603	fanatik
tension	anger	0.603	napetost
disgust	anger	0.602	gađenje
spite	anger	0.600	inat
intrusive	anger	0.598	nametljiv
harshness	anger	0.597	hrapavost
slur	anger	0.596	vrijeđati
tempest	anger	0.594	oluja
assail	anger	0.594	napadati
bitterness	anger	0.594	gorčina
morbidity	anger	0.594	morbiditet
casualty	anger	0.594	unesrećeni
puncture	anger	0.594	puknuti
miserable	anger	0.594	jadan
inferno	anger	0.594	pakao
invasion	anger	0.594	invazija
storming	anger	0.594	jurišajući
wretch	anger	0.594	jadnik
consternation	anger	0.592	konsternacija
raving	anger	0.591	buncanje
forcibly	anger	0.591	prisilno
guillotine	anger	0.591	giljotina
guilty	anger	0.591	kriv
depraved	anger	0.591	razvratan
immoral	anger	0.591	nemoralan
overpowering	anger	0.591	neodoljiv
scare	anger	0.588	uplašiti
recalcitrant	anger	0.588	neposlušan
screwed	anger	0.588	sjeban
accursed	anger	0.588	proklet
soannoyed	anger	0.588	toliko iznerviran
invader	anger	0.588	osvajač
jealousy	anger	0.587	ljubomora
indignation	anger	0.587	gnjev
vexed	anger	0.586	ozlojeđen
confront	anger	0.582	suočiti
brute	anger	0.581	grubijan
throttle	anger	0.579	prigušnica
slut	anger	0.578	djevojčura
coup	anger	0.578	državni udar
blaze	anger	0.578	plamen
pillage	anger	0.578	pljačka
provoking	anger	0.578	izazivanje
damage	anger	0.578	šteta
criminality	anger	0.578	kriminalitet
shutup	anger	0.578	začepi
lash	anger	0.578	trepavicom
conflict	anger	0.578	sukob
contentious	anger	0.578	sporan
shutit	anger	0.578	zatvori
wreck	anger	0.578	olupina
defiant	anger	0.578	prkosan
butcher	anger	0.578	mesar
incarceration	anger	0.578	zatvaranje
revolver	anger	0.578	revolver
bickering	anger	0.578	prepirka
yousuck	anger	0.578	pusis
cancer	anger	0.577	Rak
discriminate	anger	0.576	diskriminirati
gun	anger	0.576	pištolj
frustration	anger	0.576	frustracija
gory	anger	0.576	krvav
pernicious	anger	0.576	opasan
dontmess	anger	0.576	ne petljati
blasphemy	anger	0.576	bogohuljenje
chaotic	anger	0.576	kaotičan
grope	anger	0.576	pipati
alienation	anger	0.576	otuđenje
disturbance	anger	0.576	smetnja
condescension	anger	0.576	snishodljivost
standoff	anger	0.576	zastoj
discord	anger	0.576	razdor
friggen	anger	0.575	friggen
sneer	anger	0.574	podsmijeh
death	anger	0.574	smrt
lunacy	anger	0.574	ludilo
scandalous	anger	0.574	skandalozno
oppressive	anger	0.574	ugnjetavački
jab	anger	0.574	ubod
cursed	anger	0.574	prokleti
monstrosity	anger	0.574	monstruoznost
shit	anger	0.573	sranje
disparaging	anger	0.571	omalovažavajući
slash	anger	0.571	kosa crta
unfair	anger	0.571	nepošteno
gallows	anger	0.570	vješala
escalate	anger	0.569	eskalirati
intolerant	anger	0.564	netolerantan
lawlessness	anger	0.563	bezakonje
beast	anger	0.562	zvijer
torpedo	anger	0.562	torpedo
malign	anger	0.562	zloćudan
traitor	anger	0.562	izdajnik
frightful	anger	0.562	zastrašujuće
wrangling	anger	0.562	prepirka
slander	anger	0.562	klevetati
bellows	anger	0.562	mijehovi
retards	anger	0.562	retardirani
grouchy	anger	0.562	mrzovoljan
derogatory	anger	0.562	pogrdno
bearish	anger	0.562	medvjedast
invade	anger	0.562	upasti
perdition	anger	0.562	propast
arghh	anger	0.562	arghh
dreadful	anger	0.562	užasan
bluddy	anger	0.562	glupav
deceived	anger	0.562	prevareni
glare	anger	0.562	blještavilo
taunt	anger	0.562	podsmijeh
dissension	anger	0.561	razdor
cross	anger	0.561	križ
rave	anger	0.561	buncati
grating	anger	0.561	rešetka
devastating	anger	0.561	razoran
fits	anger	0.561	odgovara
jeopardize	anger	0.561	ugroziti
shatter	anger	0.561	razbiti
idiots	anger	0.561	idioti
hurt	anger	0.561	povrijediti
thief	anger	0.561	lopov
uncontrollable	anger	0.561	nekontroliran
conflagration	anger	0.561	požar
betrayal	anger	0.561	izdaja
banshee	anger	0.561	banshee
subjugation	anger	0.559	podjarmljivanje
disturbed	anger	0.559	uznemiren
stomped	anger	0.557	zgazio
grab	anger	0.557	zgrabiti
grievance	anger	0.556	pritužba
ticked	anger	0.556	označeno kvačicom
masochism	anger	0.556	mazohizam
defiance	anger	0.552	prkos
blackmail	anger	0.550	ucjena
offensive	anger	0.549	uvredljiv
decry	anger	0.548	osuđivati
frustrates	anger	0.547	frustrira
violation	anger	0.547	kršenje
confine	anger	0.547	ograničiti
misery	anger	0.547	bijeda
arghhhh	anger	0.547	arghhhh
disparity	anger	0.547	disparitet
punishment	anger	0.547	kazna
rebel	anger	0.547	buntovnik
preposterous	anger	0.547	apsurdno
disgraceful	anger	0.547	sramotan
ire	anger	0.547	gnjev
deceive	anger	0.547	prevariti
fustrated	anger	0.547	izbezumljen
sin	anger	0.547	grijeh
shrill	anger	0.547	kreštavo
darkside	anger	0.547	tamna strana
overbearing	anger	0.547	ohol
firearms	anger	0.547	vatreno oružje
stolen	anger	0.546	ukraden
hadenough	anger	0.546	imao dovoljno
prejudice	anger	0.545	predrasuda
tackle	anger	0.545	uhvatiti se u koštac
resentful	anger	0.545	uvrijeđen
heated	anger	0.545	zagrijana
callous	anger	0.545	bešćutan
conspirator	anger	0.545	zavjerenik
ruined	anger	0.545	upropašten
antagonist	anger	0.545	antagonista
skirmish	anger	0.545	okršaj
menace	anger	0.545	prijetnja
annoyin	anger	0.545	smetati
foul	anger	0.545	prekršaj
argument	anger	0.545	argument
humiliate	anger	0.545	poniziti
wanker	anger	0.545	onanist
adversary	anger	0.545	protivnik
sting	anger	0.544	ubosti
entangled	anger	0.544	zapetljan
grumble	anger	0.544	roptati
robbery	anger	0.544	pljačka
outcry	anger	0.544	negodovanje
resistance	anger	0.543	otpornost
irreconcilable	anger	0.543	nepomirljiv
obstructive	anger	0.542	opstruktivni
dismay	anger	0.540	užasnutost
mob	anger	0.538	mob
juststop	anger	0.537	samo prestani
badness	anger	0.536	zloća
ridicule	anger	0.534	ismijavanje
incendiary	anger	0.533	palikuća
flares	anger	0.532	baklje
twofaced	anger	0.531	dvoličan
reckless	anger	0.531	bezobzirni
communism	anger	0.531	komunizam
allegation	anger	0.531	navod
prejudicial	anger	0.531	predrasudan
whip	anger	0.531	bič
unbridled	anger	0.531	neobuzdana
degeneracy	anger	0.531	izrođenost
intruder	anger	0.531	uljez
belittle	anger	0.531	omalovažavati
confinement	anger	0.531	zatvorenost
dispute	anger	0.531	spor
exacerbation	anger	0.531	pogoršanje
uprising	anger	0.531	ustanak
unjust	anger	0.530	nepravedno
unjustifiable	anger	0.530	neopravdano
perversion	anger	0.530	izopačenost
bigoted	anger	0.530	netrpeljiv
fiesty	anger	0.530	vatren
offender	anger	0.530	prijestupnik
dictatorial	anger	0.530	diktatorski
hassle	anger	0.530	svađa
dissonance	anger	0.530	disonanca
tackled	anger	0.530	uhvatio u koštac
renegade	anger	0.529	otpadnik
cantstandit	anger	0.529	cantstandit
trespass	anger	0.529	prijestup
hot	anger	0.529	vruće
prison	anger	0.529	zatvor
suicide	anger	0.521	samoubojstvo
annoy	anger	0.520	smetati
leavemealone	anger	0.517	ostavi me na miru
cretins	anger	0.516	kreteni
depravity	anger	0.516	izopačenost
idiotic	anger	0.516	idiotski
dishonest	anger	0.516	nepošten
distrust	anger	0.516	nepovjerenje
broil	anger	0.516	svađa
grrr	anger	0.516	grrr
criticize	anger	0.516	kritizirati
inimical	anger	0.516	neprijateljski
tortious	anger	0.516	deliktnog
prisoner	anger	0.516	zatvorenik
treason	anger	0.516	izdaja
divorce	anger	0.516	razvod
venting	anger	0.516	odzračivanje
duress	anger	0.516	prisila
disrespectful	anger	0.516	bez poštovanja
poaching	anger	0.515	krivolov
scold	anger	0.515	grditi
poachers	anger	0.515	lovokradice
pow	anger	0.515	pow
hangry	anger	0.515	gladan
argumentation	anger	0.515	argumentacija
frustrating	anger	0.515	frustrirajuće
unkind	anger	0.515	neljubazan
roar	anger	0.515	rikati
coercion	anger	0.515	prisila
unforgiving	anger	0.515	nepopustljiv
grump	anger	0.515	mrzovoljan
bile	anger	0.515	žuč
unleash	anger	0.515	osloboditi
chaos	anger	0.515	kaos
victimized	anger	0.515	viktimiziran
jerks	anger	0.515	kreteni
tussle	anger	0.514	tučnjava
bane	anger	0.511	otrov
accusation	anger	0.510	optužba
enmity	anger	0.510	neprijateljstvo
repudiation	anger	0.510	odbacivanje
banish	anger	0.509	protjerati
disfigured	anger	0.508	unakažena
storm	anger	0.507	oluja
crazy	anger	0.500	lud
hammering	anger	0.500	zakucavanje
defy	anger	0.500	prkositi
antithesis	anger	0.500	antiteza
scoff	anger	0.500	rugati se
anguish	anger	0.500	tjeskoba
confined	anger	0.500	ograničeno
fear	anger	0.500	strah
bout	anger	0.500	nastup
unruly	anger	0.500	neposlušan
delusional	anger	0.500	deluzioni
obstruct	anger	0.500	ometati
possessed	anger	0.500	opsjednut
injustice	anger	0.500	nepravda
fervor	anger	0.500	žestina
spear	anger	0.500	koplje
derision	anger	0.500	ismijavanje
intractable	anger	0.500	tvrdoglav
reject	anger	0.500	odbiti
dominate	anger	0.500	dominirati
ordeal	anger	0.500	kušnja
banished	anger	0.500	protjeran
rejects	anger	0.500	odbija
shun	anger	0.500	izbjegavati
brunt	anger	0.500	težište
derogation	anger	0.500	derogacija
frenzied	anger	0.500	pomahnitao
animus	anger	0.500	animus
suppression	anger	0.500	suzbijanje
malpractice	anger	0.500	nesavjesno liječenje
brazen	anger	0.500	drsko
foaming	anger	0.500	pjenjenje
disrupting	anger	0.500	ometajući
nobodycares	anger	0.500	nikoga nije briga
patronising	anger	0.500	pokroviteljski
getoveryourself	anger	0.495	preboljeti sebe
toughness	anger	0.492	žilavost
stupidpeople	anger	0.492	glupi ljudi
madness	anger	0.491	ludilo
sinful	anger	0.491	grješna
avarice	anger	0.490	škrtost
oppress	anger	0.490	tlačiti
cutting	anger	0.485	rezanje
anathema	anger	0.485	anatema
annoyed	anger	0.485	ozlojeđen
dissident	anger	0.485	disident
demand	anger	0.485	zahtijevajte
usurp	anger	0.485	uzurpirati
claw	anger	0.485	pandža
alienate	anger	0.485	otuđiti
infraction	anger	0.485	prekršaj
avenger	anger	0.485	osvetnik
revoke	anger	0.485	opozvati
smuggler	anger	0.485	krijumčar
abolish	anger	0.485	ukinuti
fricking	anger	0.485	jebeni
stayaway	anger	0.485	kloniti se
pervert	anger	0.485	razvratnik
disservice	anger	0.485	loša usluga
disobedient	anger	0.485	neposlušan
incest	anger	0.485	incest
complaint	anger	0.485	pritužba
disapproved	anger	0.485	neodobren
inhuman	anger	0.485	neljudski
mocking	anger	0.484	rugajući se
penalty	anger	0.484	kazna
renounce	anger	0.484	odreći se
restrain	anger	0.484	obuzdati
upheaval	anger	0.484	preokret
deceit	anger	0.484	prijevara
obnoxious	anger	0.484	odvratan
imprisoned	anger	0.484	zatvorena
strained	anger	0.484	nategnuto
blame	anger	0.484	kriviti
oust	anger	0.484	istisnuti
litigious	anger	0.484	parnični
rivalry	anger	0.484	suparništvo
sucker	anger	0.484	naivčina
opposed	anger	0.484	usprotivio se
thresh	anger	0.484	mlatiti
disgrace	anger	0.484	sramota
suspicious	anger	0.484	sumnjivo
turbulence	anger	0.483	turbulencija
pound	anger	0.481	funta
coldness	anger	0.477	hladnoća
ungrateful	anger	0.472	nezahvalan
stoopid	anger	0.471	pognut
battalion	anger	0.471	bojne
feudalism	anger	0.470	feudalizam
hostage	anger	0.470	talac
annoying	anger	0.470	dosadan
dispossessed	anger	0.470	razbaštinjen
subversion	anger	0.470	subverzija
friction	anger	0.470	trenje
jealous	anger	0.470	ljubomoran
adversity	anger	0.470	nedaće
infidel	anger	0.470	nevjernik
gall	anger	0.470	žučni
accuser	anger	0.470	optužitelj
ram	anger	0.470	radna memorija
armament	anger	0.470	naoružanje
thump	anger	0.469	tup udarac
dislike	anger	0.469	nesviđanje
steal	anger	0.469	ukrasti
backoff	anger	0.469	odstupi
stifled	anger	0.469	ugušena
incite	anger	0.469	poticati
distress	anger	0.469	nevolja
angermanagement	anger	0.469	upravljanje ljutnjom
selfish	anger	0.469	sebičan
injury	anger	0.469	ozljeda
exile	anger	0.469	progonstvo
insanity	anger	0.469	ludilo
offense	anger	0.469	prekršaj
objection	anger	0.469	prigovor
smother	anger	0.469	ugušiti
disruption	anger	0.469	poremećaj
intolerance	anger	0.469	netrpeljivost
disobey	anger	0.469	ne poslušati
selfishness	anger	0.469	sebičnost
recidivism	anger	0.469	recidivizam
subversive	anger	0.469	subverzivno
