English Word	Emotion	Emotion-Intensity-Score	Norwegian Word
rampage	anger	0.833	raseri
horrid	anger	0.833	grusomt
cruelty	anger	0.833	grusomhet
torture	anger	0.833	tortur
rabid	anger	0.833	rabiat
despicable	anger	0.828	avskyelig
tyrannical	anger	0.828	tyrannisk
demonic	anger	0.828	demonisk
satanic	anger	0.828	satanisk
hate	anger	0.828	hat
ragemode	anger	0.828	raserimodus
hating	anger	0.828	hater
ruinous	anger	0.825	ødeleggende
condemn	anger	0.825	fordømme
riots	anger	0.824	opptøyer
demolish	anger	0.824	rive
angry	anger	0.824	sint
extermination	anger	0.824	utryddelse
dickhead	anger	0.824	pikkhode
livid	anger	0.821	livlig
madman	anger	0.820	galning
vindictive	anger	0.819	hevngjerrig
terrorist	anger	0.818	terrorist
threaten	anger	0.818	true
venomous	anger	0.818	giftig
hateyou	anger	0.818	hater deg
ferocity	anger	0.818	grusomhet
effyou	anger	0.818	effy deg
abhor	anger	0.816	avsky
carnage	anger	0.814	blodbad
savage	anger	0.814	villmann
atrocity	anger	0.814	grusomhet
fucksake	anger	0.812	faen
abuse	anger	0.812	misbruke
fierce	anger	0.812	voldsom
destroyer	anger	0.812	ødelegger
angrytweet	anger	0.812	angrytweet
barbaric	anger	0.812	barbarisk
vendetta	anger	0.812	vendetta
pissesmeoff	anger	0.812	gjør meg sint
pissedoff	anger	0.812	forbanna
tyrant	anger	0.812	tyrann
berserk	anger	0.812	Berserk
fuming	anger	0.812	rykende
anger	anger	0.811	sinne
pieceofshit	anger	0.810	dritt
punched	anger	0.803	stanset
punching	anger	0.803	stansing
slam	anger	0.803	smelle
homicide	anger	0.803	drap
bitch	anger	0.803	tispe
fights	anger	0.803	kamper
ruthless	anger	0.797	hensynsløs
villainous	anger	0.797	skurkaktig
destructive	anger	0.797	ødeleggende
slap	anger	0.791	dask
riot	anger	0.788	opptøyer
growthefuckup	anger	0.788	vekst for helvete
punishing	anger	0.788	straffe
slaughterhouse	anger	0.788	slakteri
yelling	anger	0.788	roping
diabolical	anger	0.788	diabolisk
destroyed	anger	0.788	ødelagt
ragetweet	anger	0.788	ragetweet
retaliatory	anger	0.788	gjengjeldelse
manslaughter	anger	0.783	drap
clash	anger	0.783	sammenstøt
quarrel	anger	0.781	krangle
bloody	anger	0.781	blodig
hellish	anger	0.781	helvetes
sinister	anger	0.781	uhyggelig
loath	anger	0.781	avsky
detonation	anger	0.781	detonasjon
accusing	anger	0.779	anklagende
fumin	anger	0.779	fumin
hateeee	anger	0.779	hateeee
treacherous	anger	0.779	forrædersk
madder	anger	0.773	galere
horrific	anger	0.773	forferdelig
revulsion	anger	0.773	avsky
retaliate	anger	0.773	gjengjelde
scorn	anger	0.769	hån
bomb	anger	0.766	bombe
deplorable	anger	0.766	beklagelig
devastation	anger	0.765	ødeleggelse
anarchist	anger	0.765	anarkist
firestorm	anger	0.765	brannstorm
resent	anger	0.765	misliker seg
contemptible	anger	0.764	foraktelig
shittest	anger	0.760	driteste
rant	anger	0.758	tirade
cruel	anger	0.758	grusom
deadly	anger	0.758	dødelig
smash	anger	0.758	knuse
soangry	anger	0.758	så sint
outburst	anger	0.757	utbrudd
snarl	anger	0.754	snerre
profane	anger	0.750	profan
revolting	anger	0.750	opprørende
aggravating	anger	0.750	irriterende
horror	anger	0.750	skrekk
despise	anger	0.750	forakte
offend	anger	0.750	fornærme
stfu	anger	0.750	stfu
vulgarity	anger	0.750	vulgaritet
crazed	anger	0.750	gal
douchebags	anger	0.750	drittsekker
growling	anger	0.750	knurring
dontmesswithme	anger	0.750	dontmesswithme
screaming	anger	0.742	skriking
threat	anger	0.742	trussel
erupt	anger	0.742	bryte ut
horrible	anger	0.742	fryktelig
molestation	anger	0.742	overgrep
fuckedoff	anger	0.742	jævla
violence	anger	0.742	vold
bastards	anger	0.741	jævler
revenge	anger	0.738	hevn
menacing	anger	0.735	truende
crushing	anger	0.735	knusende
damn	anger	0.735	faen
catastrophe	anger	0.735	katastrofe
demon	anger	0.735	demon
argue	anger	0.734	argumentere
persecute	anger	0.734	forfølge
deplore	anger	0.734	beklager
flog	anger	0.734	piske
fedup	anger	0.734	lei
riotous	anger	0.734	opprørsk
vehement	anger	0.734	heftig
revolt	anger	0.734	opprør
warfare	anger	0.734	krigføring
thrash	anger	0.734	søppel
altercation	anger	0.729	krangel
warlike	anger	0.728	krigersk
shitday	anger	0.727	drittdag
mutiny	anger	0.727	mytteri
castrate	anger	0.727	kastrere
sabotage	anger	0.727	sabotasje
malevolent	anger	0.721	ondsinnet
strike	anger	0.721	streik
disaster	anger	0.721	katastrofe
disastrous	anger	0.720	katastrofal
bastarding	anger	0.719	jævla
treachery	anger	0.719	forræderi
arseholes	anger	0.719	røvhull
horseshit	anger	0.719	hesteshit
slay	anger	0.719	slå ihjel
disdain	anger	0.719	forakt
aggravates	anger	0.719	forverrer
brutal	anger	0.719	brutal
scorching	anger	0.719	sviende
devil	anger	0.719	djevel
madden	anger	0.719	gal
spiteful	anger	0.719	ondskapsfull
scream	anger	0.719	hyle
choke	anger	0.719	kvele
vermin	anger	0.719	skadedyr
tumult	anger	0.719	tumult
criminal	anger	0.714	forbryter
mangle	anger	0.714	mangle
anarchism	anger	0.714	anarkisme
mutilation	anger	0.714	lemlestelse
denunciation	anger	0.713	oppsigelse
punch	anger	0.713	slag
virulence	anger	0.712	virulens
fatal	anger	0.712	fatal
hurting	anger	0.712	vondt
crucifixion	anger	0.712	korsfestelse
dontlikeyou	anger	0.712	liker ikke deg
blasphemous	anger	0.712	blasfemisk
holocaust	anger	0.712	holocaust
dumbasses	anger	0.712	dumbasses
battled	anger	0.712	kjempet
deranged	anger	0.706	forvirret
irritated	anger	0.706	irritert
atrocious	anger	0.706	grusomt
evil	anger	0.706	ond
aggravated	anger	0.703	forverret
intimidation	anger	0.703	trusler
dicks	anger	0.703	pikk
assassin	anger	0.703	leiemorder
scolding	anger	0.703	skjenn ut
persecution	anger	0.703	forfølgelse
slayer	anger	0.703	slakter
kidnap	anger	0.703	kidnappe
aggression	anger	0.702	aggresjon
armed	anger	0.700	bevæpnet
battle	anger	0.697	slag
poison	anger	0.697	gift
snarling	anger	0.697	snerrende
venom	anger	0.697	gift
disgruntled	anger	0.693	misfornøyd
resentment	anger	0.691	harme
assailant	anger	0.691	overfallsmann
insidious	anger	0.691	lumsk
contemptuous	anger	0.690	foraktelig
lynch	anger	0.690	lynsj
temper	anger	0.688	temperament
terrible	anger	0.688	fryktelig
disparage	anger	0.688	nedsettende
lunatic	anger	0.688	galning
bully	anger	0.688	bølle
mad	anger	0.688	gal
makesmemad	anger	0.688	makememad
infanticide	anger	0.688	barnemord
domination	anger	0.688	dominans
peeved	anger	0.688	irritert
imprisonment	anger	0.688	fengsling
curse	anger	0.688	forbannelse
volatility	anger	0.687	volatilitet
eradication	anger	0.685	utryddelse
eradicate	anger	0.682	utrydde
tantrum	anger	0.682	raserianfall
scoundrel	anger	0.682	kjeltring
devastate	anger	0.682	ødelegge
aggressively	anger	0.680	aggressivt
agitation	anger	0.680	opphisselse
dictatorship	anger	0.676	diktatur
irritates	anger	0.676	irriterer
profanity	anger	0.673	banning
shove	anger	0.672	skubbe
nasty	anger	0.672	ekkel
shot	anger	0.672	skudd
cruelly	anger	0.672	grusomt
shoot	anger	0.672	skyte
condemnation	anger	0.672	fordømmelse
crushed	anger	0.672	knust
aggravation	anger	0.672	forverring
poisonous	anger	0.672	giftig
egregious	anger	0.672	uhyggelig
crime	anger	0.672	forbrytelse
corrupting	anger	0.672	korrumperer
dastardly	anger	0.672	elendig
contempt	anger	0.672	forakt
harmful	anger	0.672	skadelig
expletive	anger	0.672	eksplosiv
wreak	anger	0.672	vrak
maniac	anger	0.670	galning
cutthroat	anger	0.667	skjærende
enemy	anger	0.667	fiende
hit	anger	0.667	truffet
hateeveryone	anger	0.667	hater alle
eruption	anger	0.667	utbrudd
irritable	anger	0.667	irritabel
odious	anger	0.667	avskyelig
shooting	anger	0.667	skyting
shout	anger	0.667	rope
aggressive	anger	0.667	aggressiv
kick	anger	0.667	sparke
combat	anger	0.667	kamp
fight	anger	0.667	slåss
punished	anger	0.662	straffet
yell	anger	0.661	hyle
ambush	anger	0.661	bakhold
harass	anger	0.659	trakassere
malignant	anger	0.656	ondartet
aggressor	anger	0.656	angriper
gore	anger	0.656	gore
destruction	anger	0.656	ødeleggelse
grudge	anger	0.656	nag
antichrist	anger	0.656	antikrist
incense	anger	0.656	røkelse
expel	anger	0.656	utvise
cranky	anger	0.653	gretten
slave	anger	0.652	slave
reprisal	anger	0.652	represalier
growl	anger	0.652	knurre
animosity	anger	0.652	fiendtlighet
insurrection	anger	0.652	opprør
clashing	anger	0.652	sammenstøt
denounce	anger	0.652	fordømme
offended	anger	0.652	fornærmet
spank	anger	0.652	slå
insulting	anger	0.652	fornærmende
growls	anger	0.649	knurrer
executioner	anger	0.644	bøddel
twat	anger	0.644	tull
doomsday	anger	0.643	dommedag
obscenity	anger	0.641	obskønitet
accused	anger	0.641	tiltalte
feud	anger	0.641	feide
daemon	anger	0.641	demon
havoc	anger	0.641	kaos
shackle	anger	0.641	lenke
inexcusable	anger	0.641	utilgivelig
indignant	anger	0.641	indignert
grr	anger	0.641	grr
expulsion	anger	0.641	utvisning
bombard	anger	0.641	bombardere
spat	anger	0.641	spyttet
arson	anger	0.641	mordbrann
reprimand	anger	0.641	reprimande
somad	anger	0.637	så sint
frustrated	anger	0.636	frustrert
batter	anger	0.636	røre
kicking	anger	0.636	sparker
anarchy	anger	0.636	anarki
spanking	anger	0.636	spanking
glaring	anger	0.636	grelt
suicidal	anger	0.636	suicidal
disgusting	anger	0.636	motbydelig
wound	anger	0.636	sår
hanging	anger	0.636	hengende
poisoned	anger	0.636	forgiftet
combatant	anger	0.636	stridende
wrecked	anger	0.633	ødelagt
inflict	anger	0.633	påføre
grievous	anger	0.632	alvorlig
prosecute	anger	0.630	straffeforfølge
agitated	anger	0.630	agitert
cheat	anger	0.630	jukse
swastika	anger	0.627	hakekors
injure	anger	0.625	skade
indict	anger	0.625	tiltale
scourge	anger	0.625	svøpe
provocation	anger	0.625	provokasjon
suffocation	anger	0.625	kvelning
strife	anger	0.625	strid
raid	anger	0.625	plyndringstokt
enslaved	anger	0.625	slavebundet
cursing	anger	0.625	banning
defamatory	anger	0.625	ærekrenkende
harassing	anger	0.625	trakasserende
thundering	anger	0.625	dundrende
betray	anger	0.625	forråde
arsehole	anger	0.624	røvhull
theft	anger	0.621	tyveri
insane	anger	0.621	sinnsyk
retaliation	anger	0.621	hevn
irritate	anger	0.621	irritere
deprivation	anger	0.621	deprivasjon
fiend	anger	0.621	djevel
jerk	anger	0.621	dust
convict	anger	0.621	dømme
cussed	anger	0.619	forbannet
turmoil	anger	0.618	kaos
smack	anger	0.615	smell
retribution	anger	0.614	straff
rebellion	anger	0.609	opprør
oppressor	anger	0.609	undertrykker
gang	anger	0.609	gjeng
slavery	anger	0.609	slaveri
intolerable	anger	0.609	uutholdelig
adverse	anger	0.609	uheldig
injurious	anger	0.609	skadelig
twats	anger	0.609	tabber
collision	anger	0.609	kollisjon
battery	anger	0.609	batteri
bitterly	anger	0.609	bittert
antagonism	anger	0.609	antagonisme
irritability	anger	0.609	irritabilitet
disgraced	anger	0.608	vanæret
diatribe	anger	0.606	diatribe
asshole	anger	0.606	drittsekk
blast	anger	0.606	sprengning
bombardment	anger	0.606	bombardement
irks	anger	0.606	irks
ranting	anger	0.606	ranting
revolution	anger	0.606	revolusjon
thug	anger	0.606	bølle
antagonistic	anger	0.606	antagonistisk
irritating	anger	0.606	irriterende
sickening	anger	0.606	kvalmende
discrimination	anger	0.606	diskriminering
frustrate	anger	0.604	frustrere
insult	anger	0.603	fornærmelse
hurtful	anger	0.603	sårende
oppression	anger	0.603	undertrykkelse
manipulation	anger	0.603	manipulasjon
tiredofit	anger	0.603	tiredofit
bigot	anger	0.603	bigot
tension	anger	0.603	Spenninger
disgust	anger	0.602	avsky
spite	anger	0.600	tross
intrusive	anger	0.598	påtrengende
harshness	anger	0.597	hardhet
slur	anger	0.596	Sladder
tempest	anger	0.594	storm
assail	anger	0.594	angripe
bitterness	anger	0.594	bitterhet
morbidity	anger	0.594	dødelighet
casualty	anger	0.594	havari
puncture	anger	0.594	punktering
miserable	anger	0.594	elendig
inferno	anger	0.594	Helvete
invasion	anger	0.594	invasjon
storming	anger	0.594	storming
wretch	anger	0.594	elendig
consternation	anger	0.592	bestyrtelse
raving	anger	0.591	raving
forcibly	anger	0.591	med makt
guillotine	anger	0.591	giljotin
guilty	anger	0.591	skyldig
depraved	anger	0.591	fordervet
immoral	anger	0.591	umoralsk
overpowering	anger	0.591	overveldende
scare	anger	0.588	skremme
recalcitrant	anger	0.588	motstridende
screwed	anger	0.588	skrudd
accursed	anger	0.588	forbannet
soannoyed	anger	0.588	irritert
invader	anger	0.588	inntrenger
jealousy	anger	0.587	sjalusi
indignation	anger	0.587	indignasjon
vexed	anger	0.586	irritert
confront	anger	0.582	konfrontere
brute	anger	0.581	brute
throttle	anger	0.579	Gasspedal
slut	anger	0.578	ludder
coup	anger	0.578	kupp
blaze	anger	0.578	flamme
pillage	anger	0.578	plyndring
provoking	anger	0.578	provoserende
damage	anger	0.578	skader
criminality	anger	0.578	kriminalitet
shutup	anger	0.578	hold kjeft
lash	anger	0.578	piskeslag
conflict	anger	0.578	konflikt
contentious	anger	0.578	omstridt
shutit	anger	0.578	Lukk den
wreck	anger	0.578	vrak
defiant	anger	0.578	trassig
butcher	anger	0.578	slakter
incarceration	anger	0.578	fengsling
revolver	anger	0.578	revolver
bickering	anger	0.578	krangling
yousuck	anger	0.578	du suger
cancer	anger	0.577	kreft
discriminate	anger	0.576	diskriminere
gun	anger	0.576	våpen
frustration	anger	0.576	frustrasjon
gory	anger	0.576	blodig
pernicious	anger	0.576	skadelig
dontmess	anger	0.576	ikke søl
blasphemy	anger	0.576	blasfemi
chaotic	anger	0.576	kaotisk
grope	anger	0.576	famle
alienation	anger	0.576	fremmedgjøring
disturbance	anger	0.576	forstyrrelse
condescension	anger	0.576	nedlatenhet
standoff	anger	0.576	standoff
discord	anger	0.576	uenighet
friggen	anger	0.575	friggen
sneer	anger	0.574	hån
death	anger	0.574	død
lunacy	anger	0.574	galskap
scandalous	anger	0.574	skandaløst
oppressive	anger	0.574	undertrykkende
jab	anger	0.574	jab
cursed	anger	0.574	forbannet
monstrosity	anger	0.574	monstrøsitet
shit	anger	0.573	dritt
disparaging	anger	0.571	nedsettende
slash	anger	0.571	skråstrek
unfair	anger	0.571	urettferdig
gallows	anger	0.570	galgen
escalate	anger	0.569	eskalere
intolerant	anger	0.564	intolerant
lawlessness	anger	0.563	lovløshet
beast	anger	0.562	beist
torpedo	anger	0.562	torpedo
malign	anger	0.562	ondartet
traitor	anger	0.562	forræder
frightful	anger	0.562	skremmende
wrangling	anger	0.562	krangling
slander	anger	0.562	bakvaskelse
bellows	anger	0.562	belg
retards	anger	0.562	retarderer
grouchy	anger	0.562	sur
derogatory	anger	0.562	nedsettende
bearish	anger	0.562	bearish
invade	anger	0.562	invadere
perdition	anger	0.562	fortapelse
arghh	anger	0.562	arghh
dreadful	anger	0.562	fryktelig
bluddy	anger	0.562	klumpete
deceived	anger	0.562	bedratt
glare	anger	0.562	gjenskinn
taunt	anger	0.562	håne
dissension	anger	0.561	uenighet
cross	anger	0.561	kryss
rave	anger	0.561	rave
grating	anger	0.561	rist
devastating	anger	0.561	ødeleggende
fits	anger	0.561	passer inn
jeopardize	anger	0.561	sette i fare
shatter	anger	0.561	knuse
idiots	anger	0.561	idioter
hurt	anger	0.561	skade
thief	anger	0.561	tyv
uncontrollable	anger	0.561	ustyrlig
conflagration	anger	0.561	brann
betrayal	anger	0.561	forræderi
banshee	anger	0.561	banshee
subjugation	anger	0.559	underkastelse
disturbed	anger	0.559	forstyrret
stomped	anger	0.557	trampet
grab	anger	0.557	gripe
grievance	anger	0.556	klagemål
ticked	anger	0.556	haket av
masochism	anger	0.556	masochisme
defiance	anger	0.552	trass
blackmail	anger	0.550	utpressing
offensive	anger	0.549	støtende
decry	anger	0.548	fordømme
frustrates	anger	0.547	frustrerer
violation	anger	0.547	brudd
confine	anger	0.547	begrense
misery	anger	0.547	elendighet
arghhhh	anger	0.547	arghhhh
disparity	anger	0.547	misforhold
punishment	anger	0.547	avstraffelse
rebel	anger	0.547	opprører
preposterous	anger	0.547	absurd
disgraceful	anger	0.547	skammelig
ire	anger	0.547	ire
deceive	anger	0.547	lure
fustrated	anger	0.547	fustrert
sin	anger	0.547	synd
shrill	anger	0.547	skingrende
darkside	anger	0.547	mørk side
overbearing	anger	0.547	anmassende
firearms	anger	0.547	skytevåpen
stolen	anger	0.546	stjålet
hadenough	anger	0.546	hatt nok
prejudice	anger	0.545	fordommer
tackle	anger	0.545	takle
resentful	anger	0.545	ergerlig
heated	anger	0.545	oppvarmet
callous	anger	0.545	ufølsom
conspirator	anger	0.545	konspirator
ruined	anger	0.545	ruinert
antagonist	anger	0.545	motstander
skirmish	anger	0.545	trefning
menace	anger	0.545	trussel
annoyin	anger	0.545	irriterende
foul	anger	0.545	stygg
argument	anger	0.545	argument
humiliate	anger	0.545	ydmyke
wanker	anger	0.545	wanker
adversary	anger	0.545	motpart
sting	anger	0.544	Brodd
entangled	anger	0.544	viklet inn
grumble	anger	0.544	beklage
robbery	anger	0.544	ran
outcry	anger	0.544	ramaskrik
resistance	anger	0.543	motstand
irreconcilable	anger	0.543	uforsonlig
obstructive	anger	0.542	hindrende
dismay	anger	0.540	forferdelse
mob	anger	0.538	mob
juststop	anger	0.537	bare stopp
badness	anger	0.536	ondskap
ridicule	anger	0.534	latterlig
incendiary	anger	0.533	brennende
flares	anger	0.532	bluss
twofaced	anger	0.531	tosidig
reckless	anger	0.531	uforsvarlig
communism	anger	0.531	kommunisme
allegation	anger	0.531	påstand
prejudicial	anger	0.531	fordomsfulle
whip	anger	0.531	piske
unbridled	anger	0.531	uhemmet
degeneracy	anger	0.531	degenerasjon
intruder	anger	0.531	inntrenger
belittle	anger	0.531	bagatellisere
confinement	anger	0.531	innesperring
dispute	anger	0.531	tvist
exacerbation	anger	0.531	forverring
uprising	anger	0.531	oppstand
unjust	anger	0.530	urettferdig
unjustifiable	anger	0.530	utilbørlig
perversion	anger	0.530	perversjon
bigoted	anger	0.530	bigott
fiesty	anger	0.530	festlig
offender	anger	0.530	lovbryteren
dictatorial	anger	0.530	diktatorisk
hassle	anger	0.530	bryderi
dissonance	anger	0.530	dissonans
tackled	anger	0.530	taklet
renegade	anger	0.529	overløper
cantstandit	anger	0.529	tåler ikke
trespass	anger	0.529	inntrenging
hot	anger	0.529	varmt
prison	anger	0.529	fengsel
suicide	anger	0.521	selvmord
annoy	anger	0.520	irritere
leavemealone	anger	0.517	la meg være i fred
cretins	anger	0.516	kretiner
depravity	anger	0.516	fordervelse
idiotic	anger	0.516	idiotisk
dishonest	anger	0.516	uærlig
distrust	anger	0.516	mistro
broil	anger	0.516	steke
grrr	anger	0.516	grrr
criticize	anger	0.516	kritisere
inimical	anger	0.516	fiendtlig
tortious	anger	0.516	skadevoldende
prisoner	anger	0.516	fange
treason	anger	0.516	forræderi
divorce	anger	0.516	skilsmisse
venting	anger	0.516	ventilering
duress	anger	0.516	tvang
disrespectful	anger	0.516	respektløs
poaching	anger	0.515	krypskyting
scold	anger	0.515	skjenne
poachers	anger	0.515	krypskyttere
pow	anger	0.515	pow
hangry	anger	0.515	sulten
argumentation	anger	0.515	argumentasjon
frustrating	anger	0.515	frustrerende
unkind	anger	0.515	uvennlig
roar	anger	0.515	brøle
coercion	anger	0.515	tvang
unforgiving	anger	0.515	utilgivende
grump	anger	0.515	gretten
bile	anger	0.515	galle
unleash	anger	0.515	slippe løs
chaos	anger	0.515	kaos
victimized	anger	0.515	utsatt
jerks	anger	0.515	rykk
tussle	anger	0.514	kjempe
bane	anger	0.511	bane
accusation	anger	0.510	anklage
enmity	anger	0.510	fiendskap
repudiation	anger	0.510	avvisning
banish	anger	0.509	forvise
disfigured	anger	0.508	vansiret
storm	anger	0.507	storm
crazy	anger	0.500	gal
hammering	anger	0.500	hamring
defy	anger	0.500	trosse
antithesis	anger	0.500	antitese
scoff	anger	0.500	hån
anguish	anger	0.500	kvaler
confined	anger	0.500	innesperret
fear	anger	0.500	frykt
bout	anger	0.500	kamp
unruly	anger	0.500	uregjerlig
delusional	anger	0.500	vrangforestillinger
obstruct	anger	0.500	blokkere
possessed	anger	0.500	besatt
injustice	anger	0.500	urettferdighet
fervor	anger	0.500	inderlighet
spear	anger	0.500	spyd
derision	anger	0.500	hån
intractable	anger	0.500	uoverkommelig
reject	anger	0.500	avvise
dominate	anger	0.500	dominere
ordeal	anger	0.500	prøvelse
banished	anger	0.500	forvist
rejects	anger	0.500	avviser
shun	anger	0.500	sky
brunt	anger	0.500	brunt
derogation	anger	0.500	unntak
frenzied	anger	0.500	vanvittig
animus	anger	0.500	animus
suppression	anger	0.500	undertrykkelse
malpractice	anger	0.500	feilbehandling
brazen	anger	0.500	frekk
foaming	anger	0.500	skummende
disrupting	anger	0.500	forstyrrende
nobodycares	anger	0.500	ingen bryr seg
patronising	anger	0.500	nedlatende
getoveryourself	anger	0.495	kom over det
toughness	anger	0.492	seighet
stupidpeople	anger	0.492	dumme folk
madness	anger	0.491	galskap
sinful	anger	0.491	syndig
avarice	anger	0.490	grådighet
oppress	anger	0.490	undertrykke
cutting	anger	0.485	kutting
anathema	anger	0.485	anathema
annoyed	anger	0.485	irritert
dissident	anger	0.485	dissident
demand	anger	0.485	kreve
usurp	anger	0.485	tilrane seg
claw	anger	0.485	klo
alienate	anger	0.485	fremmedgjøre
infraction	anger	0.485	overtredelse
avenger	anger	0.485	hevner
revoke	anger	0.485	tilbakekalle
smuggler	anger	0.485	smugler
abolish	anger	0.485	avskaffe
fricking	anger	0.485	fricking
stayaway	anger	0.485	hold deg unna
pervert	anger	0.485	pervers
disservice	anger	0.485	bjørnetjeneste
disobedient	anger	0.485	ulydig
incest	anger	0.485	incest
complaint	anger	0.485	klage
disapproved	anger	0.485	ikke godkjent
inhuman	anger	0.485	umenneskelig
mocking	anger	0.484	gjøre narr av
penalty	anger	0.484	straff
renounce	anger	0.484	gi avkall på
restrain	anger	0.484	holde tilbake
upheaval	anger	0.484	omveltning
deceit	anger	0.484	bedrageri
obnoxious	anger	0.484	motbydelig
imprisoned	anger	0.484	fengslet
strained	anger	0.484	anstrengt
blame	anger	0.484	skylde på
oust	anger	0.484	fordrive
litigious	anger	0.484	rettslig
rivalry	anger	0.484	rivalisering
sucker	anger	0.484	suger
opposed	anger	0.484	motarbeidet
thresh	anger	0.484	treske
disgrace	anger	0.484	vanære
suspicious	anger	0.484	mistenkelig
turbulence	anger	0.483	turbulens
pound	anger	0.481	pund
coldness	anger	0.477	kulde
ungrateful	anger	0.472	utakknemlig
stoopid	anger	0.471	stoopid
battalion	anger	0.471	bataljon
feudalism	anger	0.470	føydalisme
hostage	anger	0.470	gissel
annoying	anger	0.470	irriterende
dispossessed	anger	0.470	fratatt
subversion	anger	0.470	undergraving
friction	anger	0.470	friksjon
jealous	anger	0.470	sjalu
adversity	anger	0.470	motgang
infidel	anger	0.470	vantro
gall	anger	0.470	galle
accuser	anger	0.470	anklager
ram	anger	0.470	RAM
armament	anger	0.470	bevæpning
thump	anger	0.469	dunk
dislike	anger	0.469	misliker
steal	anger	0.469	stjele
backoff	anger	0.469	gå vekk
stifled	anger	0.469	kvalt
incite	anger	0.469	hetse opp
distress	anger	0.469	nød
angermanagement	anger	0.469	Sinne kontroll
selfish	anger	0.469	selvopptatt
injury	anger	0.469	skade
exile	anger	0.469	eksil
insanity	anger	0.469	galskap
offense	anger	0.469	fornærmelse
objection	anger	0.469	innvending
smother	anger	0.469	kvele
disruption	anger	0.469	forstyrrelse
intolerance	anger	0.469	intoleranse
disobey	anger	0.469	ikke adlyde
selfishness	anger	0.469	egoisme
recidivism	anger	0.469	tilbakefall
subversive	anger	0.469	undergravende
huff	anger	0.469	huff
plunder	anger	0.469	plyndre
opposition	anger	0.469	motstand
complain	anger	0.469	klage
perpetrator	anger	0.469	gjerningspersonen
simmer	anger	0.469	småkoke
areyoukidding	anger	0.468	tuller du
mug	anger	0.467	krus
agony	anger	0.465	smerte
arrogant	anger	0.461	arrogant
sux	anger	0.456	sux
vent	anger	0.456	vent
elimination	anger	0.456	eliminering
picketing	anger	0.456	pikettering
haughty	anger	0.456	hovmodig
grated	anger	0.455	raspet
flagrant	anger	0.455	flagrant
busted	anger	0.455	tatt på fersken
crabby	anger	0.455	crabby
dying	anger	0.455	døende
idiocy	anger	0.455	idioti
impermeable	anger	0.455	ugjennomtrengelig
stubbed	anger	0.455	stubbet
