English Word	Emotion	Emotion-Intensity-Score	Czech Word
frustrated	anger	0.636	frustrovaný
batter	anger	0.636	těsto
kicking	anger	0.636	kopání
anarchy	anger	0.636	anarchie
spanking	anger	0.636	výprask
glaring	anger	0.636	oslňující
suicidal	anger	0.636	sebevražedný
disgusting	anger	0.636	nechutný
wound	anger	0.636	rána
hanging	anger	0.636	závěsný
poisoned	anger	0.636	otrávený
combatant	anger	0.636	bojovník
wrecked	anger	0.633	ztroskotal
inflict	anger	0.633	způsobit
grievous	anger	0.632	žalostný
prosecute	anger	0.630	stíhat
agitated	anger	0.630	rozrušený
cheat	anger	0.630	ošidit
swastika	anger	0.627	svastika
injure	anger	0.625	zranit
indict	anger	0.625	obvinit
scourge	anger	0.625	metla
provocation	anger	0.625	provokace
suffocation	anger	0.625	udušení
strife	anger	0.625	svár
raid	anger	0.625	nálet
enslaved	anger	0.625	zotročený
cursing	anger	0.625	proklínání
defamatory	anger	0.625	hanlivý
harassing	anger	0.625	obtěžující
thundering	anger	0.625	hřímání
betray	anger	0.625	zradit
arsehole	anger	0.624	prdel
theft	anger	0.621	krádež
insane	anger	0.621	šílený
retaliation	anger	0.621	odplata
irritate	anger	0.621	dráždit
deprivation	anger	0.621	deprivace
fiend	anger	0.621	zloduch
jerk	anger	0.621	blbec
convict	anger	0.621	odsoudit
cussed	anger	0.619	proklínal
turmoil	anger	0.618	zmatek
smack	anger	0.615	plácnutí
retribution	anger	0.614	odškodnění
rebellion	anger	0.609	povstání
oppressor	anger	0.609	utlačovatel
gang	anger	0.609	gang
slavery	anger	0.609	otroctví
intolerable	anger	0.609	nesnesitelný
adverse	anger	0.609	nepříznivý
injurious	anger	0.609	zraňující
twats	anger	0.609	blbci
collision	anger	0.609	kolize
battery	anger	0.609	baterie
bitterly	anger	0.609	hořce
antagonism	anger	0.609	antagonismus
irritability	anger	0.609	podrážděnost
disgraced	anger	0.608	zneuctěn
diatribe	anger	0.606	invektiva
asshole	anger	0.606	kretén
blast	anger	0.606	výbuch
bombardment	anger	0.606	bombardování
irks	anger	0.606	irks
ranting	anger	0.606	řvaní
revolution	anger	0.606	revoluce
thug	anger	0.606	násilník
antagonistic	anger	0.606	antagonistický
irritating	anger	0.606	dráždivý
sickening	anger	0.606	nevolnost
discrimination	anger	0.606	diskriminace
frustrate	anger	0.604	zmařit
insult	anger	0.603	urazit
hurtful	anger	0.603	zraňující
oppression	anger	0.603	útlak
manipulation	anger	0.603	manipulace
tiredofit	anger	0.603	unavený z toho
bigot	anger	0.603	náboženský fanatik
tension	anger	0.603	napětí
disgust	anger	0.602	hnus
spite	anger	0.600	navzdory
intrusive	anger	0.598	dotěrný
harshness	anger	0.597	drsnost
slur	anger	0.596	nadávka
tempest	anger	0.594	bouře
assail	anger	0.594	napadnout
bitterness	anger	0.594	hořkost
morbidity	anger	0.594	nemocnost
casualty	anger	0.594	oběť
puncture	anger	0.594	propíchnout
miserable	anger	0.594	bídný
inferno	anger	0.594	peklo
invasion	anger	0.594	invaze
storming	anger	0.594	bouření
wretch	anger	0.594	ubožák
consternation	anger	0.592	zděšení
raving	anger	0.591	nepříčetný
forcibly	anger	0.591	násilně
guillotine	anger	0.591	gilotina
guilty	anger	0.591	vinen
depraved	anger	0.591	zhýralý
immoral	anger	0.591	nemorální
overpowering	anger	0.591	přemáhající
scare	anger	0.588	vyděsit
recalcitrant	anger	0.588	vzpurný
screwed	anger	0.588	šroubovaný
accursed	anger	0.588	prokletý
soannoyed	anger	0.588	naštvaný
invader	anger	0.588	vetřelec
jealousy	anger	0.587	žárlivost
indignation	anger	0.587	rozhořčení
vexed	anger	0.586	naštvaný
confront	anger	0.582	konfrontovat
brute	anger	0.581	hovado
throttle	anger	0.579	plynu
slut	anger	0.578	coura
coup	anger	0.578	převrat
blaze	anger	0.578	požár
pillage	anger	0.578	drancování
provoking	anger	0.578	provokační
damage	anger	0.578	poškození
criminality	anger	0.578	kriminalita
shutup	anger	0.578	drž hubu
lash	anger	0.578	šlehat
conflict	anger	0.578	konflikt
contentious	anger	0.578	diskutabilní
shutit	anger	0.578	Zavři to
wreck	anger	0.578	vrak
defiant	anger	0.578	vzdorný
butcher	anger	0.578	řezník
incarceration	anger	0.578	uvěznění
revolver	anger	0.578	revolver
bickering	anger	0.578	hašteření
yousuck	anger	0.578	kurva
cancer	anger	0.577	rakovina
discriminate	anger	0.576	diskriminovat
gun	anger	0.576	pistole
frustration	anger	0.576	frustrace
gory	anger	0.576	krvavý
pernicious	anger	0.576	zhoubný
dontmess	anger	0.576	nezmatkovat
blasphemy	anger	0.576	rouhání
chaotic	anger	0.576	chaotický
grope	anger	0.576	tápat
alienation	anger	0.576	odcizení
disturbance	anger	0.576	rušení
condescension	anger	0.576	blahosklonnost
standoff	anger	0.576	odstup
discord	anger	0.576	svár
friggen	anger	0.575	friggen
sneer	anger	0.574	úšklebek
death	anger	0.574	smrt
lunacy	anger	0.574	šílenství
scandalous	anger	0.574	skandální
oppressive	anger	0.574	tísnivý
jab	anger	0.574	píchnout
cursed	anger	0.574	prokletý
monstrosity	anger	0.574	obludnost
shit	anger	0.573	hovno
disparaging	anger	0.571	znevažující
slash	anger	0.571	rozřezat
unfair	anger	0.571	nespravedlivé
gallows	anger	0.570	šibenice
escalate	anger	0.569	eskalovat
intolerant	anger	0.564	intolerantní
lawlessness	anger	0.563	bezpráví
beast	anger	0.562	bestie
torpedo	anger	0.562	torpédo
malign	anger	0.562	pomlouvat
traitor	anger	0.562	zrádce
frightful	anger	0.562	strašný
wrangling	anger	0.562	tahanice
slander	anger	0.562	pomlouvat
bellows	anger	0.562	měchy
retards	anger	0.562	retardi
grouchy	anger	0.562	mrzutý
derogatory	anger	0.562	hanlivý
bearish	anger	0.562	medvědí
invade	anger	0.562	napadnout
perdition	anger	0.562	zatracení
arghh	anger	0.562	arghh
dreadful	anger	0.562	strašlivý
bluddy	anger	0.562	bluddy
deceived	anger	0.562	podvedl
glare	anger	0.562	oslnění
taunt	anger	0.562	posměch
dissension	anger	0.561	neshoda
cross	anger	0.561	přejít
rave	anger	0.561	vztekat se
grating	anger	0.561	mřížka
devastating	anger	0.561	zničující
fits	anger	0.561	sedí
jeopardize	anger	0.561	ohrozit
shatter	anger	0.561	roztříštit
idiots	anger	0.561	idioti
hurt	anger	0.561	zranit
thief	anger	0.561	zloděj
uncontrollable	anger	0.561	neovladatelný
conflagration	anger	0.561	požár
betrayal	anger	0.561	zrada
banshee	anger	0.561	banshee
subjugation	anger	0.559	podrobení
disturbed	anger	0.559	narušený
stomped	anger	0.557	šlapal
grab	anger	0.557	urvat
grievance	anger	0.556	stížnost
ticked	anger	0.556	zaškrtnuto
masochism	anger	0.556	masochismus
defiance	anger	0.552	vzdor
blackmail	anger	0.550	vydírání
offensive	anger	0.549	urážlivý
decry	anger	0.548	odsuzovat
frustrates	anger	0.547	frustruje
violation	anger	0.547	porušení
confine	anger	0.547	omezit
misery	anger	0.547	bída
arghhhh	anger	0.547	arghhhh
disparity	anger	0.547	disparita
punishment	anger	0.547	trest
rebel	anger	0.547	rebel
preposterous	anger	0.547	absurdní
disgraceful	anger	0.547	hanebný
ire	anger	0.547	hněv
deceive	anger	0.547	oklamat
fustrated	anger	0.547	fustrovaný
sin	anger	0.547	hřích
shrill	anger	0.547	pronikavý
darkside	anger	0.547	temná strana
overbearing	anger	0.547	arogantní
firearms	anger	0.547	střelné zbraně
stolen	anger	0.546	ukradený
hadenough	anger	0.546	měl dost
prejudice	anger	0.545	předsudek
tackle	anger	0.545	řešit
resentful	anger	0.545	rozmrzelý
heated	anger	0.545	vyhřívaný
callous	anger	0.545	otrlý
conspirator	anger	0.545	spiklenec
ruined	anger	0.545	zničený
antagonist	anger	0.545	antagonista
skirmish	anger	0.545	šarvátka
menace	anger	0.545	hrozba
annoyin	anger	0.545	otravovat
foul	anger	0.545	faul
argument	anger	0.545	argument
humiliate	anger	0.545	ponížit
wanker	anger	0.545	tulák
adversary	anger	0.545	protivník
sting	anger	0.544	bodnutí
entangled	anger	0.544	zapletený
grumble	anger	0.544	reptat
robbery	anger	0.544	loupež
outcry	anger	0.544	křik
resistance	anger	0.543	odpor
irreconcilable	anger	0.543	nesmiřitelné
obstructive	anger	0.542	obstrukční
dismay	anger	0.540	zděšení
mob	anger	0.538	dav
juststop	anger	0.537	prostě zastavit
badness	anger	0.536	špatnost
ridicule	anger	0.534	výsměch
incendiary	anger	0.533	zápalný
flares	anger	0.532	světlice
twofaced	anger	0.531	dvoutvárný
reckless	anger	0.531	lehkomyslný
communism	anger	0.531	komunismu
allegation	anger	0.531	tvrzení
prejudicial	anger	0.531	škodlivé
whip	anger	0.531	bič
unbridled	anger	0.531	nespoutaný
degeneracy	anger	0.531	degenerace
intruder	anger	0.531	vetřelec
belittle	anger	0.531	snižovat
confinement	anger	0.531	vězení
dispute	anger	0.531	spor
exacerbation	anger	0.531	exacerbace
uprising	anger	0.531	povstání
unjust	anger	0.530	nespravedlivý
unjustifiable	anger	0.530	neospravedlnitelné
perversion	anger	0.530	perverze
bigoted	anger	0.530	bigotní
fiesty	anger	0.530	vášnivý
offender	anger	0.530	pachatel
dictatorial	anger	0.530	diktátorský
hassle	anger	0.530	hádka
dissonance	anger	0.530	disonance
tackled	anger	0.530	řešit
renegade	anger	0.529	odpadlík
cantstandit	anger	0.529	nevydržím
trespass	anger	0.529	přestupek
hot	anger	0.529	horký
prison	anger	0.529	vězení
suicide	anger	0.521	sebevražda
annoy	anger	0.520	otravovat
leavemealone	anger	0.517	nech mě na pokoji
cretins	anger	0.516	kretiny
depravity	anger	0.516	zkaženost
idiotic	anger	0.516	idiotský
dishonest	anger	0.516	nečestný
distrust	anger	0.516	nedůvěra
broil	anger	0.516	grilovat
grrr	anger	0.516	grrr
criticize	anger	0.516	kritizovat
inimical	anger	0.516	nepřátelský
tortious	anger	0.516	delikventní
prisoner	anger	0.516	vězeň
treason	anger	0.516	zrada
divorce	anger	0.516	rozvod
venting	anger	0.516	větrání
duress	anger	0.516	nátlak
disrespectful	anger	0.516	neuctivý
poaching	anger	0.515	pytláctví
scold	anger	0.515	nadávat
poachers	anger	0.515	pytláci
pow	anger	0.515	pow
hangry	anger	0.515	věčný
argumentation	anger	0.515	argumentace
frustrating	anger	0.515	frustrující
unkind	anger	0.515	nevlídný
roar	anger	0.515	řev
coercion	anger	0.515	donucování
unforgiving	anger	0.515	neodpouštějící
grump	anger	0.515	nevrlý
bile	anger	0.515	žluč
unleash	anger	0.515	rozpoutat
chaos	anger	0.515	chaos
victimized	anger	0.515	obětí
jerks	anger	0.515	trháky
tussle	anger	0.514	zápas
bane	anger	0.511	prokletí
accusation	anger	0.510	obvinění
enmity	anger	0.510	nepřátelství
repudiation	anger	0.510	odmítnutí
banish	anger	0.509	vyhnat
disfigured	anger	0.508	znetvořený
storm	anger	0.507	bouřka
crazy	anger	0.500	šílený
hammering	anger	0.500	zatloukání
defy	anger	0.500	vzdorovat
antithesis	anger	0.500	protiklad
scoff	anger	0.500	posmívat se
anguish	anger	0.500	úzkost
confined	anger	0.500	stísněný
fear	anger	0.500	strach
bout	anger	0.500	zápas
unruly	anger	0.500	neukázněný
delusional	anger	0.500	klamný
obstruct	anger	0.500	bránit
possessed	anger	0.500	posedlý
injustice	anger	0.500	bezpráví
fervor	anger	0.500	zápal
spear	anger	0.500	kopí
derision	anger	0.500	výsměch
intractable	anger	0.500	nepoddajný
reject	anger	0.500	odmítnout
dominate	anger	0.500	ovládat
ordeal	anger	0.500	utrpení
banished	anger	0.500	vyhnáni
rejects	anger	0.500	odmítá
shun	anger	0.500	vyhýbat se
brunt	anger	0.500	nápor
derogation	anger	0.500	odchylka
frenzied	anger	0.500	šílený
animus	anger	0.500	animus
suppression	anger	0.500	potlačení
malpractice	anger	0.500	zanedbání povinné péče
brazen	anger	0.500	drzý
foaming	anger	0.500	pěnění
disrupting	anger	0.500	rušivé
nobodycares	anger	0.500	nikoho to nezajímá
patronising	anger	0.500	blahosklonný
getoveryourself	anger	0.495	dostat se do sebe
toughness	anger	0.492	houževnatost
stupidpeople	anger	0.492	hloupí lidé
madness	anger	0.491	šílenství
sinful	anger	0.491	hříšný
avarice	anger	0.490	lakota
oppress	anger	0.490	utlačovat
cutting	anger	0.485	řezání
anathema	anger	0.485	anathema
annoyed	anger	0.485	naštvaný
dissident	anger	0.485	disident
demand	anger	0.485	poptávka
usurp	anger	0.485	uzurpovat
claw	anger	0.485	dráp
alienate	anger	0.485	odcizit
infraction	anger	0.485	porušení
avenger	anger	0.485	mstitel
revoke	anger	0.485	zrušit
smuggler	anger	0.485	pašerák
abolish	anger	0.485	zrušit
fricking	anger	0.485	fricking
stayaway	anger	0.485	nepřibližovat se
pervert	anger	0.485	zvrhlík
disservice	anger	0.485	medvědí služba
disobedient	anger	0.485	neposlušný
incest	anger	0.485	incest
complaint	anger	0.485	stížnost
disapproved	anger	0.485	neschváleno
inhuman	anger	0.485	nelidský
mocking	anger	0.484	uštěpačný
penalty	anger	0.484	trest
renounce	anger	0.484	zříci se
restrain	anger	0.484	omezovat
upheaval	anger	0.484	pozdvižení
deceit	anger	0.484	podvod
obnoxious	anger	0.484	Protivný
imprisoned	anger	0.484	uvězněn
strained	anger	0.484	napjatý
blame	anger	0.484	obviňovat
oust	anger	0.484	vyhnat
litigious	anger	0.484	sporný
rivalry	anger	0.484	soupeření
sucker	anger	0.484	zelenáč
opposed	anger	0.484	protichůdný
thresh	anger	0.484	mlátit
disgrace	anger	0.484	ostuda
suspicious	anger	0.484	podezřelý
turbulence	anger	0.483	turbulence
pound	anger	0.481	libra
coldness	anger	0.477	chlad
ungrateful	anger	0.472	nevděčný
stoopid	anger	0.471	shrbený
battalion	anger	0.471	prapor
feudalism	anger	0.470	feudalismus
hostage	anger	0.470	rukojmí
annoying	anger	0.470	nepříjemný
dispossessed	anger	0.470	vyvlastněný
subversion	anger	0.470	podvracení
friction	anger	0.470	tření
jealous	anger	0.470	žárlivý
adversity	anger	0.470	nepřízeň osudu
infidel	anger	0.470	nevěřící
gall	anger	0.470	žluč
accuser	anger	0.470	žalobce
ram	anger	0.470	RAM
armament	anger	0.470	vyzbrojení
thump	anger	0.469	bouchnout
dislike	anger	0.469	nemít rád
steal	anger	0.469	ukrást
backoff	anger	0.469	ustoupit
stifled	anger	0.469	dusno
incite	anger	0.469	podněcovat
distress	anger	0.469	nouze
angermanagement	anger	0.469	angermanagement
selfish	anger	0.469	sobecký
injury	anger	0.469	zranění
exile	anger	0.469	vyhnanství
insanity	anger	0.469	šílenství
offense	anger	0.469	útok
objection	anger	0.469	námitka
smother	anger	0.469	udusit
disruption	anger	0.469	narušení
intolerance	anger	0.469	intolerance
disobey	anger	0.469	neuposlechnout
selfishness	anger	0.469	sobectví
recidivism	anger	0.469	recidiva
subversive	anger	0.469	podvratný
huff	anger	0.469	zlost
plunder	anger	0.469	kořist
opposition	anger	0.469	opozice
complain	anger	0.469	stěžovat si
perpetrator	anger	0.469	pachatel
simmer	anger	0.469	vřít
areyoukidding	anger	0.468	Děláš si legraci
mug	anger	0.467	džbánek
agony	anger	0.465	muka
arrogant	anger	0.461	arogantní
sux	anger	0.456	sux
