English Word	Emotion	Emotion-Intensity-Score	Latin Word
growthefuckup	anger	0.788	increaseefuckup
punishing	anger	0.788	puniens
slaughterhouse	anger	0.788	MACELLUM
yelling	anger	0.788	vociferatio
diabolical	anger	0.788	diabolicus
destroyed	anger	0.788	destrui
ragetweet	anger	0.788	ragetweet
retaliatory	anger	0.788	talionis
manslaughter	anger	0.783	caedes
clash	anger	0.783	concursus
quarrel	anger	0.781	rixa
bloody	anger	0.781	sanguinum
hellish	anger	0.781	tartareus
sinister	anger	0.781	sinistrum
loath	anger	0.781	fastidium
detonation	anger	0.781	detonation
accusing	anger	0.779	accus
fumin	anger	0.779	fumin
hateeee	anger	0.779	hateeee
treacherous	anger	0.779	perfidus
madder	anger	0.773	madder
horrific	anger	0.773	horrifico
revulsion	anger	0.773	fastidium
retaliate	anger	0.773	talio
scorn	anger	0.769	contemptum
bomb	anger	0.766	bomb
deplorable	anger	0.766	miserabilis
devastation	anger	0.765	vastitas
anarchist	anger	0.765	anarchist
firestorm	anger	0.765	firestorm
resent	anger	0.765	Indignor
contemptible	anger	0.764	despectus
shittest	anger	0.760	shittest
rant	anger	0.758	rant
cruel	anger	0.758	crudelis
deadly	anger	0.758	mortiferum
smash	anger	0.758	has
soangry	anger	0.758	soangry
outburst	anger	0.757	comploratio
snarl	anger	0.754	gannit
profane	anger	0.750	profanus
revolting	anger	0.750	detrectare
aggravating	anger	0.750	aggravans
horror	anger	0.750	horror
despise	anger	0.750	contemnere
offend	anger	0.750	offendere
stfu	anger	0.750	stfu*
vulgarity	anger	0.750	vulgarity
crazed	anger	0.750	egentem
douchebags	anger	0.750	douchebags 
growling	anger	0.750	rugiens
dontmesswithme	anger	0.750	dontmesswithme
screaming	anger	0.742	quiritatio
threat	anger	0.742	comminatio
erupt	anger	0.742	erumpunt
horrible	anger	0.742	horribilis
molestation	anger	0.742	molestatio
fuckedoff	anger	0.742	fuckedoff
violence	anger	0.742	violentiam
bastards	anger	0.741	nothi
revenge	anger	0.738	vindicta
menacing	anger	0.735	minas
crushing	anger	0.735	opprimendi
damn	anger	0.735	damnare
catastrophe	anger	0.735	malum
demon	anger	0.735	daemonium
argue	anger	0.734	argumentari
persecute	anger	0.734	persequi
deplore	anger	0.734	deplorare
flog	anger	0.734	flag
fedup	anger	0.734	fedup
riotous	anger	0.734	tumultuantem
vehement	anger	0.734	vehemens
revolt	anger	0.734	tumultuari
warfare	anger	0.734	bellica
thrash	anger	0.734	triturabis
altercation	anger	0.729	altercatio
warlike	anger	0.728	bellicosus
shitday	anger	0.727	shitday
mutiny	anger	0.727	seditionem
castrate	anger	0.727	castrare
sabotage	anger	0.727	sabotage
malevolent	anger	0.721	malevolus
strike	anger	0.721	percutiens
disaster	anger	0.721	cladis
disastrous	anger	0.720	exitiabilis
bastarding	anger	0.719	bastarding
treachery	anger	0.719	fraude
arseholes	anger	0.719	arseholes
horseshit	anger	0.719	horseshit
slay	anger	0.719	occidere
disdain	anger	0.719	fastidire
aggravates	anger	0.719	aggravat
brutal	anger	0.719	truculentus
scorching	anger	0.719	ardore
devil	anger	0.719	diaboli
madden	anger	0.719	madden
spiteful	anger	0.719	invidiosa
scream	anger	0.719	clamamus
choke	anger	0.719	suffocat
vermin	anger	0.719	vermini
tumult	anger	0.719	tumultus
criminal	anger	0.714	scelestus
mangle	anger	0.714	laniare
anarchism	anger	0.714	anarchism
mutilation	anger	0.714	mutilatio
denunciation	anger	0.713	denuntiatio
punch	anger	0.713	punch
virulence	anger	0.712	acerbitas
fatal	anger	0.712	exitiale
hurting	anger	0.712	vulnero
crucifixion	anger	0.712	crucifixio
dontlikeyou	anger	0.712	dontlikeyou
blasphemous	anger	0.712	blasphemus
holocaust	anger	0.712	holocaustum
dumbasses	anger	0.712	dumbasses
battled	anger	0.712	pugnatum est
deranged	anger	0.706	vecordiae
irritated	anger	0.706	irritaverunt
atrocious	anger	0.706	atrox
evil	anger	0.706	malum
aggravated	anger	0.703	aggravatur
intimidation	anger	0.703	metus
dicks	anger	0.703	nequeunt
assassin	anger	0.703	sicarius
scolding	anger	0.703	increpatio
persecution	anger	0.703	persecutio
slayer	anger	0.703	interfectorem
kidnap	anger	0.703	kidnap
aggression	anger	0.702	irascibilis
armed	anger	0.700	armatus
battle	anger	0.697	proelium
poison	anger	0.697	venenum
snarling	anger	0.697	gannit
venom	anger	0.697	venenum
disgruntled	anger	0.693	turbatus
resentment	anger	0.691	ira
assailant	anger	0.691	oppugnator
insidious	anger	0.691	insidiosa
contemptuous	anger	0.690	contemptor
lynch	anger	0.690	lynch
temper	anger	0.688	ingenium
terrible	anger	0.688	terribilis
disparage	anger	0.688	obtrectare
lunatic	anger	0.688	lunaticus
bully	anger	0.688	corruptor, saevus
mad	anger	0.688	insanire
makesmemad	anger	0.688	makesmemad
infanticide	anger	0.688	infanticidium
domination	anger	0.688	dominatio
peeved	anger	0.688	peeved
imprisonment	anger	0.688	custodia
curse	anger	0.688	maledictio
volatility	anger	0.687	LEVITAS
eradication	anger	0.685	exstirpatio
eradicate	anger	0.682	evellere
tantrum	anger	0.682	tantrum
scoundrel	anger	0.682	nequam
devastate	anger	0.682	devastate
aggressively	anger	0.680	aggressively
agitation	anger	0.680	agitatio
dictatorship	anger	0.676	dictatura
irritates	anger	0.676	inritat
profanity	anger	0.673	sacrilegium
shove	anger	0.672	shove
nasty	anger	0.672	malus
shot	anger	0.672	iecit
cruelly	anger	0.672	crudeliter
shoot	anger	0.672	surculus
condemnation	anger	0.672	damnatio
crushed	anger	0.672	oppressi
aggravation	anger	0.672	exulceratio
poisonous	anger	0.672	venenatum
egregious	anger	0.672	egregius
crime	anger	0.672	scelus
corrupting	anger	0.672	corrumpens
dastardly	anger	0.672	ignave
contempt	anger	0.672	contemptus
harmful	anger	0.672	noxia
expletive	anger	0.672	expletivus
wreak	anger	0.672	wwak
maniac	anger	0.670	maniac
cutthroat	anger	0.667	remittere percussori
enemy	anger	0.667	inimicus
hit	anger	0.667	hit
hateeveryone	anger	0.667	hateevers
eruption	anger	0.667	eruptio
irritable	anger	0.667	iracundior
odious	anger	0.667	odiosa
shooting	anger	0.667	dirigentes
shout	anger	0.667	vociferamini
aggressive	anger	0.667	infestantibus
kick	anger	0.667	calcitrare
combat	anger	0.667	pugna
fight	anger	0.667	pugna
punished	anger	0.662	poenas
yell	anger	0.661	clamo
ambush	anger	0.661	insidiae
harass	anger	0.659	vexare
malignant	anger	0.656	malignus
aggressor	anger	0.656	aggressor
gore	anger	0.656	cruor
destruction	anger	0.656	interitus
grudge	anger	0.656	invideo
antichrist	anger	0.656	antichristus
incense	anger	0.656	thymiama
expel	anger	0.656	expellere
cranky	anger	0.653	cranky
slave	anger	0.652	servus
reprisal	anger	0.652	ulcisci
growl	anger	0.652	rugire
animosity	anger	0.652	inimicitiae
insurrection	anger	0.652	tumultus
clashing	anger	0.652	crepitus
denounce	anger	0.652	denuntiare
offended	anger	0.652	offendi
spank	anger	0.652	spank
insulting	anger	0.652	contumeliae
growls	anger	0.649	fremit
executioner	anger	0.644	carnifex
twat	anger	0.644	twat
doomsday	anger	0.643	superi
obscenity	anger	0.641	turpitudo
accused	anger	0.641	accusatus
feud	anger	0.641	inimicium
daemon	anger	0.641	daemonium
havoc	anger	0.641	strages
shackle	anger	0.641	alliges
inexcusable	anger	0.641	inexcusabilis
indignant	anger	0.641	indignatio
grr	anger	0.641	grr
expulsion	anger	0.641	expulsio
bombard	anger	0.641	bombard
spat	anger	0.641	spat
arson	anger	0.641	incendium
reprimand	anger	0.641	obiurgatio
somad	anger	0.637	somad
frustrated	anger	0.636	frustratus
batter	anger	0.636	quatere
kicking	anger	0.636	recalcitratio
anarchy	anger	0.636	LICENTIA
spanking	anger	0.636	LONGE
glaring	anger	0.636	torve 
suicidal	anger	0.636	funesta
disgusting	anger	0.636	abominatio
wound	anger	0.636	vulnus
hanging	anger	0.636	tentorium
poisoned	anger	0.636	venenatum
combatant	anger	0.636	pugnax
wrecked	anger	0.633	contrita
inflict	anger	0.633	inferre
grievous	anger	0.632	gravissimum
prosecute	anger	0.630	persequi
agitated	anger	0.630	agitatur
cheat	anger	0.630	fraudulentus
swastika	anger	0.627	swastika
injure	anger	0.625	iniuriam
indict	anger	0.625	indict
scourge	anger	0.625	flagellum
provocation	anger	0.625	provocatio
suffocation	anger	0.625	strangulatus
strife	anger	0.625	rixa
raid	anger	0.625	expeditio
enslaved	anger	0.625	servitus
cursing	anger	0.625	maledictio
defamatory	anger	0.625	ad infamiam
harassing	anger	0.625	vexatis
thundering	anger	0.625	tonitru
betray	anger	0.625	traditio
arsehole	anger	0.624	arsehole
theft	anger	0.621	furtum
insane	anger	0.621	insaniae
retaliation	anger	0.621	talionis
irritate	anger	0.621	irritare
deprivation	anger	0.621	privatio
fiend	anger	0.621	furia
jerk	anger	0.621	jerk
convict	anger	0.621	convinco
cussed	anger	0.619	disputavi
turmoil	anger	0.618	tumultus
smack	anger	0.615	sapere
retribution	anger	0.614	retributionem
rebellion	anger	0.609	rebellionis
oppressor	anger	0.609	calumniator
gang	anger	0.609	cohors
slavery	anger	0.609	servitus
intolerable	anger	0.609	intolerabilis
adverse	anger	0.609	adversis
injurious	anger	0.609	iniuriosus
twats	anger	0.609	twats
collision	anger	0.609	concursus
battery	anger	0.609	altilium
bitterly	anger	0.609	amare
antagonism	anger	0.609	repugnantia
irritability	anger	0.609	iracundias
disgraced	anger	0.608	dedecus
diatribe	anger	0.606	diatribe
asshole	anger	0.606	podex
blast	anger	0.606	inspiratione
bombardment	anger	0.606	bombardarum
irks	anger	0.606	piget
ranting	anger	0.606	rectius
revolution	anger	0.606	revolution
thug	anger	0.606	thug
antagonistic	anger	0.606	contrarius
irritating	anger	0.606	vexo
sickening	anger	0.606	teter
discrimination	anger	0.606	discrimen
frustrate	anger	0.604	frustrari
insult	anger	0.603	contumelia
hurtful	anger	0.603	damnosus
oppression	anger	0.603	calumnia
manipulation	anger	0.603	manipulation
tiredofit	anger	0.603	tiredofit
bigot	anger	0.603	bigot
tension	anger	0.603	tensio
disgust	anger	0.602	fastidium
spite	anger	0.600	malignitas
intrusive	anger	0.598	MOLESTUS
harshness	anger	0.597	asperitas
slur	anger	0.596	slur
tempest	anger	0.594	tempestas
assail	anger	0.594	oppugnare
bitterness	anger	0.594	amaritudinem
morbidity	anger	0.594	imbecillitas
casualty	anger	0.594	casus
puncture	anger	0.594	punctura
miserable	anger	0.594	miseri
inferno	anger	0.594	inferno
invasion	anger	0.594	incursio
storming	anger	0.594	expugnatio
wretch	anger	0.594	miser
consternation	anger	0.592	consternatio
raving	anger	0.591	debacchatio
forcibly	anger	0.591	fortiter
guillotine	anger	0.591	guillotine
guilty	anger	0.591	reus
depraved	anger	0.591	improbus
immoral	anger	0.591	sceleratus
overpowering	anger	0.591	praevalens
scare	anger	0.588	terrent
recalcitrant	anger	0.588	recalcitrat
screwed	anger	0.588	Habes
accursed	anger	0.588	maledictus
soannoyed	anger	0.588	soannoyed
invader	anger	0.588	invasor
jealousy	anger	0.587	invidia
indignation	anger	0.587	indignatio
vexed	anger	0.586	vexatus
confront	anger	0.582	confrontatio
brute	anger	0.581	brutum
throttle	anger	0.579	suffocare
slut	anger	0.578	cunnus
coup	anger	0.578	res
blaze	anger	0.578	ardere
pillage	anger	0.578	rapina
provoking	anger	0.578	exasperans
damage	anger	0.578	damnum
criminality	anger	0.578	scelus
shutup	anger	0.578	tace
lash	anger	0.578	verbera
conflict	anger	0.578	conflictus
contentious	anger	0.578	litigiosa
shutit	anger	0.578	shutit
wreck	anger	0.578	wreccum
defiant	anger	0.578	contumaciter
butcher	anger	0.578	carnifex
incarceration	anger	0.578	carcer
revolver	anger	0.578	revolver
bickering	anger	0.578	altercatio
yousuck	anger	0.578	yousuck
cancer	anger	0.577	cancer
discriminate	anger	0.576	discernere
gun	anger	0.576	gun
frustration	anger	0.576	vanitati
gory	anger	0.576	gory
pernicious	anger	0.576	perniciosus
dontmess	anger	0.576	dontmess
blasphemy	anger	0.576	blasphemia
chaotic	anger	0.576	tenebrarum
grope	anger	0.576	grope
alienation	anger	0.576	alienatio
disturbance	anger	0.576	commotio
condescension	anger	0.576	dignatio
standoff	anger	0.576	dirigebant
discord	anger	0.576	discordia
friggen	anger	0.575	friggen
sneer	anger	0.574	rideat
death	anger	0.574	mortem
lunacy	anger	0.574	insania
scandalous	anger	0.574	indignum
oppressive	anger	0.574	gravis
jab	anger	0.574	jab
cursed	anger	0.574	maledictus
monstrosity	anger	0.574	monstrum
shit	anger	0.573	cacas
disparaging	anger	0.571	detractare
slash	anger	0.571	VULNUS
unfair	anger	0.571	iniquum
gallows	anger	0.570	patibulum
escalate	anger	0.569	escalate
intolerant	anger	0.564	impatiens
lawlessness	anger	0.563	iniquitas
beast	anger	0.562	bestia
torpedo	anger	0.562	torpedo
malign	anger	0.562	malignus
traitor	anger	0.562	proditor
frightful	anger	0.562	horribilis
wrangling	anger	0.562	altercatio
slander	anger	0.562	calumniare
bellows	anger	0.562	follis
retards	anger	0.562	moratur
grouchy	anger	0.562	grouchy 
derogatory	anger	0.562	derogare
bearish	anger	0.562	indocile
invade	anger	0.562	invadere
perdition	anger	0.562	perditio
arghh	anger	0.562	arghh
dreadful	anger	0.562	horribilis
bluddy	anger	0.562	bluddy
deceived	anger	0.562	decipi
glare	anger	0.562	fulgor
taunt	anger	0.562	exprobratio
dissension	anger	0.561	dissensio
cross	anger	0.561	transire
rave	anger	0.561	flexanima
grating	anger	0.561	craticula sua
devastating	anger	0.561	vastare
fits	anger	0.561	vicium
jeopardize	anger	0.561	periclitari
shatter	anger	0.561	concutere
idiots	anger	0.561	fatui
hurt	anger	0.561	laedere
thief	anger	0.561	fur
uncontrollable	anger	0.561	inextinguibilis
conflagration	anger	0.561	incendium
betrayal	anger	0.561	proditio
banshee	anger	0.561	banshee
subjugation	anger	0.559	subiugatio
disturbed	anger	0.559	turbatus
stomped	anger	0.557	stomped
grab	anger	0.557	capto
grievance	anger	0.556	gravamen
ticked	anger	0.556	ticked
masochism	anger	0.556	masochism
defiance	anger	0.552	contumacia
blackmail	anger	0.550	INTERMINOR
offensive	anger	0.549	ingrata
decry	anger	0.548	declamitare
frustrates	anger	0.547	dissipat
violation	anger	0.547	violatio
confine	anger	0.547	confinio
misery	anger	0.547	miseriae
arghhhh	anger	0.547	arghhhh
disparity	anger	0.547	inaequalitas
punishment	anger	0.547	poena
rebel	anger	0.547	rebel
preposterous	anger	0.547	praeposterus
disgraceful	anger	0.547	turpe
ire	anger	0.547	ire
deceive	anger	0.547	fallere
fustrated	anger	0.547	fustrated
sin	anger	0.547	peccatum
shrill	anger	0.547	argutae
darkside	anger	0.547	darkside
overbearing	anger	0.547	indomitus
firearms	anger	0.547	sclopetis
stolen	anger	0.546	furto ablata
hadenough	anger	0.546	hadenough
prejudice	anger	0.545	salvis
tackle	anger	0.545	occupari
resentful	anger	0.545	displicuit
heated	anger	0.545	calefacta
callous	anger	0.545	callosa
conspirator	anger	0.545	coniurator
ruined	anger	0.545	perditus
antagonist	anger	0.545	adversario
skirmish	anger	0.545	proelio
menace	anger	0.545	minas
annoyin	anger	0.545	annoyin
foul	anger	0.545	turpi
argument	anger	0.545	argumentum
humiliate	anger	0.545	humiliare
wanker	anger	0.545	wanker
adversary	anger	0.545	adversarius
sting	anger	0.544	aculeo
entangled	anger	0.544	implicatus
grumble	anger	0.544	murmurare
robbery	anger	0.544	rapinam
outcry	anger	0.544	clamor
resistance	anger	0.543	resistentia
irreconcilable	anger	0.543	placabilis
obstructive	anger	0.542	impedimentum
dismay	anger	0.540	angustia
mob	anger	0.538	vulgus
juststop	anger	0.537	juststop
badness	anger	0.536	malitia
ridicule	anger	0.534	ludibrium
incendiary	anger	0.533	incendiarius
flares	anger	0.532	flores
twofaced	anger	0.531	twofaced
reckless	anger	0.531	praecipitem
communism	anger	0.531	communismi
allegation	anger	0.531	allegatio
prejudicial	anger	0.531	praeiudicium
whip	anger	0.531	flagellum
unbridled	anger	0.531	effreno
degeneracy	anger	0.531	degeneratum
intruder	anger	0.531	intrusor
belittle	anger	0.531	contemnere
confinement	anger	0.531	custodia
dispute	anger	0.531	disceptatio
exacerbation	anger	0.531	exacerbation
uprising	anger	0.531	tumultus
unjust	anger	0.530	iniustus
unjustifiable	anger	0.530	iniusta
perversion	anger	0.530	perversio
bigoted	anger	0.530	bigoted
fiesty	anger	0.530	fiesty
offender	anger	0.530	delinquens
dictatorial	anger	0.530	dictatoris
hassle	anger	0.530	hassle
dissonance	anger	0.530	dissonantia
tackled	anger	0.530	investigavit
renegade	anger	0.529	refuga
cantstandit	anger	0.529	cantstandit
trespass	anger	0.529	delictum
hot	anger	0.529	calidum
prison	anger	0.529	carcer
suicide	anger	0.521	mortem
annoy	anger	0.520	molestus
leavemealone	anger	0.517	leavemealone
cretins	anger	0.516	cretins
depravity	anger	0.516	pravitas
idiotic	anger	0.516	idiotic
dishonest	anger	0.516	improbus
distrust	anger	0.516	diffidentia
broil	anger	0.516	broil
grrr	anger	0.516	grrr
criticize	anger	0.516	reprehendere
inimical	anger	0.516	inimical
tortious	anger	0.516	injuriosum
prisoner	anger	0.516	captivus
treason	anger	0.516	perduellionis
divorce	anger	0.516	divortium
venting	anger	0.516	instigabant
duress	anger	0.516	coactus
disrespectful	anger	0.516	impius
poaching	anger	0.515	assa
scold	anger	0.515	obiurgare
poachers	anger	0.515	malefactores
pow	anger	0.515	pow
hangry	anger	0.515	hangry
argumentation	anger	0.515	argumentatio
frustrating	anger	0.515	frustrating
unkind	anger	0.515	inhumanus
roar	anger	0.515	rugiet
coercion	anger	0.515	coactio
unforgiving	anger	0.515	inexorabilis
grump	anger	0.515	grump
bile	anger	0.515	bilis
unleash	anger	0.515	Princeps
chaos	anger	0.515	chaos
victimized	anger	0.515	pertulit
jerks	anger	0.515	iactationibus
tussle	anger	0.514	luctatio
bane	anger	0.511	pernicies
accusation	anger	0.510	accusatio
enmity	anger	0.510	inimicitiae
repudiation	anger	0.510	repudiatio
banish	anger	0.509	banish
disfigured	anger	0.508	deformis
storm	anger	0.507	tempestas
crazy	anger	0.500	insanis
hammering	anger	0.500	percussio
defy	anger	0.500	defy
antithesis	anger	0.500	antithesis
scoff	anger	0.500	subsannatio
anguish	anger	0.500	angustia
confined	anger	0.500	conclusus
fear	anger	0.500	timeo
bout	anger	0.500	praedura
unruly	anger	0.500	inobedientes
delusional	anger	0.500	fallacia
obstruct	anger	0.500	impediunt
possessed	anger	0.500	habiti
injustice	anger	0.500	iniustitiam
fervor	anger	0.500	fervor
spear	anger	0.500	hasta
derision	anger	0.500	derisio
intractable	anger	0.500	intractabilis
reject	anger	0.500	rejiciunt
dominate	anger	0.500	dominari
ordeal	anger	0.500	experimentum
banished	anger	0.500	exilium
rejects	anger	0.500	respuit
shun	anger	0.500	shun
brunt	anger	0.500	brunt
derogation	anger	0.500	derogatio
frenzied	anger	0.500	lymphata
animus	anger	0.500	animus
suppression	anger	0.500	suppressio
malpractice	anger	0.500	ambitus
brazen	anger	0.500	aeneum
foaming	anger	0.500	spumans
disrupting	anger	0.500	distracting
nobodycares	anger	0.500	nemo curat
patronising	anger	0.500	patronizing
getoveryourself	anger	0.495	getoveryourself
toughness	anger	0.492	fortitudo
stupidpeople	anger	0.492	stupidpeople
madness	anger	0.491	insania
sinful	anger	0.491	peccatrici
avarice	anger	0.490	avaritia
oppress	anger	0.490	opprimunt
cutting	anger	0.485	sectione
anathema	anger	0.485	anathema
annoyed	anger	0.485	angebatur
dissident	anger	0.485	dissidens
demand	anger	0.485	postulatio
usurp	anger	0.485	usurpare
claw	anger	0.485	unguibus
alienate	anger	0.485	alienare
infraction	anger	0.485	infractio
avenger	anger	0.485	vindex
revoke	anger	0.485	revocet
smuggler	anger	0.485	smuggler
abolish	anger	0.485	abolere
fricking	anger	0.485	fricking
stayaway	anger	0.485	Stayaway
pervert	anger	0.485	pervertere
disservice	anger	0.485	disservice
disobedient	anger	0.485	inobediens
incest	anger	0.485	incestus
complaint	anger	0.485	querimonia
disapproved	anger	0.485	reprobi
inhuman	anger	0.485	inhumanus
mocking	anger	0.484	ludibrium
penalty	anger	0.484	poena
renounce	anger	0.484	renuntiare
restrain	anger	0.484	coercere
upheaval	anger	0.484	tumultus
deceit	anger	0.484	fallacia
obnoxious	anger	0.484	obnoxium
imprisoned	anger	0.484	incarceratus
strained	anger	0.484	accersitum
blame	anger	0.484	culpa
oust	anger	0.484	pellant
litigious	anger	0.484	litigious
rivalry	anger	0.484	aemulatio
sucker	anger	0.484	potator
opposed	anger	0.484	opponitur
thresh	anger	0.484	tritura
disgrace	anger	0.484	dedecus
suspicious	anger	0.484	suspectum
turbulence	anger	0.483	turbulentum
pound	anger	0.481	libra
coldness	anger	0.477	frigus
ungrateful	anger	0.472	ingratus
stoopid	anger	0.471	stoopid
battalion	anger	0.471	phalanx
feudalism	anger	0.470	feudalism
hostage	anger	0.470	obses
annoying	anger	0.470	molestus
dispossessed	anger	0.470	obsessus
subversion	anger	0.470	subversionem
friction	anger	0.470	frictio
jealous	anger	0.470	aemulor
adversity	anger	0.470	adversitas
infidel	anger	0.470	infidelis
gall	anger	0.470	fel
accuser	anger	0.470	accusator
ram	anger	0.470	aries
armament	anger	0.470	armamentarium
thump	anger	0.469	obstreperetur
dislike	anger	0.469	odium
steal	anger	0.469	furantur
backoff	anger	0.469	backoff
stifled	anger	0.469	suffocatus est
incite	anger	0.469	incitare
distress	anger	0.469	angustia
angermanagement	anger	0.469	ira procuratio
selfish	anger	0.469	ambitiosus
injury	anger	0.469	injuria
exile	anger	0.469	exsilium
insanity	anger	0.469	insaniam
offense	anger	0.469	delictum
objection	anger	0.469	obiectio
smother	anger	0.469	suffocare
disruption	anger	0.469	perturbatio
intolerance	anger	0.469	intolerantia
disobey	anger	0.469	dissimulare
selfishness	anger	0.469	adrogantiam
recidivism	anger	0.469	recidivism
subversive	anger	0.469	dissolvo
huff	anger	0.469	huff
plunder	anger	0.469	praeda
opposition	anger	0.469	contra
complain	anger	0.469	queri
perpetrator	anger	0.469	auctor
simmer	anger	0.469	wisi
areyoukidding	anger	0.468	areyoukidding
mug	anger	0.467	mug
agony	anger	0.465	agonia
arrogant	anger	0.461	arrogans
sux	anger	0.456	sux*
vent	anger	0.456	vent
elimination	anger	0.456	eliminatio
picketing	anger	0.456	picketing
haughty	anger	0.456	elatus
grated	anger	0.455	grated
flagrant	anger	0.455	flagranti
busted	anger	0.455	busted
crabby	anger	0.455	crabby
dying	anger	0.455	mori
idiocy	anger	0.455	idiocy
impermeable	anger	0.455	impermeable
stubbed	anger	0.455	stubbed
illegality	anger	0.455	contra legem
veto	anger	0.455	veto
constraint	anger	0.455	coercitione
mislead	anger	0.455	seductio
illicit	anger	0.455	illicitus
troublesome	anger	0.455	molestum
clamor	anger	0.455	clamor
bayonet	anger	0.453	bayonet
suppress	anger	0.453	supprimere
intense	anger	0.453	vehemens
displeased	anger	0.453	displicuit
disapproving	anger	0.453	improbans
