English Word	Emotion	Emotion-Intensity-Score	Belarusian Word
fierce	anger	0.812	люты
destroyer	anger	0.812	эсмінец
angrytweet	anger	0.812	гнеўны твіт
barbaric	anger	0.812	варварскі
vendetta	anger	0.812	вендэта
pissesmeoff	anger	0.812	злавацца
pissedoff	anger	0.812	раз'юшаны
tyrant	anger	0.812	тыран
berserk	anger	0.812	шалёны
fuming	anger	0.812	дымячы
anger	anger	0.811	гнеў
pieceofshit	anger	0.810	дзярмо
punched	anger	0.803	прабітыя
punching	anger	0.803	штампоўка
slam	anger	0.803	пляснуць
homicide	anger	0.803	забойства
bitch	anger	0.803	сука
fights	anger	0.803	бойкі
ruthless	anger	0.797	бязлітасны
villainous	anger	0.797	зладзейскі
destructive	anger	0.797	разбуральны
slap	anger	0.791	аплявуха
riot	anger	0.788	бунт
growthefuckup	anger	0.788	ростебля
punishing	anger	0.788	караючы
slaughterhouse	anger	0.788	бойня
yelling	anger	0.788	крычаць
diabolical	anger	0.788	д'ябальскі
destroyed	anger	0.788	разбураны
ragetweet	anger	0.788	Ragetweet
retaliatory	anger	0.788	у адказ
manslaughter	anger	0.783	ненаўмыснае забойства
clash	anger	0.783	сутыкненне
quarrel	anger	0.781	сварыцца
bloody	anger	0.781	крывавы
hellish	anger	0.781	пякельны
sinister	anger	0.781	злавесны
loath	anger	0.781	нянавісць
detonation	anger	0.781	дэтанацыя
accusing	anger	0.779	абвінавачваючы
fumin	anger	0.779	фумін
hateeee	anger	0.779	нянавісць
treacherous	anger	0.779	вераломны
madder	anger	0.773	шалёны
horrific	anger	0.773	жахлівы
revulsion	anger	0.773	агіда
retaliate	anger	0.773	помсціць
scorn	anger	0.769	пагарда
bomb	anger	0.766	бомба
deplorable	anger	0.766	варты жалю
devastation	anger	0.765	спусташэнне
anarchist	anger	0.765	анархіст
firestorm	anger	0.765	вогненны шторм
resent	anger	0.765	абурацца
contemptible	anger	0.764	пагардлівы
shittest	anger	0.760	самае дзярмо
rant	anger	0.758	гаманіць
cruel	anger	0.758	жорсткі
deadly	anger	0.758	смяротна небяспечны
smash	anger	0.758	разбіць
soangry	anger	0.758	вельмі раззлаваны
outburst	anger	0.757	выбух
snarl	anger	0.754	гыркнуць
profane	anger	0.750	прафанаваць
revolting	anger	0.750	агідны
aggravating	anger	0.750	абцяжарваючы
horror	anger	0.750	жах
despise	anger	0.750	пагарджаць
offend	anger	0.750	пакрыўдзіць
stfu	anger	0.750	stfu
vulgarity	anger	0.750	вульгарнасць
crazed	anger	0.750	звар'яцеў
douchebags	anger	0.750	прыдуркі
growling	anger	0.750	бурчанне
dontmesswithme	anger	0.750	не важдайся са мной
screaming	anger	0.742	крычаць
threat	anger	0.742	пагроза
erupt	anger	0.742	вывяргацца
horrible	anger	0.742	жахлівы
molestation	anger	0.742	прыставанне
fuckedoff	anger	0.742	аб'ебаны
violence	anger	0.742	гвалт
bastards	anger	0.741	сволачы
revenge	anger	0.738	помста
menacing	anger	0.735	пагрозлівы
crushing	anger	0.735	драбненне
damn	anger	0.735	пракляты
catastrophe	anger	0.735	катастрофа
demon	anger	0.735	дэман
argue	anger	0.734	спрачацца
persecute	anger	0.734	пераследваць
deplore	anger	0.734	шкадаваць
flog	anger	0.734	бічаваць
fedup	anger	0.734	надакучыла
riotous	anger	0.734	буянскі
vehement	anger	0.734	палкі
revolt	anger	0.734	бунт
warfare	anger	0.734	вядзенне вайны
thrash	anger	0.734	трэш
altercation	anger	0.729	сварка
warlike	anger	0.728	ваяўнічы
shitday	anger	0.727	дзярмо
mutiny	anger	0.727	мяцеж
castrate	anger	0.727	кастрыраваць
sabotage	anger	0.727	сабатаж
malevolent	anger	0.721	зламысны
strike	anger	0.721	забастоўка
disaster	anger	0.721	катастрофа
disastrous	anger	0.720	катастрафічны
bastarding	anger	0.719	сволач
treachery	anger	0.719	вераломства
arseholes	anger	0.719	сракі
horseshit	anger	0.719	лайно
slay	anger	0.719	забіваць
disdain	anger	0.719	пагарджаць
aggravates	anger	0.719	пагаршае
brutal	anger	0.719	брутальны
scorching	anger	0.719	пякучы
devil	anger	0.719	д'ябал
madden	anger	0.719	звар'яцець
spiteful	anger	0.719	зласлівы
scream	anger	0.719	крычаць
choke	anger	0.719	душыць
vermin	anger	0.719	шкоднікі
tumult	anger	0.719	мітусня
criminal	anger	0.714	крымінальны
mangle	anger	0.714	калечыць
anarchism	anger	0.714	анархізм
mutilation	anger	0.714	калецтва
denunciation	anger	0.713	данос
punch	anger	0.713	ўдар
virulence	anger	0.712	вірулентнасць
fatal	anger	0.712	смяротны зыход
hurting	anger	0.712	балюча
crucifixion	anger	0.712	распяцце
dontlikeyou	anger	0.712	не люблю цябе
blasphemous	anger	0.712	блюзнерскі
holocaust	anger	0.712	халакост
dumbasses	anger	0.712	тупыя
battled	anger	0.712	змагаўся
deranged	anger	0.706	звар'яцелы
irritated	anger	0.706	раздражнёны
atrocious	anger	0.706	зверскі
evil	anger	0.706	зло
aggravated	anger	0.703	абвастрылася
intimidation	anger	0.703	запалохванне
dicks	anger	0.703	члены
assassin	anger	0.703	забойца
scolding	anger	0.703	лаяць
persecution	anger	0.703	ганенні
slayer	anger	0.703	забойца
kidnap	anger	0.703	выкрадаць
aggression	anger	0.702	агрэсія
armed	anger	0.700	узброены
battle	anger	0.697	бой
poison	anger	0.697	яд
snarling	anger	0.697	гыркаючы
venom	anger	0.697	яд
disgruntled	anger	0.693	незадаволены
resentment	anger	0.691	крыўда
assailant	anger	0.691	нападнік
insidious	anger	0.691	падступны
contemptuous	anger	0.690	пагардлівы
lynch	anger	0.690	лінч
temper	anger	0.688	характар
terrible	anger	0.688	жудасны
disparage	anger	0.688	зневажаць
lunatic	anger	0.688	вар'ят
bully	anger	0.688	хуліган
mad	anger	0.688	шалёны
makesmemad	anger	0.688	робіцьmemad
infanticide	anger	0.688	дзетазабойства
domination	anger	0.688	панаванне
peeved	anger	0.688	раздражнёны
imprisonment	anger	0.688	пазбаўленне волі
curse	anger	0.688	праклён
volatility	anger	0.687	валацільнасць
eradication	anger	0.685	выкараненне
eradicate	anger	0.682	выкараніць
tantrum	anger	0.682	істэрыка
scoundrel	anger	0.682	нягоднік
devastate	anger	0.682	спустошыць
aggressively	anger	0.680	агрэсіўна
agitation	anger	0.680	агітацыя
dictatorship	anger	0.676	дыктатура
irritates	anger	0.676	раздражняе
profanity	anger	0.673	брыдкаслоўе
shove	anger	0.672	штурхаць
nasty	anger	0.672	непрыемны
shot	anger	0.672	стрэл
cruelly	anger	0.672	жорстка
shoot	anger	0.672	страляць
condemnation	anger	0.672	асуджэнне
crushed	anger	0.672	здробнены
aggravation	anger	0.672	абвастрэнне
poisonous	anger	0.672	атрутныя
egregious	anger	0.672	абуральны
crime	anger	0.672	злачынства
corrupting	anger	0.672	разбэшчваючы
dastardly	anger	0.672	падла
contempt	anger	0.672	пагарда
harmful	anger	0.672	шкодны
expletive	anger	0.672	лаянка
wreak	anger	0.672	сеяць
maniac	anger	0.670	маньяк
cutthroat	anger	0.667	галаварэз
enemy	anger	0.667	вораг
hit	anger	0.667	ўдар
hateeveryone	anger	0.667	ненавідзець усіх
eruption	anger	0.667	вывяржэнне
irritable	anger	0.667	раздражняльны
odious	anger	0.667	адыёзны
shooting	anger	0.667	стральба
shout	anger	0.667	крычаць
aggressive	anger	0.667	агрэсіўны
kick	anger	0.667	удар нагамі
combat	anger	0.667	баявая
fight	anger	0.667	змагацца
punished	anger	0.662	пакараны
yell	anger	0.661	крычаць
ambush	anger	0.661	засада
harass	anger	0.659	пераследваць
malignant	anger	0.656	злаякасныя
aggressor	anger	0.656	агрэсар
gore	anger	0.656	кроў
destruction	anger	0.656	разбурэнне
grudge	anger	0.656	крыўда
antichrist	anger	0.656	антыхрыст
incense	anger	0.656	ладан
expel	anger	0.656	выгнаць
cranky	anger	0.653	капрызны
slave	anger	0.652	раб
reprisal	anger	0.652	расправа
growl	anger	0.652	рыкаць
animosity	anger	0.652	варожасць
insurrection	anger	0.652	паўстанне
clashing	anger	0.652	сутыкненне
denounce	anger	0.652	дэнансаваць
offended	anger	0.652	пакрыўджаны
spank	anger	0.652	лупцаваць
insulting	anger	0.652	абразлівы
growls	anger	0.649	рыкае
executioner	anger	0.644	кат
twat	anger	0.644	піска
doomsday	anger	0.643	судны дзень
obscenity	anger	0.641	непрыстойнасць
accused	anger	0.641	абвінавачаны
feud	anger	0.641	феад
daemon	anger	0.641	дэман
havoc	anger	0.641	хаос
shackle	anger	0.641	хамут
inexcusable	anger	0.641	недаравальна
indignant	anger	0.641	абураецца
grr	anger	0.641	грр
expulsion	anger	0.641	выгнанне
bombard	anger	0.641	бамбіць
spat	anger	0.641	плюнуў
arson	anger	0.641	падпал
reprimand	anger	0.641	вымова
somad	anger	0.637	сомад
frustrated	anger	0.636	расчараваны
batter	anger	0.636	цеста
kicking	anger	0.636	біць нагамі
anarchy	anger	0.636	анархія
spanking	anger	0.636	лупцоўка
glaring	anger	0.636	абуральны
suicidal	anger	0.636	суіцыдальны
disgusting	anger	0.636	агідны
wound	anger	0.636	рана
hanging	anger	0.636	вісіць
poisoned	anger	0.636	атручаны
combatant	anger	0.636	удзельнік баявых дзеянняў
wrecked	anger	0.633	пацярпеў крушэнне
inflict	anger	0.633	нанесці
grievous	anger	0.632	цяжкі
prosecute	anger	0.630	прыцягнуць да адказнасці
agitated	anger	0.630	усхваляваны
cheat	anger	0.630	падмануць
swastika	anger	0.627	свастыка
injure	anger	0.625	параніць
indict	anger	0.625	індыкт
scourge	anger	0.625	біч
provocation	anger	0.625	правакацыя
suffocation	anger	0.625	удушша
strife	anger	0.625	міжусобіцы
raid	anger	0.625	налёт
enslaved	anger	0.625	заняволены
cursing	anger	0.625	лаяцца
defamatory	anger	0.625	паклёпніцкі
harassing	anger	0.625	дамагацца
thundering	anger	0.625	грымотны
betray	anger	0.625	здрадзіць
arsehole	anger	0.624	мудак
theft	anger	0.621	крадзеж
insane	anger	0.621	шалёны
retaliation	anger	0.621	адплата
irritate	anger	0.621	раздражняць
deprivation	anger	0.621	пазбаўлення
fiend	anger	0.621	нячысцік
jerk	anger	0.621	рывок
convict	anger	0.621	асуджаны
cussed	anger	0.619	лаяўся
turmoil	anger	0.618	мітусня
smack	anger	0.615	прысмак
retribution	anger	0.614	адплата
rebellion	anger	0.609	паўстанне
oppressor	anger	0.609	прыгнятальнік
gang	anger	0.609	банда
slavery	anger	0.609	рабства
intolerable	anger	0.609	невыносны
adverse	anger	0.609	неспрыяльны
injurious	anger	0.609	траўміруе
twats	anger	0.609	пыскі
collision	anger	0.609	сутыкненне
battery	anger	0.609	батарэя
bitterly	anger	0.609	горка
antagonism	anger	0.609	антаганізм
irritability	anger	0.609	раздражняльнасць
disgraced	anger	0.608	зганьбаваны
diatribe	anger	0.606	дыятрыба
asshole	anger	0.606	мудак
blast	anger	0.606	выбух
bombardment	anger	0.606	бамбардзіроўка
irks	anger	0.606	раздражняе
ranting	anger	0.606	гамонка
revolution	anger	0.606	рэвалюцыя
thug	anger	0.606	бандыт
antagonistic	anger	0.606	антаганістычны
irritating	anger	0.606	раздражняльны
sickening	anger	0.606	млосна
discrimination	anger	0.606	дыскрымінацыя
frustrate	anger	0.604	сарваць
insult	anger	0.603	абраза
hurtful	anger	0.603	крыўдна
oppression	anger	0.603	прыгнёт
manipulation	anger	0.603	маніпуляцыі
tiredofit	anger	0.603	стомлены
bigot	anger	0.603	фанатызм
tension	anger	0.603	напружанне
disgust	anger	0.602	агіда
spite	anger	0.600	назло
intrusive	anger	0.598	назойлівы
harshness	anger	0.597	жорсткасць
slur	anger	0.596	брыдкасловіць
tempest	anger	0.594	бура
assail	anger	0.594	нападаць
bitterness	anger	0.594	горыч
morbidity	anger	0.594	хваравітасць
casualty	anger	0.594	пацярпелы
puncture	anger	0.594	пракол
miserable	anger	0.594	няшчасны
inferno	anger	0.594	пекла
invasion	anger	0.594	ўварванне
storming	anger	0.594	штурмаваць
wretch	anger	0.594	нягоднік
consternation	anger	0.592	жах
raving	anger	0.591	трызненне
forcibly	anger	0.591	прымусова
guillotine	anger	0.591	гільяціна
guilty	anger	0.591	вінаваты
depraved	anger	0.591	разбэшчаны
immoral	anger	0.591	амаральны
overpowering	anger	0.591	перасільваючы
scare	anger	0.588	напалохаць
recalcitrant	anger	0.588	непакорлівы
screwed	anger	0.588	закручаны
accursed	anger	0.588	пракляты
soannoyed	anger	0.588	так раздражнёны
invader	anger	0.588	захопнік
jealousy	anger	0.587	рэўнасць
indignation	anger	0.587	абурэнне
vexed	anger	0.586	раздражнёны
confront	anger	0.582	супрацьстаяць
brute	anger	0.581	грубы
throttle	anger	0.579	дросель
slut	anger	0.578	шлюха
coup	anger	0.578	пераварот
blaze	anger	0.578	полымя
pillage	anger	0.578	рабаванне
provoking	anger	0.578	правакуючы
damage	anger	0.578	пашкоджанне
criminality	anger	0.578	злачыннасць
shutup	anger	0.578	заткніся
lash	anger	0.578	бізун
conflict	anger	0.578	канфлікт
contentious	anger	0.578	спрэчным
shutit	anger	0.578	зачыніць
wreck	anger	0.578	крушэнне
defiant	anger	0.578	з выклікам
butcher	anger	0.578	мяснік
incarceration	anger	0.578	пазбаўленне волі
revolver	anger	0.578	рэвальвер
bickering	anger	0.578	сваркі
yousuck	anger	0.578	ты адстой
cancer	anger	0.577	рак
discriminate	anger	0.576	дыскрымінаваць
gun	anger	0.576	пісталет
frustration	anger	0.576	расчараванне
gory	anger	0.576	крывавы
pernicious	anger	0.576	згубны
dontmess	anger	0.576	не беспарадак
blasphemy	anger	0.576	блюзнерства
chaotic	anger	0.576	хаатычны
grope	anger	0.576	намацаць
alienation	anger	0.576	адчужэнне
disturbance	anger	0.576	парушэнне
condescension	anger	0.576	паблажлівасць
standoff	anger	0.576	супрацьстаянне
discord	anger	0.576	разлад
friggen	anger	0.575	фрыген
sneer	anger	0.574	насміхацца
death	anger	0.574	смерць
lunacy	anger	0.574	вар'яцтва
scandalous	anger	0.574	скандальна
oppressive	anger	0.574	гнятлівы
jab	anger	0.574	ўкол
cursed	anger	0.574	пракляты
monstrosity	anger	0.574	жахлівасць
shit	anger	0.573	дзярмо
disparaging	anger	0.571	грэбліва
slash	anger	0.571	касая рыса
unfair	anger	0.571	несправядлівы
gallows	anger	0.570	шыбеніца
escalate	anger	0.569	абвастрыцца
intolerant	anger	0.564	нецярпімы
lawlessness	anger	0.563	бяспраўе
beast	anger	0.562	звер
torpedo	anger	0.562	тарпеда
malign	anger	0.562	злаякасны
traitor	anger	0.562	здраднік
frightful	anger	0.562	страшна
wrangling	anger	0.562	спрэчкі
slander	anger	0.562	паклёпнічаць
bellows	anger	0.562	мяхі
retards	anger	0.562	адсталыя
grouchy	anger	0.562	бурклівы
derogatory	anger	0.562	прыніжальна
bearish	anger	0.562	мядзведжы
invade	anger	0.562	ўварвацца
perdition	anger	0.562	пагібель
arghh	anger	0.562	аргхх
dreadful	anger	0.562	жудасны
bluddy	anger	0.562	тупаваты
deceived	anger	0.562	падманулі
glare	anger	0.562	блікі
taunt	anger	0.562	насмешка
dissension	anger	0.561	разлад
cross	anger	0.561	крыж
rave	anger	0.561	трызніць
grating	anger	0.561	краты
devastating	anger	0.561	разбуральны
fits	anger	0.561	падыходзіць
jeopardize	anger	0.561	паставіць пад пагрозу
shatter	anger	0.561	разбіваць
idiots	anger	0.561	ідыёты
hurt	anger	0.561	балюча
thief	anger	0.561	злодзей
uncontrollable	anger	0.561	некантралюемы
conflagration	anger	0.561	пажарышча
betrayal	anger	0.561	здрада
banshee	anger	0.561	баншы
subjugation	anger	0.559	падпарадкаванне
disturbed	anger	0.559	парушаны
stomped	anger	0.557	таптаўся
grab	anger	0.557	захапіць
grievance	anger	0.556	крыўда
ticked	anger	0.556	пазначаны галачкай
masochism	anger	0.556	мазахізм
defiance	anger	0.552	непадпарадкаванне
blackmail	anger	0.550	шантажаваць
offensive	anger	0.549	наступальныя
decry	anger	0.548	асуджаць
frustrates	anger	0.547	расчароўвае
violation	anger	0.547	парушэнне
confine	anger	0.547	абмежаваць
misery	anger	0.547	няшчасце
arghhhh	anger	0.547	аргхххх
disparity	anger	0.547	дыспрапорцыя
punishment	anger	0.547	пакаранне
rebel	anger	0.547	паўстанец
preposterous	anger	0.547	недарэчна
disgraceful	anger	0.547	ганебны
ire	anger	0.547	гнеў
deceive	anger	0.547	падмануць
fustrated	anger	0.547	раз'юшаны
sin	anger	0.547	грэх
shrill	anger	0.547	пранізлівы
darkside	anger	0.547	Darkside
overbearing	anger	0.547	уладны
firearms	anger	0.547	агнястрэльнай зброі
stolen	anger	0.546	скрадзены
hadenough	anger	0.546	было дастаткова
prejudice	anger	0.545	забабоны
tackle	anger	0.545	снасці
resentful	anger	0.545	крыўдлівы
heated	anger	0.545	падагрэў
callous	anger	0.545	чэрствы
conspirator	anger	0.545	змоўшчык
ruined	anger	0.545	разбураны
antagonist	anger	0.545	антаганіст
skirmish	anger	0.545	сутычка
menace	anger	0.545	пагроза
annoyin	anger	0.545	раздражняе
foul	anger	0.545	фол
argument	anger	0.545	аргумент
humiliate	anger	0.545	прыніжаць
wanker	anger	0.545	дрочнік
adversary	anger	0.545	праціўнік
sting	anger	0.544	джала
entangled	anger	0.544	заблытаны
grumble	anger	0.544	бурчаць
robbery	anger	0.544	рабаванне
outcry	anger	0.544	крык
resistance	anger	0.543	супраціў
irreconcilable	anger	0.543	непрымірымы
obstructive	anger	0.542	абструктыўная
dismay	anger	0.540	расчараванне
mob	anger	0.538	моб
juststop	anger	0.537	проста спыніцеся
badness	anger	0.536	дрэннасць
ridicule	anger	0.534	насмешкі
incendiary	anger	0.533	запальная
flares	anger	0.532	факелы
twofaced	anger	0.531	двухаблічны
reckless	anger	0.531	безразважны
communism	anger	0.531	камунізм
allegation	anger	0.531	зацвярджэнне
prejudicial	anger	0.531	прадузятае
whip	anger	0.531	пугай
unbridled	anger	0.531	неўтаймаваны
degeneracy	anger	0.531	выраджэнне
intruder	anger	0.531	зламыснік
belittle	anger	0.531	прыніжаць
confinement	anger	0.531	зняволенне
dispute	anger	0.531	спрэчка
exacerbation	anger	0.531	абвастрэнне
uprising	anger	0.531	паўстанне
unjust	anger	0.530	несправядлівы
unjustifiable	anger	0.530	неапраўдана
perversion	anger	0.530	вычварэнства
bigoted	anger	0.530	фанатычны
fiesty	anger	0.530	заядлы
offender	anger	0.530	злачынец
dictatorial	anger	0.530	дыктатарскі
hassle	anger	0.530	клопатаў
dissonance	anger	0.530	дысананс
tackled	anger	0.530	вырашаўся
renegade	anger	0.529	рэнегат
cantstandit	anger	0.529	cantstandit
trespass	anger	0.529	парушыць межы
hot	anger	0.529	гарачы
prison	anger	0.529	турма
suicide	anger	0.521	самагубства
annoy	anger	0.520	раздражняць
leavemealone	anger	0.517	пакінь мяне аднаго
cretins	anger	0.516	крэтыны
depravity	anger	0.516	разбэшчанасць
idiotic	anger	0.516	ідыёцкі
dishonest	anger	0.516	несумленны
distrust	anger	0.516	недавер
broil	anger	0.516	пасмажыць
grrr	anger	0.516	гррр
criticize	anger	0.516	крытыкаваць
inimical	anger	0.516	варожы
tortious	anger	0.516	дэліктны
prisoner	anger	0.516	вязень
treason	anger	0.516	здрада
divorce	anger	0.516	развод
venting	anger	0.516	вентыляцыя
duress	anger	0.516	прымус
disrespectful	anger	0.516	непаважліва
poaching	anger	0.515	браканьерства
scold	anger	0.515	лаяць
poachers	anger	0.515	браканьеры
pow	anger	0.515	паў
hangry	anger	0.515	галодны
argumentation	anger	0.515	аргументацыя
frustrating	anger	0.515	расчараванне
unkind	anger	0.515	нядобры
roar	anger	0.515	роў
coercion	anger	0.515	прымус
unforgiving	anger	0.515	няўмольны
grump	anger	0.515	сварлівы
bile	anger	0.515	жоўць
unleash	anger	0.515	развязаць
chaos	anger	0.515	хаос
victimized	anger	0.515	ахвярамі
jerks	anger	0.515	прыдуркі
tussle	anger	0.514	сутычка
bane	anger	0.511	праклён
accusation	anger	0.510	абвінавачванне
enmity	anger	0.510	варожасць
repudiation	anger	0.510	адмова
banish	anger	0.509	выгнаць
disfigured	anger	0.508	знявечаны
storm	anger	0.507	навальніца
crazy	anger	0.500	вар'ят
hammering	anger	0.500	забіванне малатком
defy	anger	0.500	кінуць выклік
antithesis	anger	0.500	антытэза
scoff	anger	0.500	кпіць
anguish	anger	0.500	туга
confined	anger	0.500	абмежаваны
fear	anger	0.500	страх
bout	anger	0.500	бой
unruly	anger	0.500	непакорлівы
delusional	anger	0.500	ілюзорны
obstruct	anger	0.500	перашкаджаць
possessed	anger	0.500	валодаў
injustice	anger	0.500	несправядлівасць
fervor	anger	0.500	жарсць
spear	anger	0.500	дзіда
derision	anger	0.500	насмешка
intractable	anger	0.500	цяжкавырашальныя
reject	anger	0.500	адхіліць
dominate	anger	0.500	дамінаваць
ordeal	anger	0.500	выпрабаванне
banished	anger	0.500	выгнаны
rejects	anger	0.500	адхіляе
shun	anger	0.500	цурацца
brunt	anger	0.500	асноўны ўдар
derogation	anger	0.500	адступленне
frenzied	anger	0.500	шалёны
animus	anger	0.500	анімус
suppression	anger	0.500	падаўленне
malpractice	anger	0.500	няслушнае абслугоўванне
brazen	anger	0.500	нахабны
foaming	anger	0.500	ўспеньванне
disrupting	anger	0.500	парушаючы
nobodycares	anger	0.500	нікога не хвалюе
patronising	anger	0.500	заступніцкі
getoveryourself	anger	0.495	пераадолець сябе
toughness	anger	0.492	цвёрдасць
stupidpeople	anger	0.492	дурныя людзі
madness	anger	0.491	вар'яцтва
sinful	anger	0.491	грэшны
avarice	anger	0.490	скупасць
oppress	anger	0.490	прыгнятаць
cutting	anger	0.485	рэзка
anathema	anger	0.485	анафеме
annoyed	anger	0.485	раздражнёны
dissident	anger	0.485	дысідэнт
demand	anger	0.485	попыт
usurp	anger	0.485	узурпаваць
claw	anger	0.485	кіпцюр
alienate	anger	0.485	адчужаць
infraction	anger	0.485	парушэнне
avenger	anger	0.485	мсціўца
revoke	anger	0.485	адклікаць
smuggler	anger	0.485	кантрабандыст
abolish	anger	0.485	скасаваць
fricking	anger	0.485	дзяўбаць
stayaway	anger	0.485	трымацца ў баку
pervert	anger	0.485	вычварэнец
disservice	anger	0.485	мядзведжая паслуга
disobedient	anger	0.485	непаслухмяны
incest	anger	0.485	інцэст
complaint	anger	0.485	скарга
disapproved	anger	0.485	не ўхвалены
inhuman	anger	0.485	бесчалавечны
mocking	anger	0.484	здзеклівы
penalty	anger	0.484	пенальці
renounce	anger	0.484	адракацца
restrain	anger	0.484	стрымліваць
upheaval	anger	0.484	узрушэнне
deceit	anger	0.484	падман
obnoxious	anger	0.484	непрыемны
imprisoned	anger	0.484	зняволены
strained	anger	0.484	напружаны
blame	anger	0.484	вінаваціць
oust	anger	0.484	выцесніць
litigious	anger	0.484	судовых
rivalry	anger	0.484	суперніцтва
sucker	anger	0.484	прысоска
opposed	anger	0.484	супрацьстаяў
thresh	anger	0.484	малаціць
disgrace	anger	0.484	ганьба
suspicious	anger	0.484	падазроны
turbulence	anger	0.483	турбулентнасць
pound	anger	0.481	фунт
coldness	anger	0.477	халоднасць
ungrateful	anger	0.472	няўдзячны
stoopid	anger	0.471	сутулы
battalion	anger	0.471	батальён
feudalism	anger	0.470	феадалізм
hostage	anger	0.470	закладнік
annoying	anger	0.470	раздражняе
dispossessed	anger	0.470	раскулачаны
subversion	anger	0.470	дыверсія
friction	anger	0.470	трэнне
jealous	anger	0.470	раўнівы
adversity	anger	0.470	нягоды
infidel	anger	0.470	няверны
gall	anger	0.470	жоўць
