English Word	Emotion	Emotion-Intensity-Score	Marathi Word
madder	anger	0.773	madder
horrific	anger	0.773	भयानक
revulsion	anger	0.773	विद्रोह
retaliate	anger	0.773	बदला घेणे
scorn	anger	0.769	तिरस्कार
bomb	anger	0.766	बॉम्ब
deplorable	anger	0.766	खेदजनक
devastation	anger	0.765	विध्वंस
anarchist	anger	0.765	अराजकतावादी
firestorm	anger	0.765	आगीचे वादळ
resent	anger	0.765	संताप
contemptible	anger	0.764	तिरस्करणीय
shittest	anger	0.760	सर्वात वाईट
rant	anger	0.758	बडबड
cruel	anger	0.758	क्रूर
deadly	anger	0.758	प्राणघातक
smash	anger	0.758	स्मॅश
soangry	anger	0.758	उग्र
outburst	anger	0.757	उद्रेक
snarl	anger	0.754	घोरणे
profane	anger	0.750	अपवित्र
revolting	anger	0.750	बंडखोर
aggravating	anger	0.750	त्रासदायक
horror	anger	0.750	भयपट
despise	anger	0.750	तिरस्कार
offend	anger	0.750	अपमान करणे
stfu	anger	0.750	stfu
vulgarity	anger	0.750	असभ्यता
crazed	anger	0.750	वेडा
douchebags	anger	0.750	डचबॅग
growling	anger	0.750	गुरगुरणे
dontmesswithme	anger	0.750	माझ्यासोबत करू नका
screaming	anger	0.742	किंचाळणे
threat	anger	0.742	धमकी
erupt	anger	0.742	उद्रेक
horrible	anger	0.742	भयानक
molestation	anger	0.742	विनयभंग
fuckedoff	anger	0.742	fuckedoff
violence	anger	0.742	हिंसा
bastards	anger	0.741	हरामी
revenge	anger	0.738	बदला
menacing	anger	0.735	धमकी देणारा
crushing	anger	0.735	क्रशिंग
damn	anger	0.735	धिक्कार
catastrophe	anger	0.735	आपत्ती
demon	anger	0.735	राक्षस
argue	anger	0.734	वाद घालणे
persecute	anger	0.734	छळ
deplore	anger	0.734	खेद व्यक्त करणे
flog	anger	0.734	फटके मारणे
fedup	anger	0.734	फेडअप
riotous	anger	0.734	दंगलखोर
vehement	anger	0.734	उत्कट
revolt	anger	0.734	बंड
warfare	anger	0.734	युद्ध
thrash	anger	0.734	मारणे
altercation	anger	0.729	भांडण
warlike	anger	0.728	लढाऊ
shitday	anger	0.727	शिटडे
mutiny	anger	0.727	बंडखोरी
castrate	anger	0.727	कास्ट्रेट
sabotage	anger	0.727	तोडफोड
malevolent	anger	0.721	द्वेषपूर्ण
strike	anger	0.721	संप
disaster	anger	0.721	आपत्ती
disastrous	anger	0.720	विनाशकारी
bastarding	anger	0.719	घृणास्पद
treachery	anger	0.719	विश्वासघात
arseholes	anger	0.719	आर्सेहोल्स
horseshit	anger	0.719	घोडा
slay	anger	0.719	मारणे
disdain	anger	0.719	तिरस्कार
aggravates	anger	0.719	वाढवते
brutal	anger	0.719	क्रूर
scorching	anger	0.719	जळजळीत
devil	anger	0.719	भूत
madden	anger	0.719	वेडा
spiteful	anger	0.719	द्वेषपूर्ण
scream	anger	0.719	किंचाळणे
choke	anger	0.719	गुदमरणे
vermin	anger	0.719	कीटक
tumult	anger	0.719	गोंधळ
criminal	anger	0.714	गुन्हेगार
mangle	anger	0.714	mangle
anarchism	anger	0.714	अराजकतावाद
mutilation	anger	0.714	विकृती
denunciation	anger	0.713	निंदा
punch	anger	0.713	ठोसा
virulence	anger	0.712	विषमता
fatal	anger	0.712	घातक
hurting	anger	0.712	दुखापत
crucifixion	anger	0.712	वधस्तंभ
dontlikeyou	anger	0.712	तुला आवडत नाही
blasphemous	anger	0.712	निंदनीय
holocaust	anger	0.712	होलोकॉस्ट
dumbasses	anger	0.712	dumbasses
battled	anger	0.712	लढाई केली
deranged	anger	0.706	विस्कळीत
irritated	anger	0.706	चिडचिड
atrocious	anger	0.706	अत्याचारी
evil	anger	0.706	वाईट
aggravated	anger	0.703	उत्तेजित
intimidation	anger	0.703	धमकी
dicks	anger	0.703	डिक्स
assassin	anger	0.703	मारेकरी
scolding	anger	0.703	फटकारणे
persecution	anger	0.703	छळ
slayer	anger	0.703	खून करणारा
kidnap	anger	0.703	अपहरण
aggression	anger	0.702	आगळीक
armed	anger	0.700	सशस्त्र
battle	anger	0.697	लढाई
poison	anger	0.697	विष
snarling	anger	0.697	snarling
venom	anger	0.697	विष
disgruntled	anger	0.693	असंतुष्ट
resentment	anger	0.691	नाराजी
assailant	anger	0.691	हल्लेखोर
insidious	anger	0.691	कपटी
contemptuous	anger	0.690	निंदनीय
lynch	anger	0.690	लिंच
temper	anger	0.688	स्वभाव
terrible	anger	0.688	भयानक
disparage	anger	0.688	अपमान
lunatic	anger	0.688	वेडे
bully	anger	0.688	गुंडगिरी
mad	anger	0.688	वेडा
makesmemad	anger	0.688	makememad
infanticide	anger	0.688	बालहत्या
domination	anger	0.688	वर्चस्व
peeved	anger	0.688	चिडलेले
imprisonment	anger	0.688	तुरुंगवास
curse	anger	0.688	शाप
volatility	anger	0.687	अस्थिरता
eradication	anger	0.685	निर्मूलन
eradicate	anger	0.682	निर्मूलन
tantrum	anger	0.682	राग
scoundrel	anger	0.682	बदमाश
devastate	anger	0.682	उद्ध्वस्त करणे
aggressively	anger	0.680	आक्रमकपणे
agitation	anger	0.680	आंदोलन
dictatorship	anger	0.676	हुकूमशाही
irritates	anger	0.676	चिडचिड करते
profanity	anger	0.673	असभ्यता
shove	anger	0.672	ढकलणे
nasty	anger	0.672	ओंगळ
shot	anger	0.672	शॉट
cruelly	anger	0.672	क्रूरपणे
shoot	anger	0.672	शूट
condemnation	anger	0.672	निंदा
crushed	anger	0.672	ठेचून
aggravation	anger	0.672	उत्तेजित होणे
poisonous	anger	0.672	विषारी
egregious	anger	0.672	जोरदार
crime	anger	0.672	गुन्हा
corrupting	anger	0.672	भ्रष्ट
dastardly	anger	0.672	भयंकर
contempt	anger	0.672	अपमान
harmful	anger	0.672	हानिकारक
expletive	anger	0.672	उद्बोधक
wreak	anger	0.672	नाश
maniac	anger	0.670	वेडा
cutthroat	anger	0.667	घसा
enemy	anger	0.667	शत्रू
hit	anger	0.667	दाबा
hateeveryone	anger	0.667	प्रत्येकाचा द्वेष
eruption	anger	0.667	उद्रेक
irritable	anger	0.667	शीघ्रकोपी
odious	anger	0.667	घृणास्पद
shooting	anger	0.667	शूटिंग
shout	anger	0.667	ओरडणे
aggressive	anger	0.667	आक्रमक
kick	anger	0.667	लाथ मारणे
combat	anger	0.667	लढाई
fight	anger	0.667	लढा
punished	anger	0.662	शिक्षा
yell	anger	0.661	ओरडणे
ambush	anger	0.661	हल्ला
harass	anger	0.659	त्रास देणे
malignant	anger	0.656	घातक
aggressor	anger	0.656	आक्रमक
gore	anger	0.656	गोर
destruction	anger	0.656	नाश
grudge	anger	0.656	राग
antichrist	anger	0.656	ख्रिस्तविरोधी
incense	anger	0.656	धूप
expel	anger	0.656	निष्कासित करणे
cranky	anger	0.653	विक्षिप्त
slave	anger	0.652	गुलाम
reprisal	anger	0.652	बदला
growl	anger	0.652	गुरगुरणे
animosity	anger	0.652	वैर
insurrection	anger	0.652	बंड
clashing	anger	0.652	संघर्ष
denounce	anger	0.652	दोष देणे
offended	anger	0.652	नाराज
spank	anger	0.652	झटका
insulting	anger	0.652	अपमानास्पद
growls	anger	0.649	गुरगुरणे
executioner	anger	0.644	जल्लाद
twat	anger	0.644	twat
doomsday	anger	0.643	जगाचा शेवट
obscenity	anger	0.641	अश्लीलता
accused	anger	0.641	आरोपी
feud	anger	0.641	भांडण
daemon	anger	0.641	डिमन
havoc	anger	0.641	कहर
shackle	anger	0.641	बेड्या
inexcusable	anger	0.641	अक्षम्य
indignant	anger	0.641	रागावलेला
grr	anger	0.641	grr
expulsion	anger	0.641	हकालपट्टी
bombard	anger	0.641	भडिमार
spat	anger	0.641	थुंकणे
arson	anger	0.641	जाळपोळ
reprimand	anger	0.641	फटकारणे
somad	anger	0.637	खूप वेडा
frustrated	anger	0.636	निराश
batter	anger	0.636	पिठात
kicking	anger	0.636	लाथ मारणे
anarchy	anger	0.636	अराजकता
spanking	anger	0.636	झपाटणे
glaring	anger	0.636	चमकणारा
suicidal	anger	0.636	आत्मघाती
disgusting	anger	0.636	तिरस्कार
wound	anger	0.636	जखम
hanging	anger	0.636	लटकणे
poisoned	anger	0.636	विषबाधा
combatant	anger	0.636	लढाऊ
wrecked	anger	0.633	उध्वस्त
inflict	anger	0.633	लादणे
grievous	anger	0.632	गंभीर
prosecute	anger	0.630	खटला चालवा
agitated	anger	0.630	उत्तेजित
cheat	anger	0.630	फसवणूक
swastika	anger	0.627	स्वस्तिक
injure	anger	0.625	इजा करणे
indict	anger	0.625	आरोप
scourge	anger	0.625	अरिष्ट
provocation	anger	0.625	चिथावणी देणे
suffocation	anger	0.625	गुदमरणे
strife	anger	0.625	भांडण
raid	anger	0.625	छापा
enslaved	anger	0.625	गुलाम
cursing	anger	0.625	शाप
defamatory	anger	0.625	बदनामीकारक
harassing	anger	0.625	त्रास देणे
thundering	anger	0.625	गडगडाट
betray	anger	0.625	विश्वासघात करणे
arsehole	anger	0.624	आर्सेहोल
theft	anger	0.621	चोरी
insane	anger	0.621	वेडा
retaliation	anger	0.621	बदला
irritate	anger	0.621	संतप्त
deprivation	anger	0.621	वंचितता
fiend	anger	0.621	राक्षस
jerk	anger	0.621	धक्का
convict	anger	0.621	दोषी
cussed	anger	0.619	cussed
turmoil	anger	0.618	गोंधळ
smack	anger	0.615	चापटी
retribution	anger	0.614	बदला
rebellion	anger	0.609	बंडखोरी
oppressor	anger	0.609	अत्याचारी
gang	anger	0.609	टोळी
slavery	anger	0.609	गुलामगिरी
intolerable	anger	0.609	असह्य
adverse	anger	0.609	प्रतिकूल
injurious	anger	0.609	हानीकारक
twats	anger	0.609	twats
collision	anger	0.609	टक्कर
battery	anger	0.609	बॅटरी
bitterly	anger	0.609	कडवटपणे
antagonism	anger	0.609	विरोध
irritability	anger	0.609	चिडचिड
disgraced	anger	0.608	बदनाम
diatribe	anger	0.606	diatribe
asshole	anger	0.606	गाढव
blast	anger	0.606	स्फोट
bombardment	anger	0.606	भडिमार
irks	anger	0.606	irks
ranting	anger	0.606	रांगणे
revolution	anger	0.606	क्रांती
thug	anger	0.606	ठग
antagonistic	anger	0.606	विरोधी
irritating	anger	0.606	वाटलं
sickening	anger	0.606	त्रासदायक
discrimination	anger	0.606	भेदभाव
frustrate	anger	0.604	निराश
insult	anger	0.603	अपमान
hurtful	anger	0.603	त्रासदायक
oppression	anger	0.603	दडपशाही
manipulation	anger	0.603	हाताळणी
tiredofit	anger	0.603	थकवा
bigot	anger	0.603	धर्मांध
tension	anger	0.603	तणाव
disgust	anger	0.602	किळस
spite	anger	0.600	असूनही
intrusive	anger	0.598	अनाहूत
harshness	anger	0.597	कठोरपणा
slur	anger	0.596	गाळ
tempest	anger	0.594	वादळ
assail	anger	0.594	हल्ला
bitterness	anger	0.594	कटुता
morbidity	anger	0.594	विकृती
casualty	anger	0.594	अपघात
puncture	anger	0.594	पंचर
miserable	anger	0.594	दयनीय
inferno	anger	0.594	नरक
invasion	anger	0.594	आक्रमण
storming	anger	0.594	वादळी
wretch	anger	0.594	वाईट
consternation	anger	0.592	अस्वस्थता
raving	anger	0.591	बडबड
forcibly	anger	0.591	जबरदस्तीने
guillotine	anger	0.591	गिलोटिन
guilty	anger	0.591	दोषी
depraved	anger	0.591	भ्रष्ट
immoral	anger	0.591	अनैतिक
overpowering	anger	0.591	जबरदस्त
scare	anger	0.588	घाबरवणे
recalcitrant	anger	0.588	अविचारी
screwed	anger	0.588	खराब
accursed	anger	0.588	शापित
soannoyed	anger	0.588	नाराज
invader	anger	0.588	आक्रमण करणारा
jealousy	anger	0.587	मत्सर
indignation	anger	0.587	संताप
vexed	anger	0.586	नाराज
confront	anger	0.582	सामना
brute	anger	0.581	पाशवी
throttle	anger	0.579	थ्रोटल
slut	anger	0.578	कुत्री
coup	anger	0.578	सत्तापालट
blaze	anger	0.578	झगमगाट
pillage	anger	0.578	लुटणे
provoking	anger	0.578	उत्तेजक
damage	anger	0.578	नुकसान
criminality	anger	0.578	गुन्हेगारी
shutup	anger	0.578	बंद
lash	anger	0.578	फटके
conflict	anger	0.578	संघर्ष
contentious	anger	0.578	वादग्रस्त
shutit	anger	0.578	बंद
wreck	anger	0.578	नाश
defiant	anger	0.578	विरोधक
butcher	anger	0.578	खाटीक
incarceration	anger	0.578	तुरुंगवास
revolver	anger	0.578	रिव्हॉल्व्हर
bickering	anger	0.578	भांडण
yousuck	anger	0.578	तू चोखणे
cancer	anger	0.577	कर्करोग
discriminate	anger	0.576	भेदभाव करणे
gun	anger	0.576	बंदूक
frustration	anger	0.576	निराशा
gory	anger	0.576	रक्तरंजित
pernicious	anger	0.576	अपायकारक
dontmess	anger	0.576	गोंधळ
blasphemy	anger	0.576	निंदा
chaotic	anger	0.576	गोंधळलेला
grope	anger	0.576	हातपाय मारणे
alienation	anger	0.576	परकेपणा
disturbance	anger	0.576	अडथळा
condescension	anger	0.576	संवेदना
standoff	anger	0.576	स्टँडऑफ
discord	anger	0.576	मतभेद
friggen	anger	0.575	friggen
sneer	anger	0.574	उपहास करणे
death	anger	0.574	मृत्यू
lunacy	anger	0.574	वेडेपणा
scandalous	anger	0.574	निंदनीय
oppressive	anger	0.574	जाचक
jab	anger	0.574	धक्का
cursed	anger	0.574	शापित
monstrosity	anger	0.574	राक्षसीपणा
shit	anger	0.573	बकवास
disparaging	anger	0.571	अपमानास्पद
slash	anger	0.571	स्लॅश
unfair	anger	0.571	अयोग्य
gallows	anger	0.570	फाशी
escalate	anger	0.569	वाढवणे
intolerant	anger	0.564	असहिष्णु
lawlessness	anger	0.563	अधर्म
beast	anger	0.562	पशू
torpedo	anger	0.562	टॉर्पेडो
malign	anger	0.562	अपायकारक
traitor	anger	0.562	देशद्रोही
frightful	anger	0.562	भयावह
wrangling	anger	0.562	भांडण
slander	anger	0.562	निंदा
bellows	anger	0.562	घुंगरू
retards	anger	0.562	मंद
grouchy	anger	0.562	उग्र
derogatory	anger	0.562	अपमानास्पद
bearish	anger	0.562	मंदीचा
invade	anger	0.562	आक्रमण करणे
perdition	anger	0.562	नाश
arghh	anger	0.562	अर्घह
dreadful	anger	0.562	भितीदायक
bluddy	anger	0.562	लालसर
deceived	anger	0.562	फसवले
glare	anger	0.562	चकाकी
taunt	anger	0.562	टोमणे
dissension	anger	0.561	मतभेद
cross	anger	0.561	फुली
rave	anger	0.561	बडबड
grating	anger	0.561	जाळी
devastating	anger	0.561	विनाशकारी
fits	anger	0.561	बसते
jeopardize	anger	0.561	धोक्यात घालणे
shatter	anger	0.561	तुकडे करणे
idiots	anger	0.561	मूर्ख
hurt	anger	0.561	दुखापत
thief	anger	0.561	चोर
uncontrollable	anger	0.561	अनियंत्रित
conflagration	anger	0.561	जळजळ
betrayal	anger	0.561	विश्वासघात
banshee	anger	0.561	बनशी
subjugation	anger	0.559	अधीनता
disturbed	anger	0.559	अस्वस्थ
stomped	anger	0.557	स्टॉम्प केलेले
grab	anger	0.557	झडप घालणे
grievance	anger	0.556	तक्रार
ticked	anger	0.556	टिक केलेले
masochism	anger	0.556	masochism
defiance	anger	0.552	अवज्ञा
blackmail	anger	0.550	ब्लॅकमेल
offensive	anger	0.549	आक्षेपार्ह
decry	anger	0.548	डिक्री
frustrates	anger	0.547	निराश करते
violation	anger	0.547	उल्लंघन
confine	anger	0.547	मर्यादित करणे
misery	anger	0.547	दुःख
arghhhh	anger	0.547	अर्घहह
disparity	anger	0.547	असमानता
punishment	anger	0.547	शिक्षा
rebel	anger	0.547	बंडखोर
preposterous	anger	0.547	निरर्थक
disgraceful	anger	0.547	लज्जास्पद
ire	anger	0.547	राग
deceive	anger	0.547	फसवणे
fustrated	anger	0.547	निराश
sin	anger	0.547	पाप
shrill	anger	0.547	कर्कश
darkside	anger	0.547	काळी बाजू
overbearing	anger	0.547	दबदबा
firearms	anger	0.547	बंदुक
stolen	anger	0.546	चोरीला
hadenough	anger	0.546	पुरेसे
prejudice	anger	0.545	गाठ
tackle	anger	0.545	हाताळणे
resentful	anger	0.545	नाराज
heated	anger	0.545	गरम
callous	anger	0.545	कठोर
conspirator	anger	0.545	कट रचणारा
ruined	anger	0.545	उध्वस्त
antagonist	anger	0.545	विरोधी
skirmish	anger	0.545	चकमक
menace	anger	0.545	धोका
annoyin	anger	0.545	त्रासदायक
foul	anger	0.545	वाईट
argument	anger	0.545	युक्तिवाद
humiliate	anger	0.545	अपमानित करणे
wanker	anger	0.545	डगमगणारा
adversary	anger	0.545	शत्रू
sting	anger	0.544	डंक
entangled	anger	0.544	अडकलेले
grumble	anger	0.544	बडबड
robbery	anger	0.544	दरोडा
outcry	anger	0.544	आक्रोश
resistance	anger	0.543	प्रतिकार
irreconcilable	anger	0.543	जुळत नाही
obstructive	anger	0.542	अडथळा आणणारा
dismay	anger	0.540	दहशत
mob	anger	0.538	जमाव
juststop	anger	0.537	फक्त थांबा
badness	anger	0.536	वाईटपणा
ridicule	anger	0.534	उपहास
incendiary	anger	0.533	आग लावणारा
flares	anger	0.532	ज्वाला
twofaced	anger	0.531	दुहेरी
reckless	anger	0.531	बेपर्वा
communism	anger	0.531	साम्यवाद
allegation	anger	0.531	आरोप
prejudicial	anger	0.531	पूर्वग्रहदूषित
whip	anger	0.531	चाबूक
unbridled	anger	0.531	बेलगाम
degeneracy	anger	0.531	अध:पतन
intruder	anger	0.531	घुसखोर
belittle	anger	0.531	तुच्छता
confinement	anger	0.531	बंदिस्त
dispute	anger	0.531	वाद
exacerbation	anger	0.531	तीव्रता
uprising	anger	0.531	उठाव
unjust	anger	0.530	अन्यायकारक
unjustifiable	anger	0.530	अन्यायकारक
perversion	anger	0.530	विकृती
bigoted	anger	0.530	धर्मांध
fiesty	anger	0.530	उत्साही
offender	anger	0.530	अपराधी
dictatorial	anger	0.530	हुकूमशाही
hassle	anger	0.530	त्रास
dissonance	anger	0.530	विसंगती
tackled	anger	0.530	हाताळले
renegade	anger	0.529	धर्मत्यागी
cantstandit	anger	0.529	टिकू शकत नाही
trespass	anger	0.529	अतिक्रमण
hot	anger	0.529	गरम
prison	anger	0.529	तुरुंग
suicide	anger	0.521	आत्महत्या
annoy	anger	0.520	त्रास देणे
leavemealone	anger	0.517	लीव्हमॅलोन
cretins	anger	0.516	क्रेटिन्स
depravity	anger	0.516	भ्रष्टता
idiotic	anger	0.516	मूर्ख
dishonest	anger	0.516	अप्रामाणिक
distrust	anger	0.516	अविश्वास
broil	anger	0.516	भांडणे
grrr	anger	0.516	grrr
criticize	anger	0.516	टीका करणे
inimical	anger	0.516	वैमनस्यपूर्ण
tortious	anger	0.516	त्रासदायक
prisoner	anger	0.516	कैदी
treason	anger	0.516	देशद्रोह
divorce	anger	0.516	घटस्फोट
venting	anger	0.516	बाहेर काढणे
duress	anger	0.516	दबाव
disrespectful	anger	0.516	अनादर
poaching	anger	0.515	शिकार करणे
scold	anger	0.515	शिव्या देणे
poachers	anger	0.515	शिकारी
pow	anger	0.515	पॉव
hangry	anger	0.515	हँगरी
argumentation	anger	0.515	युक्तिवाद
frustrating	anger	0.515	निराशाजनक
unkind	anger	0.515	निर्दयी
roar	anger	0.515	गर्जना
coercion	anger	0.515	जबरदस्ती
unforgiving	anger	0.515	अक्षम्य
grump	anger	0.515	कुडकुडणे
bile	anger	0.515	पित्त
unleash	anger	0.515	मुक्त करणे
chaos	anger	0.515	गोंधळ
victimized	anger	0.515	बळी
jerks	anger	0.515	मूर्ख माणसे
tussle	anger	0.514	भांडण
bane	anger	0.511	बाणे
accusation	anger	0.510	आरोप
enmity	anger	0.510	शत्रुत्व
repudiation	anger	0.510	खंडन
banish	anger	0.509	हद्दपार करणे
disfigured	anger	0.508	विकृत
storm	anger	0.507	वादळ
crazy	anger	0.500	वेडा
hammering	anger	0.500	हातोडा
defy	anger	0.500	अवमान करणे
antithesis	anger	0.500	विरोधी
scoff	anger	0.500	उपहास
anguish	anger	0.500	वेदना
confined	anger	0.500	मर्यादीत
fear	anger	0.500	भीती
bout	anger	0.500	चढाओढ
unruly	anger	0.500	अनियंत्रित
delusional	anger	0.500	भ्रामक
obstruct	anger	0.500	अडथळा
possessed	anger	0.500	ताब्यात
injustice	anger	0.500	अन्याय
fervor	anger	0.500	उत्साह
spear	anger	0.500	भाला
derision	anger	0.500	उपहास
intractable	anger	0.500	असह्य
reject	anger	0.500	नाकारणे
dominate	anger	0.500	वर्चस्व
ordeal	anger	0.500	अग्निपरीक्षा
banished	anger	0.500	निर्वासित
rejects	anger	0.500	नाकारतो
shun	anger	0.500	दूर करणे
brunt	anger	0.500	झटका
derogation	anger	0.500	अपमान
frenzied	anger	0.500	उन्माद
animus	anger	0.500	शत्रुत्व
suppression	anger	0.500	दडपशाही
malpractice	anger	0.500	गैरव्यवहार
brazen	anger	0.500	निर्लज्ज
foaming	anger	0.500	फोमिंग
disrupting	anger	0.500	व्यत्यय आणणारा
nobodycares	anger	0.500	कुणालाच काळजी नाही
patronising	anger	0.500	संरक्षण
getoveryourself	anger	0.495	स्वत: वर मिळवा
toughness	anger	0.492	कणखरपणा
stupidpeople	anger	0.492	मूर्ख लोक
madness	anger	0.491	वेडेपणा
sinful	anger	0.491	पापी
avarice	anger	0.490	लालसा
oppress	anger	0.490	अत्याचार
cutting	anger	0.485	कटिंग
anathema	anger	0.485	वेदना
annoyed	anger	0.485	नाराज
dissident	anger	0.485	असंतुष्ट
demand	anger	0.485	मागणी
usurp	anger	0.485	हडप
claw	anger	0.485	पंजा
alienate	anger	0.485	दुरावणे
infraction	anger	0.485	उल्लंघन
avenger	anger	0.485	बदला घेणारा
revoke	anger	0.485	मागे घेणे
smuggler	anger	0.485	तस्कर
abolish	anger	0.485	रद्द
fricking	anger	0.485	फ्रिकिंग
stayaway	anger	0.485	लांब रहा
