English Word	Emotion	Emotion-Intensity-Score	Russian Word
firearms	anger	0.547	огнестрельное оружие
stolen	anger	0.546	украденный
hadenough	anger	0.546	достаточно
prejudice	anger	0.545	предрассудки
tackle	anger	0.545	снасти
resentful	anger	0.545	обиженный
heated	anger	0.545	с подогревом
callous	anger	0.545	черствый
conspirator	anger	0.545	заговорщик
ruined	anger	0.545	разрушенный
antagonist	anger	0.545	антагонист
skirmish	anger	0.545	стычка
menace	anger	0.545	угроза
annoyin	anger	0.545	раздражает
foul	anger	0.545	грязный
argument	anger	0.545	аргумент
humiliate	anger	0.545	унижать
wanker	anger	0.545	дрочер
adversary	anger	0.545	противник
sting	anger	0.544	жало
entangled	anger	0.544	запутанный
grumble	anger	0.544	ворчать
robbery	anger	0.544	ограбление
outcry	anger	0.544	протест
resistance	anger	0.543	сопротивление
irreconcilable	anger	0.543	непримиримый
obstructive	anger	0.542	обструктивный
dismay	anger	0.540	тревога
mob	anger	0.538	толпа
juststop	anger	0.537	просто перестань
badness	anger	0.536	злость
ridicule	anger	0.534	насмешка
incendiary	anger	0.533	зажигательный
flares	anger	0.532	вспышки
twofaced	anger	0.531	двуликий
reckless	anger	0.531	безрассудный
communism	anger	0.531	коммунизм
allegation	anger	0.531	обвинение
prejudicial	anger	0.531	предвзятый
whip	anger	0.531	хлыст
unbridled	anger	0.531	необузданный
degeneracy	anger	0.531	вырождение
intruder	anger	0.531	нарушитель
belittle	anger	0.531	принижать
confinement	anger	0.531	заключение
dispute	anger	0.531	спор
exacerbation	anger	0.531	обострение
uprising	anger	0.531	восстание
unjust	anger	0.530	несправедливый
unjustifiable	anger	0.530	неоправданный
perversion	anger	0.530	извращение
bigoted	anger	0.530	фанатичный
fiesty	anger	0.530	веселый
offender	anger	0.530	преступник
dictatorial	anger	0.530	диктаторский
hassle	anger	0.530	хлопот
dissonance	anger	0.530	диссонанс
tackled	anger	0.530	занялся
renegade	anger	0.529	ренегат
cantstandit	anger	0.529	терпеть не могу
trespass	anger	0.529	посягательство
hot	anger	0.529	горячий
prison	anger	0.529	тюрьма
suicide	anger	0.521	самоубийство
annoy	anger	0.520	раздражать
leavemealone	anger	0.517	Оставь меня в покое
cretins	anger	0.516	кретины
depravity	anger	0.516	разврат
idiotic	anger	0.516	идиотский
dishonest	anger	0.516	нечестный
distrust	anger	0.516	недоверие
broil	anger	0.516	жарить
grrr	anger	0.516	гррр
criticize	anger	0.516	критиковать
inimical	anger	0.516	враждебный
tortious	anger	0.516	деликтный
prisoner	anger	0.516	заключенный
treason	anger	0.516	измена
divorce	anger	0.516	развод
venting	anger	0.516	вентиляция
duress	anger	0.516	принуждение
disrespectful	anger	0.516	неуважительный
poaching	anger	0.515	браконьерство
scold	anger	0.515	ругать
poachers	anger	0.515	браконьеры
pow	anger	0.515	паф
hangry	anger	0.515	голодный
argumentation	anger	0.515	аргументация
frustrating	anger	0.515	раздражающий
unkind	anger	0.515	недобрый
roar	anger	0.515	рев
coercion	anger	0.515	принуждение
unforgiving	anger	0.515	неумолимый
grump	anger	0.515	сварливый
bile	anger	0.515	желчь
unleash	anger	0.515	дать волю
chaos	anger	0.515	хаос
victimized	anger	0.515	жертва
jerks	anger	0.515	придурки
tussle	anger	0.514	борьба
bane	anger	0.511	проклятие
accusation	anger	0.510	обвинение
enmity	anger	0.510	враждебность
repudiation	anger	0.510	отказ
banish	anger	0.509	изгнать
disfigured	anger	0.508	обезображенный
storm	anger	0.507	буря
crazy	anger	0.500	псих
hammering	anger	0.500	молоток
defy	anger	0.500	бросать вызов
antithesis	anger	0.500	антитеза
scoff	anger	0.500	насмехаться
anguish	anger	0.500	тоска
confined	anger	0.500	замкнутый
fear	anger	0.500	страх
bout	anger	0.500	бой
unruly	anger	0.500	непослушный
delusional	anger	0.500	бредовый
obstruct	anger	0.500	препятствовать
possessed	anger	0.500	одержимый
injustice	anger	0.500	несправедливость
fervor	anger	0.500	рвение
spear	anger	0.500	копье
derision	anger	0.500	насмешка
intractable	anger	0.500	неподатливый
reject	anger	0.500	отклонять
dominate	anger	0.500	доминировать
ordeal	anger	0.500	испытание
banished	anger	0.500	изгнан
rejects	anger	0.500	отвергает
shun	anger	0.500	избегайте
brunt	anger	0.500	главный удар
derogation	anger	0.500	отступление
frenzied	anger	0.500	бешеный
animus	anger	0.500	враждебность
suppression	anger	0.500	подавление
malpractice	anger	0.500	злоупотребление служебным положением
brazen	anger	0.500	наглый
foaming	anger	0.500	пенообразование
disrupting	anger	0.500	нарушение
nobodycares	anger	0.500	никому нет дела
patronising	anger	0.500	покровительственный
getoveryourself	anger	0.495	Преодолей себя
toughness	anger	0.492	прочность
stupidpeople	anger	0.492	глупые люди
madness	anger	0.491	безумие
sinful	anger	0.491	грешный
avarice	anger	0.490	жадность
oppress	anger	0.490	угнетать
cutting	anger	0.485	резка
anathema	anger	0.485	анафема
annoyed	anger	0.485	раздраженный
dissident	anger	0.485	диссидент
demand	anger	0.485	требование
usurp	anger	0.485	узурпировать
claw	anger	0.485	коготь
alienate	anger	0.485	отчуждать
infraction	anger	0.485	нарушение
avenger	anger	0.485	мститель
revoke	anger	0.485	отозвать
smuggler	anger	0.485	контрабандист
abolish	anger	0.485	отменять
fricking	anger	0.485	чертовски
stayaway	anger	0.485	держись подальше
pervert	anger	0.485	извращенец
disservice	anger	0.485	вред
disobedient	anger	0.485	непослушный
incest	anger	0.485	инцест
complaint	anger	0.485	жалоба
disapproved	anger	0.485	не одобрен
inhuman	anger	0.485	бесчеловечный
mocking	anger	0.484	насмешливый
penalty	anger	0.484	штраф
renounce	anger	0.484	отказаться
restrain	anger	0.484	сдерживать
upheaval	anger	0.484	переворот
deceit	anger	0.484	обман
obnoxious	anger	0.484	противный
imprisoned	anger	0.484	заключенный в тюрьму
strained	anger	0.484	напряженный
blame	anger	0.484	обвинять
oust	anger	0.484	вытеснить
litigious	anger	0.484	спорный
rivalry	anger	0.484	соперничество
sucker	anger	0.484	лох
opposed	anger	0.484	против
thresh	anger	0.484	молотить
disgrace	anger	0.484	позор
suspicious	anger	0.484	подозрительный
turbulence	anger	0.483	турбулентность
pound	anger	0.481	фунт
coldness	anger	0.477	холодность
ungrateful	anger	0.472	неблагодарный
stoopid	anger	0.471	тупой
battalion	anger	0.471	батальон
feudalism	anger	0.470	феодализм
hostage	anger	0.470	заложник
annoying	anger	0.470	раздражающий
dispossessed	anger	0.470	обездоленный
subversion	anger	0.470	подрывная деятельность
friction	anger	0.470	трение
jealous	anger	0.470	ревнивый
adversity	anger	0.470	несчастье
infidel	anger	0.470	неверный
gall	anger	0.470	желчь
accuser	anger	0.470	обвинитель
ram	anger	0.470	баран
armament	anger	0.470	вооружение
thump	anger	0.469	стук
dislike	anger	0.469	не нравится
steal	anger	0.469	воровать
backoff	anger	0.469	отвали
stifled	anger	0.469	задушенный
incite	anger	0.469	подстрекать
distress	anger	0.469	горе
angermanagement	anger	0.469	Управление гневом
selfish	anger	0.469	эгоистичный
injury	anger	0.469	рана
exile	anger	0.469	изгнание
insanity	anger	0.469	безумие
offense	anger	0.469	оскорбление
objection	anger	0.469	возражение
smother	anger	0.469	задушить
disruption	anger	0.469	разрушение
intolerance	anger	0.469	нетерпимость
disobey	anger	0.469	не подчиняться
selfishness	anger	0.469	эгоизм
recidivism	anger	0.469	рецидивизм
subversive	anger	0.469	подрывной
huff	anger	0.469	пыхтение
plunder	anger	0.469	грабить
opposition	anger	0.469	оппозиция
complain	anger	0.469	жаловаться
perpetrator	anger	0.469	преступник
simmer	anger	0.469	кипеть
areyoukidding	anger	0.468	ты смеешься
mug	anger	0.467	кружка
agony	anger	0.465	агония
arrogant	anger	0.461	высокомерный
sux	anger	0.456	Сукс
vent	anger	0.456	вентиляция
elimination	anger	0.456	устранение
picketing	anger	0.456	пикетирование
haughty	anger	0.456	надменный
grated	anger	0.455	тертый
flagrant	anger	0.455	вопиющий
busted	anger	0.455	разоренный
crabby	anger	0.455	раздражительный
dying	anger	0.455	умирающий
idiocy	anger	0.455	идиотизм
impermeable	anger	0.455	непроницаемый
stubbed	anger	0.455	заглушенный
