English Word	Emotion	Emotion-Intensity-Score	Scots-Gaelic Word
satanic	anger	0.828	satanach
hate	anger	0.828	fuath
ragemode	anger	0.828	ragmod
hating	anger	0.828	gràin
ruinous	anger	0.825	sgriosail
condemn	anger	0.825	dìteadh
riots	anger	0.824	aimhreitean
demolish	anger	0.824	leagail
angry	anger	0.824	feargach
extermination	anger	0.824	cur às
dickhead	anger	0.824	ceann dick
livid	anger	0.821	liobhta
madman	anger	0.820	madman
vindictive	anger	0.819	dìoghaltas
terrorist	anger	0.818	ceannairceach
threaten	anger	0.818	bagairt
venomous	anger	0.818	puinnseanta
hateyou	anger	0.818	fuath leat
ferocity	anger	0.818	fealltachd
effyou	anger	0.818	eff thu
abhor	anger	0.816	gràin
carnage	anger	0.814	feòil-itheach
savage	anger	0.814	borb
atrocity	anger	0.814	buaireadh
fucksake	anger	0.812	fòghail
abuse	anger	0.812	mì-ghnàthachadh
fierce	anger	0.812	fann
destroyer	anger	0.812	sgriosadair
angrytweet	anger	0.812	feargachtweet
barbaric	anger	0.812	barbarach
vendetta	anger	0.812	vendetta
pissesmeoff	anger	0.812	pissesmeoff
pissedoff	anger	0.812	Claoidhte
tyrant	anger	0.812	tyrant
berserk	anger	0.812	berserk
fuming	anger	0.812	faireachduinn
anger	anger	0.811	fearg
pieceofshit	anger	0.810	pìos sgith
punched	anger	0.803	air a bhualadh
punching	anger	0.803	punch
slam	anger	0.803	slam
homicide	anger	0.803	fèin-mharbhadh
bitch	anger	0.803	galla
fights	anger	0.803	sabaid
ruthless	anger	0.797	neo-thruaillidh
villainous	anger	0.797	borb
destructive	anger	0.797	millteach
slap	anger	0.791	slap
riot	anger	0.788	aimhreit
growthefuckup	anger	0.788	fàs suas
punishing	anger	0.788	peanasachadh
slaughterhouse	anger	0.788	taigh-spadaidh
yelling	anger	0.788	ag èigheach
diabolical	anger	0.788	diabolach
destroyed	anger	0.788	sgrios
ragetweet	anger	0.788	ragetweet
retaliatory	anger	0.788	dìoghaltas
manslaughter	anger	0.783	fear-marbhadh
clash	anger	0.783	chlais
quarrel	anger	0.781	ceasnachadh
bloody	anger	0.781	fuilteach
hellish	anger	0.781	ifrinn
sinister	anger	0.781	sinistreil
loath	anger	0.781	gràin
detonation	anger	0.781	spreadhadh
accusing	anger	0.779	a' casaid
fumin	anger	0.779	fumin
hateeee	anger	0.779	fuathaiche
treacherous	anger	0.779	fealltach
madder	anger	0.773	madadh
horrific	anger	0.773	oillteil
revulsion	anger	0.773	reultachadh
retaliate	anger	0.773	dìoghaltas
scorn	anger	0.769	tàir
bomb	anger	0.766	boma
deplorable	anger	0.766	dòrainneach
devastation	anger	0.765	sgrios
anarchist	anger	0.765	anarchist
firestorm	anger	0.765	stoirm-teine
resent	anger	0.765	dioghaltas
contemptible	anger	0.764	tàireil
shittest	anger	0.760	bu mhiosa
rant	anger	0.758	radh
cruel	anger	0.758	cruadalach
deadly	anger	0.758	marbhtach
smash	anger	0.758	smèid
soangry	anger	0.758	cianail
outburst	anger	0.757	ar-a-mach
snarl	anger	0.754	snarl
profane	anger	0.750	mi-naomh
revolting	anger	0.750	ar-a-mach
aggravating	anger	0.750	a' fàs nas miosa
horror	anger	0.750	uamhas
despise	anger	0.750	tàir
offend	anger	0.750	oilbheum
stfu	anger	0.750	stfu
vulgarity	anger	0.750	luaineachd
crazed	anger	0.750	sgith
douchebags	anger	0.750	bagannan douche
growling	anger	0.750	ag èigheach
dontmesswithme	anger	0.750	na gabh dragh rium
screaming	anger	0.742	sgreadail
threat	anger	0.742	bagairt
erupt	anger	0.742	sprèadhadh
horrible	anger	0.742	uamhasach
molestation	anger	0.742	buaireadh
fuckedoff	anger	0.742	sgith
violence	anger	0.742	fòirneart
bastards	anger	0.741	bastards
revenge	anger	0.738	dìoghaltas
menacing	anger	0.735	bagarrach
crushing	anger	0.735	pronnadh
damn	anger	0.735	damnadh
catastrophe	anger	0.735	mòr-thubaist
demon	anger	0.735	deamhan
argue	anger	0.734	argamaid
persecute	anger	0.734	geur-leanmhuinn
deplore	anger	0.734	greas
flog	anger	0.734	flog
fedup	anger	0.734	Seachd sgìth
riotous	anger	0.734	aimhreiteach
vehement	anger	0.734	cradh
revolt	anger	0.734	ar-a-mach
warfare	anger	0.734	cogadh
thrash	anger	0.734	thrash
altercation	anger	0.729	atharrais
warlike	anger	0.728	cogaidh
shitday	anger	0.727	latha shit
mutiny	anger	0.727	ceannairc
castrate	anger	0.727	sgathadh
sabotage	anger	0.727	sabotàis
malevolent	anger	0.721	mi-mhodhail
strike	anger	0.721	bualadh
disaster	anger	0.721	mòr-thubaist
disastrous	anger	0.720	tubaisteach
bastarding	anger	0.719	bastardadh
treachery	anger	0.719	feall
arseholes	anger	0.719	arseholes
horseshit	anger	0.719	each
slay	anger	0.719	marbhadh
disdain	anger	0.719	dìmeas
aggravates	anger	0.719	a' fàs nas miosa
brutal	anger	0.719	brùideil
scorching	anger	0.719	sgur
devil	anger	0.719	diabhal
madden	anger	0.719	madadh
spiteful	anger	0.719	spìosrach
scream	anger	0.719	sgread
choke	anger	0.719	tachdadh
vermin	anger	0.719	meanbh-bhiastagan
tumult	anger	0.719	buaireadh
criminal	anger	0.714	eucorach
mangle	anger	0.714	mangle
anarchism	anger	0.714	anarchism
mutilation	anger	0.714	milleadh
denunciation	anger	0.713	àicheadh
punch	anger	0.713	punc
virulence	anger	0.712	fòirneart
fatal	anger	0.712	marbhtach
hurting	anger	0.712	gortachadh
crucifixion	anger	0.712	ceusadh
dontlikeyou	anger	0.712	cha toil leat
blasphemous	anger	0.712	toibheumach
holocaust	anger	0.712	holocaust
dumbasses	anger	0.712	dumbass
battled	anger	0.712	sabaid
deranged	anger	0.706	deranged
irritated	anger	0.706	iriosal
atrocious	anger	0.706	eagallach
evil	anger	0.706	olc
aggravated	anger	0.703	air fhàsachadh
intimidation	anger	0.703	eagal
dicks	anger	0.703	diasan
assassin	anger	0.703	murtair
scolding	anger	0.703	scolding
persecution	anger	0.703	geur-leanmhuinn
slayer	anger	0.703	marbhaiche
kidnap	anger	0.703	fuadach
aggression	anger	0.702	ionnsaigheachd
armed	anger	0.700	armaichte
battle	anger	0.697	cath
poison	anger	0.697	puinnsean
snarling	anger	0.697	snarling
venom	anger	0.697	nimh
disgruntled	anger	0.693	diombach
resentment	anger	0.691	dioghaltas
assailant	anger	0.691	neach-ionnsaigh
insidious	anger	0.691	maslach
contemptuous	anger	0.690	tàireil
lynch	anger	0.690	lus
temper	anger	0.688	tàmailt
terrible	anger	0.688	uamhasach
disparage	anger	0.688	dìmeas
lunatic	anger	0.688	gealaich
bully	anger	0.688	burraidh
mad	anger	0.688	cuthach
makesmemad	anger	0.688	a' deanamh meamnach
infanticide	anger	0.688	leanabaidh
domination	anger	0.688	uachdaranachd
peeved	anger	0.688	sgith
imprisonment	anger	0.688	prìosain
curse	anger	0.688	mallachd
volatility	anger	0.687	luaineachd
eradication	anger	0.685	cur às
eradicate	anger	0.682	cur às
tantrum	anger	0.682	tantrum
scoundrel	anger	0.682	scoundrel
devastate	anger	0.682	sgrios
aggressively	anger	0.680	ionnsaigheach
agitation	anger	0.680	buaireadh
dictatorship	anger	0.676	deachdaireachd
irritates	anger	0.676	irioslachd
profanity	anger	0.673	mi-naomhachd
shove	anger	0.672	sluasaid
nasty	anger	0.672	neonach
shot	anger	0.672	peilear
cruelly	anger	0.672	gu cruaidh
shoot	anger	0.672	losgadh
condemnation	anger	0.672	dìteadh
crushed	anger	0.672	pronnadh
aggravation	anger	0.672	fàsachadh
poisonous	anger	0.672	puinnseanta
egregious	anger	0.672	uamhasach
crime	anger	0.672	eucoir
corrupting	anger	0.672	truaillidh
dastardly	anger	0.672	gu suarach
contempt	anger	0.672	tàir
harmful	anger	0.672	cronail
expletive	anger	0.672	farsaing
wreak	anger	0.672	rùisg
maniac	anger	0.670	maniac
cutthroat	anger	0.667	cutthroat
enemy	anger	0.667	nàmhaid
hit	anger	0.667	buail
hateeveryone	anger	0.667	fuath a h-uile duine
eruption	anger	0.667	sprèadhadh
irritable	anger	0.667	iriosal
odious	anger	0.667	gràineil
shooting	anger	0.667	losgadh
shout	anger	0.667	èigheach
aggressive	anger	0.667	ionnsaigheach
kick	anger	0.667	breab
combat	anger	0.667	sabaid
fight	anger	0.667	sabaid
punished	anger	0.662	air a pheanasachadh
yell	anger	0.661	èigh
ambush	anger	0.661	luideig
harass	anger	0.659	sàrachadh
malignant	anger	0.656	malignant
aggressor	anger	0.656	fear-ionnsaigh
gore	anger	0.656	goir
destruction	anger	0.656	sgrios
grudge	anger	0.656	gearan
antichrist	anger	0.656	frith-chrìosd
incense	anger	0.656	tùis
expel	anger	0.656	cur as
cranky	anger	0.653	cranky
slave	anger	0.652	tràill
reprisal	anger	0.652	dìoghaltas
growl	anger	0.652	claoidh
animosity	anger	0.652	beothalachd
insurrection	anger	0.652	ar-a-mach
clashing	anger	0.652	a' bualadh
denounce	anger	0.652	àicheadh
offended	anger	0.652	oilbheum
spank	anger	0.652	spank
insulting	anger	0.652	maslach
growls	anger	0.649	claoidh
executioner	anger	0.644	fear gu bàs
twat	anger	0.644	twat
doomsday	anger	0.643	latha domh
obscenity	anger	0.641	drabastachd
accused	anger	0.641	fo chasaid
feud	anger	0.641	feall
daemon	anger	0.641	deamhan
havoc	anger	0.641	milleadh
shackle	anger	0.641	geimhlean
inexcusable	anger	0.641	neo-sheasmhach
indignant	anger	0.641	diombach
grr	anger	0.641	grr
expulsion	anger	0.641	cur às
bombard	anger	0.641	bombard
spat	anger	0.641	spat
arson	anger	0.641	losgadh-losgaidh
reprimand	anger	0.641	cronachadh
somad	anger	0.637	somad
frustrated	anger	0.636	frionasach
batter	anger	0.636	batter
kicking	anger	0.636	breabadh
anarchy	anger	0.636	anarchy
spanking	anger	0.636	spanking
glaring	anger	0.636	glaiste
suicidal	anger	0.636	fèin-mharbhadh
disgusting	anger	0.636	sgreamhail
wound	anger	0.636	leòn
hanging	anger	0.636	a' crochadh
poisoned	anger	0.636	air a phuinnseanachadh
combatant	anger	0.636	fear-cogaidh
wrecked	anger	0.633	briste
inflict	anger	0.633	cuir a-steach
grievous	anger	0.632	truagh
prosecute	anger	0.630	casaid
agitated	anger	0.630	air a bhuaireadh
cheat	anger	0.630	meallta
swastika	anger	0.627	swastika
injure	anger	0.625	leòn
indict	anger	0.625	indict
scourge	anger	0.625	sgiùrsadh
provocation	anger	0.625	brosnuchadh
suffocation	anger	0.625	mùchadh
strife	anger	0.625	strì
raid	anger	0.625	creach
enslaved	anger	0.625	tràilleil
cursing	anger	0.625	mallachd
defamatory	anger	0.625	mì-chliùiteach
harassing	anger	0.625	sàrachadh
thundering	anger	0.625	tàirneanach
betray	anger	0.625	bhrath
arsehole	anger	0.624	toll-toll
theft	anger	0.621	goid
insane	anger	0.621	gealtach
retaliation	anger	0.621	dìoghaltas
irritate	anger	0.621	irioslachd
deprivation	anger	0.621	easbhaidh
fiend	anger	0.621	fiend
jerk	anger	0.621	geansaidh
convict	anger	0.621	dìteadh
cussed	anger	0.619	cuasach
turmoil	anger	0.618	buaireadh
smack	anger	0.615	smoc
retribution	anger	0.614	dìoghaltas
rebellion	anger	0.609	ar-a-mach
oppressor	anger	0.609	neach-sàrachaidh
gang	anger	0.609	gang
slavery	anger	0.609	tràilleachd
intolerable	anger	0.609	do-fhulangach
adverse	anger	0.609	droch-bheusach
injurious	anger	0.609	gortach
twats	anger	0.609	duaich
collision	anger	0.609	bualadh
battery	anger	0.609	bataraidh
bitterly	anger	0.609	gu goirt
antagonism	anger	0.609	naimhdeas
irritability	anger	0.609	irioslachd
disgraced	anger	0.608	nàire
diatribe	anger	0.606	diatribe
asshole	anger	0.606	asshole
blast	anger	0.606	spreadhadh
bombardment	anger	0.606	bomadh
irks	anger	0.606	irks
ranting	anger	0.606	a' radh
revolution	anger	0.606	ar-a-mach
thug	anger	0.606	thug
antagonistic	anger	0.606	antagonist
irritating	anger	0.606	iriosal
sickening	anger	0.606	tinn
discrimination	anger	0.606	leth-bhreith
frustrate	anger	0.604	frionasach
insult	anger	0.603	masladh
hurtful	anger	0.603	gortach
oppression	anger	0.603	leatrom
manipulation	anger	0.603	làimhseachadh
tiredofit	anger	0.603	sgìth
bigot	anger	0.603	bigot
tension	anger	0.603	teannachadh
disgust	anger	0.602	tàmailt
spite	anger	0.600	a dh'aindeoin
intrusive	anger	0.598	sàrachail
harshness	anger	0.597	cruas
slur	anger	0.596	slur
tempest	anger	0.594	buaireadh
assail	anger	0.594	assail
bitterness	anger	0.594	searbhas
morbidity	anger	0.594	morbachd
casualty	anger	0.594	leòintich
puncture	anger	0.594	punc
miserable	anger	0.594	bròineach
inferno	anger	0.594	inferno
invasion	anger	0.594	ionnsaigh
storming	anger	0.594	stoirmeil
wretch	anger	0.594	truagh
consternation	anger	0.592	tàmailt
raving	anger	0.591	creachadh
forcibly	anger	0.591	gu làidir
guillotine	anger	0.591	guillotine
guilty	anger	0.591	ciontach
depraved	anger	0.591	truagh
immoral	anger	0.591	mì-mhoralta
overpowering	anger	0.591	a' toirt thairis
scare	anger	0.588	eagal
recalcitrant	anger	0.588	recalcitrant
screwed	anger	0.588	sgreadail
accursed	anger	0.588	mallaichte
soannoyed	anger	0.588	cianail
invader	anger	0.588	neach-ionnsaigh
jealousy	anger	0.587	eud
indignation	anger	0.587	fearg
vexed	anger	0.586	buaireadh
confront	anger	0.582	aghaidh
brute	anger	0.581	brùideil
throttle	anger	0.579	smeòrach
slut	anger	0.578	slut
coup	anger	0.578	cupa
blaze	anger	0.578	lasadh
pillage	anger	0.578	pillage
provoking	anger	0.578	brosnuchadh
damage	anger	0.578	milleadh
criminality	anger	0.578	eucoireach
shutup	anger	0.578	dùn do chab
lash	anger	0.578	lasadh
conflict	anger	0.578	còmhstri
contentious	anger	0.578	connspaideach
shutit	anger	0.578	dùnadh
wreck	anger	0.578	long-bhriseadh
defiant	anger	0.578	dùbhlanach
butcher	anger	0.578	bùidsear
incarceration	anger	0.578	prìosanachadh
revolver	anger	0.578	rèabhlaid
bickering	anger	0.578	a' biathadh
yousuck	anger	0.578	Tha thu grod
cancer	anger	0.577	aillse
discriminate	anger	0.576	leth-bhreith
gun	anger	0.576	gunna
frustration	anger	0.576	frustrachas
gory	anger	0.576	gorach
pernicious	anger	0.576	sgriosail
dontmess	anger	0.576	suarach
blasphemy	anger	0.576	toibheum
chaotic	anger	0.576	chaotic
grope	anger	0.576	grope
alienation	anger	0.576	coimheachadh
disturbance	anger	0.576	buaireadh
condescension	anger	0.576	condescension
standoff	anger	0.576	seasamh dheth
discord	anger	0.576	eas-aonta
friggen	anger	0.575	friogais
sneer	anger	0.574	sneer
death	anger	0.574	bàs
lunacy	anger	0.574	gealtachd
scandalous	anger	0.574	sgiamhach
oppressive	anger	0.574	leatromach
jab	anger	0.574	iob
cursed	anger	0.574	mallaichte
monstrosity	anger	0.574	uilebheist
shit	anger	0.573	shit
disparaging	anger	0.571	dìmeas
slash	anger	0.571	slaod
unfair	anger	0.571	mì-chothromach
gallows	anger	0.570	chroich
escalate	anger	0.569	àrdachadh
intolerant	anger	0.564	neo-fhulangach
lawlessness	anger	0.563	aingidheachd
beast	anger	0.562	bhiast
torpedo	anger	0.562	torpedo
malign	anger	0.562	màil
traitor	anger	0.562	neach-brathaidh
frightful	anger	0.562	eagallach
wrangling	anger	0.562	claoidhte
slander	anger	0.562	gràineil
bellows	anger	0.562	clach-mheallain
retards	anger	0.562	ag ath-aithris
grouchy	anger	0.562	grouch
derogatory	anger	0.562	mi-mhisneachail
bearish	anger	0.562	bearish
invade	anger	0.562	ionnsaigh
perdition	anger	0.562	sgrios
arghh	anger	0.562	argh
dreadful	anger	0.562	dòrainneach
bluddy	anger	0.562	doille
deceived	anger	0.562	air a mhealladh
glare	anger	0.562	deàrrsadh
taunt	anger	0.562	magadh
dissension	anger	0.561	eas-aonta
cross	anger	0.561	crois
rave	anger	0.561	fitheach
grating	anger	0.561	grathadh
devastating	anger	0.561	sgriosail
fits	anger	0.561	freagarrach
jeopardize	anger	0.561	cur an cunnart
shatter	anger	0.561	chrathadh
idiots	anger	0.561	amadain
hurt	anger	0.561	gort
thief	anger	0.561	mèirleach
uncontrollable	anger	0.561	neo-riaghlaidh
conflagration	anger	0.561	conflagration
betrayal	anger	0.561	bhrath
banshee	anger	0.561	banshee
subjugation	anger	0.559	uchd-mhacachd
disturbed	anger	0.559	dragh
stomped	anger	0.557	stobadh
grab	anger	0.557	greim
grievance	anger	0.556	gearan
ticked	anger	0.556	diog
masochism	anger	0.556	masochism
defiance	anger	0.552	eas-urram
blackmail	anger	0.550	dubh-dhubh
offensive	anger	0.549	oilbheum
decry	anger	0.548	caoineadh
frustrates	anger	0.547	sàrachadh
violation	anger	0.547	briseadh
confine	anger	0.547	cuingealachadh
misery	anger	0.547	truaighe
arghhhh	anger	0.547	arghhh
disparity	anger	0.547	eadar-dhealachadh
punishment	anger	0.547	peanas
rebel	anger	0.547	reubaltach
preposterous	anger	0.547	suarach
disgraceful	anger	0.547	tàmailteach
ire	anger	0.547	ire
deceive	anger	0.547	mhealladh
fustrated	anger	0.547	fusrated
sin	anger	0.547	pheacadh
shrill	anger	0.547	sgailc
darkside	anger	0.547	taobh dorcha
overbearing	anger	0.547	thairis air
firearms	anger	0.547	gunnaichean
stolen	anger	0.546	air a ghoid
hadenough	anger	0.546	gu leòr
prejudice	anger	0.545	claon-bhreith
tackle	anger	0.545	tac
resentful	anger	0.545	diombach
heated	anger	0.545	teasachadh
callous	anger	0.545	callach
conspirator	anger	0.545	conspirator
ruined	anger	0.545	sgrios
antagonist	anger	0.545	antagonist
skirmish	anger	0.545	sgeir
menace	anger	0.545	bagradh
annoyin	anger	0.545	annoyin
foul	anger	0.545	meallta
argument	anger	0.545	argamaid
humiliate	anger	0.545	iriosal
wanker	anger	0.545	ceansaiche
adversary	anger	0.545	nàmhaid
sting	anger	0.544	gath
entangled	anger	0.544	an sàs
grumble	anger	0.544	gearan
robbery	anger	0.544	robaireachd
outcry	anger	0.544	ar-a-mach
resistance	anger	0.543	an aghaidh
irreconcilable	anger	0.543	neo-iomchuidh
obstructive	anger	0.542	bacadh
dismay	anger	0.540	diombach
mob	anger	0.538	mob
juststop	anger	0.537	dìreach stad
badness	anger	0.536	olcas
ridicule	anger	0.534	magadh
incendiary	anger	0.533	loisgeach
flares	anger	0.532	lasraichean
twofaced	anger	0.531	dà-aghaidh
reckless	anger	0.531	neo-chùramach
communism	anger	0.531	co-mhaoineas
allegation	anger	0.531	casaid
prejudicial	anger	0.531	claon-bhreith
whip	anger	0.531	cuip
unbridled	anger	0.531	gun choimeas
degeneracy	anger	0.531	diadhachd
intruder	anger	0.531	neach-ionnsaigh
belittle	anger	0.531	creachadh
confinement	anger	0.531	cuibhreachadh
dispute	anger	0.531	aimhreit
exacerbation	anger	0.531	fàsachadh
uprising	anger	0.531	ar-a-mach
unjust	anger	0.530	mì-cheart
unjustifiable	anger	0.530	neo-fhìreanta
perversion	anger	0.530	buaireadh
bigoted	anger	0.530	mòr
fiesty	anger	0.530	fiamh
offender	anger	0.530	ciontach
dictatorial	anger	0.530	deachdaire
hassle	anger	0.530	trioblaid
dissonance	anger	0.530	eas-aonta
tackled	anger	0.530	air an aghaidh
renegade	anger	0.529	renegade
cantstandit	anger	0.529	neo-sheasmhach
trespass	anger	0.529	eucoir
hot	anger	0.529	teth
prison	anger	0.529	prìosan
suicide	anger	0.521	fèin-mharbhadh
annoy	anger	0.520	buaireadh
leavemealone	anger	0.517	Fàg mi leam fhìn
cretins	anger	0.516	cretin
depravity	anger	0.516	truaillidheachd
idiotic	anger	0.516	leth-sgeul
dishonest	anger	0.516	mi-onarach
distrust	anger	0.516	eas-earbsa
broil	anger	0.516	broil
grrr	anger	0.516	grrr
criticize	anger	0.516	càineadh
inimical	anger	0.516	ionmhuinn
tortious	anger	0.516	cràiteach
prisoner	anger	0.516	phrìosanach
treason	anger	0.516	brathadh
divorce	anger	0.516	sgaradh-pòsaidh
venting	anger	0.516	a' spealadh
duress	anger	0.516	èiginn
disrespectful	anger	0.516	eas-urramach
poaching	anger	0.515	poidseadh
scold	anger	0.515	sgail
poachers	anger	0.515	poidsearan
pow	anger	0.515	poth
hangry	anger	0.515	acrach
argumentation	anger	0.515	argamaid
frustrating	anger	0.515	sàrachail
unkind	anger	0.515	mì-mhodhail
roar	anger	0.515	ruaig
coercion	anger	0.515	co-èigneachadh
unforgiving	anger	0.515	neo-thròcaireach
grump	anger	0.515	gruaim
bile	anger	0.515	bile
unleash	anger	0.515	sgaoil
chaos	anger	0.515	caos
victimized	anger	0.515	fhulang
jerks	anger	0.515	geansaidh
tussle	anger	0.514	tuisleadh
bane	anger	0.511	bana
accusation	anger	0.510	casaid
enmity	anger	0.510	naimhdeas
repudiation	anger	0.510	dìoghaltas
banish	anger	0.509	fuadach
disfigured	anger	0.508	mì-dhealbhaichte
storm	anger	0.507	stoirm
crazy	anger	0.500	seòlta
hammering	anger	0.500	ùird
defy	anger	0.500	dùbhlan
antithesis	anger	0.500	antithesis
scoff	anger	0.500	magadh
anguish	anger	0.500	cràdh
confined	anger	0.500	cuingealaichte
fear	anger	0.500	eagal
bout	anger	0.500	bout
unruly	anger	0.500	mi-rianail
delusional	anger	0.500	mealltach
obstruct	anger	0.500	bacadh
possessed	anger	0.500	seilbh
injustice	anger	0.500	ana-ceartas
fervor	anger	0.500	fiabhrus
spear	anger	0.500	sleagh
derision	anger	0.500	magadh
intractable	anger	0.500	do-ruigsinneach
reject	anger	0.500	diùltadh
dominate	anger	0.500	ceannas
ordeal	anger	0.500	ordeal
banished	anger	0.500	air fhuadach
rejects	anger	0.500	a' diùltadh
shun	anger	0.500	shuain
brunt	anger	0.500	bruthach
derogation	anger	0.500	lasachadh
frenzied	anger	0.500	freasdalach
animus	anger	0.500	anamus
suppression	anger	0.500	uchd-mhacachd
malpractice	anger	0.500	mì-ghnàthachadh
brazen	anger	0.500	umha
foaming	anger	0.500	foamadh
disrupting	anger	0.500	a' buaireadh
nobodycares	anger	0.500	chan eil duine a 'gabhail cùram
patronising	anger	0.500	patronizing
getoveryourself	anger	0.495	faigh thairis thu fhèin
toughness	anger	0.492	cruas
stupidpeople	anger	0.492	daoine gòrach
madness	anger	0.491	cuthach
sinful	anger	0.491	peacach
avarice	anger	0.490	abhag
oppress	anger	0.490	leatrom
cutting	anger	0.485	buain
anathema	anger	0.485	anathema
annoyed	anger	0.485	diombach
dissident	anger	0.485	eas-aontaich
demand	anger	0.485	iarrtas
usurp	anger	0.485	usurp
claw	anger	0.485	clag
alienate	anger	0.485	coimheach
infraction	anger	0.485	foill
avenger	anger	0.485	dìoghaltair
revoke	anger	0.485	chùl-ghairm
smuggler	anger	0.485	cùl-mhùtaire
abolish	anger	0.485	cur às
fricking	anger	0.485	friochadh
stayaway	anger	0.485	fuireach air falbh
pervert	anger	0.485	sparradh
disservice	anger	0.485	eas-seirbhis
disobedient	anger	0.485	eas-umhail
incest	anger	0.485	incest
complaint	anger	0.485	gearan
disapproved	anger	0.485	eas-aontaich
inhuman	anger	0.485	mi-dhaonna
mocking	anger	0.484	magadh
penalty	anger	0.484	peanas
renounce	anger	0.484	diùltadh
restrain	anger	0.484	bacadh
upheaval	anger	0.484	ùpraid
deceit	anger	0.484	mealladh
obnoxious	anger	0.484	mi-mhodhail
imprisoned	anger	0.484	am prìosan
strained	anger	0.484	striochdadh
blame	anger	0.484	coire
oust	anger	0.484	oist
litigious	anger	0.484	laghail
rivalry	anger	0.484	còmhstri
sucker	anger	0.484	suil
opposed	anger	0.484	an aghaidh
thresh	anger	0.484	buailidh
disgrace	anger	0.484	nàire
suspicious	anger	0.484	amharasach
turbulence	anger	0.483	buaireadh
pound	anger	0.481	punnd
coldness	anger	0.477	fuachd
ungrateful	anger	0.472	mi-thaingeil
stoopid	anger	0.471	stoopid
battalion	anger	0.471	battalion
feudalism	anger	0.470	feudalism
hostage	anger	0.470	nàimhdeas
annoying	anger	0.470	brònach
dispossessed	anger	0.470	air a chur às
subversion	anger	0.470	fo-thionndadh
friction	anger	0.470	suathadh
jealous	anger	0.470	eudmhor
adversity	anger	0.470	àmhghar
infidel	anger	0.470	mi-chreideach
gall	anger	0.470	gall
accuser	anger	0.470	neach-casaid
ram	anger	0.470	reithe
armament	anger	0.470	armachd
