English Word	Emotion	Emotion-Intensity-Score	Sesotho Word
idiots	anger	0.561	dithoto
hurt	anger	0.561	bohloko
thief	anger	0.561	leshodu
uncontrollable	anger	0.561	sa laoleheng
conflagration	anger	0.561	ho chabela
betrayal	anger	0.561	ho eka
banshee	anger	0.561	banshee
subjugation	anger	0.559	ho kokobetsa
disturbed	anger	0.559	sitisoa
stomped	anger	0.557	hatakela
grab	anger	0.557	phamola
grievance	anger	0.556	tletlebo
ticked	anger	0.556	teketsoe
masochism	anger	0.556	masochism
defiance	anger	0.552	defiance
blackmail	anger	0.550	bososo
offensive	anger	0.549	khopisa
decry	anger	0.548	nyelisa
frustrates	anger	0.547	nyahamisa
violation	anger	0.547	tlolo
confine	anger	0.547	koalla
misery	anger	0.547	mahlomola
arghhhh	anger	0.547	arghhhh
disparity	anger	0.547	ho se lekane
punishment	anger	0.547	kotlo
rebel	anger	0.547	marabele
preposterous	anger	0.547	boikaketsi
disgraceful	anger	0.547	hlabisang lihlong
ire	anger	0.547	ire
deceive	anger	0.547	thetsa
fustrated	anger	0.547	fustrated
sin	anger	0.547	sebe
shrill	anger	0.547	lla
darkside	anger	0.547	lefifi
overbearing	anger	0.547	overbearing
firearms	anger	0.547	lithunya
stolen	anger	0.546	utsuitsoe
hadenough	anger	0.546	hadenough
prejudice	anger	0.545	leeme
tackle	anger	0.545	tackle
resentful	anger	0.545	koatile
heated	anger	0.545	chesitse
callous	anger	0.545	botsoa
conspirator	anger	0.545	moferefere
ruined	anger	0.545	senyehile
antagonist	anger	0.545	mohanyetsi
skirmish	anger	0.545	hlabana
menace	anger	0.545	kotsi
annoyin	anger	0.545	halefisa
foul	anger	0.545	litšila
argument	anger	0.545	khang
humiliate	anger	0.545	hlabisa
wanker	anger	0.545	wanker
adversary	anger	0.545	mohanyetsi
sting	anger	0.544	hlaba
entangled	anger	0.544	qakeletsoa
grumble	anger	0.544	korotla
robbery	anger	0.544	tlatlapo
outcry	anger	0.544	sello
resistance	anger	0.543	khanyetso
irreconcilable	anger	0.543	e sa dumellaneng
obstructive	anger	0.542	sitisang
dismay	anger	0.540	nyahamiso
mob	anger	0.538	mokhopi
juststop	anger	0.537	ema feela
badness	anger	0.536	bobe
ridicule	anger	0.534	tshotlo
incendiary	anger	0.533	moqhobi
flares	anger	0.532	malakabe
twofaced	anger	0.531	ya sefahleho tse pedi
reckless	anger	0.531	bohlasoa
communism	anger	0.531	bokomonisi
allegation	anger	0.531	qoso
prejudicial	anger	0.531	leeme
whip	anger	0.531	shapa
unbridled	anger	0.531	e sa laoleheng
degeneracy	anger	0.531	bofokoli
intruder	anger	0.531	motho ya keneletseng
belittle	anger	0.531	nyenyefatsa
confinement	anger	0.531	ho koalla
dispute	anger	0.531	khang
exacerbation	anger	0.531	exacerbation
uprising	anger	0.531	pherekano
unjust	anger	0.530	e hlokang toka
unjustifiable	anger	0.530	e sa lokang
perversion	anger	0.530	khopamiso
bigoted	anger	0.530	kgethile
fiesty	anger	0.530	e tshabehang
offender	anger	0.530	mofosi
dictatorial	anger	0.530	mohatelli
hassle	anger	0.530	tsietsi
dissonance	anger	0.530	dissonance
tackled	anger	0.530	tackled
renegade	anger	0.529	koenehi
cantstandit	anger	0.529	cantstandit
trespass	anger	0.529	tlolo
hot	anger	0.529	chesang
prison	anger	0.529	chankana
suicide	anger	0.521	ho ipolaea
annoy	anger	0.520	tena
leavemealone	anger	0.517	khaohana le 'na
cretins	anger	0.516	li-cretin
depravity	anger	0.516	bohlola
idiotic	anger	0.516	sethoto
dishonest	anger	0.516	ho se tšepahale
distrust	anger	0.516	ho se tshepe
broil	anger	0.516	khola
grrr	anger	0.516	grrr
criticize	anger	0.516	nyatsa
inimical	anger	0.516	e nyatsehang
tortious	anger	0.516	tortious
prisoner	anger	0.516	motshwaruwa
treason	anger	0.516	boipelaetso
divorce	anger	0.516	tlhalo
venting	anger	0.516	venting
duress	anger	0.516	kgatello
disrespectful	anger	0.516	e hlokang tlhompho
poaching	anger	0.515	ho tsoma
scold	anger	0.515	khalemela
poachers	anger	0.515	masholu
pow	anger	0.515	pow
hangry	anger	0.515	leketlileng
argumentation	anger	0.515	khang
frustrating	anger	0.515	ferekanyang
unkind	anger	0.515	e hlokang mosa
roar	anger	0.515	rora
coercion	anger	0.515	qobello
unforgiving	anger	0.515	e hlokang tshwarelo
grump	anger	0.515	ho korotla
bile	anger	0.515	bile
unleash	anger	0.515	lokolla
chaos	anger	0.515	pherekano
victimized	anger	0.515	hlasetsoe
jerks	anger	0.515	bahlakodi
tussle	anger	0.514	qabanya
bane	anger	0.511	bane
accusation	anger	0.510	qoso
enmity	anger	0.510	bora
repudiation	anger	0.510	ho hana
banish	anger	0.509	leleka
disfigured	anger	0.508	senyehile
storm	anger	0.507	sefefo
crazy	anger	0.500	hlanya
hammering	anger	0.500	ho otlanya
defy	anger	0.500	defy
antithesis	anger	0.500	antithesis
scoff	anger	0.500	soma
anguish	anger	0.500	mahlomola
confined	anger	0.500	koaletsoe
fear	anger	0.500	tshabo
bout	anger	0.500	bout
unruly	anger	0.500	sa laoleheng
delusional	anger	0.500	tsietsi
obstruct	anger	0.500	sitisa
possessed	anger	0.500	tshoaroa
injustice	anger	0.500	ho hloka toka
fervor	anger	0.500	cheseha
spear	anger	0.500	lerumo
derision	anger	0.500	tshotlo
intractable	anger	0.500	e sa laoleheng
reject	anger	0.500	hana
dominate	anger	0.500	busa
ordeal	anger	0.500	tsietsi
banished	anger	0.500	lelekoa
rejects	anger	0.500	hana
shun	anger	0.500	nyahame
brunt	anger	0.500	brunt
derogation	anger	0.500	nyenyefatso
frenzied	anger	0.500	hlanya
animus	anger	0.500	animus
suppression	anger	0.500	khatello
malpractice	anger	0.500	bokgopo
brazen	anger	0.500	brazen
foaming	anger	0.500	ho phophoma
disrupting	anger	0.500	sitisa
nobodycares	anger	0.500	ha ho motho ea tsotellang
patronising	anger	0.500	patronizing
getoveryourself	anger	0.495	itlhokomele
toughness	anger	0.492	boimana
stupidpeople	anger	0.492	batho ba hlokang kelello
madness	anger	0.491	bohlanya
sinful	anger	0.491	moetsadibe
avarice	anger	0.490	arice
oppress	anger	0.490	hatella
cutting	anger	0.485	ho poma
anathema	anger	0.485	anathema
annoyed	anger	0.485	tenehile
dissident	anger	0.485	mohanyetsi
demand	anger	0.485	tlhokeho
usurp	anger	0.485	bosholu
claw	anger	0.485	claw
alienate	anger	0.485	aliennate
infraction	anger	0.485	tlolo ya molao
avenger	anger	0.485	mophetetsi
revoke	anger	0.485	hlakola
smuggler	anger	0.485	mokgopi
abolish	anger	0.485	felisa
fricking	anger	0.485	qhekella
stayaway	anger	0.485	stayaway
pervert	anger	0.485	khopamisa
disservice	anger	0.485	ho hloka thuso
disobedient	anger	0.485	hlokang kutlo
incest	anger	0.485	ho kopanela liphate le mong ka motho
complaint	anger	0.485	tletlebo
disapproved	anger	0.485	nyanyetsoa
inhuman	anger	0.485	e hlokang botho
mocking	anger	0.484	tshotlo
penalty	anger	0.484	kotlo
renounce	anger	0.484	lahla
restrain	anger	0.484	thibela
upheaval	anger	0.484	pherekano
deceit	anger	0.484	thetso
obnoxious	anger	0.484	e nyonyehang
imprisoned	anger	0.484	koaletsoe
strained	anger	0.484	qhoetsoe
blame	anger	0.484	molato
oust	anger	0.484	tlosa
litigious	anger	0.484	qoso
rivalry	anger	0.484	tlholisano
sucker	anger	0.484	monyatsi
opposed	anger	0.484	hanyetsoa
thresh	anger	0.484	pola
disgrace	anger	0.484	tlontlollo
suspicious	anger	0.484	belaetsang
turbulence	anger	0.483	pherekano
pound	anger	0.481	ponto
coldness	anger	0.477	serame
ungrateful	anger	0.472	ya hlokang teboho
stoopid	anger	0.471	khopame
battalion	anger	0.471	sesole
feudalism	anger	0.470	feudalism
hostage	anger	0.470	motshwaruwa
annoying	anger	0.470	tenang
dispossessed	anger	0.470	qhaqhoa
subversion	anger	0.470	kheloso
friction	anger	0.470	khohlano
jealous	anger	0.470	mohono
adversity	anger	0.470	tsietsi
infidel	anger	0.470	motho ea sa lumeleng
gall	anger	0.470	nyooko
accuser	anger	0.470	moqosi
ram	anger	0.470	RAM
armament	anger	0.470	lihlomo
thump	anger	0.469	thupa
dislike	anger	0.469	ho se rate
steal	anger	0.469	utsoa
backoff	anger	0.469	kgutlela morao
stifled	anger	0.469	tsitlelletsoe
incite	anger	0.469	hlohlelletsa
distress	anger	0.469	mahlomola
angermanagement	anger	0.469	ho halefisa
