English Word	Emotion	Emotion-Intensity-Score	Tajik Word
indict	anger	0.625	айбнома
scourge	anger	0.625	бало
provocation	anger	0.625	игвогарй
suffocation	anger	0.625	нафастангӣ
strife	anger	0.625	низоъ
raid	anger	0.625	рейд
enslaved	anger	0.625	ғулом карда шудааст
cursing	anger	0.625	лаънат
defamatory	anger	0.625	бадномкунанда
harassing	anger	0.625	таъқибкунанда
thundering	anger	0.625	раъд
betray	anger	0.625	хиёнат кардан
arsehole	anger	0.624	арсеол
theft	anger	0.621	дуздӣ
insane	anger	0.621	девона
retaliation	anger	0.621	интиқом
irritate	anger	0.621	хашмгин кардан
deprivation	anger	0.621	маҳрумият
fiend	anger	0.621	шайтон
jerk	anger	0.621	ҷавҳар
convict	anger	0.621	маҳкумшуда
cussed	anger	0.619	лаънат кард
turmoil	anger	0.618	ноором
smack	anger	0.615	зарба задан
retribution	anger	0.614	интиқом
rebellion	anger	0.609	исьён
oppressor	anger	0.609	золим
gang	anger	0.609	гурӯҳ
slavery	anger	0.609	ғуломӣ
intolerable	anger	0.609	тоқатнопазир
adverse	anger	0.609	манфӣ
injurious	anger	0.609	зараровар
twats	anger	0.609	тватхо
collision	anger	0.609	бархӯрд
battery	anger	0.609	батарея
bitterly	anger	0.609	талх
antagonism	anger	0.609	антагонизм
irritability	anger	0.609	асабоният
disgraced	anger	0.608	расво шуда
diatribe	anger	0.606	диатриб
asshole	anger	0.606	Аҳмақ
blast	anger	0.606	таркиш
bombardment	anger	0.606	бомбаборон кардан
irks	anger	0.606	хашмгин
ranting	anger	0.606	хитоб
revolution	anger	0.606	революция
thug	anger	0.606	авбош
antagonistic	anger	0.606	антагонистй
irritating	anger	0.606	хашмгинкунанда
sickening	anger	0.606	дарднок
discrimination	anger	0.606	табъиз
frustrate	anger	0.604	ноумед кардан
insult	anger	0.603	таҳқир кардан
hurtful	anger	0.603	озордиҳанда
oppression	anger	0.603	зулм
manipulation	anger	0.603	манипуляция
tiredofit	anger	0.603	хаста
bigot	anger	0.603	бузургпараст
tension	anger	0.603	шиддат
disgust	anger	0.602	нафрат
spite	anger	0.600	кина
intrusive	anger	0.598	дахолаткунанда
harshness	anger	0.597	сахтгирй
slur	anger	0.596	дашном
tempest	anger	0.594	тундбод
assail	anger	0.594	хучум кардан
bitterness	anger	0.594	талхӣ
morbidity	anger	0.594	бемори
casualty	anger	0.594	талафот
puncture	anger	0.594	сӯрох кардан
miserable	anger	0.594	бадбахт
inferno	anger	0.594	дӯзах
invasion	anger	0.594	ҳуҷум
storming	anger	0.594	штурм
wretch	anger	0.594	бадбахт
consternation	anger	0.592	тааҷҷуб
raving	anger	0.591	девонавор
forcibly	anger	0.591	зуран
guillotine	anger	0.591	гильотина
guilty	anger	0.591	гунахгор
depraved	anger	0.591	фосид
immoral	anger	0.591	бадахлоқона
overpowering	anger	0.591	аз ҳад зиёд
scare	anger	0.588	тарсондан
recalcitrant	anger	0.588	саркаш
screwed	anger	0.588	печида
accursed	anger	0.588	лаънат
soannoyed	anger	0.588	асабонӣ
invader	anger	0.588	истилогар
jealousy	anger	0.587	рашк
indignation	anger	0.587	хашму газаб
vexed	anger	0.586	хашмгин
confront	anger	0.582	дучор шудан
brute	anger	0.581	бераҳм
throttle	anger	0.579	дроссел
slut	anger	0.578	фоҳиша
coup	anger	0.578	табаддулот
blaze	anger	0.578	аланга
pillage	anger	0.578	горат кардан
provoking	anger	0.578	иғвоангез
damage	anger	0.578	зарар
criminality	anger	0.578	ҷинояткорӣ
shutup	anger	0.578	даҳонатро пӯш
lash	anger	0.578	дарранда
conflict	anger	0.578	низоъ
contentious	anger	0.578	баҳсбарангез
shutit	anger	0.578	баста
wreck	anger	0.578	фалокат
defiant	anger	0.578	саркаш
butcher	anger	0.578	Қассоб
incarceration	anger	0.578	ба ҳабс гирифтан
revolver	anger	0.578	таппонча
bickering	anger	0.578	ҷанҷол
yousuck	anger	0.578	ту мемакӣ
cancer	anger	0.577	саратон
discriminate	anger	0.576	табъиз кардан
gun	anger	0.576	таппонча
frustration	anger	0.576	ноумедӣ
gory	anger	0.576	горй
pernicious	anger	0.576	зараровар
dontmess	anger	0.576	бепарво
blasphemy	anger	0.576	куфр
chaotic	anger	0.576	бесарусомонӣ
grope	anger	0.576	даст кашидан
alienation	anger	0.576	бегонагӣ
disturbance	anger	0.576	халалдоршавӣ
condescension	anger	0.576	таҳаммулпазирӣ
standoff	anger	0.576	муқовимат
discord	anger	0.576	ихтилоф
friggen	anger	0.575	фригген
sneer	anger	0.574	тамасхур
death	anger	0.574	марг
lunacy	anger	0.574	девонаворӣ
scandalous	anger	0.574	ҷанҷоловар
oppressive	anger	0.574	золим
jab	anger	0.574	ҷаб
cursed	anger	0.574	лаънат
monstrosity	anger	0.574	даҳшатнокӣ
shit	anger	0.573	лаънат
disparaging	anger	0.571	бадномкунанда
slash	anger	0.571	буридан
unfair	anger	0.571	ноодилона
gallows	anger	0.570	дор
escalate	anger	0.569	вусъат додан
intolerant	anger	0.564	таҳаммулнопазир
lawlessness	anger	0.563	қонуншиканӣ
beast	anger	0.562	ҳайвони ваҳшӣ
torpedo	anger	0.562	торпедо
malign	anger	0.562	бадном
traitor	anger	0.562	хоин
frightful	anger	0.562	даҳшатовар
wrangling	anger	0.562	ҷанҷол
slander	anger	0.562	тухмат
bellows	anger	0.562	балони
retards	anger	0.562	акибмонда
grouchy	anger	0.562	хашмгин
derogatory	anger	0.562	таҳқиромез
bearish	anger	0.562	хирсон
invade	anger	0.562	забт кардан
perdition	anger	0.562	ҳалокат
arghh	anger	0.562	аргх
dreadful	anger	0.562	даҳшатовар
bluddy	anger	0.562	булут
deceived	anger	0.562	фиреб дода
glare	anger	0.562	дурахшанда
taunt	anger	0.562	тамасхур
dissension	anger	0.561	ихтилоф
cross	anger	0.561	салиб
rave	anger	0.561	табъи
grating	anger	0.561	торча
devastating	anger	0.561	харобиовар
fits	anger	0.561	мувофиқат мекунад
jeopardize	anger	0.561	зери хавф гузоштан
shatter	anger	0.561	шикастан
idiots	anger	0.561	ахмакхо
hurt	anger	0.561	дард
thief	anger	0.561	дузд
uncontrollable	anger	0.561	идоранашаванда
conflagration	anger	0.561	оташфишонӣ
betrayal	anger	0.561	хиёнат
banshee	anger	0.561	банши
subjugation	anger	0.559	мутеъ шудан
disturbed	anger	0.559	халалдор шудааст
stomped	anger	0.557	поймол кард
grab	anger	0.557	дастгир кардан
grievance	anger	0.556	шикоят
ticked	anger	0.556	ишора кард
masochism	anger	0.556	мазохизм
defiance	anger	0.552	саркашӣ
blackmail	anger	0.550	шантаж
offensive	anger	0.549	хучумкунанда
decry	anger	0.548	танбеҳ кардан
frustrates	anger	0.547	ноумед мекунад
violation	anger	0.547	вайрон кардан
confine	anger	0.547	махдуд кардан
misery	anger	0.547	бадбахтӣ
arghhhh	anger	0.547	аргххх
disparity	anger	0.547	нобаробарӣ
punishment	anger	0.547	ҷазо
rebel	anger	0.547	саркаш
preposterous	anger	0.547	беақл
disgraceful	anger	0.547	нангин
ire	anger	0.547	хашмгин
deceive	anger	0.547	фиреб додан
fustrated	anger	0.547	хашмгин
sin	anger	0.547	гуноҳ
shrill	anger	0.547	тира
darkside	anger	0.547	торикӣ
overbearing	anger	0.547	бархурдор
firearms	anger	0.547	яроки оташфишон
stolen	anger	0.546	дуздида шудааст
hadenough	anger	0.546	бас
prejudice	anger	0.545	таассуб
tackle	anger	0.545	мубориза бурдан
resentful	anger	0.545	хашмгин
heated	anger	0.545	тафсон
callous	anger	0.545	дағал
conspirator	anger	0.545	фитнагар
ruined	anger	0.545	вайрон
antagonist	anger	0.545	антагонист
skirmish	anger	0.545	задухурд
menace	anger	0.545	таҳдид
annoyin	anger	0.545	хашмгин
foul	anger	0.545	фоҳиша
argument	anger	0.545	баҳс
humiliate	anger	0.545	хор кардан
wanker	anger	0.545	ванкер
adversary	anger	0.545	душман
sting	anger	0.544	неш задан
entangled	anger	0.544	печида
grumble	anger	0.544	гиря кардан
robbery	anger	0.544	ғоратгарӣ
outcry	anger	0.544	фарьёд задан
resistance	anger	0.543	муқовимат
irreconcilable	anger	0.543	оштинопазир
obstructive	anger	0.542	монеакунанда
dismay	anger	0.540	ваҳшат
mob	anger	0.538	издиҳом
juststop	anger	0.537	бас
badness	anger	0.536	бадкорӣ
ridicule	anger	0.534	масхара кардан
incendiary	anger	0.533	оташзананда
flares	anger	0.532	алангаҳо
twofaced	anger	0.531	дучанд
reckless	anger	0.531	бепарво
communism	anger	0.531	коммунизм
allegation	anger	0.531	даъво
prejudicial	anger	0.531	зараровар
whip	anger	0.531	қамчин
unbridled	anger	0.531	беандоза
degeneracy	anger	0.531	таназзул
intruder	anger	0.531	вайронкор
belittle	anger	0.531	паст кардан
confinement	anger	0.531	ҳабс
dispute	anger	0.531	баҳс
exacerbation	anger	0.531	шиддатнокӣ
uprising	anger	0.531	шуриш
unjust	anger	0.530	беадолат
unjustifiable	anger	0.530	беасос
perversion	anger	0.530	каҷравӣ
bigoted	anger	0.530	мутаассир
fiesty	anger	0.530	пурзӯр
offender	anger	0.530	ҷинояткор
dictatorial	anger	0.530	диктаторӣ
hassle	anger	0.530	давутози
dissonance	anger	0.530	диссонанс
tackled	anger	0.530	мубориза бурд
renegade	anger	0.529	муртад
cantstandit	anger	0.529	тоб оварда наметавонад
trespass	anger	0.529	вайрон кардан
hot	anger	0.529	гарм
prison	anger	0.529	зиндон
suicide	anger	0.521	худкушӣ
annoy	anger	0.520	хашмгин
leavemealone	anger	0.517	маро ба ҳолам гузоред
cretins	anger	0.516	кретинҳо
depravity	anger	0.516	бадбахтӣ
idiotic	anger	0.516	аблаҳӣ
dishonest	anger	0.516	бевиҷдон
distrust	anger	0.516	нобоварй
broil	anger	0.516	ҷӯшон
grrr	anger	0.516	гррр
criticize	anger	0.516	танкид кардан
inimical	anger	0.516	душманона
tortious	anger	0.516	азобкаш
prisoner	anger	0.516	маҳбус
treason	anger	0.516	хиёнат
divorce	anger	0.516	талоқ
venting	anger	0.516	вентилятсия
duress	anger	0.516	маҷбур кардан
disrespectful	anger	0.516	беэҳтиромӣ
poaching	anger	0.515	шикори
scold	anger	0.515	сарзаниш кардан
poachers	anger	0.515	браконьерхо
pow	anger	0.515	пов
hangry	anger	0.515	гурусна
argumentation	anger	0.515	баҳс
frustrating	anger	0.515	ноумедкунанда
unkind	anger	0.515	бераҳм
roar	anger	0.515	гурриш
coercion	anger	0.515	маҷбур кардан
unforgiving	anger	0.515	авфнопазир
grump	anger	0.515	ғамгин
bile	anger	0.515	сафро
unleash	anger	0.515	озод кардан
chaos	anger	0.515	бесарусомонй
victimized	anger	0.515	қурбон гардид
jerks	anger	0.515	ҷанҷолҳо
tussle	anger	0.514	кашмакаш
bane	anger	0.511	бало
accusation	anger	0.510	айбнома
enmity	anger	0.510	душманӣ
repudiation	anger	0.510	рад кардан
banish	anger	0.509	рондан
disfigured	anger	0.508	вайроншуда
storm	anger	0.507	тӯфон
crazy	anger	0.500	девона
hammering	anger	0.500	болга задан
defy	anger	0.500	рад кардан
antithesis	anger	0.500	зиддитеза
scoff	anger	0.500	масхара кардан
anguish	anger	0.500	изтироб
confined	anger	0.500	махдуд
fear	anger	0.500	тарс
bout	anger	0.500	мубориза
unruly	anger	0.500	беитоат
delusional	anger	0.500	гумроҳӣ
obstruct	anger	0.500	монеъ шудан
possessed	anger	0.500	соҳиби
injustice	anger	0.500	беадолатй
fervor	anger	0.500	гайрат
spear	anger	0.500	найза
derision	anger	0.500	тамасхур
intractable	anger	0.500	душвор
reject	anger	0.500	рад
dominate	anger	0.500	бартарӣ доранд
ordeal	anger	0.500	озмоиш
banished	anger	0.500	ронда шуд
rejects	anger	0.500	рад мекунад
shun	anger	0.500	парҳез кунед
brunt	anger	0.500	вазнин
derogation	anger	0.500	истисно
frenzied	anger	0.500	хашмгин
animus	anger	0.500	душманӣ
suppression	anger	0.500	пахш кардан
malpractice	anger	0.500	бадкорӣ
brazen	anger	0.500	шарманда
foaming	anger	0.500	кафк кардан
disrupting	anger	0.500	халалдор кардан
nobodycares	anger	0.500	касе парво надорад
patronising	anger	0.500	сарпарастӣ кардан
getoveryourself	anger	0.495	худро аз даст диҳед
toughness	anger	0.492	сахтгирй
stupidpeople	anger	0.492	одамони беақл
madness	anger	0.491	девонагӣ
sinful	anger	0.491	гунаҳкор
avarice	anger	0.490	хасис
oppress	anger	0.490	зулм кардан
cutting	anger	0.485	буридан
anathema	anger	0.485	анатема
annoyed	anger	0.485	хашмгин
dissident	anger	0.485	диссидент
demand	anger	0.485	талаб
usurp	anger	0.485	ғасб кардан
claw	anger	0.485	чангол
alienate	anger	0.485	бегона кардан
infraction	anger	0.485	вайрон кардан
avenger	anger	0.485	интикомгир
revoke	anger	0.485	бекор кардан
smuggler	anger	0.485	қочоқчӣ
abolish	anger	0.485	бархам додан
fricking	anger	0.485	фишурдан
stayaway	anger	0.485	дур мондан
pervert	anger	0.485	фосид
disservice	anger	0.485	хизматрасонӣ
disobedient	anger	0.485	итоаткор
incest	anger	0.485	никоҳи хешутаборӣ
complaint	anger	0.485	шикоят
disapproved	anger	0.485	норозй
inhuman	anger	0.485	ғайриинсонӣ
mocking	anger	0.484	масхара кардан
penalty	anger	0.484	ҷарима
renounce	anger	0.484	даст кашидан
restrain	anger	0.484	боздоштан
upheaval	anger	0.484	ошӯб
deceit	anger	0.484	фиреб
obnoxious	anger	0.484	хашмгин
imprisoned	anger	0.484	зиндонӣ шудааст
strained	anger	0.484	пуршиддат
blame	anger	0.484	айбдор кардан
oust	anger	0.484	рондан
litigious	anger	0.484	даъвогар
rivalry	anger	0.484	рақобат
sucker	anger	0.484	макканда
opposed	anger	0.484	мукобил баромад
