English Word	Emotion	Emotion-Intensity-Score	Polish Word
belligerent	anger	0.841	wojujący
dumbbitch	anger	0.841	głupek
detest	anger	0.838	brzydzić
hostilities	anger	0.837	działania wojenne
prick	anger	0.835	ukłucie
rampage	anger	0.833	szał
horrid	anger	0.833	okropny
cruelty	anger	0.833	okrucieństwo
torture	anger	0.833	torturować
rabid	anger	0.833	wściekły
despicable	anger	0.828	podły
tyrannical	anger	0.828	despotyczny
demonic	anger	0.828	demoniczny
satanic	anger	0.828	szatański
hate	anger	0.828	nienawidzić
ragemode	anger	0.828	tryb wściekłości
hating	anger	0.828	nienawidzący
ruinous	anger	0.825	rujnujący
condemn	anger	0.825	potępiać
riots	anger	0.824	zamieszki
demolish	anger	0.824	zburzyć
angry	anger	0.824	zły
extermination	anger	0.824	eksterminacja
dickhead	anger	0.824	dupek
livid	anger	0.821	wściekły
madman	anger	0.820	szaleniec
vindictive	anger	0.819	mściwy
terrorist	anger	0.818	terrorysta
threaten	anger	0.818	zagrozić
venomous	anger	0.818	jadowity
hateyou	anger	0.818	Nienawidzę cię
ferocity	anger	0.818	okrucieństwo
effyou	anger	0.818	wkurwiać
abhor	anger	0.816	czuć wstręt
carnage	anger	0.814	rzeź
savage	anger	0.814	okrutny
atrocity	anger	0.814	okrucieństwo
fucksake	anger	0.812	kurwa!
abuse	anger	0.812	nadużywać
fierce	anger	0.812	dziki
destroyer	anger	0.812	niszczyciel
angrytweet	anger	0.812	zły tweet
barbaric	anger	0.812	barbarzyński
vendetta	anger	0.812	wendeta
pissesmeoff	anger	0.812	mnie wkurza
pissedoff	anger	0.812	wkurzony
tyrant	anger	0.812	tyran
berserk	anger	0.812	szał
fuming	anger	0.812	wrzący
anger	anger	0.811	gniew
pieceofshit	anger	0.810	kawałek gówna
punched	anger	0.803	przebity
punching	anger	0.803	przebijanie
slam	anger	0.803	zatrzasnąć
homicide	anger	0.803	zabójstwo
bitch	anger	0.803	suka
fights	anger	0.803	walki
ruthless	anger	0.797	bezwzględny
villainous	anger	0.797	nikczemny
destructive	anger	0.797	destrukcyjny
slap	anger	0.791	policzkować
riot	anger	0.788	zamieszki
growthefuckup	anger	0.788	skurwysyna
punishing	anger	0.788	karanie
slaughterhouse	anger	0.788	rzeźnia
yelling	anger	0.788	wrzeszczał
diabolical	anger	0.788	diaboliczny
destroyed	anger	0.788	zniszczony
ragetweet	anger	0.788	wściekłość
retaliatory	anger	0.788	odwetowy
manslaughter	anger	0.783	zabójstwo
clash	anger	0.783	starcie
quarrel	anger	0.781	kłócić się
bloody	anger	0.781	krwawy
hellish	anger	0.781	piekielny
sinister	anger	0.781	złowrogi
loath	anger	0.781	niechętny
detonation	anger	0.781	detonacja
accusing	anger	0.779	oskarżać
fumin	anger	0.779	wrzask
hateeee	anger	0.779	nienawistny
treacherous	anger	0.779	zdradziecki
madder	anger	0.773	marzanna
horrific	anger	0.773	przerażający
revulsion	anger	0.773	wstręt
retaliate	anger	0.773	zemścić się
scorn	anger	0.769	pogarda
bomb	anger	0.766	bomba
deplorable	anger	0.766	opłakany
devastation	anger	0.765	dewastacja
anarchist	anger	0.765	anarchista
firestorm	anger	0.765	burza ognia
resent	anger	0.765	Wysłany ponownie
contemptible	anger	0.764	podły
shittest	anger	0.760	gówniany
rant	anger	0.758	tyrada
cruel	anger	0.758	okrutny
deadly	anger	0.758	śmiertelnie
smash	anger	0.758	rozbić
soangry	anger	0.758	bardzo zły
outburst	anger	0.757	wybuch
snarl	anger	0.754	warczenie
profane	anger	0.750	bezcześcić
revolting	anger	0.750	oburzający
aggravating	anger	0.750	obciążający
horror	anger	0.750	przerażenie
despise	anger	0.750	pogardzać
offend	anger	0.750	obrazić
stfu	anger	0.750	Zamknij się
vulgarity	anger	0.750	wulgarność
crazed	anger	0.750	zwariowany
douchebags	anger	0.750	dupki
growling	anger	0.750	warczenie
dontmesswithme	anger	0.750	nie zadzieraj ze mną
screaming	anger	0.742	krzyczeć
threat	anger	0.742	groźba
erupt	anger	0.742	wybuchać
horrible	anger	0.742	okropny
molestation	anger	0.742	molestowanie
fuckedoff	anger	0.742	popieprzone
violence	anger	0.742	przemoc
bastards	anger	0.741	dranie
revenge	anger	0.738	zemsta
menacing	anger	0.735	groźny
crushing	anger	0.735	miażdżący
damn	anger	0.735	cholerny
catastrophe	anger	0.735	katastrofa
demon	anger	0.735	Demon
argue	anger	0.734	kłócić się
persecute	anger	0.734	prześladować kogoś
deplore	anger	0.734	ubolewać
flog	anger	0.734	biczować
fedup	anger	0.734	dość
riotous	anger	0.734	rozbrykany
vehement	anger	0.734	gwałtowny
revolt	anger	0.734	bunt
warfare	anger	0.734	działania wojenne
thrash	anger	0.734	prać
altercation	anger	0.729	sprzeczka
warlike	anger	0.728	wojowniczy
shitday	anger	0.727	gówniany dzień
mutiny	anger	0.727	bunt
castrate	anger	0.727	wykastrować
sabotage	anger	0.727	sabotaż
malevolent	anger	0.721	wrogi
strike	anger	0.721	strajk
disaster	anger	0.721	katastrofa
disastrous	anger	0.720	fatalny
bastarding	anger	0.719	dranie
treachery	anger	0.719	zdrada
arseholes	anger	0.719	dupki
horseshit	anger	0.719	bzdura
slay	anger	0.719	zabić
disdain	anger	0.719	pogarda
aggravates	anger	0.719	pogarsza
brutal	anger	0.719	brutalny
scorching	anger	0.719	upalny
devil	anger	0.719	diabeł
madden	anger	0.719	szaleć
spiteful	anger	0.719	złośliwy
scream	anger	0.719	krzyk
choke	anger	0.719	dusić
vermin	anger	0.719	robactwo
tumult	anger	0.719	zgiełk
criminal	anger	0.714	kryminalista
mangle	anger	0.714	magiel
anarchism	anger	0.714	anarchizm
mutilation	anger	0.714	okaleczenie
denunciation	anger	0.713	wypowiedzenie
punch	anger	0.713	dziurkacz
virulence	anger	0.712	zjadliwość
fatal	anger	0.712	fatalny
hurting	anger	0.712	boli
crucifixion	anger	0.712	ukrzyżowanie
dontlikeyou	anger	0.712	nie lubię cię
blasphemous	anger	0.712	bluźnierczy
holocaust	anger	0.712	całopalenie
dumbasses	anger	0.712	głupcy
battled	anger	0.712	bitwa
deranged	anger	0.706	obłąkany
irritated	anger	0.706	poirytowany
atrocious	anger	0.706	okrutny
evil	anger	0.706	zło
aggravated	anger	0.703	pogorszony
intimidation	anger	0.703	zastraszenie
dicks	anger	0.703	kutasy
assassin	anger	0.703	morderca
scolding	anger	0.703	besztanie
persecution	anger	0.703	prześladowanie
slayer	anger	0.703	pogromca
kidnap	anger	0.703	porwać kogoś
aggression	anger	0.702	agresja
armed	anger	0.700	uzbrojony
battle	anger	0.697	bitwa
poison	anger	0.697	zatruć
snarling	anger	0.697	warczenie
venom	anger	0.697	jad
disgruntled	anger	0.693	niezadowolony
resentment	anger	0.691	gniew
assailant	anger	0.691	napastnik
insidious	anger	0.691	podstępny
contemptuous	anger	0.690	pogardliwy
lynch	anger	0.690	zlinczować
temper	anger	0.688	hartować
terrible	anger	0.688	straszny
disparage	anger	0.688	deprecjonować
lunatic	anger	0.688	wariat
bully	anger	0.688	znęcać się
mad	anger	0.688	szalony
makesmemad	anger	0.688	doprowadza mnie do szaleństwa
infanticide	anger	0.688	dzieciobójca
domination	anger	0.688	dominacja
peeved	anger	0.688	zirytowany
imprisonment	anger	0.688	uwięzienie
curse	anger	0.688	przekleństwo
volatility	anger	0.687	zmienność
eradication	anger	0.685	likwidacja
eradicate	anger	0.682	wytępić
tantrum	anger	0.682	furia
scoundrel	anger	0.682	łajdak
devastate	anger	0.682	niszczyć
aggressively	anger	0.680	agresywnie
agitation	anger	0.680	podniecenie
dictatorship	anger	0.676	dyktatura
irritates	anger	0.676	irytuje
profanity	anger	0.673	bluźnierstwo
shove	anger	0.672	pchnięcie
nasty	anger	0.672	paskudny
shot	anger	0.672	strzał
cruelly	anger	0.672	okrutnie
shoot	anger	0.672	strzelać
condemnation	anger	0.672	potępienie
crushed	anger	0.672	zgnieciony
aggravation	anger	0.672	pogorszenie
poisonous	anger	0.672	trujący
egregious	anger	0.672	skandaliczny
crime	anger	0.672	przestępczość
corrupting	anger	0.672	korumpujący
dastardly	anger	0.672	podły
contempt	anger	0.672	pogarda
harmful	anger	0.672	szkodliwy
expletive	anger	0.672	dopełniający
wreak	anger	0.672	pomścić
maniac	anger	0.670	maniak
cutthroat	anger	0.667	nożownik
enemy	anger	0.667	wróg
hit	anger	0.667	uderzyć
hateeveryone	anger	0.667	Nienawidzę wszystkich
eruption	anger	0.667	wybuch
irritable	anger	0.667	drażliwy
odious	anger	0.667	wstrętny
shooting	anger	0.667	strzelanie
shout	anger	0.667	krzyczeć
aggressive	anger	0.667	agresywny
kick	anger	0.667	kopnięcie
combat	anger	0.667	walka
fight	anger	0.667	walka
punished	anger	0.662	ukarany
yell	anger	0.661	krzyk
ambush	anger	0.661	zasadzka
harass	anger	0.659	nękać
malignant	anger	0.656	złośliwy
aggressor	anger	0.656	agresor
gore	anger	0.656	przelew krwi
destruction	anger	0.656	zniszczenie
grudge	anger	0.656	uraza
antichrist	anger	0.656	antychryst
incense	anger	0.656	kadzidło
expel	anger	0.656	usunąć
cranky	anger	0.653	zepsuty
slave	anger	0.652	niewolnik
reprisal	anger	0.652	akcja odwetowa
growl	anger	0.652	warczeć
animosity	anger	0.652	animozja
insurrection	anger	0.652	insurekcja
clashing	anger	0.652	zderzenie
denounce	anger	0.652	potępiać
offended	anger	0.652	urażony
spank	anger	0.652	zbić
insulting	anger	0.652	obraźliwy
growls	anger	0.649	warczy
executioner	anger	0.644	kat
twat	anger	0.644	cioto!
doomsday	anger	0.643	Dzień Sądu Ostatecznego
obscenity	anger	0.641	nieprzyzwoitość
accused	anger	0.641	oskarżony
feud	anger	0.641	wojna
daemon	anger	0.641	demon
havoc	anger	0.641	spustoszenie
shackle	anger	0.641	jarzmo
inexcusable	anger	0.641	niewybaczalny
indignant	anger	0.641	oburzony
grr	anger	0.641	gr
expulsion	anger	0.641	wydalenie
bombard	anger	0.641	bombardować
spat	anger	0.641	sprzeczka
arson	anger	0.641	podpalenie
reprimand	anger	0.641	nagana
somad	anger	0.637	tak wściekły
frustrated	anger	0.636	sfrustrowany
batter	anger	0.636	rzadkie ciasto
kicking	anger	0.636	kopanie
anarchy	anger	0.636	anarchia
spanking	anger	0.636	lanie
glaring	anger	0.636	rażący
suicidal	anger	0.636	samobójczy
disgusting	anger	0.636	obrzydliwy
wound	anger	0.636	rana
hanging	anger	0.636	wiszące
poisoned	anger	0.636	zatruty
combatant	anger	0.636	bojownik
wrecked	anger	0.633	rozbity
inflict	anger	0.633	zadać
grievous	anger	0.632	ciężki
prosecute	anger	0.630	zaskarżyć
agitated	anger	0.630	wstrząśnięty
cheat	anger	0.630	oszukać
swastika	anger	0.627	swastyka
injure	anger	0.625	zranić
indict	anger	0.625	oskarżać
scourge	anger	0.625	biczować
provocation	anger	0.625	prowokacja
suffocation	anger	0.625	uduszenie
strife	anger	0.625	walka
raid	anger	0.625	nalot
enslaved	anger	0.625	zniewolony
cursing	anger	0.625	przeklinanie
defamatory	anger	0.625	oszczerczy
harassing	anger	0.625	niepokojenie
thundering	anger	0.625	grzmiący
betray	anger	0.625	zdradzać
arsehole	anger	0.624	dupek
theft	anger	0.621	kradzież
insane	anger	0.621	obłąkany
retaliation	anger	0.621	odwet
irritate	anger	0.621	irytować
deprivation	anger	0.621	pozbawienie
fiend	anger	0.621	diabeł
jerk	anger	0.621	szarpać
convict	anger	0.621	skazać
cussed	anger	0.619	przeklęty
turmoil	anger	0.618	zamieszanie
smack	anger	0.615	uderzyć
retribution	anger	0.614	zemsta
rebellion	anger	0.609	bunt
oppressor	anger	0.609	prześladowca
gang	anger	0.609	banda
slavery	anger	0.609	niewolnictwo
intolerable	anger	0.609	nie do zniesienia
adverse	anger	0.609	niekorzystny
injurious	anger	0.609	szkodliwy
twats	anger	0.609	cioty!
collision	anger	0.609	kolizja
battery	anger	0.609	bateria
bitterly	anger	0.609	gorzko
antagonism	anger	0.609	antagonizm
irritability	anger	0.609	drażliwość
disgraced	anger	0.608	zhańbiony
diatribe	anger	0.606	diatryba
asshole	anger	0.606	dupek
blast	anger	0.606	podmuch
bombardment	anger	0.606	bombardowanie
irks	anger	0.606	irytuje
ranting	anger	0.606	narzekać
revolution	anger	0.606	rewolucja
thug	anger	0.606	bandyta
antagonistic	anger	0.606	antagonistyczny
irritating	anger	0.606	irytujący
sickening	anger	0.606	obrzydliwy
discrimination	anger	0.606	dyskryminacja
frustrate	anger	0.604	paraliżować
insult	anger	0.603	zniewaga
hurtful	anger	0.603	bolesny
oppression	anger	0.603	ucisk
manipulation	anger	0.603	manipulacja
tiredofit	anger	0.603	zmęczony tym
bigot	anger	0.603	bigot
tension	anger	0.603	napięcie
disgust	anger	0.602	niesmak
spite	anger	0.600	uraza
intrusive	anger	0.598	natrętny
harshness	anger	0.597	szorstkość
slur	anger	0.596	łuk
tempest	anger	0.594	nawałnica
assail	anger	0.594	atakować
bitterness	anger	0.594	gorycz
morbidity	anger	0.594	zachorowalność
casualty	anger	0.594	wypadek
puncture	anger	0.594	przebicie
miserable	anger	0.594	nieszczęśliwy
inferno	anger	0.594	piekło
invasion	anger	0.594	inwazja
storming	anger	0.594	buńczuczny
wretch	anger	0.594	nieszczęśnik
consternation	anger	0.592	konsternacja
raving	anger	0.591	bredzenie
forcibly	anger	0.591	siłą
guillotine	anger	0.591	gilotyna
guilty	anger	0.591	winny
depraved	anger	0.591	zdeprawowany
immoral	anger	0.591	niemoralny
overpowering	anger	0.591	przytłaczający
scare	anger	0.588	przestraszyć
recalcitrant	anger	0.588	oporny
screwed	anger	0.588	pijany
accursed	anger	0.588	przeklęty
soannoyed	anger	0.588	zirytowany
invader	anger	0.588	najeźdźca
jealousy	anger	0.587	zazdrość
indignation	anger	0.587	oburzenie
vexed	anger	0.586	zdenerwowany
confront	anger	0.582	konfrontować
brute	anger	0.581	bydlę
throttle	anger	0.579	przepustnica
slut	anger	0.578	chlapa
coup	anger	0.578	pucz
blaze	anger	0.578	płomień
pillage	anger	0.578	plądrowanie
provoking	anger	0.578	irytujący
damage	anger	0.578	szkoda
criminality	anger	0.578	przestępczość
shutup	anger	0.578	Zamknij się
lash	anger	0.578	bicz
conflict	anger	0.578	konflikt
contentious	anger	0.578	sporny
shutit	anger	0.578	Zamknij to
wreck	anger	0.578	wrak
defiant	anger	0.578	wyzywający
butcher	anger	0.578	rzeźnik
incarceration	anger	0.578	uwięzienie
revolver	anger	0.578	rewolwer
bickering	anger	0.578	sprzeczka
yousuck	anger	0.578	do dupy
cancer	anger	0.577	nowotwór
discriminate	anger	0.576	dyskryminować
gun	anger	0.576	pistolet
frustration	anger	0.576	udaremnienie
gory	anger	0.576	krwawy
pernicious	anger	0.576	zgubny
dontmess	anger	0.576	nie bałagan!
blasphemy	anger	0.576	bluźnierstwo
chaotic	anger	0.576	chaotyczny
grope	anger	0.576	iść po omacku
alienation	anger	0.576	alienacja
disturbance	anger	0.576	niepokojenie
condescension	anger	0.576	łaskawość
standoff	anger	0.576	pat
discord	anger	0.576	niezgoda
friggen	anger	0.575	friggen
sneer	anger	0.574	szydzić
death	anger	0.574	śmierć
lunacy	anger	0.574	obłęd
scandalous	anger	0.574	skandaliczny
oppressive	anger	0.574	uciążliwy
jab	anger	0.574	ukłucie
cursed	anger	0.574	przeklęty
monstrosity	anger	0.574	potworność
shit	anger	0.573	gówno
disparaging	anger	0.571	ubliżający
slash	anger	0.571	ciąć
unfair	anger	0.571	niesprawiedliwy
gallows	anger	0.570	szubienica
escalate	anger	0.569	zwiększać
intolerant	anger	0.564	nietolerancyjny
lawlessness	anger	0.563	bezprawie
beast	anger	0.562	bestia
torpedo	anger	0.562	torpeda
malign	anger	0.562	złośliwy
traitor	anger	0.562	zdrajca
frightful	anger	0.562	straszny
wrangling	anger	0.562	kłótnie
slander	anger	0.562	oszczerstwo
bellows	anger	0.562	miechy
retards	anger	0.562	opóźniaczy
grouchy	anger	0.562	zrzędliwy
derogatory	anger	0.562	uwłaczający
bearish	anger	0.562	niedźwiedzi
invade	anger	0.562	najechać
perdition	anger	0.562	zatracenie
arghh	anger	0.562	arghu
dreadful	anger	0.562	straszny
bluddy	anger	0.562	głupkowaty
deceived	anger	0.562	oszukany
glare	anger	0.562	blask
taunt	anger	0.562	kpina
dissension	anger	0.561	niezgoda
cross	anger	0.561	krzyż
rave	anger	0.561	zachwycać się
grating	anger	0.561	krata
devastating	anger	0.561	niszczycielski
fits	anger	0.561	pasuje
jeopardize	anger	0.561	narazić
shatter	anger	0.561	roztrzaskać
idiots	anger	0.561	idioci
hurt	anger	0.561	zraniony
thief	anger	0.561	złodziej
uncontrollable	anger	0.561	niepowstrzymany
conflagration	anger	0.561	pożar
betrayal	anger	0.561	zdrada
banshee	anger	0.561	banshee
subjugation	anger	0.559	ujarzmienie
disturbed	anger	0.559	zaniepokojony
stomped	anger	0.557	nadepnął
grab	anger	0.557	chwycić
grievance	anger	0.556	skarga
ticked	anger	0.556	zaznaczone
masochism	anger	0.556	masochizm
defiance	anger	0.552	bunt
blackmail	anger	0.550	szantaż
offensive	anger	0.549	ofensywa
decry	anger	0.548	potępiać
frustrates	anger	0.547	frustruje
violation	anger	0.547	naruszenie
confine	anger	0.547	ograniczać
misery	anger	0.547	nieszczęście
arghhhh	anger	0.547	arghhhh
disparity	anger	0.547	różnica
punishment	anger	0.547	kara
rebel	anger	0.547	Buntownik
preposterous	anger	0.547	niedorzeczny
disgraceful	anger	0.547	haniebny
ire	anger	0.547	gniew
deceive	anger	0.547	zwodzić
fustrated	anger	0.547	sfrustrowany
sin	anger	0.547	grzech
shrill	anger	0.547	przenikliwy
darkside	anger	0.547	ciemna strona
overbearing	anger	0.547	apodyktyczny
firearms	anger	0.547	broń palna
stolen	anger	0.546	skradziony
hadenough	anger	0.546	miał dość
prejudice	anger	0.545	uprzedzenie
tackle	anger	0.545	przybory
resentful	anger	0.545	urażony
heated	anger	0.545	Ogrzewany
callous	anger	0.545	stwardniały
conspirator	anger	0.545	spiskowiec
ruined	anger	0.545	zrujnowany
antagonist	anger	0.545	antagonista
skirmish	anger	0.545	potyczka
menace	anger	0.545	groźba
annoyin	anger	0.545	wkurzający
foul	anger	0.545	faul
argument	anger	0.545	argument
humiliate	anger	0.545	poniżyć
wanker	anger	0.545	palant
adversary	anger	0.545	przeciwnik
sting	anger	0.544	Żądło
entangled	anger	0.544	uwikłany
grumble	anger	0.544	narzekać
robbery	anger	0.544	rozbój
outcry	anger	0.544	wrzask
resistance	anger	0.543	opór
irreconcilable	anger	0.543	nie do pogodzenia
obstructive	anger	0.542	zatykający
dismay	anger	0.540	przerażenie
mob	anger	0.538	tłum
juststop	anger	0.537	przestań
badness	anger	0.536	niegodziwość
ridicule	anger	0.534	kpiny
incendiary	anger	0.533	zapalający
flares	anger	0.532	flary
twofaced	anger	0.531	dwulicowy
reckless	anger	0.531	nieostrożny
communism	anger	0.531	komunizm
allegation	anger	0.531	zarzut
prejudicial	anger	0.531	szkodliwy
whip	anger	0.531	bicz
unbridled	anger	0.531	nieokiełznany
degeneracy	anger	0.531	degeneracja
intruder	anger	0.531	intruz
belittle	anger	0.531	bagatelizować
confinement	anger	0.531	uwięzienie
dispute	anger	0.531	Spierać się
exacerbation	anger	0.531	zaostrzenie
uprising	anger	0.531	powstanie
unjust	anger	0.530	niesprawiedliwy
unjustifiable	anger	0.530	nieuzasadniony
perversion	anger	0.530	perwersja
bigoted	anger	0.530	zajadły
fiesty	anger	0.530	zadziorny
offender	anger	0.530	przestępca
dictatorial	anger	0.530	dyktatorski
hassle	anger	0.530	dokuczać
dissonance	anger	0.530	dysonans
tackled	anger	0.530	Rozwiązany
renegade	anger	0.529	renegat
cantstandit	anger	0.529	nieudolność
trespass	anger	0.529	wykroczenie
hot	anger	0.529	gorący
prison	anger	0.529	więzienie
suicide	anger	0.521	samobójstwo
annoy	anger	0.520	drażnić
leavemealone	anger	0.517	Zostaw mnie w spokoju
cretins	anger	0.516	kretyni
depravity	anger	0.516	deprawacja
idiotic	anger	0.516	idiotyczny
dishonest	anger	0.516	nieuczciwy
distrust	anger	0.516	nieufność
broil	anger	0.516	burda
grrr	anger	0.516	grrr
criticize	anger	0.516	krytykować
inimical	anger	0.516	wrogi
tortious	anger	0.516	dręczycielski
prisoner	anger	0.516	więzień
treason	anger	0.516	zdrada
divorce	anger	0.516	rozwód
venting	anger	0.516	odpowietrzanie
duress	anger	0.516	przymus
disrespectful	anger	0.516	lekceważący
poaching	anger	0.515	kłusownictwo
scold	anger	0.515	nakrzyczeć
poachers	anger	0.515	kłusownicy
pow	anger	0.515	pow
hangry	anger	0.515	głodny
argumentation	anger	0.515	argumentacja
frustrating	anger	0.515	denerwujący
unkind	anger	0.515	niedobry
roar	anger	0.515	ryk
coercion	anger	0.515	przymus
unforgiving	anger	0.515	pamiętliwy
grump	anger	0.515	marud
bile	anger	0.515	żółć
unleash	anger	0.515	rozpętać
chaos	anger	0.515	chaos
victimized	anger	0.515	represjonowany
jerks	anger	0.515	targanie
tussle	anger	0.514	bijatyka
bane	anger	0.511	zmora
accusation	anger	0.510	oskarżenie
enmity	anger	0.510	wrogość
repudiation	anger	0.510	odrzucenie
banish	anger	0.509	wygnać
disfigured	anger	0.508	oszpecony
storm	anger	0.507	burza
crazy	anger	0.500	zwariowany
hammering	anger	0.500	kucie
defy	anger	0.500	przeciwstawiać się
antithesis	anger	0.500	antyteza
scoff	anger	0.500	szydzić
anguish	anger	0.500	boleść
confined	anger	0.500	ograniczony
fear	anger	0.500	strach
bout	anger	0.500	atak
unruly	anger	0.500	niesforny
delusional	anger	0.500	urojenia
obstruct	anger	0.500	blokować
possessed	anger	0.500	opętany
injustice	anger	0.500	niesprawiedliwość
fervor	anger	0.500	zapał
spear	anger	0.500	włócznia
derision	anger	0.500	drwina
intractable	anger	0.500	trudny
reject	anger	0.500	odrzucić
dominate	anger	0.500	zdominować
ordeal	anger	0.500	ciężka próba
banished	anger	0.500	wygnany
rejects	anger	0.500	odrzuca
shun	anger	0.500	unikać
brunt	anger	0.500	siła
derogation	anger	0.500	derogacja
frenzied	anger	0.500	oszalały
animus	anger	0.500	animozja
suppression	anger	0.500	tłumienie
malpractice	anger	0.500	zaniedbanie
brazen	anger	0.500	nachalny
foaming	anger	0.500	pieniący się
disrupting	anger	0.500	zakłócanie
nobodycares	anger	0.500	nikogo to nie obchodzi
patronising	anger	0.500	protekcjonalny
getoveryourself	anger	0.495	zrelaksuj się
toughness	anger	0.492	wytrzymałość
stupidpeople	anger	0.492	głupcy
madness	anger	0.491	szaleństwo
sinful	anger	0.491	grzeszny
avarice	anger	0.490	chciwość
oppress	anger	0.490	uciskać
cutting	anger	0.485	ciąć
anathema	anger	0.485	anatema
annoyed	anger	0.485	zirytowany
dissident	anger	0.485	dysydent
demand	anger	0.485	żądanie
usurp	anger	0.485	uzurpować
claw	anger	0.485	pazur
alienate	anger	0.485	zrazić
infraction	anger	0.485	naruszenie
avenger	anger	0.485	mściciel
revoke	anger	0.485	unieważnić
smuggler	anger	0.485	przemytnik
abolish	anger	0.485	znieść
fricking	anger	0.485	pierdolony
stayaway	anger	0.485	nie zbliżaj się
pervert	anger	0.485	zboczeniec
disservice	anger	0.485	niedźwiedzia przysługa
disobedient	anger	0.485	nieposłuszny
incest	anger	0.485	kazirodztwo
complaint	anger	0.485	skarga
disapproved	anger	0.485	Odrzucona
inhuman	anger	0.485	nieludzki
mocking	anger	0.484	szyderstwo
penalty	anger	0.484	rzut karny
renounce	anger	0.484	zrzec się
restrain	anger	0.484	powstrzymać się
upheaval	anger	0.484	przewrót
deceit	anger	0.484	oszustwo
obnoxious	anger	0.484	obrzydliwy
imprisoned	anger	0.484	uwięziony
strained	anger	0.484	napięty
blame	anger	0.484	winić
oust	anger	0.484	wyrugować
litigious	anger	0.484	sporny
rivalry	anger	0.484	rywalizacja
sucker	anger	0.484	przyssawka
opposed	anger	0.484	przeciwny
thresh	anger	0.484	namłócić
disgrace	anger	0.484	hańba
suspicious	anger	0.484	podejrzany
turbulence	anger	0.483	turbulencja
pound	anger	0.481	funt
coldness	anger	0.477	chłód
ungrateful	anger	0.472	niewdzięczny
stoopid	anger	0.471	głupkowaty
battalion	anger	0.471	batalion
feudalism	anger	0.470	feudalizm
hostage	anger	0.470	zakładnik
annoying	anger	0.470	irytujący
dispossessed	anger	0.470	wywłaszczony
subversion	anger	0.470	obalenie
friction	anger	0.470	tarcie
jealous	anger	0.470	zazdrosny
adversity	anger	0.470	nieszczęście
infidel	anger	0.470	niewierny
gall	anger	0.470	żółć
accuser	anger	0.470	oskarżyciel
ram	anger	0.470	Baran
armament	anger	0.470	uzbrojenie
thump	anger	0.469	uderzenie
dislike	anger	0.469	nie lubić
steal	anger	0.469	kraść
backoff	anger	0.469	odsuń się
stifled	anger	0.469	zduszony
