English Word	Emotion	Emotion-Intensity-Score	Latvian Word
ferocity	anger	0.818	mežonīgums
effyou	anger	0.818	effyou
abhor	anger	0.816	riebjas
carnage	anger	0.814	asinspirts
savage	anger	0.814	mežonīgs
atrocity	anger	0.814	zvērība
fucksake	anger	0.812	fuckssake
abuse	anger	0.812	ļaunprātīga izmantošana
fierce	anger	0.812	sīva
destroyer	anger	0.812	iznīcinātājs
angrytweet	anger	0.812	dusmīgs tvīts
barbaric	anger	0.812	barbarisks
vendetta	anger	0.812	vendetta
pissesmeoff	anger	0.812	pissesmeoff
pissedoff	anger	0.812	nokaitināts
tyrant	anger	0.812	tirāns
berserk	anger	0.812	berserks
fuming	anger	0.812	kūpošs
anger	anger	0.811	dusmas
pieceofshit	anger	0.810	sūds
punched	anger	0.803	štancēts
punching	anger	0.803	štancēšana
slam	anger	0.803	slam
homicide	anger	0.803	slepkavība
bitch	anger	0.803	kuce
fights	anger	0.803	cīņas
ruthless	anger	0.797	nežēlīgs
villainous	anger	0.797	nelietis
destructive	anger	0.797	destruktīva
slap	anger	0.791	iepļaukāt
riot	anger	0.788	dumpis
growthefuckup	anger	0.788	izaugsme
punishing	anger	0.788	sodot
slaughterhouse	anger	0.788	kautuve
yelling	anger	0.788	kliedzot
diabolical	anger	0.788	velnišķīgs
destroyed	anger	0.788	iznīcināts
ragetweet	anger	0.788	ragetweet
retaliatory	anger	0.788	atriebība
manslaughter	anger	0.783	slepkavība
clash	anger	0.783	sadursme
quarrel	anger	0.781	strīdēties
bloody	anger	0.781	asiņaina
hellish	anger	0.781	ellišķīgi
sinister	anger	0.781	draudīgs
loath	anger	0.781	riebjas
detonation	anger	0.781	detonācija
accusing	anger	0.779	apsūdzot
fumin	anger	0.779	fumin
hateeee	anger	0.779	hateeee
treacherous	anger	0.779	nodevīgs
madder	anger	0.773	trakāk
horrific	anger	0.773	šausminoši
revulsion	anger	0.773	riebums
retaliate	anger	0.773	atriebties
scorn	anger	0.769	nicinājums
bomb	anger	0.766	bumba
deplorable	anger	0.766	nožēlojami
devastation	anger	0.765	postījumi
anarchist	anger	0.765	anarhists
firestorm	anger	0.765	uguns vētra
resent	anger	0.765	aizvainot
contemptible	anger	0.764	nicināms
shittest	anger	0.760	sūdīgākais
rant	anger	0.758	rēcināt
cruel	anger	0.758	nežēlīgi
deadly	anger	0.758	nāvējošs
smash	anger	0.758	sagraut
soangry	anger	0.758	tik dusmīgs
outburst	anger	0.757	uzliesmojums
snarl	anger	0.754	ņurdēt
profane	anger	0.750	profāns
revolting	anger	0.750	dumpīgs
aggravating	anger	0.750	pastiprinoši
horror	anger	0.750	šausmas
despise	anger	0.750	nicināt
offend	anger	0.750	aizvainot
stfu	anger	0.750	stfu
vulgarity	anger	0.750	vulgaritāte
crazed	anger	0.750	traks
douchebags	anger	0.750	dusmas
growling	anger	0.750	rūcošs
dontmesswithme	anger	0.750	nejauciet mani
screaming	anger	0.742	kliedzot
threat	anger	0.742	draudi
erupt	anger	0.742	izlauzties
horrible	anger	0.742	šausmīgi
molestation	anger	0.742	uzmākšanās
fuckedoff	anger	0.742	izdrāmis
violence	anger	0.742	vardarbība
bastards	anger	0.741	nelieši
revenge	anger	0.738	atriebība
menacing	anger	0.735	draudīgs
crushing	anger	0.735	drupināšana
damn	anger	0.735	sasodīts
catastrophe	anger	0.735	katastrofa
demon	anger	0.735	dēmons
argue	anger	0.734	strīdēties
persecute	anger	0.734	vajāt
deplore	anger	0.734	nožēlot
flog	anger	0.734	pērt
fedup	anger	0.734	apnikums
riotous	anger	0.734	nemierīgs
vehement	anger	0.734	dedzīgs
revolt	anger	0.734	sacelšanās
warfare	anger	0.734	karadarbība
thrash	anger	0.734	thrash
altercation	anger	0.729	strīds
warlike	anger	0.728	kareivīgs
shitday	anger	0.727	sūda diena
mutiny	anger	0.727	dumpis
castrate	anger	0.727	kastrēt
sabotage	anger	0.727	sabotāža
malevolent	anger	0.721	ļaundabīgs
strike	anger	0.721	streikot
disaster	anger	0.721	katastrofa
disastrous	anger	0.720	postošs
bastarding	anger	0.719	nelieši
treachery	anger	0.719	nodevība
arseholes	anger	0.719	arseholes
horseshit	anger	0.719	zirgu sūdi
slay	anger	0.719	nogalināt
disdain	anger	0.719	nicinājums
aggravates	anger	0.719	saasina
brutal	anger	0.719	brutāls
scorching	anger	0.719	dedzinošs
devil	anger	0.719	velns
madden	anger	0.719	satracināts
spiteful	anger	0.719	spītīgs
scream	anger	0.719	kliedziens
choke	anger	0.719	aizrīties
vermin	anger	0.719	kaitēklis
tumult	anger	0.719	satraukums
criminal	anger	0.714	noziedznieks
mangle	anger	0.714	manglis
anarchism	anger	0.714	anarhisms
mutilation	anger	0.714	sakropļošana
denunciation	anger	0.713	denonsēšana
punch	anger	0.713	sitiens
virulence	anger	0.712	virulence
fatal	anger	0.712	nāvējošs
hurting	anger	0.712	sāpot
crucifixion	anger	0.712	krustā sišana
dontlikeyou	anger	0.712	tev nepatīk
blasphemous	anger	0.712	zaimojošs
holocaust	anger	0.712	holokausts
dumbasses	anger	0.712	stulbi
battled	anger	0.712	cīnījās
deranged	anger	0.706	apjukusi
irritated	anger	0.706	aizkaitināts
atrocious	anger	0.706	zvērīgi
evil	anger	0.706	ļaunums
aggravated	anger	0.703	saasināts
intimidation	anger	0.703	iebiedēšana
dicks	anger	0.703	penis
assassin	anger	0.703	slepkava
scolding	anger	0.703	rājiens
persecution	anger	0.703	vajāšanu
slayer	anger	0.703	slepkava
kidnap	anger	0.703	nolaupīšana
aggression	anger	0.702	agresija
armed	anger	0.700	bruņota
battle	anger	0.697	cīņa
poison	anger	0.697	inde
snarling	anger	0.697	ņurdēja
venom	anger	0.697	inde
disgruntled	anger	0.693	neapmierināts
resentment	anger	0.691	aizvainojums
assailant	anger	0.691	uzbrucējs
insidious	anger	0.691	mānīgs
contemptuous	anger	0.690	nicinošs
lynch	anger	0.690	linča
temper	anger	0.688	temperaments
terrible	anger	0.688	šausmīgi
disparage	anger	0.688	noniecināt
lunatic	anger	0.688	vājprātīgs
bully	anger	0.688	kauslis
mad	anger	0.688	traks
makesmemad	anger	0.688	liek manīt
infanticide	anger	0.688	zīdaiņu slepkavība
domination	anger	0.688	dominēšana
peeved	anger	0.688	īgns
imprisonment	anger	0.688	ieslodzījums
curse	anger	0.688	lāsts
volatility	anger	0.687	nepastāvība
eradication	anger	0.685	izskaušanu
eradicate	anger	0.682	izskaust
tantrum	anger	0.682	dusmu lēkme
scoundrel	anger	0.682	nelietis
devastate	anger	0.682	izpostīt
aggressively	anger	0.680	agresīvi
agitation	anger	0.680	satraukums
dictatorship	anger	0.676	diktatūra
irritates	anger	0.676	kairina
profanity	anger	0.673	rupjības
shove	anger	0.672	grūst
nasty	anger	0.672	šķebinošs
shot	anger	0.672	šāviens
cruelly	anger	0.672	nežēlīgi
shoot	anger	0.672	šaut
condemnation	anger	0.672	nosodījumu
crushed	anger	0.672	sasmalcināts
aggravation	anger	0.672	saasināšanās
poisonous	anger	0.672	indīgs
egregious	anger	0.672	nežēlīgs
crime	anger	0.672	noziegums
corrupting	anger	0.672	sabojājošs
dastardly	anger	0.672	nekaunīgi
contempt	anger	0.672	nicinājums
harmful	anger	0.672	kaitīgs
expletive	anger	0.672	izsakoties
wreak	anger	0.672	izpostīt
maniac	anger	0.670	maniaks
cutthroat	anger	0.667	kakls
enemy	anger	0.667	ienaidnieks
hit	anger	0.667	sist
hateeveryone	anger	0.667	ienīst visus
eruption	anger	0.667	izvirdums
irritable	anger	0.667	aizkaitināms
odious	anger	0.667	odiozs
shooting	anger	0.667	šaušana
shout	anger	0.667	kliegt
aggressive	anger	0.667	agresīvs
kick	anger	0.667	sitiens
combat	anger	0.667	cīnīties
fight	anger	0.667	cīnīties
punished	anger	0.662	sodīts
yell	anger	0.661	kliegt
ambush	anger	0.661	slazds
harass	anger	0.659	uzmākties
malignant	anger	0.656	ļaundabīgs
aggressor	anger	0.656	agresors
gore	anger	0.656	gore
destruction	anger	0.656	iznīcināšana
grudge	anger	0.656	aizvainojums
antichrist	anger	0.656	antikrists
incense	anger	0.656	vīraks
expel	anger	0.656	izraidīt
cranky	anger	0.653	kaprīzs
slave	anger	0.652	vergs
reprisal	anger	0.652	atriebība
growl	anger	0.652	rūkt
animosity	anger	0.652	naidīgums
insurrection	anger	0.652	sacelšanās
clashing	anger	0.652	sadursmes
denounce	anger	0.652	denonsēt
offended	anger	0.652	aizvainots
spank	anger	0.652	pēriens
insulting	anger	0.652	aizvainojoši
growls	anger	0.649	rūc
executioner	anger	0.644	bende
twat	anger	0.644	twat
doomsday	anger	0.643	pastardiena
obscenity	anger	0.641	neķītrība
accused	anger	0.641	apsūdzētais
feud	anger	0.641	naids
daemon	anger	0.641	dēmons
havoc	anger	0.641	postījumi
shackle	anger	0.641	važas
inexcusable	anger	0.641	nepiedodami
indignant	anger	0.641	sašutis
grr	anger	0.641	grr
expulsion	anger	0.641	izraidīšana
bombard	anger	0.641	bombardēt
spat	anger	0.641	spļāva
arson	anger	0.641	ļaunprātīga dedzināšana
reprimand	anger	0.641	aizrādījums
somad	anger	0.637	tik traks
frustrated	anger	0.636	neapmierinātas
batter	anger	0.636	mīklu
kicking	anger	0.636	sperot
anarchy	anger	0.636	anarhija
spanking	anger	0.636	pēršana
glaring	anger	0.636	spilgts
suicidal	anger	0.636	pašnāvniecisks
disgusting	anger	0.636	pretīgi
wound	anger	0.636	brūce
hanging	anger	0.636	karājas
poisoned	anger	0.636	saindēts
combatant	anger	0.636	kaujinieks
wrecked	anger	0.633	sagrauta
inflict	anger	0.633	nodarīt
grievous	anger	0.632	skumji
prosecute	anger	0.630	saukt pie atbildības
agitated	anger	0.630	satraukts
cheat	anger	0.630	krāpties
swastika	anger	0.627	svastika
injure	anger	0.625	ievainot
indict	anger	0.625	apsūdzēt
scourge	anger	0.625	postu
provocation	anger	0.625	provokācija
suffocation	anger	0.625	nosmakšana
strife	anger	0.625	strīds
raid	anger	0.625	reids
enslaved	anger	0.625	paverdzināts
cursing	anger	0.625	lamājoties
defamatory	anger	0.625	apmelojošs
harassing	anger	0.625	uzmācīga
thundering	anger	0.625	pērkons
betray	anger	0.625	nodot
arsehole	anger	0.624	arsehole
theft	anger	0.621	zādzība
insane	anger	0.621	ārprātīgs
retaliation	anger	0.621	atriebība
irritate	anger	0.621	kairināt
deprivation	anger	0.621	atņemšanu
fiend	anger	0.621	velns
jerk	anger	0.621	paraut
convict	anger	0.621	notiesāts
cussed	anger	0.619	nolādēts
turmoil	anger	0.618	satricinājumi
smack	anger	0.615	smakot
retribution	anger	0.614	atriebība
rebellion	anger	0.609	sacelšanās
oppressor	anger	0.609	apspiedējs
gang	anger	0.609	banda
slavery	anger	0.609	verdzība
intolerable	anger	0.609	nepanesami
adverse	anger	0.609	nelabvēlīgs
injurious	anger	0.609	ievainojošs
twats	anger	0.609	twats
collision	anger	0.609	sadursme
battery	anger	0.609	akumulators
bitterly	anger	0.609	rūgti
antagonism	anger	0.609	antagonisms
irritability	anger	0.609	aizkaitināmība
disgraced	anger	0.608	apkaunots
diatribe	anger	0.606	diatribe
asshole	anger	0.606	dupsis
blast	anger	0.606	sprādziens
bombardment	anger	0.606	bombardēšana
irks	anger	0.606	irks
ranting	anger	0.606	rēcot
revolution	anger	0.606	revolūcija
thug	anger	0.606	slepkava
antagonistic	anger	0.606	antagonistisks
irritating	anger	0.606	kairinošs
sickening	anger	0.606	slimīgi
discrimination	anger	0.606	diskriminācija
frustrate	anger	0.604	sagraut
insult	anger	0.603	apvainojums
hurtful	anger	0.603	aizvainojoši
oppression	anger	0.603	apspiešanu
manipulation	anger	0.603	manipulācijas
tiredofit	anger	0.603	nogurums
bigot	anger	0.603	lielinieks
tension	anger	0.603	spriedze
disgust	anger	0.602	riebums
spite	anger	0.600	spīts
intrusive	anger	0.598	uzmācīgs
harshness	anger	0.597	skarbums
slur	anger	0.596	netīrība
tempest	anger	0.594	vētra
assail	anger	0.594	uzbrukums
bitterness	anger	0.594	rūgtums
morbidity	anger	0.594	saslimstība
casualty	anger	0.594	kritušais
puncture	anger	0.594	punkcija
miserable	anger	0.594	nožēlojams
inferno	anger	0.594	inferno
invasion	anger	0.594	iebrukums
storming	anger	0.594	vētra
wretch	anger	0.594	nožēlojams
consternation	anger	0.592	pārsteigums
raving	anger	0.591	trakojošs
forcibly	anger	0.591	piespiedu kārtā
guillotine	anger	0.591	giljotīna
guilty	anger	0.591	vainīgs
depraved	anger	0.591	samaitāts
immoral	anger	0.591	amorāls
overpowering	anger	0.591	nepārvarama
scare	anger	0.588	biedēt
recalcitrant	anger	0.588	nepaklausīgs
screwed	anger	0.588	pieskrūvēts
accursed	anger	0.588	nolādēts
soannoyed	anger	0.588	ļoti nokaitināts
invader	anger	0.588	iebrucējs
jealousy	anger	0.587	greizsirdība
indignation	anger	0.587	sašutumu
vexed	anger	0.586	satraukts
confront	anger	0.582	konfrontēt
brute	anger	0.581	rupjš
throttle	anger	0.579	droseļvārsts
slut	anger	0.578	slampa
coup	anger	0.578	apvērsums
blaze	anger	0.578	liesmot
pillage	anger	0.578	laupīšana
provoking	anger	0.578	provocējot
damage	anger	0.578	bojājumu
criminality	anger	0.578	noziedzība
shutup	anger	0.578	aizveries
lash	anger	0.578	skropstas
conflict	anger	0.578	konflikts
contentious	anger	0.578	strīdīgs
shutit	anger	0.578	aizver to
wreck	anger	0.578	vraks
defiant	anger	0.578	izaicinošs
butcher	anger	0.578	miesnieks
incarceration	anger	0.578	ieslodzījums
revolver	anger	0.578	revolveris
bickering	anger	0.578	strīdēšanās
yousuck	anger	0.578	Tu esi tizls
cancer	anger	0.577	vēzis
discriminate	anger	0.576	diskriminēt
gun	anger	0.576	lielgabals
frustration	anger	0.576	vilšanās
gory	anger	0.576	asiņains
pernicious	anger	0.576	kaitīgs
dontmess	anger	0.576	dontmess
blasphemy	anger	0.576	zaimošana
chaotic	anger	0.576	haotisks
grope	anger	0.576	taustīties
alienation	anger	0.576	atsvešināšanās
disturbance	anger	0.576	traucējums
condescension	anger	0.576	piekāpšanās
standoff	anger	0.576	pretruna
discord	anger	0.576	nesaskaņas
friggen	anger	0.575	friggen
sneer	anger	0.574	smieties
death	anger	0.574	nāvi
lunacy	anger	0.574	vājprāts
scandalous	anger	0.574	skandalozs
oppressive	anger	0.574	nomācošs
jab	anger	0.574	jab
cursed	anger	0.574	nolādēts
monstrosity	anger	0.574	zvērība
shit	anger	0.573	sūdi
disparaging	anger	0.571	nievājoši
slash	anger	0.571	slīpsvītra
unfair	anger	0.571	negodīgi
gallows	anger	0.570	karātavas
escalate	anger	0.569	saasināties
intolerant	anger	0.564	neiecietīgs
lawlessness	anger	0.563	nelikumību
beast	anger	0.562	zvērs
torpedo	anger	0.562	torpēda
malign	anger	0.562	ļaundabīgs
traitor	anger	0.562	nodevējs
frightful	anger	0.562	biedējoši
wrangling	anger	0.562	strīdēties
slander	anger	0.562	apmelošana
bellows	anger	0.562	plēšas
retards	anger	0.562	aizkavē
grouchy	anger	0.562	īgns
derogatory	anger	0.562	nievājoši
bearish	anger	0.562	lācīgs
invade	anger	0.562	iebrukt
perdition	anger	0.562	pazušana
arghh	anger	0.562	arghh
dreadful	anger	0.562	drausmīgi
bluddy	anger	0.562	bluddy
deceived	anger	0.562	maldināts
glare	anger	0.562	atspīdums
taunt	anger	0.562	ņirgāšanās
dissension	anger	0.561	nesaskaņas
cross	anger	0.561	krusts
rave	anger	0.561	trakot
grating	anger	0.561	režģis
devastating	anger	0.561	postoši
fits	anger	0.561	der
jeopardize	anger	0.561	apdraudēt
shatter	anger	0.561	satricināt
idiots	anger	0.561	idioti
hurt	anger	0.561	ievainot
thief	anger	0.561	zaglis
uncontrollable	anger	0.561	nekontrolējams
conflagration	anger	0.561	uzliesmojums
betrayal	anger	0.561	nodevība
banshee	anger	0.561	banšī
subjugation	anger	0.559	pakļaušana
disturbed	anger	0.559	traucēta
stomped	anger	0.557	stomped
grab	anger	0.557	sagrābt
grievance	anger	0.556	sūdzību
ticked	anger	0.556	atzīmēts
masochism	anger	0.556	mazohisms
defiance	anger	0.552	spītība
blackmail	anger	0.550	šantāža
offensive	anger	0.549	aizskaroši
decry	anger	0.548	nosodīt
frustrates	anger	0.547	sarūgtina
violation	anger	0.547	pārkāpums
confine	anger	0.547	ierobežot
misery	anger	0.547	posts
arghhhh	anger	0.547	arghhhh
disparity	anger	0.547	nevienlīdzība
punishment	anger	0.547	sods
rebel	anger	0.547	dumpinieks
preposterous	anger	0.547	muļķīgi
disgraceful	anger	0.547	apkaunojoši
ire	anger	0.547	dusmas
deceive	anger	0.547	maldināt
fustrated	anger	0.547	satriekts
sin	anger	0.547	grēks
shrill	anger	0.547	kliedzošs
darkside	anger	0.547	tumšā puse
overbearing	anger	0.547	valdonīgs
firearms	anger	0.547	šaujamieroči
stolen	anger	0.546	nozagts
hadenough	anger	0.546	bija gana
prejudice	anger	0.545	aizspriedumi
tackle	anger	0.545	risināt
resentful	anger	0.545	aizvainots
heated	anger	0.545	apsildāms
callous	anger	0.545	bezjūtīgs
conspirator	anger	0.545	sazvērnieks
ruined	anger	0.545	sagrauta
antagonist	anger	0.545	antagonists
skirmish	anger	0.545	sadursme
menace	anger	0.545	draudi
annoyin	anger	0.545	kaitinošas
foul	anger	0.545	nediena
argument	anger	0.545	arguments
humiliate	anger	0.545	pazemot
wanker	anger	0.545	klejotājs
adversary	anger	0.545	pretinieks
sting	anger	0.544	dzelt
entangled	anger	0.544	sapinušies
grumble	anger	0.544	kurnēt
robbery	anger	0.544	laupīšana
outcry	anger	0.544	kliedziens
resistance	anger	0.543	pretestība
irreconcilable	anger	0.543	nesamierināms
obstructive	anger	0.542	obstruktīva
dismay	anger	0.540	izbailes
mob	anger	0.538	mob
juststop	anger	0.537	Vienkārši apstājies
badness	anger	0.536	ļaunums
ridicule	anger	0.534	izsmiekls
incendiary	anger	0.533	aizdedzinošs
flares	anger	0.532	signālraķetes
twofaced	anger	0.531	divpusējs
reckless	anger	0.531	neapdomīgs
communism	anger	0.531	komunisms
allegation	anger	0.531	apgalvojums
prejudicial	anger	0.531	aizspriedumains
whip	anger	0.531	pātaga
unbridled	anger	0.531	nesavaldīgs
degeneracy	anger	0.531	deģenerācija
intruder	anger	0.531	iebrucējs
belittle	anger	0.531	noniecināt
confinement	anger	0.531	ieslodzījums
dispute	anger	0.531	strīds
exacerbation	anger	0.531	paasinājums
uprising	anger	0.531	sacelšanās
unjust	anger	0.530	netaisnīgi
unjustifiable	anger	0.530	neattaisnojami
perversion	anger	0.530	perversija
bigoted	anger	0.530	fanātisks
fiesty	anger	0.530	svētīgs
offender	anger	0.530	likumpārkāpējs
dictatorial	anger	0.530	diktatorisks
hassle	anger	0.530	apgrūtinājums
dissonance	anger	0.530	disonanse
tackled	anger	0.530	risināts
renegade	anger	0.529	renegāts
cantstandit	anger	0.529	nevar izturēt
trespass	anger	0.529	pārkāpums
hot	anger	0.529	karsts
prison	anger	0.529	cietums
suicide	anger	0.521	pašnāvība
annoy	anger	0.520	kaitināt
leavemealone	anger	0.517	atstāj mani vienu
cretins	anger	0.516	kretīni
depravity	anger	0.516	samaitātība
idiotic	anger	0.516	idiotisks
dishonest	anger	0.516	negodīgi
distrust	anger	0.516	neuzticēšanās
broil	anger	0.516	cept
grrr	anger	0.516	grrr
criticize	anger	0.516	kritizēt
inimical	anger	0.516	naidīgs
tortious	anger	0.516	dedzīgs
prisoner	anger	0.516	ieslodzītais
treason	anger	0.516	nodevība
divorce	anger	0.516	šķiršanās
venting	anger	0.516	vēdināšana
duress	anger	0.516	piespiešana
disrespectful	anger	0.516	necieņu
poaching	anger	0.515	malumedniecība
scold	anger	0.515	aizrādīt
poachers	anger	0.515	malumednieki
pow	anger	0.515	pow
hangry	anger	0.515	noguris
argumentation	anger	0.515	argumentācija
frustrating	anger	0.515	nomākta
unkind	anger	0.515	nelaipns
roar	anger	0.515	rēkt
coercion	anger	0.515	piespiešana
unforgiving	anger	0.515	nepiedodošs
grump	anger	0.515	kašķīgs
bile	anger	0.515	žults
unleash	anger	0.515	atraisīt
chaos	anger	0.515	haoss
victimized	anger	0.515	upuris
jerks	anger	0.515	raustīšanās
tussle	anger	0.514	strīdēties
bane	anger	0.511	bane
accusation	anger	0.510	apsūdzība
enmity	anger	0.510	naidīgums
repudiation	anger	0.510	noraidīšana
banish	anger	0.509	izraidīt
disfigured	anger	0.508	izkropļots
storm	anger	0.507	vētra
crazy	anger	0.500	traks
hammering	anger	0.500	kalšana
defy	anger	0.500	izaicināt
antithesis	anger	0.500	antitēze
scoff	anger	0.500	ņirgāties
anguish	anger	0.500	mokas
confined	anger	0.500	ierobežota
fear	anger	0.500	bailes
bout	anger	0.500	cīņa
unruly	anger	0.500	nepaklausīgs
delusional	anger	0.500	maldīgs
obstruct	anger	0.500	traucēt
possessed	anger	0.500	apsēsts
injustice	anger	0.500	netaisnību
fervor	anger	0.500	degsme
spear	anger	0.500	šķēps
derision	anger	0.500	izsmieklu
intractable	anger	0.500	neatrisināms
reject	anger	0.500	noraidīt
dominate	anger	0.500	dominēt
ordeal	anger	0.500	pārbaudījums
banished	anger	0.500	izraidīts
rejects	anger	0.500	noraida
shun	anger	0.500	vairīties
brunt	anger	0.500	nežēlīgi
derogation	anger	0.500	atkāpe
frenzied	anger	0.500	satracināts
animus	anger	0.500	animus
suppression	anger	0.500	apspiešana
malpractice	anger	0.500	nepareiza prakse
brazen	anger	0.500	nekaunīgs
foaming	anger	0.500	putojošs
disrupting	anger	0.500	traucējoši
nobodycares	anger	0.500	nevienu neinteresē
patronising	anger	0.500	patronizējošs
getoveryourself	anger	0.495	tiec sev pāri
toughness	anger	0.492	stingrība
stupidpeople	anger	0.492	stulbi cilvēki
madness	anger	0.491	vājprāts
sinful	anger	0.491	grēcīgs
avarice	anger	0.490	skopums
oppress	anger	0.490	apspiest
cutting	anger	0.485	griešana
anathema	anger	0.485	anatēma
annoyed	anger	0.485	nokaitināts
dissident	anger	0.485	disidents
demand	anger	0.485	pieprasījums
usurp	anger	0.485	uzurpēt
claw	anger	0.485	nags
alienate	anger	0.485	atsvešināt
infraction	anger	0.485	pārkāpums
avenger	anger	0.485	atriebējs
revoke	anger	0.485	atsaukt
smuggler	anger	0.485	kontrabandists
abolish	anger	0.485	atcelt
fricking	anger	0.485	fricking
stayaway	anger	0.485	Turies pa gabalu
pervert	anger	0.485	perverss
disservice	anger	0.485	ļaundarība
disobedient	anger	0.485	nepaklausīgs
incest	anger	0.485	incests
complaint	anger	0.485	sūdzību
disapproved	anger	0.485	noraidīts
inhuman	anger	0.485	necilvēcīgi
mocking	anger	0.484	ņirgāšanās
penalty	anger	0.484	sods
renounce	anger	0.484	atteikties
restrain	anger	0.484	atturēt
upheaval	anger	0.484	satricinājums
deceit	anger	0.484	viltība
obnoxious	anger	0.484	nepatīkams
imprisoned	anger	0.484	ieslodzīts
strained	anger	0.484	saspringts
blame	anger	0.484	vainot
oust	anger	0.484	izstumt
litigious	anger	0.484	tiesvedība
rivalry	anger	0.484	sāncensība
sucker	anger	0.484	sūcējs
opposed	anger	0.484	iebilst
thresh	anger	0.484	kult
disgrace	anger	0.484	negods
suspicious	anger	0.484	aizdomīgs
turbulence	anger	0.483	turbulence
pound	anger	0.481	mārciņa
coldness	anger	0.477	aukstums
ungrateful	anger	0.472	nepateicīgs
stoopid	anger	0.471	stingrs
battalion	anger	0.471	bataljons
feudalism	anger	0.470	feodālisms
hostage	anger	0.470	ķīlnieks
annoying	anger	0.470	kaitinošs
dispossessed	anger	0.470	atņemts
subversion	anger	0.470	graušana
friction	anger	0.470	berze
jealous	anger	0.470	greizsirdīgs
adversity	anger	0.470	likstas
