English Word	Emotion	Emotion-Intensity-Score	Uyghur Word
domination	anger	0.688	ھۆكۈمرانلىق
peeved	anger	0.688	peeved
imprisonment	anger	0.688	قاماق جازاسى
curse	anger	0.688	لەنەت
volatility	anger	0.687	تەۋرىنىش
eradication	anger	0.685	يوقىتىش
eradicate	anger	0.682	يوقىتىش
tantrum	anger	0.682	tantrum
scoundrel	anger	0.682	scoundrel
devastate	anger	0.682	بۇزغۇنچىلىق
aggressively	anger	0.680	تاجاۋۇزچىلىق
agitation	anger	0.680	agitation
dictatorship	anger	0.676	دىكتاتۇرا
irritates	anger	0.676	ئاچچىقلىنىدۇ
profanity	anger	0.673	ھاقارەت
shove	anger	0.672	shove
nasty	anger	0.672	nasty
shot	anger	0.672	ئوق
cruelly	anger	0.672	رەھىمسىز
shoot	anger	0.672	ئوق
condemnation	anger	0.672	ئەيىبلەش
crushed	anger	0.672	ئېزىلدى
aggravation	anger	0.672	aggravation
poisonous	anger	0.672	زەھەرلىك
egregious	anger	0.672	مەسىلەن
crime	anger	0.672	جىنايەت
corrupting	anger	0.672	بۇزۇلغان
dastardly	anger	0.672	dastardly
contempt	anger	0.672	ھۆرمەتسىزلىك
harmful	anger	0.672	زىيانلىق
expletive	anger	0.672	ئېنىق
wreak	anger	0.672	wreak
maniac	anger	0.670	maniac
cutthroat	anger	0.667	cutthroat
enemy	anger	0.667	دۈشمەن
hit	anger	0.667	hit
hateeveryone	anger	0.667	hateeveryone
eruption	anger	0.667	پارتىلاش
irritable	anger	0.667	ئاچچىق
odious	anger	0.667	odious
shooting	anger	0.667	ئوق چىقىرىش
shout	anger	0.667	دەپ توۋلاڭ
aggressive	anger	0.667	تاجاۋۇزچى
kick	anger	0.667	kick
combat	anger	0.667	جەڭ
fight	anger	0.667	ئۇرۇش
punished	anger	0.662	جازالاندى
yell	anger	0.661	دەپ ۋاقىرىدى
ambush	anger	0.661	ambush
harass	anger	0.659	پاراكەندىچىلىك سېلىش
malignant	anger	0.656	يامان سۈپەتلىك
aggressor	anger	0.656	تاجاۋۇزچى
gore	anger	0.656	gore
destruction	anger	0.656	بۇزغۇنچىلىق
grudge	anger	0.656	ئاداۋەت
antichrist	anger	0.656	antichrist
incense	anger	0.656	خۇشپۇراق
expel	anger	0.656	قوغلاش
cranky	anger	0.653	cranky
slave	anger	0.652	قۇل
reprisal	anger	0.652	ئۆچ ئېلىش
growl	anger	0.652	ھۇۋلاش
animosity	anger	0.652	ئاداۋەت
insurrection	anger	0.652	توپىلاڭ
clashing	anger	0.652	توقۇنۇش
denounce	anger	0.652	ئىنكار قىلىش
offended	anger	0.652	رەنجىدى
spank	anger	0.652	spank
insulting	anger	0.652	ھاقارەت
growls	anger	0.649	ھۇۋلايدۇ
executioner	anger	0.644	جاللات
twat	anger	0.644	twat
doomsday	anger	0.643	قىيامەت كۈنى
obscenity	anger	0.641	شەھۋانىيلىق
accused	anger	0.641	ئەيىبلەنگۈچى
feud	anger	0.641	ئاداۋەت
daemon	anger	0.641	daemon
havoc	anger	0.641	بۇزغۇنچىلىق
shackle	anger	0.641	كىشەن
inexcusable	anger	0.641	گۇناھسىز
indignant	anger	0.641	ئاچچىقلاندى
grr	anger	0.641	grr
expulsion	anger	0.641	قوغلاش
bombard	anger	0.641	بومبا
spat	anger	0.641	spat
arson	anger	0.641	ئوت قويۇش
reprimand	anger	0.641	تەنبىھ
somad	anger	0.637	somad
frustrated	anger	0.636	ئۈمىدسىزلەنگەن
batter	anger	0.636	batter
kicking	anger	0.636	تەپمەك
anarchy	anger	0.636	anarchy
spanking	anger	0.636	spanking
glaring	anger	0.636	glaring
suicidal	anger	0.636	ئۆزىنى ئۆلتۈرىۋېلىش
disgusting	anger	0.636	يىرگىنچلىك
wound	anger	0.636	جاراھەت
hanging	anger	0.636	دارغا ئېسىش
poisoned	anger	0.636	زەھەرلىك
combatant	anger	0.636	جەڭچى
wrecked	anger	0.633	بۇزۇلغان
inflict	anger	0.633	inflict
grievous	anger	0.632	grievous
prosecute	anger	0.630	ئەيىبلەش
agitated	anger	0.630	ھاياجانلاندى
cheat	anger	0.630	ئالدامچى
swastika	anger	0.627	swastika
injure	anger	0.625	يارىلىنىش
indict	anger	0.625	ئەيىبلەش
scourge	anger	0.625	ئاپەت
provocation	anger	0.625	ئىغۋاگەرچىلىك
suffocation	anger	0.625	بوغۇلۇش
strife	anger	0.625	جېدەل
raid	anger	0.625	raid
enslaved	anger	0.625	قۇل قىلىندى
cursing	anger	0.625	لەنەت
defamatory	anger	0.625	تۆھمەت
harassing	anger	0.625	پاراكەندىچىلىك سېلىش
thundering	anger	0.625	گۈلدۈرماما
betray	anger	0.625	خىيانەت
arsehole	anger	0.624	arsehole
theft	anger	0.621	ئوغرىلىق
insane	anger	0.621	ساراڭ
retaliation	anger	0.621	ئۆچ ئېلىش
irritate	anger	0.621	ئاچچىقلىنىش
deprivation	anger	0.621	مەھرۇم قىلىش
fiend	anger	0.621	fiend
jerk	anger	0.621	jerk
convict	anger	0.621	جىنايەتچى
cussed	anger	0.619	cussed
turmoil	anger	0.618	مالىمانچىلىق
smack	anger	0.615	smack
retribution	anger	0.614	جازا
rebellion	anger	0.609	ئىسيان
oppressor	anger	0.609	زالىم
gang	anger	0.609	gang
slavery	anger	0.609	قۇللۇق
intolerable	anger	0.609	چىدىغۇسىز
adverse	anger	0.609	پايدىسىز
injurious	anger	0.609	جاراھەت
twats	anger	0.609	twats
collision	anger	0.609	سوقۇلۇش
battery	anger	0.609	باتارېيە
bitterly	anger	0.609	ئاچچىق
antagonism	anger	0.609	ئاداۋەت
irritability	anger	0.609	ئاسان ئاچچىقلىنىش
disgraced	anger	0.608	نومۇس
diatribe	anger	0.606	diatribe
asshole	anger	0.606	asshole
blast	anger	0.606	پارتىلاش
bombardment	anger	0.606	بومبا
irks	anger	0.606	irks
ranting	anger	0.606	ranting
revolution	anger	0.606	ئىنقىلاب
thug	anger	0.606	thug
antagonistic	anger	0.606	antagonistic
irritating	anger	0.606	ئادەمنى بىزار قىلىدۇ
sickening	anger	0.606	كېسەل
discrimination	anger	0.606	كەمسىتىش
frustrate	anger	0.604	ئۈمىدسىزلەن
insult	anger	0.603	ھاقارەت
hurtful	anger	0.603	جاراھەت
oppression	anger	0.603	زۇلۇم
manipulation	anger	0.603	manipulation
tiredofit	anger	0.603	ھارغىنلىق
bigot	anger	0.603	bigot
tension	anger	0.603	جىددىيلىك
disgust	anger	0.602	يىرگىنچلىك
spite	anger	0.600	شۇنداق بولسىمۇ
intrusive	anger	0.598	تاجاۋۇزچىلىق
harshness	anger	0.597	قاتتىقلىق
slur	anger	0.596	slur
tempest	anger	0.594	بوران
assail	anger	0.594	ھۇجۇمچى
bitterness	anger	0.594	ئاچچىق
morbidity	anger	0.594	كېسەللىك
casualty	anger	0.594	تالاپەتكە ئۇچرىغان
puncture	anger	0.594	puncture
miserable	anger	0.594	ئېچىنىشلىق
inferno	anger	0.594	inferno
invasion	anger	0.594	تاجاۋۇز قىلىش
storming	anger	0.594	بوران
wretch	anger	0.594	wretch
consternation	anger	0.592	ئەندىشە
raving	anger	0.591	raving
forcibly	anger	0.591	زورلۇق بىلەن
guillotine	anger	0.591	guillotine
guilty	anger	0.591	گۇناھكار
depraved	anger	0.591	بۇزۇلغان
immoral	anger	0.591	ئەخلاقسىزلىق
overpowering	anger	0.591	overpowering
scare	anger	0.588	قورقۇنچ
recalcitrant	anger	0.588	recalcitrant
screwed	anger	0.588	بۇرمىلانغان
accursed	anger	0.588	لەنەت قىلىندى
soannoyed	anger	0.588	soannoyed
invader	anger	0.588	تاجاۋۇزچى
jealousy	anger	0.587	ھەسەت
indignation	anger	0.587	ئاچچىقلىنىش
vexed	anger	0.586	ئاچچىقلاندى
confront	anger	0.582	قارشىلىشىش
brute	anger	0.581	brute
throttle	anger	0.579	throttle
slut	anger	0.578	slut
coup	anger	0.578	سىياسىي ئۆزگىرىش
blaze	anger	0.578	ئوت
pillage	anger	0.578	بۇلاڭ-تالاڭ
provoking	anger	0.578	ئىغۋاگەرچىلىك
damage	anger	0.578	زىيان
criminality	anger	0.578	جىنايەت
shutup	anger	0.578	تاقاش
lash	anger	0.578	lash
conflict	anger	0.578	توقۇنۇش
contentious	anger	0.578	تالاش-تارتىش
shutit	anger	0.578	تاقاش
wreck	anger	0.578	wreck
defiant	anger	0.578	defiant
butcher	anger	0.578	قاسساپ
incarceration	anger	0.578	قاماش
revolver	anger	0.578	revolver
bickering	anger	0.578	تالاش-تارتىش
yousuck	anger	0.578	yousuck
cancer	anger	0.577	راك
discriminate	anger	0.576	كەمسىتىش
gun	anger	0.576	مىلتىق
frustration	anger	0.576	ئۈمىدسىزلىك
gory	anger	0.576	gory
pernicious	anger	0.576	زىيانلىق
dontmess	anger	0.576	dontmess
blasphemy	anger	0.576	كۇپۇرلۇق
chaotic	anger	0.576	قالايمىقان
grope	anger	0.576	grope
alienation	anger	0.576	ياتلىشىش
disturbance	anger	0.576	قالايمىقانچىلىق
condescension	anger	0.576	condescension
standoff	anger	0.576	standoff
discord	anger	0.576	ئىختىلاپ
friggen	anger	0.575	friggen
sneer	anger	0.574	مەسخىرە
death	anger	0.574	ئۆلۈم
lunacy	anger	0.574	lunacy
scandalous	anger	0.574	سەتچىلىك
oppressive	anger	0.574	زالىم
jab	anger	0.574	jab
cursed	anger	0.574	لەنەت قىلىندى
monstrosity	anger	0.574	monstrosity
shit	anger	0.573	shit
disparaging	anger	0.571	كەمسىتىش
slash	anger	0.571	slash
unfair	anger	0.571	ئادالەتسىز
gallows	anger	0.570	gallows
escalate	anger	0.569	escalate
intolerant	anger	0.564	چىدىغۇسىز
lawlessness	anger	0.563	قانۇنسىزلىق
beast	anger	0.562	ھايۋان
torpedo	anger	0.562	torpedo
malign	anger	0.562	يامان سۈپەتلىك
traitor	anger	0.562	ساتقۇن
frightful	anger	0.562	قورقۇنچلۇق
wrangling	anger	0.562	تالاش-تارتىش
slander	anger	0.562	تۆھمەت
bellows	anger	0.562	قوڭغۇراق
retards	anger	0.562	retards
grouchy	anger	0.562	grouchy
derogatory	anger	0.562	كەمسىتىش
bearish	anger	0.562	چۈشۈش
invade	anger	0.562	تاجاۋۇز قىلىش
perdition	anger	0.562	perdition
arghh	anger	0.562	arghh
dreadful	anger	0.562	قورقۇنچلۇق
bluddy	anger	0.562	bluddy
deceived	anger	0.562	ئالداندى
glare	anger	0.562	چاقماق
taunt	anger	0.562	ھاقارەت
dissension	anger	0.561	ئىختىلاپ
cross	anger	0.561	cross
rave	anger	0.561	rave
grating	anger	0.561	grating
devastating	anger	0.561	ۋەيران قىلغۇچ
fits	anger	0.561	ماس كېلىدۇ
jeopardize	anger	0.561	خەتەرگە تەۋەككۈل قىلىش
shatter	anger	0.561	shatter
idiots	anger	0.561	ئەخمەقلەر
hurt	anger	0.561	جاراھەت
thief	anger	0.561	ئوغرى
uncontrollable	anger	0.561	كونترول قىلغىلى بولمايدۇ
conflagration	anger	0.561	كۆيدۈرۈش
betrayal	anger	0.561	خىيانەت
banshee	anger	0.561	banshee
subjugation	anger	0.559	بويسۇندۇرۇش
disturbed	anger	0.559	قالايمىقان
stomped	anger	0.557	باسقان
grab	anger	0.557	grab
grievance	anger	0.556	نارازىلىق
ticked	anger	0.556	ticked
masochism	anger	0.556	maschism
defiance	anger	0.552	رەت قىلىش
blackmail	anger	0.550	blackmail
offensive	anger	0.549	كىشىنى بىزار قىلىدۇ
decry	anger	0.548	decry
frustrates	anger	0.547	ئۈمىدسىزلىنىدۇ
violation	anger	0.547	خىلاپلىق قىلىش
confine	anger	0.547	چەكلەڭ
misery	anger	0.547	بەختسىزلىك
arghhhh	anger	0.547	arghhhh
disparity	anger	0.547	ئوخشىماسلىق
punishment	anger	0.547	جازا
rebel	anger	0.547	ئىسيانچى
preposterous	anger	0.547	preosterous
disgraceful	anger	0.547	نومۇسسىزلىق
ire	anger	0.547	ire
deceive	anger	0.547	ئالداش
fustrated	anger	0.547	fustrated
sin	anger	0.547	گۇناھ
shrill	anger	0.547	shrill
darkside	anger	0.547	قاراڭغۇ
overbearing	anger	0.547	ھەددىدىن زىيادە ئېشىپ كېتىش
firearms	anger	0.547	قورال
stolen	anger	0.546	ئوغرىلانغان
hadenough	anger	0.546	hadenough
prejudice	anger	0.545	بىر تەرەپلىمە قاراش
tackle	anger	0.545	ھەل قىلىش
resentful	anger	0.545	بىزار
heated	anger	0.545	قىزىتىلدى
callous	anger	0.545	چاقىرىق
conspirator	anger	0.545	سۇيىقەستچى
ruined	anger	0.545	ۋەيران بولدى
antagonist	anger	0.545	antagonist
skirmish	anger	0.545	skirmish
menace	anger	0.545	menace
annoyin	anger	0.545	بىزار
foul	anger	0.545	قائىدىگە خىلاپلىق قىلىش
argument	anger	0.545	تالاش-تارتىش
humiliate	anger	0.545	ھاقارەت
wanker	anger	0.545	wanker
adversary	anger	0.545	رەقىبى
sting	anger	0.544	sting
entangled	anger	0.544	چېتىلىپ قالدى
grumble	anger	0.544	ئاغرىن
robbery	anger	0.544	بۇلاڭچىلىق
outcry	anger	0.544	دەپ ۋارقىراش
resistance	anger	0.543	قارشىلىق
irreconcilable	anger	0.543	كېلىشەلمەسلىك
obstructive	anger	0.542	توسالغۇ
dismay	anger	0.540	بىئارام بولۇش
mob	anger	0.538	توپ
juststop	anger	0.537	juststop
badness	anger	0.536	ناچار
ridicule	anger	0.534	مەسخىرە
incendiary	anger	0.533	كۆيدۈرگۈچى
flares	anger	0.532	يالقۇن
twofaced	anger	0.531	twofaced
reckless	anger	0.531	پەرۋاسىز
communism	anger	0.531	كوممۇنىزم
allegation	anger	0.531	ئەيىبلەش
prejudicial	anger	0.531	بىر تەرەپلىمە قاراش
whip	anger	0.531	قامچا
unbridled	anger	0.531	چەكلەنمىگەن
degeneracy	anger	0.531	ناچارلىشىش
intruder	anger	0.531	تاجاۋۇزچى
belittle	anger	0.531	belittle
confinement	anger	0.531	قاماش
dispute	anger	0.531	تالاش-تارتىش
exacerbation	anger	0.531	ئېغىرلاش
uprising	anger	0.531	قوزغىلاڭ
unjust	anger	0.530	ناھەق
unjustifiable	anger	0.530	ئورۇنسىز
perversion	anger	0.530	بۇرمىلاش
bigoted	anger	0.530	bigoted
fiesty	anger	0.530	fiesty
offender	anger	0.530	جىنايەتچى
dictatorial	anger	0.530	مۇستەبىت
hassle	anger	0.530	ئاۋارىچىلىق
dissonance	anger	0.530	dissonance
tackled	anger	0.530	ھەل قىلىندى
renegade	anger	0.529	renegade
cantstandit	anger	0.529	cantstandit
trespass	anger	0.529	trespass
hot	anger	0.529	hot
prison	anger	0.529	تۈرمە
suicide	anger	0.521	ئۆزىنى ئۆلتۈرىۋېلىش
annoy	anger	0.520	بىزار
leavemealone	anger	0.517	leftmealone
cretins	anger	0.516	cretins
depravity	anger	0.516	بۇزۇقچىلىق
idiotic	anger	0.516	ئەخمەق
dishonest	anger	0.516	سەمىمىيەتسىز
distrust	anger	0.516	ئىشەنمەسلىك
broil	anger	0.516	broil
grrr	anger	0.516	grrr
criticize	anger	0.516	تەنقىد
inimical	anger	0.516	inimical
tortious	anger	0.516	قىيناش
prisoner	anger	0.516	مەھبۇس
treason	anger	0.516	خىيانەت
divorce	anger	0.516	ئاجرىشىش
venting	anger	0.516	venting
duress	anger	0.516	duress
disrespectful	anger	0.516	ھۆرمەتسىزلىك
poaching	anger	0.515	ئوغرىلىقچە ئوۋ ئوۋلاش
scold	anger	0.515	تىللىدى
poachers	anger	0.515	ئوغرىلىقچە ئوۋچىلار
pow	anger	0.515	pow
hangry	anger	0.515	hangry
argumentation	anger	0.515	تالاش-تارتىش
frustrating	anger	0.515	كىشىنى ئۈمىدسىزلەندۈرىدۇ
unkind	anger	0.515	رەھىمسىز
roar	anger	0.515	گۈلدۈر
coercion	anger	0.515	مەجبۇرلاش
unforgiving	anger	0.515	كەچۈرگۈسىز
grump	anger	0.515	grump
bile	anger	0.515	ئۆت
unleash	anger	0.515	unleash
chaos	anger	0.515	قالايمىقانچىلىق
victimized	anger	0.515	زىيانكەشلىككە ئۇچرىغان
