English Word	Emotion	Emotion-Intensity-Score	Estonian Word
destruction	anger	0.656	hävitamine
grudge	anger	0.656	vimm
antichrist	anger	0.656	antikristus
incense	anger	0.656	viiruk
expel	anger	0.656	välja saata
cranky	anger	0.653	pahur
slave	anger	0.652	ori
reprisal	anger	0.652	kättemaksu
growl	anger	0.652	urisema
animosity	anger	0.652	vaenulikkus
insurrection	anger	0.652	ülestõus
clashing	anger	0.652	kokkupõrkes
denounce	anger	0.652	hukka mõista
offended	anger	0.652	solvunud
spank	anger	0.652	lööma
insulting	anger	0.652	solvav
growls	anger	0.649	uriseb
executioner	anger	0.644	timukas
twat	anger	0.644	twat
doomsday	anger	0.643	maailmalõpupäev
obscenity	anger	0.641	nilbus
accused	anger	0.641	süüdistatav
feud	anger	0.641	tüli
daemon	anger	0.641	deemon
havoc	anger	0.641	kaost
shackle	anger	0.641	köidikuga
inexcusable	anger	0.641	vabandamatu
indignant	anger	0.641	nördinud
grr	anger	0.641	grr
expulsion	anger	0.641	väljasaatmine
bombard	anger	0.641	pommitama
spat	anger	0.641	sülitas
arson	anger	0.641	süütamine
reprimand	anger	0.641	noomitus
somad	anger	0.637	nii vihane
frustrated	anger	0.636	pettunud
batter	anger	0.636	taigna
kicking	anger	0.636	jalaga löömine
anarchy	anger	0.636	anarhia
spanking	anger	0.636	löömine
glaring	anger	0.636	silmatorkav
suicidal	anger	0.636	suitsiidne
disgusting	anger	0.636	vastik
wound	anger	0.636	haava
hanging	anger	0.636	rippuvad
poisoned	anger	0.636	mürgitatud
combatant	anger	0.636	võitleja
wrecked	anger	0.633	purustatud
inflict	anger	0.633	tekitama
grievous	anger	0.632	kurb
prosecute	anger	0.630	vastutusele võtta
agitated	anger	0.630	ärevil
cheat	anger	0.630	petta
swastika	anger	0.627	haakrist
injure	anger	0.625	vigastada
indict	anger	0.625	süüdistama
scourge	anger	0.625	nuhtlus
provocation	anger	0.625	provokatsioon
suffocation	anger	0.625	lämbumine
strife	anger	0.625	tüli
raid	anger	0.625	haarang
enslaved	anger	0.625	orjastatud
cursing	anger	0.625	sõimamine
defamatory	anger	0.625	laimav
harassing	anger	0.625	ahistav
thundering	anger	0.625	mürisev
betray	anger	0.625	reeda
arsehole	anger	0.624	arseauk
theft	anger	0.621	vargus
insane	anger	0.621	hull
retaliation	anger	0.621	kättemaksu
irritate	anger	0.621	ärritada
deprivation	anger	0.621	ilmajätmine
fiend	anger	0.621	kurat
jerk	anger	0.621	jõnks
convict	anger	0.621	süüdimõistetu
cussed	anger	0.619	neetud
turmoil	anger	0.618	segadus
smack	anger	0.615	maitsma
retribution	anger	0.614	kättemaksu
rebellion	anger	0.609	mäss
oppressor	anger	0.609	rõhuja
gang	anger	0.609	jõuk
slavery	anger	0.609	orjus
intolerable	anger	0.609	talumatu
adverse	anger	0.609	ebasoodne
injurious	anger	0.609	kahjustav
twats	anger	0.609	pätid
collision	anger	0.609	kokkupõrge
battery	anger	0.609	aku
bitterly	anger	0.609	kibedalt
antagonism	anger	0.609	antagonism
irritability	anger	0.609	ärrituvus
disgraced	anger	0.608	häbisse sattunud
diatribe	anger	0.606	diatriib
asshole	anger	0.606	sitapea
blast	anger	0.606	lööklaine
bombardment	anger	0.606	pommitamine
irks	anger	0.606	irks
ranting	anger	0.606	röökimine
revolution	anger	0.606	revolutsioon
thug	anger	0.606	pätt
antagonistic	anger	0.606	antagonistlik
irritating	anger	0.606	ärritav
sickening	anger	0.606	haiget tekitav
discrimination	anger	0.606	diskrimineerimine
frustrate	anger	0.604	pettuma
insult	anger	0.603	solvang
hurtful	anger	0.603	haiget tekitav
oppression	anger	0.603	rõhumine
manipulation	anger	0.603	manipuleerimine
tiredofit	anger	0.603	väsinud
bigot	anger	0.603	suurkuju
tension	anger	0.603	pinget
disgust	anger	0.602	vastikust
spite	anger	0.600	vaatamata
intrusive	anger	0.598	pealetükkiv
harshness	anger	0.597	karmus
slur	anger	0.596	lärm
tempest	anger	0.594	torm
assail	anger	0.594	rünnak
bitterness	anger	0.594	kibestumist
morbidity	anger	0.594	haigestumust
casualty	anger	0.594	kannatanu
puncture	anger	0.594	punktsioon
miserable	anger	0.594	õnnetu
inferno	anger	0.594	inferno
invasion	anger	0.594	invasioon
storming	anger	0.594	tormamine
wretch	anger	0.594	armetu
consternation	anger	0.592	jahmatus
raving	anger	0.591	raevutsev
forcibly	anger	0.591	sunniviisiliselt
guillotine	anger	0.591	giljotiin
guilty	anger	0.591	süüdi
depraved	anger	0.591	rikutud
immoral	anger	0.591	ebamoraalne
overpowering	anger	0.591	ülivõimas
scare	anger	0.588	hirmutama
recalcitrant	anger	0.588	tõrksad
screwed	anger	0.588	keeratud
accursed	anger	0.588	neetud
soannoyed	anger	0.588	nii nördinud
invader	anger	0.588	sissetungija
jealousy	anger	0.587	armukadedus
indignation	anger	0.587	nördimust
vexed	anger	0.586	pahane
confront	anger	0.582	vastu astuda
brute	anger	0.581	jõhker
throttle	anger	0.579	gaasihoob
slut	anger	0.578	lits
coup	anger	0.578	riigipööre
blaze	anger	0.578	põlema
pillage	anger	0.578	röövimine
provoking	anger	0.578	provotseeriv
damage	anger	0.578	kahju
criminality	anger	0.578	kuritegevus
shutup	anger	0.578	jää vait
lash	anger	0.578	ripsmed
conflict	anger	0.578	konflikt
contentious	anger	0.578	vaieldav
shutit	anger	0.578	kinni
wreck	anger	0.578	vrakk
defiant	anger	0.578	trotslik
butcher	anger	0.578	lihunik
incarceration	anger	0.578	vangistus
revolver	anger	0.578	revolver
bickering	anger	0.578	nääklemine
yousuck	anger	0.578	sa oled nõme
cancer	anger	0.577	vähk
discriminate	anger	0.576	diskrimineerima
gun	anger	0.576	relv
frustration	anger	0.576	frustratsioon
gory	anger	0.576	verine
pernicious	anger	0.576	kahjulik
dontmess	anger	0.576	dontmess
blasphemy	anger	0.576	jumalateotust
chaotic	anger	0.576	kaootiline
grope	anger	0.576	kobama
alienation	anger	0.576	võõrandumine
disturbance	anger	0.576	häirimine
condescension	anger	0.576	kaastunne
standoff	anger	0.576	seisak
discord	anger	0.576	ebakõla
friggen	anger	0.575	friggen
sneer	anger	0.574	irvitama
death	anger	0.574	surma
lunacy	anger	0.574	hullumeelsus
scandalous	anger	0.574	skandaalne
oppressive	anger	0.574	rõhuv
jab	anger	0.574	torkima
cursed	anger	0.574	neetud
monstrosity	anger	0.574	koletisus
shit	anger	0.573	jama
disparaging	anger	0.571	halvustav
slash	anger	0.571	kaldkriips
unfair	anger	0.571	ebaõiglane
gallows	anger	0.570	võllapuud
escalate	anger	0.569	eskaleeruda
intolerant	anger	0.564	sallimatu
lawlessness	anger	0.563	seadusetus
beast	anger	0.562	metsaline
torpedo	anger	0.562	torpeedo
malign	anger	0.562	pahaloomuline
traitor	anger	0.562	reetur
frightful	anger	0.562	hirmutav
wrangling	anger	0.562	riidlemine
slander	anger	0.562	laim
bellows	anger	0.562	lõõtsad
retards	anger	0.562	pidurdab
grouchy	anger	0.562	kiuslik
derogatory	anger	0.562	halvustav
bearish	anger	0.562	karune
invade	anger	0.562	vallutama
perdition	anger	0.562	hukatus
arghh	anger	0.562	arghh
dreadful	anger	0.562	kohutav
bluddy	anger	0.562	bluddy
deceived	anger	0.562	petetud
glare	anger	0.562	sära
taunt	anger	0.562	mõnitama
dissension	anger	0.561	lahkarvamus
cross	anger	0.561	rist
rave	anger	0.561	märatsema
grating	anger	0.561	riiv
devastating	anger	0.561	laastav
fits	anger	0.561	sobib
jeopardize	anger	0.561	ohtu seada
shatter	anger	0.561	purustada
idiots	anger	0.561	idioodid
hurt	anger	0.561	haiget teha
thief	anger	0.561	varas
uncontrollable	anger	0.561	kontrollimatu
conflagration	anger	0.561	tulekahju
betrayal	anger	0.561	reetmine
banshee	anger	0.561	banshee
subjugation	anger	0.559	allutamine
disturbed	anger	0.559	häiritud
stomped	anger	0.557	trampis
grab	anger	0.557	haarata
grievance	anger	0.556	kaebus
ticked	anger	0.556	märgistatud
masochism	anger	0.556	masohhism
defiance	anger	0.552	trots
blackmail	anger	0.550	väljapressimine
offensive	anger	0.549	solvav
decry	anger	0.548	taunima
frustrates	anger	0.547	frustreerib
violation	anger	0.547	rikkumine
confine	anger	0.547	piirata
misery	anger	0.547	viletsus
arghhhh	anger	0.547	arghhhh
disparity	anger	0.547	ebavõrdsus
punishment	anger	0.547	karistus
rebel	anger	0.547	mässaja
preposterous	anger	0.547	absurdne
disgraceful	anger	0.547	häbiväärne
ire	anger	0.547	vihane
deceive	anger	0.547	petta
fustrated	anger	0.547	masendunud
sin	anger	0.547	patt
shrill	anger	0.547	kriiskav
darkside	anger	0.547	tume pool
overbearing	anger	0.547	üleolev
firearms	anger	0.547	tulirelvad
stolen	anger	0.546	varastatud
hadenough	anger	0.546	oli küllalt
prejudice	anger	0.545	eelarvamus
tackle	anger	0.545	tegelema
resentful	anger	0.545	nördinud
heated	anger	0.545	kuumutatud
callous	anger	0.545	kalk
conspirator	anger	0.545	vandenõulane
ruined	anger	0.545	rikutud
antagonist	anger	0.545	antagonist
skirmish	anger	0.545	tüli
menace	anger	0.545	oht
annoyin	anger	0.545	tüütu
foul	anger	0.545	vale
argument	anger	0.545	argument
humiliate	anger	0.545	alandada
wanker	anger	0.545	vanker
adversary	anger	0.545	vastane
sting	anger	0.544	kipitama
entangled	anger	0.544	takerdunud
grumble	anger	0.544	nuriseda
robbery	anger	0.544	röövimine
outcry	anger	0.544	kisa
resistance	anger	0.543	vastupanu
irreconcilable	anger	0.543	lepitamatu
obstructive	anger	0.542	takistav
dismay	anger	0.540	nördimus
mob	anger	0.538	mob
juststop	anger	0.537	lihtsalt lõpeta
badness	anger	0.536	kurjus
ridicule	anger	0.534	naeruvääristamine
incendiary	anger	0.533	sütitav
flares	anger	0.532	raketid
twofaced	anger	0.531	kahepalgeline
reckless	anger	0.531	hooletu
communism	anger	0.531	kommunism
allegation	anger	0.531	süüdistus
prejudicial	anger	0.531	eelarvamuslik
whip	anger	0.531	vahustama
unbridled	anger	0.531	ohjeldamatu
degeneracy	anger	0.531	degeneratsioon
intruder	anger	0.531	sissetungija
belittle	anger	0.531	halvustama
confinement	anger	0.531	kinnipidamine
dispute	anger	0.531	vaidlus
exacerbation	anger	0.531	ägenemine
uprising	anger	0.531	ülestõusu
unjust	anger	0.530	ebaõiglane
unjustifiable	anger	0.530	õigustamatu
perversion	anger	0.530	perverssus
bigoted	anger	0.530	fanaatik
fiesty	anger	0.530	tuline
offender	anger	0.530	kurjategija
dictatorial	anger	0.530	diktaatorlik
hassle	anger	0.530	tüli
dissonance	anger	0.530	dissonants
tackled	anger	0.530	lahendatud
renegade	anger	0.529	renegaat
cantstandit	anger	0.529	ei talu
trespass	anger	0.529	rikkumine
hot	anger	0.529	kuum
prison	anger	0.529	vanglas
suicide	anger	0.521	enesetapp
annoy	anger	0.520	tüütama
leavemealone	anger	0.517	Jäta mind rahule
cretins	anger	0.516	kretiinid
depravity	anger	0.516	rikutus
idiotic	anger	0.516	idiootne
dishonest	anger	0.516	ebaaus
distrust	anger	0.516	usaldamatus
broil	anger	0.516	hauta
grrr	anger	0.516	grrr
criticize	anger	0.516	kritiseerida
inimical	anger	0.516	vaenulik
tortious	anger	0.516	kahjutu
prisoner	anger	0.516	vang
treason	anger	0.516	riigireetmine
divorce	anger	0.516	lahutust
venting	anger	0.516	tuulutamine
duress	anger	0.516	sund
disrespectful	anger	0.516	lugupidamatu
poaching	anger	0.515	salaküttimine
scold	anger	0.515	noomida
poachers	anger	0.515	salakütid
pow	anger	0.515	pow
hangry	anger	0.515	näljas
argumentation	anger	0.515	argumentatsioon
frustrating	anger	0.515	masendav
unkind	anger	0.515	ebasõbralik
roar	anger	0.515	möirgama
coercion	anger	0.515	sundimine
unforgiving	anger	0.515	andestamatu
grump	anger	0.515	pahur
bile	anger	0.515	sapi
unleash	anger	0.515	valla päästma
chaos	anger	0.515	kaos
victimized	anger	0.515	ohvriks langenud
jerks	anger	0.515	tõmblused
tussle	anger	0.514	kaklema
bane	anger	0.511	bane
accusation	anger	0.510	süüdistus
enmity	anger	0.510	vaen
repudiation	anger	0.510	äraütlemine
banish	anger	0.509	pagendada
disfigured	anger	0.508	moonutatud
storm	anger	0.507	torm
crazy	anger	0.500	hull
hammering	anger	0.500	vasardamine
defy	anger	0.500	trotsima
antithesis	anger	0.500	antitees
scoff	anger	0.500	pilka
anguish	anger	0.500	ahastus
confined	anger	0.500	piiratud
fear	anger	0.500	hirm
bout	anger	0.500	matš
unruly	anger	0.500	ohjeldamatu
delusional	anger	0.500	luululine
obstruct	anger	0.500	takistada
possessed	anger	0.500	vallatud
injustice	anger	0.500	ebaõiglus
fervor	anger	0.500	kirglikkus
spear	anger	0.500	oda
derision	anger	0.500	pilkamine
intractable	anger	0.500	lahendamatu
reject	anger	0.500	tagasi lükata
dominate	anger	0.500	domineerima
ordeal	anger	0.500	katsumus
banished	anger	0.500	pagendatud
rejects	anger	0.500	lükkab tagasi
shun	anger	0.500	vältima
brunt	anger	0.500	jõhkrus
derogation	anger	0.500	erand
frenzied	anger	0.500	meeletu
animus	anger	0.500	animus
suppression	anger	0.500	mahasurumine
malpractice	anger	0.500	rikkumine
brazen	anger	0.500	jultunud
foaming	anger	0.500	vahutav
disrupting	anger	0.500	häiriv
nobodycares	anger	0.500	kedagi ei huvita
patronising	anger	0.500	patroneeriv
getoveryourself	anger	0.495	saada üle iseendast
toughness	anger	0.492	sitkus
stupidpeople	anger	0.492	lollid inimesed
madness	anger	0.491	hullus
sinful	anger	0.491	patune
avarice	anger	0.490	ahnus
oppress	anger	0.490	rõhuma
cutting	anger	0.485	lõikamine
anathema	anger	0.485	anthema
annoyed	anger	0.485	nördinud
dissident	anger	0.485	dissident
demand	anger	0.485	nõuda
usurp	anger	0.485	anastama
claw	anger	0.485	küünis
alienate	anger	0.485	võõrandama
infraction	anger	0.485	rikkumine
avenger	anger	0.485	kättemaksja
revoke	anger	0.485	tühistada
smuggler	anger	0.485	salakaubavedaja
abolish	anger	0.485	tühistada
fricking	anger	0.485	frikkimine
stayaway	anger	0.485	Hoia eemale
pervert	anger	0.485	pervert
disservice	anger	0.485	karuteene
disobedient	anger	0.485	sõnakuulmatu
incest	anger	0.485	intsest
complaint	anger	0.485	kaebus
disapproved	anger	0.485	tagasi lükatud
inhuman	anger	0.485	ebainimlik
mocking	anger	0.484	pilkamine
penalty	anger	0.484	karistus
renounce	anger	0.484	loobuma
restrain	anger	0.484	piirata
upheaval	anger	0.484	murrang
deceit	anger	0.484	pettus
obnoxious	anger	0.484	ebameeldiv
imprisoned	anger	0.484	vangistatud
strained	anger	0.484	pingutatud
blame	anger	0.484	süüdistada
oust	anger	0.484	välja tõrjuda
litigious	anger	0.484	kohtuvaidluses
rivalry	anger	0.484	rivaalitsemine
sucker	anger	0.484	imeja
opposed	anger	0.484	vastu
thresh	anger	0.484	peksma
disgrace	anger	0.484	häbi
suspicious	anger	0.484	kahtlane
turbulence	anger	0.483	turbulents
pound	anger	0.481	nael
coldness	anger	0.477	külmus
ungrateful	anger	0.472	tänamatu
stoopid	anger	0.471	nüri
battalion	anger	0.471	pataljon
feudalism	anger	0.470	feodalism
hostage	anger	0.470	pantvangi
annoying	anger	0.470	tüütu
dispossessed	anger	0.470	võõrandatud
subversion	anger	0.470	õõnestus
friction	anger	0.470	hõõrdumine
jealous	anger	0.470	armukade
adversity	anger	0.470	vastasseis
infidel	anger	0.470	uskmatu
gall	anger	0.470	sapine
accuser	anger	0.470	süüdistaja
ram	anger	0.470	ram
armament	anger	0.470	relvastus
thump	anger	0.469	kolks
dislike	anger	0.469	ei meeldi
steal	anger	0.469	varastada
backoff	anger	0.469	taganemine
stifled	anger	0.469	lämmatanud
incite	anger	0.469	õhutama
distress	anger	0.469	ahastus
angermanagement	anger	0.469	viharavi
selfish	anger	0.469	isekas
injury	anger	0.469	vigastus
exile	anger	0.469	pagendus
insanity	anger	0.469	hullumeelsus
offense	anger	0.469	rünnak
objection	anger	0.469	vastulause
smother	anger	0.469	lämmatama
disruption	anger	0.469	katkestus
intolerance	anger	0.469	sallimatus
disobey	anger	0.469	ei kuuletu
