English Word	Emotion	Emotion-Intensity-Score	Georgian Word
atrocity	anger	0.814	სისასტიკეს
fucksake	anger	0.812	ფაქიზი
abuse	anger	0.812	ბოროტად გამოყენება
fierce	anger	0.812	სასტიკი
destroyer	anger	0.812	გამანადგურებელი
angrytweet	anger	0.812	გაბრაზებული ტვიტი
barbaric	anger	0.812	ბარბაროსული
vendetta	anger	0.812	ვენდეტა
pissesmeoff	anger	0.812	მაბრაზებს
pissedoff	anger	0.812	გაცოფებული
tyrant	anger	0.812	ტირანი
berserk	anger	0.812	გაბრაზებული
fuming	anger	0.812	fuming
anger	anger	0.811	გაბრაზება
pieceofshit	anger	0.810	pieceofshit
punched	anger	0.803	დარტყმული
punching	anger	0.803	მუშტების დარტყმა
slam	anger	0.803	სლემი
homicide	anger	0.803	მკვლელობა
bitch	anger	0.803	ძუა
fights	anger	0.803	იბრძვის
ruthless	anger	0.797	დაუნდობელი
villainous	anger	0.797	ბოროტმოქმედი
destructive	anger	0.797	გამანადგურებელი
slap	anger	0.791	შლამი
riot	anger	0.788	ბუნტი
growthefuckup	anger	0.788	ზრდის შეტევა
punishing	anger	0.788	დამსჯელი
slaughterhouse	anger	0.788	სასაკლაო
yelling	anger	0.788	ყვირილი
diabolical	anger	0.788	ეშმაკური
destroyed	anger	0.788	განადგურდა
ragetweet	anger	0.788	რაგეტვიტი
retaliatory	anger	0.788	საპასუხო
manslaughter	anger	0.783	გაუფრთხილებლობით მკვლელობა
clash	anger	0.783	შეჯახება
quarrel	anger	0.781	წაჩხუბება
bloody	anger	0.781	სისხლიანი
hellish	anger	0.781	ჯოჯოხეთური
sinister	anger	0.781	ბოროტი
loath	anger	0.781	ზიზღი
detonation	anger	0.781	დეტონაცია
accusing	anger	0.779	ბრალდება
fumin	anger	0.779	ფუმინი
hateeee	anger	0.779	სიძულვილიეეე
treacherous	anger	0.779	მოღალატე
madder	anger	0.773	შეშლილი
horrific	anger	0.773	შემზარავი
revulsion	anger	0.773	ზიზღი
retaliate	anger	0.773	გასწორებოდნენ
scorn	anger	0.769	ზიზღი
bomb	anger	0.766	ბომბი
deplorable	anger	0.766	სავალალო
devastation	anger	0.765	განადგურება
anarchist	anger	0.765	ანარქისტი
firestorm	anger	0.765	ცეცხლის ქარიშხალი
resent	anger	0.765	განაწყენდა
contemptible	anger	0.764	საზიზღარი
shittest	anger	0.760	ყველაზე შიშველი
rant	anger	0.758	ლანძღვა
cruel	anger	0.758	სასტიკი
deadly	anger	0.758	მომაკვდინებელი
smash	anger	0.758	დამსხვრევა
soangry	anger	0.758	ძალიან გაბრაზებული
outburst	anger	0.757	გამოხტომა
snarl	anger	0.754	ღრიალი
profane	anger	0.750	პროფანული
revolting	anger	0.750	ამბოხებული
aggravating	anger	0.750	დამამძიმებელი
horror	anger	0.750	საშინელება
despise	anger	0.750	ზიზღი
offend	anger	0.750	შეურაცხყოფა
stfu	anger	0.750	stfu
vulgarity	anger	0.750	ვულგარულობა
crazed	anger	0.750	გაგიჟებული
douchebags	anger	0.750	დუჩბეგები
growling	anger	0.750	ღრიალი
dontmesswithme	anger	0.750	ნუ მელაპარაკები
screaming	anger	0.742	ყვირილი
threat	anger	0.742	მუქარა
erupt	anger	0.742	ამოფრქვევა
horrible	anger	0.742	საზარელი
molestation	anger	0.742	შეურაცხყოფა
fuckedoff	anger	0.742	გარყვნილი
violence	anger	0.742	ძალადობა
bastards	anger	0.741	ნაძირალები
revenge	anger	0.738	შურისძიება
menacing	anger	0.735	მუქარის
crushing	anger	0.735	გამანადგურებელი
damn	anger	0.735	ჯანდაბა
catastrophe	anger	0.735	კატასტროფა
demon	anger	0.735	დემონი
argue	anger	0.734	კამათი
persecute	anger	0.734	დევნა
deplore	anger	0.734	გმობს
flog	anger	0.734	შოლტი
fedup	anger	0.734	მომწყინდა
riotous	anger	0.734	მღელვარე
vehement	anger	0.734	სასტიკი
revolt	anger	0.734	აჯანყება
warfare	anger	0.734	ომი
thrash	anger	0.734	თრეში
altercation	anger	0.729	ჩხუბი
warlike	anger	0.728	მეომარი
shitday	anger	0.727	სირცხვილი
mutiny	anger	0.727	ამბოხი
castrate	anger	0.727	კასტრაცია
sabotage	anger	0.727	დივერსია
malevolent	anger	0.721	ბოროტი
strike	anger	0.721	გაფიცვა
disaster	anger	0.721	კატასტროფა
disastrous	anger	0.720	დამღუპველი
bastarding	anger	0.719	ნაძირალა
treachery	anger	0.719	ღალატი
arseholes	anger	0.719	არსებები
horseshit	anger	0.719	ცხენოსანი
slay	anger	0.719	მოკვლა
disdain	anger	0.719	ზიზღი
aggravates	anger	0.719	ამძიმებს
brutal	anger	0.719	სასტიკი
scorching	anger	0.719	მცხუნვარე
devil	anger	0.719	ეშმაკი
madden	anger	0.719	შეშლილი
spiteful	anger	0.719	საზიზღარი
scream	anger	0.719	ყვირილი
choke	anger	0.719	დახრჩობა
vermin	anger	0.719	მავნებელი
tumult	anger	0.719	აურზაური
criminal	anger	0.714	დამნაშავე
mangle	anger	0.714	მანგლელი
anarchism	anger	0.714	ანარქიზმი
mutilation	anger	0.714	დასახიჩრება
denunciation	anger	0.713	დენონსაცია
punch	anger	0.713	დარტყმა
virulence	anger	0.712	ვირულენტობა
fatal	anger	0.712	ფატალური
hurting	anger	0.712	მტკივა
crucifixion	anger	0.712	ჯვარცმა
dontlikeyou	anger	0.712	არ მოგწონს
blasphemous	anger	0.712	მკრეხელური
holocaust	anger	0.712	ჰოლოკოსტი
dumbasses	anger	0.712	დუმბაზები
battled	anger	0.712	იბრძოდა
deranged	anger	0.706	შეშლილი
irritated	anger	0.706	გაღიზიანებული
atrocious	anger	0.706	სასტიკი
evil	anger	0.706	ბოროტი
aggravated	anger	0.703	გამწვავდა
intimidation	anger	0.703	დაშინება
dicks	anger	0.703	დიკები
assassin	anger	0.703	მკვლელი
scolding	anger	0.703	გაკიცხვა
persecution	anger	0.703	დევნა
slayer	anger	0.703	მკვლელი
kidnap	anger	0.703	გატაცება
aggression	anger	0.702	აგრესია
armed	anger	0.700	შეიარაღებული
battle	anger	0.697	ბრძოლა
poison	anger	0.697	შხამი
snarling	anger	0.697	ღრიალი
venom	anger	0.697	შხამი
disgruntled	anger	0.693	უკმაყოფილო
resentment	anger	0.691	წყენა
assailant	anger	0.691	თავდამსხმელი
insidious	anger	0.691	მზაკვრული
contemptuous	anger	0.690	საზიზღარი
lynch	anger	0.690	ლინჩი
temper	anger	0.688	ხასიათი
terrible	anger	0.688	საშინელი
disparage	anger	0.688	დამცირება
lunatic	anger	0.688	გიჟი
bully	anger	0.688	მოძალადე
mad	anger	0.688	შეშლილი
makesmemad	anger	0.688	makememad
infanticide	anger	0.688	ჩვილების მოკვლა
domination	anger	0.688	ბატონობა
peeved	anger	0.688	აფორიაქებული
imprisonment	anger	0.688	პატიმრობა
curse	anger	0.688	წყევლა
volatility	anger	0.687	არასტაბილურობა
eradication	anger	0.685	აღმოფხვრა
eradicate	anger	0.682	აღმოფხვრა
tantrum	anger	0.682	ტანტრუმი
scoundrel	anger	0.682	ნაძირალა
devastate	anger	0.682	დამღუპველი
aggressively	anger	0.680	აგრესიულად
agitation	anger	0.680	აგიტაცია
dictatorship	anger	0.676	დიქტატურა
irritates	anger	0.676	აღიზიანებს
profanity	anger	0.673	უხამსობა
shove	anger	0.672	შოვა
nasty	anger	0.672	საზიზღარი
shot	anger	0.672	დახვრიტეს
cruelly	anger	0.672	სასტიკად
shoot	anger	0.672	სროლა
condemnation	anger	0.672	დაგმობა
crushed	anger	0.672	დამსხვრეული
aggravation	anger	0.672	გამწვავება
poisonous	anger	0.672	შხამიანი
egregious	anger	0.672	ამაზრზენი
crime	anger	0.672	დანაშაული
corrupting	anger	0.672	აფუჭებს
dastardly	anger	0.672	საზიზღრად
contempt	anger	0.672	ზიზღი
harmful	anger	0.672	მავნე
expletive	anger	0.672	ექსპლექტიური
wreak	anger	0.672	გაფუჭება
maniac	anger	0.670	მანიაკი
cutthroat	anger	0.667	საჭრელი
enemy	anger	0.667	მტერი
hit	anger	0.667	მოხვდა
hateeveryone	anger	0.667	ყველას სძულს
eruption	anger	0.667	ამოფრქვევა
irritable	anger	0.667	გაღიზიანებული
odious	anger	0.667	ოდიოზური
shooting	anger	0.667	სროლა
shout	anger	0.667	ყვირილი
aggressive	anger	0.667	აგრესიული
kick	anger	0.667	დარტყმა
combat	anger	0.667	საბრძოლო
fight	anger	0.667	ბრძოლა
punished	anger	0.662	დასჯილი
yell	anger	0.661	ყვირილი
ambush	anger	0.661	ჩასაფრება
harass	anger	0.659	შევიწროება
malignant	anger	0.656	ავთვისებიანი
aggressor	anger	0.656	აგრესორი
gore	anger	0.656	გორი
destruction	anger	0.656	განადგურება
grudge	anger	0.656	წყენა
antichrist	anger	0.656	ანტიქრისტე
incense	anger	0.656	საკმეველი
expel	anger	0.656	განდევნა
cranky	anger	0.653	ცელქი
slave	anger	0.652	მონა
reprisal	anger	0.652	შურისძიება
growl	anger	0.652	ღრიალი
animosity	anger	0.652	მტრობა
insurrection	anger	0.652	აჯანყება
clashing	anger	0.652	შეჯახება
denounce	anger	0.652	დაგმო
offended	anger	0.652	განაწყენებული
spank	anger	0.652	ტყაპუნი
insulting	anger	0.652	შეურაცხმყოფელი
growls	anger	0.649	ღრიალებს
executioner	anger	0.644	ჯალათი
twat	anger	0.644	ტვატ
doomsday	anger	0.643	განკითხვის დღე
obscenity	anger	0.641	უხამსობა
accused	anger	0.641	ბრალდებული
feud	anger	0.641	მტრობა
daemon	anger	0.641	დემონი
havoc	anger	0.641	განადგურება
shackle	anger	0.641	ბორკილი
inexcusable	anger	0.641	უპატიებელი
indignant	anger	0.641	აღშფოთებული
grr	anger	0.641	გრრ
expulsion	anger	0.641	გაძევება
bombard	anger	0.641	დაბომბვა
spat	anger	0.641	აფურთხებდა
arson	anger	0.641	ცეცხლმოკიდება
reprimand	anger	0.641	საყვედური
somad	anger	0.637	სომადი
frustrated	anger	0.636	იმედგაცრუებული
batter	anger	0.636	ცომი
kicking	anger	0.636	წიხლებით
anarchy	anger	0.636	ანარქია
spanking	anger	0.636	დარტყმა
glaring	anger	0.636	თვალისმომჭრელი
suicidal	anger	0.636	თვითმკვლელი
disgusting	anger	0.636	ამაზრზენი
wound	anger	0.636	ჭრილობა
hanging	anger	0.636	ჩამოკიდებული
poisoned	anger	0.636	მოწამლული
combatant	anger	0.636	მებრძოლი
wrecked	anger	0.633	დანგრეული
inflict	anger	0.633	მიაყენოს
grievous	anger	0.632	მძიმე
prosecute	anger	0.630	დევნა
agitated	anger	0.630	აჟიტირებული
cheat	anger	0.630	მოტყუებას
swastika	anger	0.627	სვასტიკა
injure	anger	0.625	დაშავება
indict	anger	0.625	საბრალდებო დასკვნა
scourge	anger	0.625	უბედურება
provocation	anger	0.625	პროვოკაცია
suffocation	anger	0.625	დახრჩობა
strife	anger	0.625	ჩხუბი
raid	anger	0.625	დარბევა
enslaved	anger	0.625	დამონებული
cursing	anger	0.625	ლანძღვა
defamatory	anger	0.625	ცილისმწამებლური
harassing	anger	0.625	შევიწროება
thundering	anger	0.625	ჭექა-ქუხილი
betray	anger	0.625	ღალატობს
arsehole	anger	0.624	აურზაური
theft	anger	0.621	ქურდობა
insane	anger	0.621	გიჟური
retaliation	anger	0.621	შურისძიება
irritate	anger	0.621	აღიზიანებს
deprivation	anger	0.621	ჩამორთმევა
fiend	anger	0.621	ბოროტმოქმედი
jerk	anger	0.621	ჯოხი
convict	anger	0.621	მსჯავრდებული
cussed	anger	0.619	ლანძღავდა
turmoil	anger	0.618	არეულობა
smack	anger	0.615	Smack
retribution	anger	0.614	ანგარიშსწორება
rebellion	anger	0.609	აჯანყება
oppressor	anger	0.609	მჩაგვრელი
gang	anger	0.609	ბანდა
slavery	anger	0.609	მონობა
intolerable	anger	0.609	აუტანელი
adverse	anger	0.609	არასასურველი
injurious	anger	0.609	მავნე
twats	anger	0.609	ტვატები
collision	anger	0.609	შეჯახება
battery	anger	0.609	ბატარეა
bitterly	anger	0.609	მწარედ
antagonism	anger	0.609	ანტაგონიზმი
irritability	anger	0.609	გაღიზიანებადობა
disgraced	anger	0.608	შერცხვენილი
diatribe	anger	0.606	დიატრიბი
asshole	anger	0.606	სულელი
blast	anger	0.606	აფეთქება
bombardment	anger	0.606	დაბომბვა
irks	anger	0.606	გაბრაზებულია
ranting	anger	0.606	რბევა
revolution	anger	0.606	რევოლუცია
thug	anger	0.606	ყაჩაღი
antagonistic	anger	0.606	ანტაგონისტური
irritating	anger	0.606	გამაღიზიანებელი
sickening	anger	0.606	ავადმყოფური
discrimination	anger	0.606	დისკრიმინაცია
frustrate	anger	0.604	იმედგაცრუება
insult	anger	0.603	შეურაცხყოფა
hurtful	anger	0.603	მტკივნეული
oppression	anger	0.603	ჩაგვრა
manipulation	anger	0.603	მანიპულირება
tiredofit	anger	0.603	დაღლილი
bigot	anger	0.603	დიდსულოვანი
tension	anger	0.603	დაძაბულობა
disgust	anger	0.602	ზიზღი
spite	anger	0.600	მიუხედავად
intrusive	anger	0.598	ინტრუზიული
harshness	anger	0.597	სიმკაცრე
slur	anger	0.596	შეურაცხყოფა
tempest	anger	0.594	ქარიშხალი
assail	anger	0.594	თავდასხმა
bitterness	anger	0.594	სიმწარე
morbidity	anger	0.594	ავადობა
casualty	anger	0.594	მსხვერპლი
puncture	anger	0.594	პუნქცია
miserable	anger	0.594	საწყალი
inferno	anger	0.594	ჯოჯოხეთი
invasion	anger	0.594	შეჭრა
storming	anger	0.594	შტურმით
wretch	anger	0.594	საწყალი
consternation	anger	0.592	შეშფოთება
raving	anger	0.591	ბრაზი
forcibly	anger	0.591	ძალით
guillotine	anger	0.591	გილიოტინი
guilty	anger	0.591	დამნაშავე
depraved	anger	0.591	გარყვნილი
immoral	anger	0.591	ამორალური
overpowering	anger	0.591	ძლევამოსილი
scare	anger	0.588	შეშინება
recalcitrant	anger	0.588	ურჩი
screwed	anger	0.588	ხრახნიანი
accursed	anger	0.588	დაწყევლილი
soannoyed	anger	0.588	გაღიზიანებული
invader	anger	0.588	დამპყრობელი
jealousy	anger	0.587	ეჭვიანობა
indignation	anger	0.587	აღშფოთება
vexed	anger	0.586	შეწუხებული
confront	anger	0.582	დაუპირისპირდება
brute	anger	0.581	უხეში
throttle	anger	0.579	დროსელი
slut	anger	0.578	სლუკუნი
coup	anger	0.578	გადატრიალება
blaze	anger	0.578	ცეცხლმოკიდებული
pillage	anger	0.578	ძარცვა
provoking	anger	0.578	პროვოცირებას
damage	anger	0.578	დაზიანება
criminality	anger	0.578	კრიმინალი
shutup	anger	0.578	მოკეტე
lash	anger	0.578	წამწამი
conflict	anger	0.578	კონფლიქტი
contentious	anger	0.578	სადავო
shutit	anger	0.578	დახურეთ
wreck	anger	0.578	დანგრევა
defiant	anger	0.578	გამომწვევი
butcher	anger	0.578	ჯალათი
incarceration	anger	0.578	პატიმრობა
revolver	anger	0.578	რევოლვერი
bickering	anger	0.578	კამათი
yousuck	anger	0.578	ჩაფლავება
cancer	anger	0.577	კიბო
discriminate	anger	0.576	დისკრიმინაცია
gun	anger	0.576	იარაღი
frustration	anger	0.576	იმედგაცრუება
gory	anger	0.576	მღელვარე
pernicious	anger	0.576	დამღუპველი
dontmess	anger	0.576	არ მესმის
blasphemy	anger	0.576	გმობა
chaotic	anger	0.576	ქაოტური
grope	anger	0.576	ღრიალი
alienation	anger	0.576	გაუცხოება
disturbance	anger	0.576	არეულობა
condescension	anger	0.576	დათმობა
standoff	anger	0.576	დგომა
discord	anger	0.576	უთანხმოება
friggen	anger	0.575	ფრიგენი
sneer	anger	0.574	დამცინავი
death	anger	0.574	სიკვდილი
lunacy	anger	0.574	სიგიჟე
scandalous	anger	0.574	სკანდალური
oppressive	anger	0.574	მჩაგვრელი
jab	anger	0.574	ჯაბი
cursed	anger	0.574	დაწყევლილი
monstrosity	anger	0.574	ურჩხული
shit	anger	0.573	სირცხვილი
disparaging	anger	0.571	დამამცირებელი
slash	anger	0.571	დახრილი
unfair	anger	0.571	უსამართლო
gallows	anger	0.570	ღაწვები
escalate	anger	0.569	ესკალაცია
intolerant	anger	0.564	შეუწყნარებელი
lawlessness	anger	0.563	უკანონობა
beast	anger	0.562	მხეცი
torpedo	anger	0.562	ტორპედო
malign	anger	0.562	ავთვისებიანი
traitor	anger	0.562	მოღალატე
frightful	anger	0.562	შემზარავი
wrangling	anger	0.562	ჩხუბი
slander	anger	0.562	ცილისწამება
bellows	anger	0.562	ბუხარი
retards	anger	0.562	ჩამორჩენილები
grouchy	anger	0.562	ჟრუანტელი
derogatory	anger	0.562	დამამცირებელი
bearish	anger	0.562	დათვი
invade	anger	0.562	შეჭრა
perdition	anger	0.562	დაღუპვა
arghh	anger	0.562	არღჰ
dreadful	anger	0.562	საშინელი
bluddy	anger	0.562	დაბურული
deceived	anger	0.562	მოატყუეს
glare	anger	0.562	ნათება
taunt	anger	0.562	დაცინვა
dissension	anger	0.561	უთანხმოება
cross	anger	0.561	ჯვარი
rave	anger	0.561	რავი
grating	anger	0.561	გახეხვა
devastating	anger	0.561	დამღუპველი
fits	anger	0.561	შეესაბამება
jeopardize	anger	0.561	საფრთხეს უქმნის
shatter	anger	0.561	დამსხვრევა
idiots	anger	0.561	იდიოტები
hurt	anger	0.561	დააზარალებს
thief	anger	0.561	ქურდი
uncontrollable	anger	0.561	უკონტროლო
conflagration	anger	0.561	ცეცხლმოკიდება
betrayal	anger	0.561	ღალატი
banshee	anger	0.561	ბანში
subjugation	anger	0.559	დამორჩილება
disturbed	anger	0.559	შეწუხებული
stomped	anger	0.557	აკოცა
grab	anger	0.557	ხელში ჩაგდება
grievance	anger	0.556	წყენა
ticked	anger	0.556	მონიშნული
masochism	anger	0.556	მაზოხიზმი
defiance	anger	0.552	დაუმორჩილებლობა
blackmail	anger	0.550	შანტაჟი
offensive	anger	0.549	შეურაცხმყოფელი
decry	anger	0.548	გაკიცხვა
frustrates	anger	0.547	იმედგაცრუებს
violation	anger	0.547	დარღვევა
confine	anger	0.547	შემოიფარგლება
misery	anger	0.547	უბედურება
arghhhh	anger	0.547	არღჰჰჰ
disparity	anger	0.547	უთანასწორობა
punishment	anger	0.547	სასჯელი
rebel	anger	0.547	მეამბოხე
preposterous	anger	0.547	უაზრო
disgraceful	anger	0.547	სამარცხვინო
ire	anger	0.547	გაბრაზება
deceive	anger	0.547	მოტყუება
fustrated	anger	0.547	გაფუჭებული
sin	anger	0.547	ცოდვა
shrill	anger	0.547	შრიალი
darkside	anger	0.547	ბნელი მხარე
overbearing	anger	0.547	ძლევამოსილი
firearms	anger	0.547	ცეცხლსასროლი იარაღი
stolen	anger	0.546	მოპარული
hadenough	anger	0.546	საკმარისია
prejudice	anger	0.545	ცრურწმენა
tackle	anger	0.545	დაძლევა
resentful	anger	0.545	განაწყენებული
heated	anger	0.545	თბება
callous	anger	0.545	გულუბრყვილო
conspirator	anger	0.545	შეთქმული
ruined	anger	0.545	დანგრეული
antagonist	anger	0.545	ანტაგონისტი
skirmish	anger	0.545	შეტაკება
menace	anger	0.545	მუქარა
annoyin	anger	0.545	გამაღიზიანებელი
foul	anger	0.545	უხეში
argument	anger	0.545	არგუმენტი
humiliate	anger	0.545	დამცირება
wanker	anger	0.545	მოხეტიალე
adversary	anger	0.545	მოწინააღმდეგე
sting	anger	0.544	ნაკბენი
entangled	anger	0.544	ჩახლართული
grumble	anger	0.544	წუწუნი
robbery	anger	0.544	ძარცვა
outcry	anger	0.544	შეძახილი
resistance	anger	0.543	წინააღმდეგობა
irreconcilable	anger	0.543	შეურიგებელი
obstructive	anger	0.542	ობსტრუქციული
dismay	anger	0.540	შეშფოთება
mob	anger	0.538	ბრბო
juststop	anger	0.537	უბრალოდ გაჩერდი
badness	anger	0.536	ბოროტება
ridicule	anger	0.534	დაცინვა
incendiary	anger	0.533	ცეცხლგამჩენი
flares	anger	0.532	ანთებები
twofaced	anger	0.531	ორპირიანი
reckless	anger	0.531	უგუნური
communism	anger	0.531	კომუნიზმი
allegation	anger	0.531	ბრალდება
prejudicial	anger	0.531	მავნე
whip	anger	0.531	მათრახი
unbridled	anger	0.531	აღვირახსნილი
degeneracy	anger	0.531	დეგენერაცია
intruder	anger	0.531	შემოჭრილი
belittle	anger	0.531	დააკნინება
confinement	anger	0.531	ჩაკეტვა
dispute	anger	0.531	დავა
exacerbation	anger	0.531	გამწვავება
uprising	anger	0.531	აჯანყება
unjust	anger	0.530	უსამართლო
unjustifiable	anger	0.530	გაუმართლებელი
perversion	anger	0.530	გარყვნილება
bigoted	anger	0.530	დიდსულოვანი
fiesty	anger	0.530	ფიცხი
offender	anger	0.530	დამნაშავე
dictatorial	anger	0.530	დიქტატორული
hassle	anger	0.530	უბედურება
dissonance	anger	0.530	დისონანსი
tackled	anger	0.530	მოგვარდა
renegade	anger	0.529	რენეგატი
cantstandit	anger	0.529	ვერ გაუძლებს
trespass	anger	0.529	ხელყოფა
hot	anger	0.529	ცხელი
prison	anger	0.529	ციხე
suicide	anger	0.521	თვითმკვლელობა
annoy	anger	0.520	გაღიზიანება
leavemealone	anger	0.517	მარტო დამტოვე
cretins	anger	0.516	კრეტინები
depravity	anger	0.516	გარყვნილება
idiotic	anger	0.516	იდიოტი
dishonest	anger	0.516	უპატიოსნო
distrust	anger	0.516	უნდობლობა
broil	anger	0.516	ბრაილი
grrr	anger	0.516	გრრრ
criticize	anger	0.516	აკრიტიკებენ
inimical	anger	0.516	მტრული
tortious	anger	0.516	დელიკატური
prisoner	anger	0.516	პატიმარი
treason	anger	0.516	ღალატი
divorce	anger	0.516	განქორწინება
venting	anger	0.516	ვენტილაცია
duress	anger	0.516	იძულება
disrespectful	anger	0.516	უპატივცემულო
poaching	anger	0.515	ბრაკონიერობა
scold	anger	0.515	გაკიცხვა
poachers	anger	0.515	ბრაკონიერები
pow	anger	0.515	პოუ
hangry	anger	0.515	მშიერი
argumentation	anger	0.515	არგუმენტაცია
frustrating	anger	0.515	იმედგაცრუებული
unkind	anger	0.515	არაკეთილსინდისიერი
roar	anger	0.515	ღრიალი
coercion	anger	0.515	იძულება
unforgiving	anger	0.515	შეუბრალებელი
grump	anger	0.515	წუწუნი
bile	anger	0.515	ნაღველი
unleash	anger	0.515	გაჩაღება
chaos	anger	0.515	ქაოსი
victimized	anger	0.515	მსხვერპლი გახდა
jerks	anger	0.515	ხრიკები
tussle	anger	0.514	ჩხუბი
bane	anger	0.511	ბანი
accusation	anger	0.510	ბრალდება
enmity	anger	0.510	მტრობა
repudiation	anger	0.510	უარყოფა
banish	anger	0.509	განდევნა
disfigured	anger	0.508	დამახინჯებული
storm	anger	0.507	ქარიშხალი
crazy	anger	0.500	გიჟი
hammering	anger	0.500	ჩაქუჩით დარტყმა
defy	anger	0.500	ეწინააღმდეგება
antithesis	anger	0.500	ანტითეზისი
scoff	anger	0.500	დაცინვა
anguish	anger	0.500	ტანჯვა
confined	anger	0.500	შემოფარგლული
fear	anger	0.500	შიში
bout	anger	0.500	ბრძოლა
unruly	anger	0.500	უმართავი
delusional	anger	0.500	ბოდვითი
