English Word	Emotion	Emotion-Intensity-Score	Maltese Word
abhor	anger	0.816	jistmerr
carnage	anger	0.814	qatgħa
savage	anger	0.814	selvaġġ
atrocity	anger	0.814	atroċità
fucksake	anger	0.812	fucksake
abuse	anger	0.812	abbuż
fierce	anger	0.812	ħarxa
destroyer	anger	0.812	qerrieda
angrytweet	anger	0.812	angrytweet
barbaric	anger	0.812	barbaru
vendetta	anger	0.812	vendetta
pissesmeoff	anger	0.812	pissesmeoff
pissedoff	anger	0.812	pissedoff
tyrant	anger	0.812	tirann
berserk	anger	0.812	berserk
fuming	anger	0.812	dħaħen
anger	anger	0.811	rabja
pieceofshit	anger	0.810	biċċa ħmieġ
punched	anger	0.803	ippanċjat
punching	anger	0.803	ippanċjar
slam	anger	0.803	slam
homicide	anger	0.803	omiċidju
bitch	anger	0.803	kelba
fights	anger	0.803	ġlied
ruthless	anger	0.797	bla ħniena
villainous	anger	0.797	villainous
destructive	anger	0.797	distruttiv
slap	anger	0.791	slap
riot	anger	0.788	irvell
growthefuckup	anger	0.788	growefuckup
punishing	anger	0.788	tikkastiga
slaughterhouse	anger	0.788	biċċerija
yelling	anger	0.788	jgħajjat
diabolical	anger	0.788	diabolika
destroyed	anger	0.788	meqruda
ragetweet	anger	0.788	ragetweet
retaliatory	anger	0.788	ritaljazzjoni
manslaughter	anger	0.783	qtil involontarju
clash	anger	0.783	kunflitt
quarrel	anger	0.781	battibek
bloody	anger	0.781	imdemmi
hellish	anger	0.781	infernali
sinister	anger	0.781	sinister
loath	anger	0.781	dispjaċir
detonation	anger	0.781	detonazzjoni
accusing	anger	0.779	akkuża
fumin	anger	0.779	fumin
hateeee	anger	0.779	hateeee
treacherous	anger	0.779	traditur
madder	anger	0.773	madder
horrific	anger	0.773	orribbli
revulsion	anger	0.773	dispjaċir
retaliate	anger	0.773	jirritaljaw
scorn	anger	0.769	disprezz
bomb	anger	0.766	bomba
deplorable	anger	0.766	deplorevoli
devastation	anger	0.765	devastazzjoni
anarchist	anger	0.765	anarkista
firestorm	anger	0.765	maltempata tan-nar
resent	anger	0.765	resent
contemptible	anger	0.764	disprezzabbli
shittest	anger	0.760	shittest
rant	anger	0.758	rant
cruel	anger	0.758	krudili
deadly	anger	0.758	fatali
smash	anger	0.758	smash
soangry	anger	0.758	soangry
outburst	anger	0.757	faqqa
snarl	anger	0.754	snarl
profane	anger	0.750	profan
revolting	anger	0.750	revolta
aggravating	anger	0.750	aggravanti
horror	anger	0.750	orrur
despise	anger	0.750	tiddisprezza
offend	anger	0.750	joffendi
stfu	anger	0.750	stfu
vulgarity	anger	0.750	vulgarità
crazed	anger	0.750	crazed
douchebags	anger	0.750	douchebags
growling	anger	0.750	jgħajjar
dontmesswithme	anger	0.750	miegħi
screaming	anger	0.742	jgħajjat
threat	anger	0.742	theddida
erupt	anger	0.742	tispara
horrible	anger	0.742	orribbli
molestation	anger	0.742	molestazzjoni
fuckedoff	anger	0.742	fuckedoff
violence	anger	0.742	vjolenza
bastards	anger	0.741	bastards
revenge	anger	0.738	vendetta
menacing	anger	0.735	theddida
crushing	anger	0.735	tgħaffiġ
damn	anger	0.735	kkritikat
catastrophe	anger	0.735	diżastru
demon	anger	0.735	dimostrazzjoni
argue	anger	0.734	argumenta
persecute	anger	0.734	jippersegwitaw
deplore	anger	0.734	jiddeplora
flog	anger	0.734	flog
fedup	anger	0.734	Xbajt
riotous	anger	0.734	rewwixta
vehement	anger	0.734	vehement
revolt	anger	0.734	rewwixta
warfare	anger	0.734	gwerra
thrash	anger	0.734	thrash
altercation	anger	0.729	alterkazzjoni
warlike	anger	0.728	gwerra
shitday	anger	0.727	shitday
mutiny	anger	0.727	ammutinament
castrate	anger	0.727	kastra
sabotage	anger	0.727	sabotaġġ
malevolent	anger	0.721	malevoli
strike	anger	0.721	strajk
disaster	anger	0.721	diżastru
disastrous	anger	0.720	diżastruż
bastarding	anger	0.719	bastarding
treachery	anger	0.719	tradiment
arseholes	anger	0.719	toqob tal-hmar
horseshit	anger	0.719	żiemel
slay	anger	0.719	qatel
disdain	anger	0.719	disprezz
aggravates	anger	0.719	taggrava
brutal	anger	0.719	brutali
scorching	anger	0.719	tixwit
devil	anger	0.719	xitan
madden	anger	0.719	miġnun
spiteful	anger	0.719	ħarxa
scream	anger	0.719	scream
choke	anger	0.719	ċowk
vermin	anger	0.719	dud
tumult	anger	0.719	tumult
criminal	anger	0.714	kriminali
mangle	anger	0.714	mangle
anarchism	anger	0.714	anarkiżmu
mutilation	anger	0.714	mutilazzjoni
denunciation	anger	0.713	denunzja
punch	anger	0.713	punch
virulence	anger	0.712	virulenza
fatal	anger	0.712	fatali
hurting	anger	0.712	iweġġgħu
crucifixion	anger	0.712	tislib
dontlikeyou	anger	0.712	dont like you
blasphemous	anger	0.712	blasfemu
holocaust	anger	0.712	olokawst
dumbasses	anger	0.712	dumbasses
battled	anger	0.712	iġġieled
deranged	anger	0.706	imqalleb
irritated	anger	0.706	irritata
atrocious	anger	0.706	atroċi
evil	anger	0.706	ħażen
aggravated	anger	0.703	aggravat
intimidation	anger	0.703	intimidazzjoni
dicks	anger	0.703	dicks
assassin	anger	0.703	assassin
scolding	anger	0.703	ċanfar
persecution	anger	0.703	persekuzzjoni
slayer	anger	0.703	qattiel
kidnap	anger	0.703	ħtif
aggression	anger	0.702	aggressjoni
armed	anger	0.700	armati
battle	anger	0.697	battalja
poison	anger	0.697	velenu
snarling	anger	0.697	snarling
venom	anger	0.697	velenu
disgruntled	anger	0.693	disgruntled
resentment	anger	0.691	riżentiment
assailant	anger	0.691	aggressur
insidious	anger	0.691	insidjuż
contemptuous	anger	0.690	disprezzjuż
lynch	anger	0.690	linċi
temper	anger	0.688	temper
terrible	anger	0.688	terribbli
disparage	anger	0.688	jiddisprezza
lunatic	anger	0.688	lunatic
bully	anger	0.688	bully
mad	anger	0.688	ġenn
makesmemad	anger	0.688	makememad
infanticide	anger	0.688	infantiċidju
domination	anger	0.688	dominazzjoni
peeved	anger	0.688	imqaxxar
imprisonment	anger	0.688	priġunerija
curse	anger	0.688	saħta
volatility	anger	0.687	volatilità
eradication	anger	0.685	eradikazzjoni
eradicate	anger	0.682	jeqirdu
tantrum	anger	0.682	tantrum
scoundrel	anger	0.682	qarn
devastate	anger	0.682	qerdu
aggressively	anger	0.680	b'mod aggressiv
agitation	anger	0.680	aġitazzjoni
dictatorship	anger	0.676	dittatorjat
irritates	anger	0.676	jirrita
profanity	anger	0.673	profanità
shove	anger	0.672	shove
nasty	anger	0.672	diżgustanti
shot	anger	0.672	sparatura
cruelly	anger	0.672	krudelment
shoot	anger	0.672	rimja
condemnation	anger	0.672	kundanna
crushed	anger	0.672	imfarrak
aggravation	anger	0.672	aggravament
poisonous	anger	0.672	velenuż
egregious	anger	0.672	egreġjuż
crime	anger	0.672	kriminalità
corrupting	anger	0.672	korrotti
dastardly	anger	0.672	mimli
contempt	anger	0.672	disprezz
harmful	anger	0.672	li jagħmel ħsara
expletive	anger	0.672	splettiv
wreak	anger	0.672	wreak
maniac	anger	0.670	manijaku
cutthroat	anger	0.667	maqtugħin
enemy	anger	0.667	ghadu
hit	anger	0.667	hit
hateeveryone	anger	0.667	hatekulħadd
eruption	anger	0.667	eruzzjoni
irritable	anger	0.667	irritabbli
odious	anger	0.667	odjuż
shooting	anger	0.667	sparar
shout	anger	0.667	għajjat
aggressive	anger	0.667	aggressiv
kick	anger	0.667	kick
combat	anger	0.667	miġġielda
fight	anger	0.667	ġlieda
punished	anger	0.662	ikkastigat
yell	anger	0.661	jgħajtu
ambush	anger	0.661	ambush
harass	anger	0.659	fastidju
malignant	anger	0.656	malinn
aggressor	anger	0.656	aggressur
gore	anger	0.656	gore
destruction	anger	0.656	qerda
grudge	anger	0.656	grodge
antichrist	anger	0.656	antikrist
incense	anger	0.656	inċens
expel	anger	0.656	tkeċċi
cranky	anger	0.653	cranky
slave	anger	0.652	skjav
reprisal	anger	0.652	tpattija
growl	anger	0.652	jgħajjat
animosity	anger	0.652	animosity
insurrection	anger	0.652	insurrezzjoni
clashing	anger	0.652	ikkonflitti
denounce	anger	0.652	jiddenunzja
offended	anger	0.652	offiż
spank	anger	0.652	spank
insulting	anger	0.652	insulenti
growls	anger	0.649	jgħajjat
executioner	anger	0.644	eżekutur
twat	anger	0.644	twat
doomsday	anger	0.643	doomsday
obscenity	anger	0.641	oxxenità
accused	anger	0.641	akkużat
feud	anger	0.641	feud
daemon	anger	0.641	daemon
havoc	anger	0.641	ħasra
shackle	anger	0.641	qaxxar
inexcusable	anger	0.641	bla skuża
indignant	anger	0.641	indignant
grr	anger	0.641	grr
expulsion	anger	0.641	tkeċċija
bombard	anger	0.641	bombard
spat	anger	0.641	beżaq
arson	anger	0.641	ħruq
reprimand	anger	0.641	ċanfira
somad	anger	0.637	somad
frustrated	anger	0.636	frustrat
batter	anger	0.636	batter
kicking	anger	0.636	kicking
anarchy	anger	0.636	anarkija
spanking	anger	0.636	spanking
glaring	anger	0.636	ħarxa
suicidal	anger	0.636	suwiċidali
disgusting	anger	0.636	diżgustanti
wound	anger	0.636	ferita
hanging	anger	0.636	mdendlin
poisoned	anger	0.636	ivvelenat
combatant	anger	0.636	kumbattant
wrecked	anger	0.633	mġarrfa
inflict	anger	0.633	jikkawża
grievous	anger	0.632	grievous
prosecute	anger	0.630	prosekuzzjoni
agitated	anger	0.630	aġitat
cheat	anger	0.630	iqarrqu
swastika	anger	0.627	svastika
injure	anger	0.625	jweġġgħu
indict	anger	0.625	akkuża
scourge	anger	0.625	pjaga
provocation	anger	0.625	provokazzjoni
suffocation	anger	0.625	soffokazzjoni
strife	anger	0.625	ġlied
raid	anger	0.625	rejd
enslaved	anger	0.625	skjavi
cursing	anger	0.625	saħta
defamatory	anger	0.625	malafamanti
harassing	anger	0.625	fastidju
thundering	anger	0.625	tar-ragħad
betray	anger	0.625	ittradixxi
arsehole	anger	0.624	ħofra
theft	anger	0.621	serq
insane	anger	0.621	tal-ġenn
retaliation	anger	0.621	ritaljazzjoni
irritate	anger	0.621	jirrita
deprivation	anger	0.621	deprivazzjoni
fiend	anger	0.621	fiend
jerk	anger	0.621	jerk
convict	anger	0.621	kundanna
cussed	anger	0.619	mħeġġa
turmoil	anger	0.618	taqlib
smack	anger	0.615	smack
retribution	anger	0.614	retribuzzjoni
rebellion	anger	0.609	ribelljoni
oppressor	anger	0.609	oppressor
gang	anger	0.609	gang
slavery	anger	0.609	skjavitù
intolerable	anger	0.609	intollerabbli
adverse	anger	0.609	avvers
injurious	anger	0.609	inġurja
twats	anger	0.609	twats
collision	anger	0.609	ħabta
battery	anger	0.609	batterija
bitterly	anger	0.609	bl-imrar
antagonism	anger	0.609	antagoniżmu
irritability	anger	0.609	irritabilità
disgraced	anger	0.608	disgraced
diatribe	anger	0.606	dijatriba
asshole	anger	0.606	ħmar
blast	anger	0.606	blast
bombardment	anger	0.606	bumbardament
irks	anger	0.606	irks
ranting	anger	0.606	ranting
revolution	anger	0.606	rivoluzzjoni
thug	anger	0.606	thug
antagonistic	anger	0.606	antagonistiku
irritating	anger	0.606	irritanti
sickening	anger	0.606	darda
discrimination	anger	0.606	diskriminazzjoni
frustrate	anger	0.604	jiffrustraw
insult	anger	0.603	insult
hurtful	anger	0.603	li jweġġgħu
oppression	anger	0.603	oppressjoni
manipulation	anger	0.603	manipulazzjoni
tiredofit	anger	0.603	tiredofit
bigot	anger	0.603	bigott
tension	anger	0.603	tensjoni
disgust	anger	0.602	stmerrija
spite	anger	0.600	minkejja
intrusive	anger	0.598	intrużiva
harshness	anger	0.597	ħruxija
slur	anger	0.596	slur
tempest	anger	0.594	tempesta
assail	anger	0.594	jattakkaw
bitterness	anger	0.594	imrar
morbidity	anger	0.594	morbożità
casualty	anger	0.594	diżgrazzja
puncture	anger	0.594	titqib
miserable	anger	0.594	miserable
inferno	anger	0.594	infern
invasion	anger	0.594	invażjoni
storming	anger	0.594	maltempata
wretch	anger	0.594	diżgrazzja
consternation	anger	0.592	kosternazzjoni
raving	anger	0.591	raving
forcibly	anger	0.591	bil-forza
guillotine	anger	0.591	giljottina
guilty	anger	0.591	ħatja
depraved	anger	0.591	depravat
immoral	anger	0.591	immorali
overpowering	anger	0.591	overpowering
scare	anger	0.588	biża
recalcitrant	anger	0.588	recalcitrant
screwed	anger	0.588	invitat
accursed	anger	0.588	misħuta
soannoyed	anger	0.588	daqshekk imdejqa
invader	anger	0.588	invażur
jealousy	anger	0.587	għira
indignation	anger	0.587	indignazzjoni
vexed	anger	0.586	vexed
confront	anger	0.582	jikkonfrontaw
brute	anger	0.581	bruti
throttle	anger	0.579	throttle
slut	anger	0.578	slut
coup	anger	0.578	kolp ta’ stat
blaze	anger	0.578	nar
pillage	anger	0.578	pill
provoking	anger	0.578	jipprovoka
damage	anger	0.578	ħsara
criminality	anger	0.578	kriminalità
shutup	anger	0.578	shutup
lash	anger	0.578	torbot
conflict	anger	0.578	kunflitt
contentious	anger	0.578	kontenzjuż
shutit	anger	0.578	shutit
wreck	anger	0.578	relitt
defiant	anger	0.578	sfidanti
butcher	anger	0.578	biċċier
incarceration	anger	0.578	ħabs
revolver	anger	0.578	revolver
bickering	anger	0.578	battibekki
yousuck	anger	0.578	yousuck
cancer	anger	0.577	kanċer
discriminate	anger	0.576	jiddiskriminaw
gun	anger	0.576	pistola
frustration	anger	0.576	frustrazzjoni
gory	anger	0.576	gory
pernicious	anger	0.576	pernzjuż
dontmess	anger	0.576	m'għandekx mess
blasphemy	anger	0.576	dagħa
chaotic	anger	0.576	kaotika
grope	anger	0.576	tgħawweġ
alienation	anger	0.576	aljenazzjoni
disturbance	anger	0.576	disturb
condescension	anger	0.576	kondexxendenza
standoff	anger	0.576	standoff
discord	anger	0.576	inkwiet
friggen	anger	0.575	friggen
sneer	anger	0.574	sneer
death	anger	0.574	mewt
lunacy	anger	0.574	lunacy
scandalous	anger	0.574	skandaluż
oppressive	anger	0.574	oppressiv
jab	anger	0.574	jab
cursed	anger	0.574	misħuta
monstrosity	anger	0.574	mostrużità
shit	anger	0.573	shit
disparaging	anger	0.571	disprezzanti
slash	anger	0.571	mmejla
unfair	anger	0.571	inġust
gallows	anger	0.570	forka
escalate	anger	0.569	teskala
intolerant	anger	0.564	intolleranti
lawlessness	anger	0.563	illegalità
beast	anger	0.562	kruha
torpedo	anger	0.562	torpidows
malign	anger	0.562	malign
traitor	anger	0.562	traditur
frightful	anger	0.562	tal-biża
wrangling	anger	0.562	tbatija
slander	anger	0.562	malafama
bellows	anger	0.562	minfaħ
retards	anger	0.562	ritardati
grouchy	anger	0.562	grouchy
derogatory	anger	0.562	derogatorju
bearish	anger	0.562	bearish
invade	anger	0.562	tinvadi
perdition	anger	0.562	perdizzjoni
arghh	anger	0.562	arghh
dreadful	anger	0.562	koroh
bluddy	anger	0.562	bluddy
deceived	anger	0.562	mqarrqa
glare	anger	0.562	dija
taunt	anger	0.562	tqarraq
dissension	anger	0.561	id-dissensjoni
cross	anger	0.561	jaqsam
rave	anger	0.561	rave
grating	anger	0.561	ħakk
devastating	anger	0.561	devastanti
fits	anger	0.561	jaqbel
jeopardize	anger	0.561	jipperikolaw
shatter	anger	0.561	tifrik
idiots	anger	0.561	idjoti
hurt	anger	0.561	iweġġgħu
thief	anger	0.561	ħalliel
uncontrollable	anger	0.561	inkontrollabbli
conflagration	anger	0.561	konflagrazzjoni
betrayal	anger	0.561	tradiment
banshee	anger	0.561	banshee
subjugation	anger	0.559	subjugation
disturbed	anger	0.559	disturbat
stomped	anger	0.557	stomped
grab	anger	0.557	grab
grievance	anger	0.556	ilment
ticked	anger	0.556	immarkat
masochism	anger	0.556	masochism
defiance	anger	0.552	sfida
blackmail	anger	0.550	rikatt
offensive	anger	0.549	offensiv
decry	anger	0.548	decry
frustrates	anger	0.547	jiffrustra
violation	anger	0.547	ksur
confine	anger	0.547	jillimitaw
misery	anger	0.547	miżerja
arghhhh	anger	0.547	arghhhh
disparity	anger	0.547	disparità
punishment	anger	0.547	kastig
rebel	anger	0.547	ribelli
preposterous	anger	0.547	ridicol
disgraceful	anger	0.547	għajb
ire	anger	0.547	ire
deceive	anger	0.547	iqarraq
fustrated	anger	0.547	fustrated
sin	anger	0.547	dnub
shrill	anger	0.547	shrill
darkside	anger	0.547	Darkside
overbearing	anger	0.547	overbearing
firearms	anger	0.547	armi tan-nar
stolen	anger	0.546	misruqa
hadenough	anger	0.546	hadenough
prejudice	anger	0.545	preġudizzju
tackle	anger	0.545	tindirizza
resentful	anger	0.545	riżenti
heated	anger	0.545	imsaħħan
callous	anger	0.545	callous
conspirator	anger	0.545	konspiratur
ruined	anger	0.545	ruined
antagonist	anger	0.545	antagonist
skirmish	anger	0.545	skirmish
menace	anger	0.545	theddida
annoyin	anger	0.545	annoyin
foul	anger	0.545	ħażin
argument	anger	0.545	argument
humiliate	anger	0.545	umilja
wanker	anger	0.545	wanker
adversary	anger	0.545	avversarju
sting	anger	0.544	tingiż
entangled	anger	0.544	imħabbbil
grumble	anger	0.544	igergru
robbery	anger	0.544	serq
outcry	anger	0.544	għajta
resistance	anger	0.543	reżistenza
irreconcilable	anger	0.543	irrikonċiljabbli
obstructive	anger	0.542	ostruttiv
dismay	anger	0.540	dispjaċir
mob	anger	0.538	mob
juststop	anger	0.537	tieqaf biss
badness	anger	0.536	ħażen
ridicule	anger	0.534	redikolu
incendiary	anger	0.533	inċendjarju
flares	anger	0.532	murtali
twofaced	anger	0.531	twofaced
reckless	anger	0.531	imprudenti
communism	anger	0.531	komuniżmu
allegation	anger	0.531	allegazzjoni
prejudicial	anger	0.531	preġudizzju
whip	anger	0.531	frosta
unbridled	anger	0.531	bla rażan
degeneracy	anger	0.531	deġenerazzjoni
intruder	anger	0.531	intruż
belittle	anger	0.531	belittle
confinement	anger	0.531	għeluq
dispute	anger	0.531	tilwima
exacerbation	anger	0.531	aggravament
uprising	anger	0.531	rewwixta
unjust	anger	0.530	inġusti
unjustifiable	anger	0.530	inġustifikabbli
perversion	anger	0.530	perverżjoni
bigoted	anger	0.530	bigotti
fiesty	anger	0.530	fiesty
offender	anger	0.530	ħati
dictatorial	anger	0.530	dittatorjali
hassle	anger	0.530	battikata
dissonance	anger	0.530	dissonanza
tackled	anger	0.530	indirizzati
renegade	anger	0.529	rinnegat
cantstandit	anger	0.529	cantstandit
trespass	anger	0.529	tkissir
hot	anger	0.529	sħun
prison	anger	0.529	ħabs
suicide	anger	0.521	suwiċidju
annoy	anger	0.520	iddejjaq
leavemealone	anger	0.517	ħallini
cretins	anger	0.516	kretini
depravity	anger	0.516	depravazzjoni
idiotic	anger	0.516	idjotiku
dishonest	anger	0.516	diżonest
distrust	anger	0.516	nuqqas ta’ fiduċja
broil	anger	0.516	broil
grrr	anger	0.516	grrr
criticize	anger	0.516	tikkritika
inimical	anger	0.516	ħżiena
tortious	anger	0.516	tortious
prisoner	anger	0.516	priġunier
treason	anger	0.516	tradiment
divorce	anger	0.516	divorzju
venting	anger	0.516	venting
duress	anger	0.516	tensjoni
disrespectful	anger	0.516	bla rispett
poaching	anger	0.515	kaċċa illegali
scold	anger	0.515	ċanfar
poachers	anger	0.515	kaċċaturi bil-kaċċa
pow	anger	0.515	pow
hangry	anger	0.515	hungry
argumentation	anger	0.515	argumentazzjoni
frustrating	anger	0.515	frustranti
unkind	anger	0.515	bla qalb tajba
roar	anger	0.515	jgħajjat
coercion	anger	0.515	sfurzar
unforgiving	anger	0.515	bla maħfer
grump	anger	0.515	grump
bile	anger	0.515	bili
unleash	anger	0.515	rilaxx
chaos	anger	0.515	kaos
victimized	anger	0.515	vittimizzati
jerks	anger	0.515	jerks
tussle	anger	0.514	taqlib
bane	anger	0.511	bane
accusation	anger	0.510	akkuża
enmity	anger	0.510	għedewwa
repudiation	anger	0.510	ċaħda
banish	anger	0.509	tkeċċi
disfigured	anger	0.508	sfigurat
storm	anger	0.507	maltempata
crazy	anger	0.500	miġnun
hammering	anger	0.500	martell
defy	anger	0.500	jisfidaw
antithesis	anger	0.500	antiteżi
scoff	anger	0.500	jisfaw
anguish	anger	0.500	dieqa
confined	anger	0.500	ristrett
fear	anger	0.500	biża
bout	anger	0.500	bout
unruly	anger	0.500	indisciplinat
delusional	anger	0.500	delużjonali
obstruct	anger	0.500	jostakola
possessed	anger	0.500	posseduti
injustice	anger	0.500	inġustizzja
fervor	anger	0.500	fervur
spear	anger	0.500	lanza
derision	anger	0.500	deriżjoni
intractable	anger	0.500	intrattabbli
reject	anger	0.500	tirrifjuta
dominate	anger	0.500	jiddominaw
ordeal	anger	0.500	prova
banished	anger	0.500	imkeċċi
rejects	anger	0.500	jirrifjuta
shun	anger	0.500	tevita
brunt	anger	0.500	piż
derogation	anger	0.500	deroga
frenzied	anger	0.500	frenetiku
animus	anger	0.500	animus
suppression	anger	0.500	soppressjoni
malpractice	anger	0.500	prattika ħażina
brazen	anger	0.500	brazen
foaming	anger	0.500	ragħwa
disrupting	anger	0.500	tfixkel
nobodycares	anger	0.500	ħadd ma jimpurtah
patronising	anger	0.500	patronizing
getoveryourself	anger	0.495	tikseb lilek innifsek
toughness	anger	0.492	ebusija
stupidpeople	anger	0.492	nies stupidi
madness	anger	0.491	ġenn
sinful	anger	0.491	midneb
avarice	anger	0.490	avarizzja
oppress	anger	0.490	oppress
cutting	anger	0.485	qtugħ
anathema	anger	0.485	anatema
annoyed	anger	0.485	imdejqa
dissident	anger	0.485	dissidenti
demand	anger	0.485	domanda
usurp	anger	0.485	usurpa
claw	anger	0.485	dwiefer
alienate	anger	0.485	jaljenaw
infraction	anger	0.485	infrazzjoni
avenger	anger	0.485	avenger
revoke	anger	0.485	tirrevoka
smuggler	anger	0.485	kuntrabandista
abolish	anger	0.485	jabolixxi
fricking	anger	0.485	frikkjar
stayaway	anger	0.485	toqgħod 'il bogħod
pervert	anger	0.485	pervertit
disservice	anger	0.485	diżservizz
disobedient	anger	0.485	diżubbidjenti
incest	anger	0.485	inċest
complaint	anger	0.485	ilment
disapproved	anger	0.485	diżapprovat
inhuman	anger	0.485	inuman
mocking	anger	0.484	mocking
penalty	anger	0.484	penali
renounce	anger	0.484	jirrinunzja
restrain	anger	0.484	trażżan
upheaval	anger	0.484	taqlib
deceit	anger	0.484	qerq
obnoxious	anger	0.484	diżgustanti
imprisoned	anger	0.484	ħabs
strained	anger	0.484	tensjoni
blame	anger	0.484	tort
oust	anger	0.484	tkeċċi
litigious	anger	0.484	litiġjużi
rivalry	anger	0.484	rivalità
sucker	anger	0.484	sucker
opposed	anger	0.484	oppona
thresh	anger	0.484	dris
disgrace	anger	0.484	għajb
suspicious	anger	0.484	suspettużi
turbulence	anger	0.483	turbolenza
pound	anger	0.481	lira
coldness	anger	0.477	kesħa
ungrateful	anger	0.472	ingrati
stoopid	anger	0.471	stoopid
battalion	anger	0.471	battaljun
feudalism	anger	0.470	feudaliżmu
hostage	anger	0.470	ostaġġ
annoying	anger	0.470	tedjanti
dispossessed	anger	0.470	imneħħija
subversion	anger	0.470	sovverżjoni
friction	anger	0.470	frizzjoni
jealous	anger	0.470	jealous
adversity	anger	0.470	avversità
infidel	anger	0.470	infidel
gall	anger	0.470	marrara
accuser	anger	0.470	akkużatur
ram	anger	0.470	ram
armament	anger	0.470	armament
thump	anger	0.469	tħabbat
dislike	anger	0.469	dislike
steal	anger	0.469	jisraq
backoff	anger	0.469	backoff
stifled	anger	0.469	maħnuqa
incite	anger	0.469	jinċita
distress	anger	0.469	dwejjaq
angermanagement	anger	0.469	ġestjoni tar-rabja
selfish	anger	0.469	egoist
injury	anger	0.469	korriment
exile	anger	0.469	eżilju
insanity	anger	0.469	ġenn
offense	anger	0.469	reat
objection	anger	0.469	oġġezzjoni
smother	anger	0.469	jifga
disruption	anger	0.469	tfixkil
