English Word	Emotion	Emotion-Intensity-Score	Finnish Word
erupt	anger	0.742	puhjeta
horrible	anger	0.742	kamalaa
molestation	anger	0.742	ahdistelu
fuckedoff	anger	0.742	perseestä
violence	anger	0.742	väkivaltaa
bastards	anger	0.741	paskiaiset
revenge	anger	0.738	kosto
menacing	anger	0.735	uhkaava
crushing	anger	0.735	murskaamalla
damn	anger	0.735	pahuksen
catastrophe	anger	0.735	katastrofi
demon	anger	0.735	demoni
argue	anger	0.734	väitellä
persecute	anger	0.734	vainoaa
deplore	anger	0.734	valitettavaa
flog	anger	0.734	ruoskia
fedup	anger	0.734	kyllästynyt
riotous	anger	0.734	riehakas
vehement	anger	0.734	kiihkeä
revolt	anger	0.734	kapina
warfare	anger	0.734	sodankäynti
thrash	anger	0.734	thrash
altercation	anger	0.729	kiista
warlike	anger	0.728	sotaisa
shitday	anger	0.727	paskapäivä
mutiny	anger	0.727	kapina
castrate	anger	0.727	kastroida
sabotage	anger	0.727	sabotoida
malevolent	anger	0.721	pahantahtoinen
strike	anger	0.721	lakko
disaster	anger	0.721	katastrofi
disastrous	anger	0.720	tuhoisa
bastarding	anger	0.719	paskiainen
treachery	anger	0.719	petosta
arseholes	anger	0.719	persereiät
horseshit	anger	0.719	hevospaskaa
slay	anger	0.719	surmata
disdain	anger	0.719	halveksuntaa
aggravates	anger	0.719	pahentaa
brutal	anger	0.719	julma
scorching	anger	0.719	paahtavan
devil	anger	0.719	paholainen
madden	anger	0.719	vihainen
spiteful	anger	0.719	ilkeä
scream	anger	0.719	huutaa
choke	anger	0.719	tukehtua
vermin	anger	0.719	syöpäläiset
tumult	anger	0.719	melua
criminal	anger	0.714	rikollinen
mangle	anger	0.714	mankeli
anarchism	anger	0.714	anarkismi
mutilation	anger	0.714	silpominen
denunciation	anger	0.713	irtisanominen
punch	anger	0.713	booli
virulence	anger	0.712	virulenssi
fatal	anger	0.712	kohtalokas
hurting	anger	0.712	satuttaa
crucifixion	anger	0.712	ristiinnaulitseminen
dontlikeyou	anger	0.712	en pidä sinusta
blasphemous	anger	0.712	jumalanpilkkaa
holocaust	anger	0.712	holokausti
dumbasses	anger	0.712	tyhmiä
battled	anger	0.712	taistellut
deranged	anger	0.706	häiriintynyt
irritated	anger	0.706	ärtynyt
atrocious	anger	0.706	julmaa
evil	anger	0.706	paha
aggravated	anger	0.703	pahentunut
intimidation	anger	0.703	uhkailu
dicks	anger	0.703	munat
assassin	anger	0.703	salamurhaaja
scolding	anger	0.703	haukkumiset
persecution	anger	0.703	vaino
slayer	anger	0.703	tappaja
kidnap	anger	0.703	siepata
aggression	anger	0.702	aggressiota
armed	anger	0.700	aseistettu
battle	anger	0.697	taistelu
poison	anger	0.697	myrkyttää
snarling	anger	0.697	murisee
venom	anger	0.697	myrkky
disgruntled	anger	0.693	tyytymätön
resentment	anger	0.691	kaunaa
assailant	anger	0.691	hyökkääjä
insidious	anger	0.691	salakavala
contemptuous	anger	0.690	halveksiva
lynch	anger	0.690	lynkkailla
temper	anger	0.688	luonne
terrible	anger	0.688	kauhea
disparage	anger	0.688	väheksyä
lunatic	anger	0.688	hullu
bully	anger	0.688	kiusata
mad	anger	0.688	hullu
makesmemad	anger	0.688	saa minut hulluksi
infanticide	anger	0.688	lapsenmurha
domination	anger	0.688	ylivaltaa
peeved	anger	0.688	kiukkuinen
imprisonment	anger	0.688	vankeutta
curse	anger	0.688	kirous
volatility	anger	0.687	volatiliteetti
eradication	anger	0.685	hävittäminen
eradicate	anger	0.682	hävittää
tantrum	anger	0.682	kiukuttelu
scoundrel	anger	0.682	roisto
devastate	anger	0.682	tuhota
aggressively	anger	0.680	aggressiivisesti
agitation	anger	0.680	agitaatiota
dictatorship	anger	0.676	diktatuuri
irritates	anger	0.676	ärsyttää
profanity	anger	0.673	kirosanoja
shove	anger	0.672	työntää
nasty	anger	0.672	ilkeä
shot	anger	0.672	ammuttu
cruelly	anger	0.672	julmasti
shoot	anger	0.672	ampua
condemnation	anger	0.672	tuomitseminen
crushed	anger	0.672	murskattu
aggravation	anger	0.672	paheneminen
poisonous	anger	0.672	Varo myrkyllistä
egregious	anger	0.672	törkeä
crime	anger	0.672	rikos
corrupting	anger	0.672	korruptoivaa
dastardly	anger	0.672	ilkeästi
contempt	anger	0.672	halveksuntaa
harmful	anger	0.672	haitallista
expletive	anger	0.672	voimasana
wreak	anger	0.672	purkaa
maniac	anger	0.670	hullu
cutthroat	anger	0.667	murhamies
enemy	anger	0.667	vihollinen
hit	anger	0.667	osuma
hateeveryone	anger	0.667	vihaa kaikkia
eruption	anger	0.667	purkaus
irritable	anger	0.667	ärtyisä
odious	anger	0.667	vastenmielistä
shooting	anger	0.667	ammunta
shout	anger	0.667	huutaa
aggressive	anger	0.667	aggressiivinen
kick	anger	0.667	potkia
combat	anger	0.667	taistella
fight	anger	0.667	taistella
punished	anger	0.662	rangaistaan
yell	anger	0.661	huutaa
ambush	anger	0.661	väijytys
harass	anger	0.659	häiritä
malignant	anger	0.656	pahanlaatuinen
aggressor	anger	0.656	hyökkääjä
gore	anger	0.656	gore
destruction	anger	0.656	tuhoaminen
grudge	anger	0.656	kaunaa
antichrist	anger	0.656	antikristus
incense	anger	0.656	suitsukkeita
expel	anger	0.656	karkottaa
cranky	anger	0.653	äkäinen
slave	anger	0.652	orja
reprisal	anger	0.652	kosto
growl	anger	0.652	murista
animosity	anger	0.652	vihamielisyyttä
insurrection	anger	0.652	kapina
clashing	anger	0.652	ristiriidassa
denounce	anger	0.652	irtisanoa
offended	anger	0.652	loukkaantunut
spank	anger	0.652	piiskaa
insulting	anger	0.652	loukkaavaa
growls	anger	0.649	murisee
executioner	anger	0.644	pyöveli
twat	anger	0.644	kusipää
doomsday	anger	0.643	tuomiopäivä
obscenity	anger	0.641	törkeys
accused	anger	0.641	syytetty
feud	anger	0.641	vihanpito
daemon	anger	0.641	demoni
havoc	anger	0.641	tuhoa
shackle	anger	0.641	kahle
inexcusable	anger	0.641	anteeksiantamaton
indignant	anger	0.641	tuohtunut
grr	anger	0.641	grr
expulsion	anger	0.641	karkottaminen
bombard	anger	0.641	pommittaa
spat	anger	0.641	sylki
arson	anger	0.641	tuhopoltto
reprimand	anger	0.641	nuhtelu
somad	anger	0.637	niin vihainen
frustrated	anger	0.636	turhautunut
batter	anger	0.636	taikina
kicking	anger	0.636	potkiminen
anarchy	anger	0.636	anarkia
spanking	anger	0.636	selkäsauna
glaring	anger	0.636	räikeä
suicidal	anger	0.636	itsemurha-
disgusting	anger	0.636	ällöttävä
wound	anger	0.636	haava
hanging	anger	0.636	riippuva
poisoned	anger	0.636	myrkytetty
combatant	anger	0.636	taistelija
wrecked	anger	0.633	haaksirikkoutunut
inflict	anger	0.633	aiheuttaa
grievous	anger	0.632	tuskallista
prosecute	anger	0.630	syytteeseen
agitated	anger	0.630	kiihtynyt
cheat	anger	0.630	huijata
swastika	anger	0.627	hakaristi
injure	anger	0.625	vahingoittaa
indict	anger	0.625	syyttää
scourge	anger	0.625	vitsaus
provocation	anger	0.625	provokaatio
suffocation	anger	0.625	tukehtuminen
strife	anger	0.625	riitaa
raid	anger	0.625	raid
enslaved	anger	0.625	orjuutettu
cursing	anger	0.625	kiroilevaa
defamatory	anger	0.625	herjaavaa
harassing	anger	0.625	häiritsevä
thundering	anger	0.625	jylinää
betray	anger	0.625	pettää
arsehole	anger	0.624	persereikä
theft	anger	0.621	varkaus
insane	anger	0.621	hullu
retaliation	anger	0.621	kosto
irritate	anger	0.621	ärsyttää
deprivation	anger	0.621	riistäminen
fiend	anger	0.621	piru
jerk	anger	0.621	ääliö
convict	anger	0.621	tuomittu
cussed	anger	0.619	kirottu
turmoil	anger	0.618	myllerrystä
smack	anger	0.615	maiskuttaa
retribution	anger	0.614	kosto
rebellion	anger	0.609	kapina
oppressor	anger	0.609	sortaja
gang	anger	0.609	jengi
slavery	anger	0.609	orjuutta
intolerable	anger	0.609	sietämätöntä
adverse	anger	0.609	haitallisia
injurious	anger	0.609	vahingollinen
twats	anger	0.609	kusipää
collision	anger	0.609	törmäys
battery	anger	0.609	akku
bitterly	anger	0.609	katkerasti
antagonism	anger	0.609	antagonismi
irritability	anger	0.609	ärtyneisyys
disgraced	anger	0.608	häpeäksi
diatribe	anger	0.606	diatribe
asshole	anger	0.606	kusipää
blast	anger	0.606	räjähdys
bombardment	anger	0.606	pommitukset
irks	anger	0.606	ärsyttää
ranting	anger	0.606	huutaa
revolution	anger	0.606	vallankumous
thug	anger	0.606	roisto
antagonistic	anger	0.606	antagonistinen
irritating	anger	0.606	ärsyttävä
sickening	anger	0.606	sairasta
discrimination	anger	0.606	syrjintää
frustrate	anger	0.604	turhauttaa
insult	anger	0.603	loukkaus
hurtful	anger	0.603	loukkaavaa
oppression	anger	0.603	sortoa
manipulation	anger	0.603	manipulointi
tiredofit	anger	0.603	väsynyt
bigot	anger	0.603	kiihkoilija
tension	anger	0.603	jännitystä
disgust	anger	0.602	inho
spite	anger	0.600	paheksuntaa
intrusive	anger	0.598	tunkeileva
harshness	anger	0.597	ankaruus
slur	anger	0.596	sotkua
tempest	anger	0.594	myrsky
assail	anger	0.594	hyökätä
bitterness	anger	0.594	katkeruutta
morbidity	anger	0.594	sairastuvuus
casualty	anger	0.594	uhri
puncture	anger	0.594	puhkaisu
miserable	anger	0.594	kurja
inferno	anger	0.594	helvetti
invasion	anger	0.594	maahantunkeutuminen
storming	anger	0.594	myrskyä
wretch	anger	0.594	raukka
consternation	anger	0.592	tyrmistystä
raving	anger	0.591	raivoaa
forcibly	anger	0.591	väkisin
guillotine	anger	0.591	giljotiini
guilty	anger	0.591	syyllinen
depraved	anger	0.591	turmeltunut
immoral	anger	0.591	moraalitonta
overpowering	anger	0.591	vastustamaton
scare	anger	0.588	pelästyttää
recalcitrant	anger	0.588	vastahakoinen
screwed	anger	0.588	ruuvattu
accursed	anger	0.588	kirottu
soannoyed	anger	0.588	järkyttynyt
invader	anger	0.588	hyökkääjä
jealousy	anger	0.587	kateutta
indignation	anger	0.587	närkästystä
vexed	anger	0.586	suuttunut
confront	anger	0.582	kohdata
brute	anger	0.581	raakaa
throttle	anger	0.579	kaasua
slut	anger	0.578	lutka
coup	anger	0.578	vallankaappaus
blaze	anger	0.578	loimu
pillage	anger	0.578	ryöstö
provoking	anger	0.578	provosoivaa
damage	anger	0.578	vahingoittaa
criminality	anger	0.578	rikollisuus
shutup	anger	0.578	turpa kiinni
lash	anger	0.578	ripset
conflict	anger	0.578	konflikti
contentious	anger	0.578	kiistanalainen
shutit	anger	0.578	sulje se
wreck	anger	0.578	tuhota
defiant	anger	0.578	uhmakas
butcher	anger	0.578	lihakauppias
incarceration	anger	0.578	vangitseminen
revolver	anger	0.578	revolveri
bickering	anger	0.578	kinastelu
yousuck	anger	0.578	sinä olet syvältä
cancer	anger	0.577	syöpä
discriminate	anger	0.576	syrjiä
gun	anger	0.576	ase
frustration	anger	0.576	turhautumista
gory	anger	0.576	veristä
pernicious	anger	0.576	tuhoisa
dontmess	anger	0.576	ei hätää
blasphemy	anger	0.576	jumalanpilkkaa
chaotic	anger	0.576	kaoottinen
grope	anger	0.576	hipelöidä
alienation	anger	0.576	vieraantuminen
disturbance	anger	0.576	häiriötä
condescension	anger	0.576	alentuminen
standoff	anger	0.576	vastakohta
discord	anger	0.576	ristiriitaa
friggen	anger	0.575	friggen
sneer	anger	0.574	ivata
death	anger	0.574	kuolema
lunacy	anger	0.574	hulluutta
scandalous	anger	0.574	skandaali
oppressive	anger	0.574	ahdistava
jab	anger	0.574	tökätä
cursed	anger	0.574	kirottu
monstrosity	anger	0.574	hirviö
shit	anger	0.573	paska
disparaging	anger	0.571	väheksyvä
slash	anger	0.571	kauttaviiva
unfair	anger	0.571	epäreilua
gallows	anger	0.570	hirsipuut
escalate	anger	0.569	eskaloitua
intolerant	anger	0.564	suvaitsematon
lawlessness	anger	0.563	laittomuutta
beast	anger	0.562	peto
torpedo	anger	0.562	torpedo
malign	anger	0.562	parjata
traitor	anger	0.562	petturi
frightful	anger	0.562	pelottavaa
wrangling	anger	0.562	kiistelyä
slander	anger	0.562	herjata
bellows	anger	0.562	palkeet
retards	anger	0.562	hidastaa
grouchy	anger	0.562	murheellinen
derogatory	anger	0.562	halventavaa
bearish	anger	0.562	karhumainen
invade	anger	0.562	hyökätä
perdition	anger	0.562	kadotuksen
arghh	anger	0.562	arghh
dreadful	anger	0.562	kauheaa
bluddy	anger	0.562	bluddy
deceived	anger	0.562	petetty
glare	anger	0.562	häikäisyä
taunt	anger	0.562	pilkata
dissension	anger	0.561	erimielisyyttä
cross	anger	0.561	ylittää
rave	anger	0.561	rave
grating	anger	0.561	ritilä
devastating	anger	0.561	tuhoisa
fits	anger	0.561	sopii
jeopardize	anger	0.561	vaarantaa
shatter	anger	0.561	särkyä
idiots	anger	0.561	idiootit
hurt	anger	0.561	satuttaa
thief	anger	0.561	varas
uncontrollable	anger	0.561	hallitsematon
conflagration	anger	0.561	tulipalo
betrayal	anger	0.561	pettäminen
banshee	anger	0.561	banshee
subjugation	anger	0.559	alistaminen
disturbed	anger	0.559	häiriintynyt
stomped	anger	0.557	taputti
grab	anger	0.557	napata
grievance	anger	0.556	epäkohta
ticked	anger	0.556	rastitettu
masochism	anger	0.556	masokismi
defiance	anger	0.552	uhmaa
blackmail	anger	0.550	kiristää
offensive	anger	0.549	loukkaava
decry	anger	0.548	halventaa
frustrates	anger	0.547	turhauttaa
violation	anger	0.547	rikkominen
confine	anger	0.547	rajoittaa
misery	anger	0.547	kurjuutta
arghhhh	anger	0.547	arghhhh
disparity	anger	0.547	eriarvoisuutta
punishment	anger	0.547	rangaistus
rebel	anger	0.547	kapinallinen
preposterous	anger	0.547	järjetöntä
disgraceful	anger	0.547	häpeällistä
ire	anger	0.547	vihainen
deceive	anger	0.547	pettää
fustrated	anger	0.547	turhautunut
sin	anger	0.547	synti
shrill	anger	0.547	kimeä
darkside	anger	0.547	pimeä puoli
overbearing	anger	0.547	dominoiva
firearms	anger	0.547	tuliaseita
stolen	anger	0.546	varastettu
hadenough	anger	0.546	sai tarpeekseen
prejudice	anger	0.545	ennakkoluulo
tackle	anger	0.545	puuttua
resentful	anger	0.545	katkera
heated	anger	0.545	lämmitetty
callous	anger	0.545	tunteeton
conspirator	anger	0.545	salaliittolainen
ruined	anger	0.545	pilalla
antagonist	anger	0.545	antagonisti
skirmish	anger	0.545	kahakka
menace	anger	0.545	uhka
annoyin	anger	0.545	ärsyttävää
foul	anger	0.545	virheellinen
argument	anger	0.545	Perustelu
humiliate	anger	0.545	nöyryyttää
wanker	anger	0.545	huijari
adversary	anger	0.545	vastustaja
sting	anger	0.544	pisto
entangled	anger	0.544	sotkeutunut
grumble	anger	0.544	marmattaa
robbery	anger	0.544	ryöstö
outcry	anger	0.544	huutoa
resistance	anger	0.543	vastus
irreconcilable	anger	0.543	sovittamaton
obstructive	anger	0.542	obstruktiivinen
dismay	anger	0.540	tyrmistystä
mob	anger	0.538	väkijoukko
juststop	anger	0.537	lopeta jo
badness	anger	0.536	pahuus
ridicule	anger	0.534	pilkkaa
incendiary	anger	0.533	sytyttävä
flares	anger	0.532	soihdut
twofaced	anger	0.531	kaksinaamainen
reckless	anger	0.531	holtiton
communism	anger	0.531	kommunismi
allegation	anger	0.531	väite
prejudicial	anger	0.531	vahingollinen
whip	anger	0.531	ruoska
unbridled	anger	0.531	hillitön
degeneracy	anger	0.531	rappeutumista
intruder	anger	0.531	tunkeilija
belittle	anger	0.531	vähätellä
confinement	anger	0.531	synnytys
dispute	anger	0.531	riitaa
exacerbation	anger	0.531	paheneminen
uprising	anger	0.531	kapina
unjust	anger	0.530	epäoikeudenmukaista
unjustifiable	anger	0.530	perusteeton
perversion	anger	0.530	perversio
bigoted	anger	0.530	kiihkoileva
fiesty	anger	0.530	fiestinen
offender	anger	0.530	rikoksentekijä
dictatorial	anger	0.530	diktatorinen
hassle	anger	0.530	hässäkkä
dissonance	anger	0.530	dissonanssi
tackled	anger	0.530	käsitelty
renegade	anger	0.529	luopio
cantstandit	anger	0.529	kestä
trespass	anger	0.529	rikos
hot	anger	0.529	kuuma
prison	anger	0.529	vankilassa
suicide	anger	0.521	itsemurha
annoy	anger	0.520	ärsyttää
leavemealone	anger	0.517	Jätä minut rauhaan
cretins	anger	0.516	kretiinit
depravity	anger	0.516	turmeltuneisuus
idiotic	anger	0.516	typerä
dishonest	anger	0.516	epärehellinen
distrust	anger	0.516	epäluottamus
broil	anger	0.516	paahtaa
grrr	anger	0.516	grrr
criticize	anger	0.516	arvostella
inimical	anger	0.516	vihamielinen
tortious	anger	0.516	kiusallinen
prisoner	anger	0.516	vanki
treason	anger	0.516	maanpetoksesta
divorce	anger	0.516	avioero
venting	anger	0.516	tuuletus
duress	anger	0.516	pakko
disrespectful	anger	0.516	epäkunnioittava
poaching	anger	0.515	salametsästystä
scold	anger	0.515	moittia
poachers	anger	0.515	salametsästäjät
pow	anger	0.515	pow
hangry	anger	0.515	nälkäinen
argumentation	anger	0.515	argumentointia
frustrating	anger	0.515	turhauttavaa
unkind	anger	0.515	epäystävällinen
roar	anger	0.515	karjaisu
coercion	anger	0.515	pakko
unforgiving	anger	0.515	anteeksiantamaton
grump	anger	0.515	töykeä
bile	anger	0.515	sappi
unleash	anger	0.515	päästää valloilleen
chaos	anger	0.515	kaaos
victimized	anger	0.515	uhriksi joutunut
jerks	anger	0.515	nykäyksiä
tussle	anger	0.514	tappelu
bane	anger	0.511	hirviö
accusation	anger	0.510	syytös
enmity	anger	0.510	vihamielisyyttä
repudiation	anger	0.510	kieltäminen
banish	anger	0.509	karkottaa
disfigured	anger	0.508	vääristynyt
storm	anger	0.507	myrsky
crazy	anger	0.500	hullu
hammering	anger	0.500	vasaralla
defy	anger	0.500	uhmata
antithesis	anger	0.500	antiteesi
scoff	anger	0.500	pilkata
anguish	anger	0.500	tuskaa
confined	anger	0.500	rajoitettu
fear	anger	0.500	pelko
bout	anger	0.500	ottelu
unruly	anger	0.500	kuriton
delusional	anger	0.500	harhaanjohtava
obstruct	anger	0.500	estää
possessed	anger	0.500	omistettu
injustice	anger	0.500	epäoikeudenmukaisuus
fervor	anger	0.500	kiihkeys
spear	anger	0.500	keihäs
derision	anger	0.500	pilkkaaminen
intractable	anger	0.500	hankala
reject	anger	0.500	hylätä
dominate	anger	0.500	dominoida
ordeal	anger	0.500	koettelemus
banished	anger	0.500	karkotettu
rejects	anger	0.500	hylkää
shun	anger	0.500	karttaa
brunt	anger	0.500	brunt
derogation	anger	0.500	poikkeus
frenzied	anger	0.500	hurja
animus	anger	0.500	animus
suppression	anger	0.500	tukahduttaminen
malpractice	anger	0.500	väärinkäytöstä
brazen	anger	0.500	röyhkeä
foaming	anger	0.500	vaahtoaminen
disrupting	anger	0.500	häiritsevä
nobodycares	anger	0.500	kukaan ei välitä
patronising	anger	0.500	holhoava
getoveryourself	anger	0.495	päästä yli itsestäsi
toughness	anger	0.492	sitkeys
stupidpeople	anger	0.492	tyhmät ihmiset
madness	anger	0.491	hulluus
sinful	anger	0.491	syntinen
avarice	anger	0.490	ahneus
oppress	anger	0.490	sortaa
cutting	anger	0.485	leikkaus
anathema	anger	0.485	anthema
annoyed	anger	0.485	vihainen
dissident	anger	0.485	toisinajattelija
demand	anger	0.485	kysyntä
usurp	anger	0.485	anastaa
claw	anger	0.485	kynsiä
alienate	anger	0.485	vieraannuttaa
infraction	anger	0.485	rikkomus
avenger	anger	0.485	kostaja
revoke	anger	0.485	peruuttaa
smuggler	anger	0.485	salakuljettaja
abolish	anger	0.485	poistaa
fricking	anger	0.485	hölmöilyä
stayaway	anger	0.485	pysy poissa
pervert	anger	0.485	perverssi
disservice	anger	0.485	karhunpalvelus
disobedient	anger	0.485	tottelematon
incest	anger	0.485	insesti
complaint	anger	0.485	valitus
disapproved	anger	0.485	hylätty
inhuman	anger	0.485	epäinhimillistä
mocking	anger	0.484	pilkkaaminen
penalty	anger	0.484	rangaistus
renounce	anger	0.484	luopua
restrain	anger	0.484	hillitä
upheaval	anger	0.484	mullistus
deceit	anger	0.484	petos
obnoxious	anger	0.484	vastenmielinen
imprisoned	anger	0.484	vangittu
strained	anger	0.484	jännittynyt
blame	anger	0.484	syyttää
oust	anger	0.484	syrjäyttää
litigious	anger	0.484	riita-asioita
rivalry	anger	0.484	kilpailu
sucker	anger	0.484	tikkari
opposed	anger	0.484	vastustivat
thresh	anger	0.484	puida
disgrace	anger	0.484	häpeä
suspicious	anger	0.484	epäilyttävä
turbulence	anger	0.483	turbulenssi
pound	anger	0.481	punta
coldness	anger	0.477	kylmyys
ungrateful	anger	0.472	kiittämätön
stoopid	anger	0.471	jäykkä
battalion	anger	0.471	pataljoona
feudalism	anger	0.470	feodalismi
hostage	anger	0.470	panttivangiksi
annoying	anger	0.470	ärsyttävä
