English Word	Emotion	Emotion-Intensity-Score	French Word
distress	anger	0.469	détresse
angermanagement	anger	0.469	gestion de la colère
selfish	anger	0.469	égoïste
injury	anger	0.469	blessure
exile	anger	0.469	exilé
insanity	anger	0.469	folie
offense	anger	0.469	infraction
objection	anger	0.469	objection
smother	anger	0.469	étouffer
disruption	anger	0.469	perturbation
intolerance	anger	0.469	intolérance
disobey	anger	0.469	désobéir
selfishness	anger	0.469	égoïsme
recidivism	anger	0.469	récidive
subversive	anger	0.469	subversif
huff	anger	0.469	souffler
plunder	anger	0.469	pillage
opposition	anger	0.469	opposition
complain	anger	0.469	se plaindre
perpetrator	anger	0.469	auteur
simmer	anger	0.469	mijoter
areyoukidding	anger	0.468	Est-ce que vous plaisantez
mug	anger	0.467	tasse
agony	anger	0.465	agonie
arrogant	anger	0.461	arrogant
sux	anger	0.456	sux
vent	anger	0.456	évent
elimination	anger	0.456	élimination
picketing	anger	0.456	piquets de grève
haughty	anger	0.456	hautain
grated	anger	0.455	râpé
flagrant	anger	0.455	flagrant
busted	anger	0.455	cassé
crabby	anger	0.455	grincheux
dying	anger	0.455	mourant
idiocy	anger	0.455	idiotie
impermeable	anger	0.455	imperméable
stubbed	anger	0.455	écrasé
illegality	anger	0.455	illégalité
veto	anger	0.455	veto
constraint	anger	0.455	contrainte
mislead	anger	0.455	tromper
illicit	anger	0.455	illicite
troublesome	anger	0.455	gênant
clamor	anger	0.455	clameur
bayonet	anger	0.453	baïonnette
suppress	anger	0.453	réprimer
intense	anger	0.453	intense
displeased	anger	0.453	mécontent
disapproving	anger	0.453	désapprobateur
hysterical	anger	0.453	hystérique
struggle	anger	0.453	lutter
godless	anger	0.453	impie
desist	anger	0.453	cesser
usurped	anger	0.453	usurpé
despotism	anger	0.453	despotisme
