English Word	Emotion	Emotion-Intensity-Score	Kannada Word
gofuckyourself	anger	0.886	ನೀವೇ ಗೋಫಕ್
torment	anger	0.885	ಹಿಂಸೆ
wrath	anger	0.885	ಕ್ರೋಧ
vicious	anger	0.884	ಕೆಟ್ಟ
massacre	anger	0.882	ಹತ್ಯಾಕಾಂಡ
threatening	anger	0.882	ಬೆದರಿಕೆ ಹಾಕುತ್ತಿದ್ದಾರೆ
abhorrent	anger	0.875	ಅಸಹ್ಯಕರ
bloodthirsty	anger	0.875	ರಕ್ತಪಿಪಾಸು
pissoff	anger	0.875	ಪಿಸ್ಆಫ್
fighting	anger	0.868	ಹೋರಾಟ
attacking	anger	0.865	ದಾಳಿ ಮಾಡುತ್ತಿದೆ
annihilated	anger	0.865	ಸರ್ವನಾಶವಾಯಿತು
angriest	anger	0.864	ಕೋಪಗೊಂಡ
bloodshed	anger	0.864	ರಕ್ತಪಾತ
smite	anger	0.862	ಹೊಡೆಯಿರಿ
brawl	anger	0.861	ಜಗಳ
malicious	anger	0.859	ದುರುದ್ದೇಶಪೂರಿತ
assassination	anger	0.859	ಹತ್ಯೆ
strangle	anger	0.859	ಕತ್ತು ಹಿಸುಕು
hostility	anger	0.859	ಹಗೆತನ
assault	anger	0.859	ದಾಳಿ
explode	anger	0.859	ಸ್ಫೋಟಗೊಳ್ಳುತ್ತವೆ
tirade	anger	0.859	ಆಲಸ್ಯ
loathsome	anger	0.857	ಅಸಹ್ಯಕರ
hell	anger	0.853	ನರಕ
murderous	anger	0.853	ಕೊಲೆಗಾರ
attack	anger	0.853	ದಾಳಿ
malice	anger	0.852	ದುರುದ್ದೇಶ
terrorism	anger	0.851	ಭಯೋತ್ಪಾದನೆ
beating	anger	0.849	ಹೊಡೆಯುವುದು
outrage	anger	0.848	ಆಕ್ರೋಶ
desecration	anger	0.848	ಅಪವಿತ್ರಗೊಳಿಸುವಿಕೆ
pissingmeoff	anger	0.848	ಪಿಸ್ಸಿಂಗ್ಮಿಯಾಫ್
destroying	anger	0.844	ನಾಶಪಡಿಸುತ್ತಿದೆ
slaughter	anger	0.844	ವಧೆ
irate	anger	0.844	ಕೆರಳಿಸು
violent	anger	0.844	ಹಿಂಸಾತ್ಮಕ
stab	anger	0.844	ಇರಿತ
abomination	anger	0.844	ಅಸಹ್ಯ
tumultuous	anger	0.844	ಗಲಭೆಯ
infuriate	anger	0.844	ಕೆರಳಿಸು
obliterate	anger	0.843	ಅಳಿಸಿಹಾಕು
belligerent	anger	0.841	ಯುದ್ಧಮಾಡುವ
dumbbitch	anger	0.841	ಮೂಕ
detest	anger	0.838	ದ್ವೇಷಿಸುತ್ತೇನೆ
hostilities	anger	0.837	ಹಗೆತನಗಳು
prick	anger	0.835	ಮುಳ್ಳು
rampage	anger	0.833	ರಂಪಾಟ
horrid	anger	0.833	ಭಯಾನಕ
cruelty	anger	0.833	ಕ್ರೌರ್ಯ
torture	anger	0.833	ಚಿತ್ರಹಿಂಸೆ
rabid	anger	0.833	ಕ್ರೋಧೋನ್ಮತ್ತ
despicable	anger	0.828	ತುಚ್ಛ
tyrannical	anger	0.828	ದಬ್ಬಾಳಿಕೆಯ
demonic	anger	0.828	ರಾಕ್ಷಸ
satanic	anger	0.828	ಪೈಶಾಚಿಕ
hate	anger	0.828	ದ್ವೇಷಿಸುತ್ತೇನೆ
ragemode	anger	0.828	ರೇಜ್ಮೋಡ್
hating	anger	0.828	ದ್ವೇಷಿಸುತ್ತಿದ್ದಾನೆ
ruinous	anger	0.825	ಹಾಳುಮಾಡುವ
condemn	anger	0.825	ಖಂಡಿಸುತ್ತಾರೆ
riots	anger	0.824	ಗಲಭೆಗಳು
demolish	anger	0.824	ಕೆಡವಲು
angry	anger	0.824	ಕೋಪಗೊಂಡ
extermination	anger	0.824	ನಿರ್ನಾಮ
dickhead	anger	0.824	ಡಿಕ್ ಹೆಡ್
livid	anger	0.821	ಉತ್ಸಾಹಭರಿತ
madman	anger	0.820	ಹುಚ್ಚ
vindictive	anger	0.819	ಪ್ರತೀಕಾರದ
terrorist	anger	0.818	ಭಯೋತ್ಪಾದಕ
threaten	anger	0.818	ಬೆದರಿಕೆ ಹಾಕುತ್ತಾರೆ
venomous	anger	0.818	ವಿಷಪೂರಿತ
hateyou	anger	0.818	ನಿನ್ನ ದ್ವೇಷಿಸುವೆ
ferocity	anger	0.818	ಉಗ್ರತೆ
effyou	anger	0.818	ನೀವು
abhor	anger	0.816	ಅಸಹ್ಯಕರ
carnage	anger	0.814	ಹತ್ಯಾಕಾಂಡ
savage	anger	0.814	ಅನಾಗರಿಕ
atrocity	anger	0.814	ದೌರ್ಜನ್ಯ
fucksake	anger	0.812	ಫಕ್ಸೇಕ್
abuse	anger	0.812	ನಿಂದನೆ
fierce	anger	0.812	ಉಗ್ರವಾದ
destroyer	anger	0.812	ವಿಧ್ವಂಸಕ
angrytweet	anger	0.812	ಕೋಪಗೊಂಡ ಟ್ವೀಟ್
barbaric	anger	0.812	ಅನಾಗರಿಕ
vendetta	anger	0.812	ಪ್ರತೀಕಾರ
pissesmeoff	anger	0.812	ಪಿಸೆಸ್ಮಿಆಫ್
pissedoff	anger	0.812	ಕೋಪಗೊಂಡ
tyrant	anger	0.812	ನಿರಂಕುಶಾಧಿಕಾರಿ
berserk	anger	0.812	ಮೊರೆಯಿಟ್ಟರು
fuming	anger	0.812	ಹೊಗೆಯಾಡುತ್ತಿದೆ
anger	anger	0.811	ಕೋಪ
pieceofshit	anger	0.810	ತುಂಡು ತುಂಡು
punched	anger	0.803	ಗುದ್ದಿದೆ
punching	anger	0.803	ಗುದ್ದುವುದು
slam	anger	0.803	ಸ್ಲ್ಯಾಮ್
homicide	anger	0.803	ನರಹತ್ಯೆ
bitch	anger	0.803	ಬಿಚ್
fights	anger	0.803	ಜಗಳವಾಡುತ್ತಾನೆ
ruthless	anger	0.797	ನಿರ್ದಯ
villainous	anger	0.797	ಖಳನಾಯಕ
destructive	anger	0.797	ವಿನಾಶಕಾರಿ
slap	anger	0.791	ಬಡಿ
riot	anger	0.788	ಗಲಭೆ
growthefuckup	anger	0.788	ಬೆಳವಣಿಗೆ
punishing	anger	0.788	ಶಿಕ್ಷಿಸುವುದು
slaughterhouse	anger	0.788	ಕಸಾಯಿಖಾನೆ
yelling	anger	0.788	ಕಿಚಾಯಿಸುತ್ತಿದೆ
diabolical	anger	0.788	ಪೈಶಾಚಿಕ
destroyed	anger	0.788	ನಾಶವಾಯಿತು
ragetweet	anger	0.788	ragetweet
retaliatory	anger	0.788	ಪ್ರತೀಕಾರದ
manslaughter	anger	0.783	ನರಹತ್ಯೆ
clash	anger	0.783	ಘರ್ಷಣೆ
quarrel	anger	0.781	ಜಗಳ
bloody	anger	0.781	ರಕ್ತಸಿಕ್ತ
hellish	anger	0.781	ನರಕಸದೃಶ
sinister	anger	0.781	ಅಶುಭ
loath	anger	0.781	ಅಸಹ್ಯ
detonation	anger	0.781	ಸ್ಫೋಟ
accusing	anger	0.779	ಆರೋಪಿಸುತ್ತಿದ್ದಾರೆ
fumin	anger	0.779	ಫ್ಯೂಮಿನ್
hateeee	anger	0.779	hateeee
treacherous	anger	0.779	ವಿಶ್ವಾಸಘಾತುಕ
madder	anger	0.773	ಹುಚ್ಚು
horrific	anger	0.773	ಭಯಾನಕ
revulsion	anger	0.773	ನಿರಾಶೆ
retaliate	anger	0.773	ಸೇಡು ತೀರಿಸಿಕೊಳ್ಳುತ್ತಾರೆ
scorn	anger	0.769	ತಿರಸ್ಕಾರ
bomb	anger	0.766	ಬಾಂಬ್
deplorable	anger	0.766	ಶೋಚನೀಯ
devastation	anger	0.765	ವಿನಾಶ
anarchist	anger	0.765	ಅರಾಜಕತಾವಾದಿ
firestorm	anger	0.765	ಬೆಂಕಿ ಬಿರುಗಾಳಿ
resent	anger	0.765	ಅಸಮಾಧಾನ
contemptible	anger	0.764	ಅವಹೇಳನಕಾರಿ
shittest	anger	0.760	ಶಿಟ್ಟೆಸ್ಟ್
rant	anger	0.758	ಗಲಾಟೆ
cruel	anger	0.758	ಕ್ರೂರ
deadly	anger	0.758	ಮಾರಕ
smash	anger	0.758	ಸ್ಮ್ಯಾಶ್
soangry	anger	0.758	ದುಃಖಿತ
outburst	anger	0.757	ಏಕಾಏಕಿ
snarl	anger	0.754	ಗೊಣಗುತ್ತಾರೆ
profane	anger	0.750	ಅಪವಿತ್ರ
revolting	anger	0.750	ದಂಗೆಯೆದ್ದ
aggravating	anger	0.750	ಉಲ್ಬಣಗೊಳಿಸುತ್ತಿದೆ
horror	anger	0.750	ಭಯಾನಕ
despise	anger	0.750	ಧಿಕ್ಕರಿಸುತ್ತಾರೆ
offend	anger	0.750	ಅಪರಾಧ
stfu	anger	0.750	stfu
vulgarity	anger	0.750	ಅಸಭ್ಯತೆ
crazed	anger	0.750	ಹುಚ್ಚು ಹಿಡಿದಿದೆ
douchebags	anger	0.750	ಡೌಚೆಬ್ಯಾಗ್ಗಳು
growling	anger	0.750	ಗೊಣಗುತ್ತಿದ್ದ
dontmesswithme	anger	0.750	ನನ್ನೊಂದಿಗೆ ಬೇಡ
screaming	anger	0.742	ಕಿರುಚುತ್ತಿದ್ದಾರೆ
threat	anger	0.742	ಬೆದರಿಕೆ
erupt	anger	0.742	ಉಗುಳುತ್ತವೆ
horrible	anger	0.742	ಭಯಾನಕ
molestation	anger	0.742	ಹಿಂಸೆಯ
fuckedoff	anger	0.742	ಫಕ್ಆಫ್
violence	anger	0.742	ಹಿಂಸೆ
bastards	anger	0.741	ಕಿಡಿಗೇಡಿಗಳು
revenge	anger	0.738	ಸೇಡು ತೀರಿಸಿಕೊಳ್ಳುತ್ತಾರೆ
menacing	anger	0.735	ಬೆದರಿಸುವ
crushing	anger	0.735	ಹತ್ತಿಕ್ಕುವುದು
damn	anger	0.735	ಡ್ಯಾಮ್
catastrophe	anger	0.735	ದುರಂತ
demon	anger	0.735	ರಾಕ್ಷಸ
argue	anger	0.734	ವಾದಿಸುತ್ತಾರೆ
persecute	anger	0.734	ಕಿರುಕುಳ
deplore	anger	0.734	ಖಂಡನೆ
flog	anger	0.734	ಕೊರಡೆ
fedup	anger	0.734	ಬೇಸರಗೊಂಡಿತು
riotous	anger	0.734	ಗಲಭೆಯ
vehement	anger	0.734	ವೀರಾವೇಶದ
revolt	anger	0.734	ದಂಗೆ
warfare	anger	0.734	ಯುದ್ಧ
thrash	anger	0.734	ಥಳಿಸು
altercation	anger	0.729	ವಾಗ್ವಾದ
warlike	anger	0.728	ಯುದ್ಧೋಚಿತ
shitday	anger	0.727	ಶಿಟ್ಡೇ
mutiny	anger	0.727	ದಂಗೆ
castrate	anger	0.727	ಕ್ಯಾಸ್ಟ್ರೇಟ್
sabotage	anger	0.727	ವಿಧ್ವಂಸಕ
malevolent	anger	0.721	ದುರುದ್ದೇಶಪೂರಿತ
strike	anger	0.721	ಮುಷ್ಕರ
disaster	anger	0.721	ದುರಂತದ
disastrous	anger	0.720	ವಿನಾಶಕಾರಿ
bastarding	anger	0.719	ಬಾಸ್ಟರ್ಡಿಂಗ್
treachery	anger	0.719	ವಿಶ್ವಾಸಘಾತುಕತನ
arseholes	anger	0.719	ಆರ್ಸ್ಹೋಲ್ಗಳು
horseshit	anger	0.719	ಕುದುರೆಮುಖ
slay	anger	0.719	ಕೊಲ್ಲು
disdain	anger	0.719	ತಿರಸ್ಕಾರ
aggravates	anger	0.719	ಉಲ್ಬಣಗೊಳಿಸುತ್ತದೆ
brutal	anger	0.719	ಕ್ರೂರ
scorching	anger	0.719	ಸುಡುವ
devil	anger	0.719	ದೆವ್ವ
madden	anger	0.719	ಹುಚ್ಚು ಹಿಡಿದ
spiteful	anger	0.719	ಹಗೆತನದ
scream	anger	0.719	ಕಿರುಚುತ್ತಾರೆ
choke	anger	0.719	ಉಸಿರುಗಟ್ಟಿಸು
vermin	anger	0.719	ಕ್ರಿಮಿಕೀಟಗಳು
tumult	anger	0.719	ಗದ್ದಲ
criminal	anger	0.714	ಕ್ರಿಮಿನಲ್
mangle	anger	0.714	ಮಂಗಲ್
anarchism	anger	0.714	ಅರಾಜಕತಾವಾದ
mutilation	anger	0.714	ಅಂಗವಿಕಲತೆ
denunciation	anger	0.713	ಖಂಡನೆ
punch	anger	0.713	ಪಂಚ್
virulence	anger	0.712	ವೈರಲೆನ್ಸ್
fatal	anger	0.712	ಮಾರಣಾಂತಿಕ
hurting	anger	0.712	ನೋಯಿಸುತ್ತಿದೆ
crucifixion	anger	0.712	ಶಿಲುಬೆಗೇರಿಸುವಿಕೆ
dontlikeyou	anger	0.712	ನಿನ್ನನ್ನು ಇಷ್ಟಪಡುವುದಿಲ್ಲ
blasphemous	anger	0.712	ಧರ್ಮನಿಂದೆಯ
holocaust	anger	0.712	ಹತ್ಯಾಕಾಂಡ
dumbasses	anger	0.712	ಮೂರ್ಖರು
battled	anger	0.712	ಹೋರಾಡಿದರು
deranged	anger	0.706	ವಿಚಲಿತನಾದ
irritated	anger	0.706	ಸಿಟ್ಟಿಗೆದ್ದ
atrocious	anger	0.706	ಕ್ರೂರ
evil	anger	0.706	ದುಷ್ಟ
aggravated	anger	0.703	ಉಲ್ಬಣಗೊಂಡಿದೆ
intimidation	anger	0.703	ಬೆದರಿಸುವಿಕೆ
dicks	anger	0.703	ಡಿಕ್ಸ್
assassin	anger	0.703	ಹಂತಕ
scolding	anger	0.703	ಗದರಿಸುವುದು
persecution	anger	0.703	ಕಿರುಕುಳ
slayer	anger	0.703	ಸಂಹಾರಕ
kidnap	anger	0.703	ಅಪಹರಣ
aggression	anger	0.702	ಆಕ್ರಮಣಶೀಲತೆ
armed	anger	0.700	ಶಸ್ತ್ರಸಜ್ಜಿತ
battle	anger	0.697	ಕದನ
poison	anger	0.697	ವಿಷ
snarling	anger	0.697	ಗೊಣಗುವುದು
venom	anger	0.697	ವಿಷ
disgruntled	anger	0.693	ಅತೃಪ್ತರು
resentment	anger	0.691	ಅಸಮಾಧಾನ
assailant	anger	0.691	ಆಕ್ರಮಣಕಾರ
insidious	anger	0.691	ಕಪಟ
contemptuous	anger	0.690	ಅವಹೇಳನಕಾರಿ
lynch	anger	0.690	ಲಿಂಚ್
temper	anger	0.688	ಕೋಪ
terrible	anger	0.688	ಭಯಾನಕ
disparage	anger	0.688	ಅವಹೇಳನ
lunatic	anger	0.688	ಹುಚ್ಚುತನದ
bully	anger	0.688	ಬೆದರಿಸುವ
mad	anger	0.688	ಹುಚ್ಚು
makesmemad	anger	0.688	ಹುಚ್ಚನಾಗುತ್ತಾನೆ
infanticide	anger	0.688	ಶಿಶುಹತ್ಯೆ
domination	anger	0.688	ಪ್ರಾಬಲ್ಯ
peeved	anger	0.688	peeved
imprisonment	anger	0.688	ಸೆರೆವಾಸ
curse	anger	0.688	ಶಾಪ
volatility	anger	0.687	ಚಂಚಲತೆ
eradication	anger	0.685	ನಿರ್ಮೂಲನೆ
eradicate	anger	0.682	ನಿರ್ಮೂಲನೆ
tantrum	anger	0.682	ಕೋಪೋದ್ರೇಕ
scoundrel	anger	0.682	ಕಿಡಿಗೇಡಿ
devastate	anger	0.682	ಧ್ವಂಸಗೊಳಿಸು
aggressively	anger	0.680	ಆಕ್ರಮಣಕಾರಿಯಾಗಿ
agitation	anger	0.680	ತಳಮಳ
dictatorship	anger	0.676	ಸರ್ವಾಧಿಕಾರ
irritates	anger	0.676	ಕೆರಳಿಸುತ್ತದೆ
profanity	anger	0.673	ಅಶ್ಲೀಲತೆ
shove	anger	0.672	ನೂಕು
nasty	anger	0.672	ಅಸಹ್ಯ
shot	anger	0.672	ಗುಂಡು ಹಾರಿಸಿದರು
cruelly	anger	0.672	ಕ್ರೂರವಾಗಿ
shoot	anger	0.672	ಶೂಟ್
condemnation	anger	0.672	ಖಂಡನೆ
crushed	anger	0.672	ಪುಡಿಪುಡಿ
aggravation	anger	0.672	ಉಲ್ಬಣಗೊಳ್ಳುವಿಕೆ
poisonous	anger	0.672	ವಿಷಕಾರಿ
egregious	anger	0.672	ಅತಿರೇಕದ
crime	anger	0.672	ಅಪರಾಧ
corrupting	anger	0.672	ಭ್ರಷ್ಟಗೊಳಿಸುತ್ತಿದೆ
dastardly	anger	0.672	ಭಯಂಕರವಾಗಿ
contempt	anger	0.672	ತಿರಸ್ಕಾರ
harmful	anger	0.672	ಹಾನಿಕಾರಕ
expletive	anger	0.672	ವಿವರಣಾತ್ಮಕ
wreak	anger	0.672	ನಾಶಮಾಡು
maniac	anger	0.670	ಹುಚ್ಚ
cutthroat	anger	0.667	ಕಟ್ತ್ರೋಟ್
enemy	anger	0.667	ಶತ್ರು
hit	anger	0.667	ಹಿಟ್
hateeveryone	anger	0.667	ಎಲ್ಲರನ್ನೂ ದ್ವೇಷಿಸುತ್ತೇನೆ
eruption	anger	0.667	ಉಗುಳುವಿಕೆ
irritable	anger	0.667	ಕೆರಳಿಸುವ
odious	anger	0.667	ಅಸಹ್ಯಕರ
shooting	anger	0.667	ಶೂಟಿಂಗ್
shout	anger	0.667	ಹುಯಿಲಿಡು
aggressive	anger	0.667	ಆಕ್ರಮಣಕಾರಿ
kick	anger	0.667	ಕಿಕ್
combat	anger	0.667	ಯುದ್ಧ
fight	anger	0.667	ಹೋರಾಟ
punished	anger	0.662	ಶಿಕ್ಷಿಸಲಾಗಿದೆ
yell	anger	0.661	ಕೂಗು
ambush	anger	0.661	ಹೊಂಚುದಾಳಿ
harass	anger	0.659	ಕಿರುಕುಳ ನೀಡುತ್ತವೆ
malignant	anger	0.656	ಮಾರಣಾಂತಿಕ
aggressor	anger	0.656	ಆಕ್ರಮಣಕಾರಿ
gore	anger	0.656	ಗೋರ್
destruction	anger	0.656	ವಿನಾಶ
grudge	anger	0.656	ದ್ವೇಷವನ್ನು
antichrist	anger	0.656	ಆಂಟಿಕ್ರೈಸ್ಟ್
incense	anger	0.656	ಧೂಪದ್ರವ್ಯ
expel	anger	0.656	ಹೊರಹಾಕು
cranky	anger	0.653	ವಿಚಿತ್ರವಾದ
slave	anger	0.652	ಗುಲಾಮ
reprisal	anger	0.652	ಪ್ರತೀಕಾರ
growl	anger	0.652	ಗೊಣಗುತ್ತಾರೆ
animosity	anger	0.652	ಹಗೆತನ
insurrection	anger	0.652	ದಂಗೆ
clashing	anger	0.652	ಘರ್ಷಣೆ
denounce	anger	0.652	ಖಂಡಿಸುತ್ತಾರೆ
offended	anger	0.652	ಮನನೊಂದಿದ್ದಾರೆ
spank	anger	0.652	ಹೊಟ್ಟು
insulting	anger	0.652	ಅವಮಾನಿಸುವ
growls	anger	0.649	ಗೊಣಗುತ್ತಾನೆ
executioner	anger	0.644	ಮರಣದಂಡನೆಕಾರ
twat	anger	0.644	twat
doomsday	anger	0.643	ಪ್ರಳಯ ದಿನ
obscenity	anger	0.641	ಅಶ್ಲೀಲತೆ
accused	anger	0.641	ಆರೋಪಿ
feud	anger	0.641	ಹಗೆತನ
daemon	anger	0.641	ಡೀಮನ್
havoc	anger	0.641	ವಿನಾಶ
shackle	anger	0.641	ಸಂಕೋಲೆ
inexcusable	anger	0.641	ಅಕ್ಷಮ್ಯ
indignant	anger	0.641	ಸಿಟ್ಟಿಗೆದ್ದ
grr	anger	0.641	grr
expulsion	anger	0.641	ಹೊರಹಾಕುವಿಕೆ
bombard	anger	0.641	ಬಾಂಬ್ ದಾಳಿ
spat	anger	0.641	ಉಗುಳಿದರು
arson	anger	0.641	ಅಗ್ನಿಸ್ಪರ್ಶ
reprimand	anger	0.641	ವಾಗ್ದಂಡನೆ
somad	anger	0.637	ಅತೀ ಹುಚ್ಚುತನ
frustrated	anger	0.636	ನಿರಾಶೆಗೊಂಡ
batter	anger	0.636	ಬ್ಯಾಟರ್
kicking	anger	0.636	ಒದೆಯುವುದು
anarchy	anger	0.636	ಅರಾಜಕತೆ
spanking	anger	0.636	ಹೊಡೆಯುವುದು
glaring	anger	0.636	ಕಣ್ಣಿಗೆ ರಾಚುತ್ತಿದೆ
suicidal	anger	0.636	ಆತ್ಮಹತ್ಯಾ
disgusting	anger	0.636	ಅಸಹ್ಯಕರ
wound	anger	0.636	ಗಾಯ
hanging	anger	0.636	ನೇತಾಡುತ್ತಿದೆ
poisoned	anger	0.636	ವಿಷಪೂರಿತ
combatant	anger	0.636	ಹೋರಾಟಗಾರ
wrecked	anger	0.633	ಧ್ವಂಸವಾಯಿತು
inflict	anger	0.633	ಉಂಟುಮಾಡುತ್ತವೆ
grievous	anger	0.632	ದುಃಖಕರ
prosecute	anger	0.630	ಮೊಕದ್ದಮೆ ಹೂಡಿ
agitated	anger	0.630	ತಳಮಳಗೊಂಡರು
cheat	anger	0.630	ಮೋಸ
swastika	anger	0.627	ಸ್ವಸ್ತಿಕ
injure	anger	0.625	ಗಾಯಗೊಳಿಸುತ್ತವೆ
indict	anger	0.625	ದೋಷಾರೋಪಣೆ ಮಾಡಿ
scourge	anger	0.625	ಉಪದ್ರವ
provocation	anger	0.625	ಪ್ರಚೋದನೆ
suffocation	anger	0.625	ಉಸಿರುಗಟ್ಟುವಿಕೆ
strife	anger	0.625	ಕಲಹ
raid	anger	0.625	ದಾಳಿ
enslaved	anger	0.625	ಗುಲಾಮನಾದ
cursing	anger	0.625	ಶಪಿಸುತ್ತಿದ್ದಾರೆ
defamatory	anger	0.625	ಮಾನಹಾನಿಕರ
harassing	anger	0.625	ಕಿರುಕುಳ ನೀಡುತ್ತಿದ್ದಾರೆ
thundering	anger	0.625	ಗುಡುಗುವುದು
betray	anger	0.625	ವಿಶ್ವಾಸಘಾತ
arsehole	anger	0.624	ಆರ್ಸ್ಹೋಲ್
theft	anger	0.621	ಕಳ್ಳತನ
insane	anger	0.621	ಹುಚ್ಚು
retaliation	anger	0.621	ಪ್ರತೀಕಾರ
irritate	anger	0.621	ಕೆರಳಿಸು
deprivation	anger	0.621	ಅಭಾವ
fiend	anger	0.621	ದೆವ್ವ
jerk	anger	0.621	ಎಳೆತ
convict	anger	0.621	ಅಪರಾಧಿ
cussed	anger	0.619	cussed
turmoil	anger	0.618	ಪ್ರಕ್ಷುಬ್ಧತೆ
smack	anger	0.615	ಸ್ಮ್ಯಾಕ್
retribution	anger	0.614	ಪ್ರತೀಕಾರ
rebellion	anger	0.609	ದಂಗೆ
oppressor	anger	0.609	ಪೀಡಕ
gang	anger	0.609	ಗ್ಯಾಂಗ್
slavery	anger	0.609	ಗುಲಾಮಗಿರಿ
intolerable	anger	0.609	ಅಸಹನೀಯ
adverse	anger	0.609	ಪ್ರತಿಕೂಲ
injurious	anger	0.609	ಹಾನಿಕರ
twats	anger	0.609	twats
collision	anger	0.609	ಘರ್ಷಣೆ
battery	anger	0.609	ಬ್ಯಾಟರಿ
bitterly	anger	0.609	ಕಟುವಾಗಿ
antagonism	anger	0.609	ವಿರೋಧಾಭಾಸ
irritability	anger	0.609	ಸಿಡುಕುತನ
disgraced	anger	0.608	ಅವಮಾನಿತರಾದರು
diatribe	anger	0.606	ಡಯಾಟ್ರಿಬ್
asshole	anger	0.606	ಕತ್ತೆ
blast	anger	0.606	ಸ್ಫೋಟ
bombardment	anger	0.606	ಬಾಂಬ್ ದಾಳಿ
irks	anger	0.606	irks
ranting	anger	0.606	ರೇಟಿಂಗ್
revolution	anger	0.606	ಕ್ರಾಂತಿ
thug	anger	0.606	ಕೊಲೆಗಡುಕ
antagonistic	anger	0.606	ವಿರೋಧದ
irritating	anger	0.606	ಕೆರಳಿಸುವ
sickening	anger	0.606	ಅನಾರೋಗ್ಯಕರ
discrimination	anger	0.606	ತಾರತಮ್ಯ
frustrate	anger	0.604	ಹತಾಶೆ
insult	anger	0.603	ಅವಮಾನ
hurtful	anger	0.603	ನೋವುಂಟುಮಾಡುತ್ತದೆ
oppression	anger	0.603	ದಬ್ಬಾಳಿಕೆ
manipulation	anger	0.603	ಕುಶಲತೆ
tiredofit	anger	0.603	ದಣಿದ
bigot	anger	0.603	ಮತಾಂಧ
tension	anger	0.603	ಉದ್ವೇಗ
disgust	anger	0.602	ಅಸಹ್ಯ
spite	anger	0.600	ಹೊರತಾಗಿಯೂ
intrusive	anger	0.598	ಗೊಂದಲಮಯ
harshness	anger	0.597	ಕಠೋರತೆ
slur	anger	0.596	ನಿಂದೆ
tempest	anger	0.594	ಚಂಡಮಾರುತ
assail	anger	0.594	ಆಕ್ರಮಣ
bitterness	anger	0.594	ಕಹಿ
morbidity	anger	0.594	ಅಸ್ವಸ್ಥತೆ
casualty	anger	0.594	ಅಪಘಾತ
puncture	anger	0.594	ಪಂಕ್ಚರ್
miserable	anger	0.594	ಶೋಚನೀಯ
inferno	anger	0.594	ನರಕ
invasion	anger	0.594	ಆಕ್ರಮಣ
storming	anger	0.594	ಬಿರುಗಾಳಿ
wretch	anger	0.594	ದರಿದ್ರ
consternation	anger	0.592	ದಿಗ್ಭ್ರಮೆ
raving	anger	0.591	ರೇವಿಂಗ್
forcibly	anger	0.591	ಬಲವಂತವಾಗಿ
guillotine	anger	0.591	ಗಿಲ್ಲೊಟಿನ್
guilty	anger	0.591	ತಪ್ಪಿತಸ್ಥ
depraved	anger	0.591	ಕೆಡಿಸಿದೆ
immoral	anger	0.591	ಅನೈತಿಕ
