Source ID,Source Type,Source,Source URL
N-1-2020,Newswire,Times of Malta,https://timesofmalta.com/articles/view/budget-2020-muscat-says-no-new-tax-hikes-and-an-eye-on-sustainability.741861
N-2-2020,Newswire,Times of Malta,https://timesofmalta.com/articles/view/budget-2020-live-coverage-and-analysis.742188 
N-3-2020,Newswire,Times of Malta,https://timesofmalta.com/articles/view/budget-2020-at-a-glance-whats-in-it-for-you.742272
N-4-2020,Newswire,Times of Malta,https://timesofmalta.com/articles/view/budget-2020-developers-satisfied-educators-not.742218
N-5-2020,Newswire,MaltaToday,https://www.maltatoday.com.mt/news/budget-2020/97990/tomorrows_budget_first_signal_of_climate_change_measures_muscat_says#.XpcbOMgzZPY
N-6-2020,Newswire,MaltaToday,https://www.maltatoday.com.mt/news/budget-2020/98022/live_follow_budget_2020_liveblog#.XpcbMcgzZPY
N-7-2020,Newswire,MaltaToday,https://www.maltatoday.com.mt/news/budget-2020/98035/budget_2020_at_a_glance#.XpcbMcgzZPY
N-8-2020,Newswire,MaltaToday,https://www.maltatoday.com.mt/news/budget-2020/98039/budget_2020_the_governments_spending_and_income_visualised#.XpcbO8gzZPY
N-9-2020,Newswire,The Malta Independent,https://www.independent.com.mt/articles/2019-10-13/local-news/Preferential-night-electricity-rate-for-those-who-buy-electric-cars-to-be-introduced-PM-6736214729
N-10-2020,Newswire,The Malta Independent,https://www.independent.com.mt/articles/2019-10-14/local-news/Live-Budget-2020-Minute-by-minute-post-budget-comments-press-conference-6736214764
N-11-2020,Newswire,The Malta Independent,https://www.independent.com.mt/articles/2019-10-14/local-news/Budget-2020-What-s-in-it-for-you-the-list-of-measures-at-a-glance-6736214770
N-12-2020,Newswire,The Malta Independent,https://www.independent.com.mt/articles/2019-10-15/local-news/Budget-2020-reactions-Some-say-it-s-good-others-say-it-s-bad-6736214787
