Online Post ID,Twitter ID,Related Online Post ID,Source ID,Online Post Text,Subjectivity,Sentiment Polarity,Emotion,Sarcasm,Irony,Negation,Off-topic ,Language
20190019,,20190014,N-1-2019,"L-aktar prezz gholi tad dawl hu ta l ilma fost il membri kollha ta EU hu Ememalta f'xiferr ta falliment, Spjega fejn kienu qedin jispiccaw dawk il Miljuni ta €s ? Jekk tithajjar tistaqsi lil ex Ministru ta l Energijja Nazzionalista Ninu Zammit dak li sabulu €3,000,000 mohbijja go tliet komtijiet forsi jghidlek.",1,negative,disgust,1,0,0,1,1
20190020,,20190014,N-1-2019,Resquh il-qorti mela ghax kiser li-ligi. Mhemmx hniena ghal dan is-serq.,1,negative,anger,0,0,0,1,1
20190021,,20190014,N-1-2019,Tawh amnesty. Igifieri helisa.,1,neutral,surprise,0,0,0,1,2
20190022,,20190014,N-1-2019,Very well said.,1,positive,trust,0,0,0,1,0
20190023,,20190014,N-1-2019,"Hekk ghandu jkun u anki il gvern imissu jippublika il lista ta nies Maltin li kellhom il kontijiet fi Svizzera (Swiss leaks) u jghidilna kemm hallsu ghall-amnestija taghhom, jew inkella itellahom il qorti, huma min huma.",1,neutral,anticipation,0,0,0,1,2
20190024,,20190014,N-1-2019,"Missek semmejt kemm kienu jibzghu,in nies meta jkun wasal budget taht in-nazzjonalisti! L-ikbar wahda li l-poplu mhux se jinsa hi--li lil haddiema taghhom 75,centezmu--u l-ministri u ta gewwa hadu 500 ewro ZIEDA fil GIMGHA (minbarra is-salarju)--sa hansitra anki minn wara dahar shabom parlamentari stess!! Ara llum--il poplu jistenna b'herqa budgets tal PL ghax jaf li se jgawdi! Dik hi d-differenza habib! U ghalhekk tal PN huma f'panic--u ghalhekk tal PN jippruvaw jaqbdu--u jkabbru kemm jifilhu,kull nitfa li jistghu--biex minghalihom jiskuraw lill gvern--b'KULL mod--izda f'wicchom se jibqa--ghax kif jghidu--lill min tafu ssaqsix ghlih!",1,positive,trust,0,0,0,1,2
20190025,,20190014,N-1-2019,U issa flok 500euro miljuni. Ma tantx hemm differenza hux....,1,negative,disgust,0,1,1,1,2
20190026,,20190014,N-1-2019,"Staqsi lill min f´dawn l-ahhar snin il-kera gholilu bid-doppju ghax qieghed fil-kera bla Kuntratt. U barra min hekk, Il-Gvern qieghed jisirqu ukoll ghax qieghed f´post li ghas-sid huwa dikjarat post ta´vileggjatura u l-inkwilin qieghed ihallsa kontijiet ta´l-ilma u dawl ghola min residenza normali. Mela mhux talli qieghed igawdi is-sid imma l-Gvern ukoll. U dan kollu ghax il-Gvern ma jridx jaghmel il-homework tieghu u jsib wahdu dawn l-ingustizzji.",1,negative,disgust,0,0,1,0,2
20190027,,20190013,N-1-2019,Jekk ma tistax taffordja l kera mela applika ghal post tal gvern.,1,neutral,anticipation,0,0,1,0,1
20190028,,20190027,N-1-2019,Iva l ghada jattik post .,1,negative,sadness,0,1,0,0,1
20190029,,20190027,N-1-2019,Yes that is what the previous government used to do.,1,negative,anger,0,1,0,1,0
20190030,,20190027,N-1-2019,"Veru, l-iktar jekk il-propjeta' dan il-gvern iqassamha b'mod bazwi kif tqassmet fis-sebghinijiet u fit-tmeninijiet!",1,negative,disgust,0,0,0,1,1
20190031,,20190027,N-1-2019,Tghidx kemm gawdew nazzjonalisti dak iz-zmien sieheb!!,1,positive,joy,0,0,0,1,1
20190032,,20190027,N-1-2019,Naf!,1,neutral,surprise,0,0,0,1,1
20190034,,20190027,N-1-2019,Sinjal li nazzjonalisti jaffordjaw il kera,1,positive,anticipation,0,0,0,1,1
20190035,,20190027,N-1-2019,Min dawk l-eluf li bena?,1,neutral,anticipation,0,1,0,1,1
20190036,,20190027,N-1-2019,Li qed jinbnew,1,neutral,sadness,0,0,0,1,1
20190037,,20190027,N-1-2019,In these cases better a loan from a bank I believe and you buy your own property.,1,neutral,anticipation,0,0,0,1,0
20190038,,20190027,N-1-2019,Depends on your wage and market prices but.,1,neutral,sadness,0,0,0,1,0
20190039,,20190013,N-1-2019,@Randy Marsh. 'staqsi lill min spicca jhallas id doppju f kera dal ahhar sentejn....' Min qiegħed jgħolli l-kera jekk il-kerrej mhux il-Gvern? Mela l-kera mhiex regolata?,1,negative,fear,0,0,1,1,1
20190040,,20190013,N-1-2019,Staqsi min kien il-gvern li ghamel dawn it-tibdiliet fil kirja qabel it 2013?,1,neutral,anger,0,1,0,1,1
20190041,,20190012,N-1-2019,Mhux l ahjar zmien Ron x tistenna..huma ga hadu 100 euro s siegha issa nahseb il mimimum wage earner jghamluh mil anqas 10 euro s siegha..,1,negative,disgust,0,1,0,0,2
20190043,,,N-1-2019,U lanqas ghexiren ohra li qed jihdu dik il paga u izzied..,1,negative,anger,0,0,0,1,1
20190044,,20190041,N-1-2019,"L'istess kanataliena ta dawn l ahhar 5 snin hu il maggoranza ta voti ghall PL tkompli tispara l fuq. Bagit iehow minghajr sold taxxa, Ahleb Dwardu.",1,positive,trust,0,1,0,0,1
20190045,,20190044,N-1-2019,Jigifieri l-ahhar zieda fil-prodotti tal-Benna mhux taxxa mohbija?,1,negative,disgust,0,0,0,0,1
20190046,,20190044,N-1-2019,Milk and bread in Malta cost nothing.,1,positive,trust,0,0,0,0,0
20190047,,20190044,N-1-2019,Taxxa tkun meta l-gvern (kif kienu jghamlu tal PN) izid il-prezz biex dak li jizdied jiehdu l-gvern!! Ezempju---Jekk ghola l-halib--ghollieh min jipproducieh--mhux il-gvern! U l-flus imhallsin zejda johodhom min ipproduca l-prodott! Daqshekk semplici sieheb!,1,positive,trust,0,0,0,0,1
20190048,,20190044,N-1-2019,X tridi naghmel la il maggioranza fis sakkra u mhux jaraw art..,1,negative,sadness,0,1,1,1,3
20190049,,20190012,N-1-2019,And to hell with occupy justice and the lot.,1,negative,anger,0,0,0,1,0
20190050,,20190049,N-1-2019,Criminals breed criminals.,1,negative,sadness,0,0,0,1,0
20190051,,20190049,N-1-2019,What an intelligent comment !,1,negative,disgust,0,0,0,1,0
20190052,,20190051,N-1-2019,zeppiborg that`s why jjmicallef block his comments because there is no sense in them.,1,negative,disgust,0,0,1,1,0
20190053,,20190049,N-1-2019,To hell with honesty!,1,negative,anger,0,1,0,1,0
20190054,,20190010,N-1-2019,https://uploads.disquscdn.com/images/b46ec42dd55231dffe95110439fbea6e1c56ee75515a92b86813427f2f924034.jpg,0,neutral,anticipation,0,0,0,0,3
20190055,,20190012,N-1-2019,"Mention one macro economic initiative your corrupt masters have implemented over the past five years that has contributed to the current economic growth, or which, will see the economic growth sustained in the next decade. Just one.",1,negative,anger,0,0,0,1,0
20190056,,20190012,N-1-2019,"The bootlicker says! ""Is-sinjur qed isir iktar sinjur u l-fqir qed isir iktar fqir"" - Charles Miceli - November 2017. Nahseb wiehed mis-sinjuri int!",1,negative,sadness,0,0,0,1,2
20190057,,20190012,N-1-2019,"Se niehdu lira zieda f'Jannar. ISSA, mhux f'Jannar, ghola l-hobz, halib, gbejniet, irkotta, yogurt, kera, gas, petreol u diesel, serq mid-dawl, ghola l-kafe, hut, laham, Ghidilna x'ma gholiex, Ron. Imbaghad ghidli jekk ftahtux il-bagoll. Ilek ma tixtri xi frotta? Jew xi pastarda?",1,negative,anger,0,1,1,0,1
20190058,,20190057,N-1-2019,"Issa tkun taf kemm se' tiehu - Giovann . Tghejdtx kemm se' jkun hemm li jkomplu jinghaqdu ma' dan il-Moviment Gdid ta' Joseph . Mghadhomx jghejdu fejn HI r-ROAD MAP - Giov ann. Il-PN mghanduhx ,ghax intilef ma' tul it-triq .Spiccajna bicciet .",1,positive,trust,0,0,1,1,2
20190059,,20190057,N-1-2019,"Issa tkun taf kemm se' tiehu - Giovann . Tghejdtx kemm se' jkun hemm li jkomplu jinghaqdu ma' dan il-Moviment Gdid ta' Joseph . Mghadhomx jghejdu fejn HI r-ROAD MAP - Giov ann. Il-PN mghanduhx ,ghax intilef ma' tul it-triq .",1,positive,trust,0,0,1,1,2
20190060,,20190057,N-1-2019,Giovann. B´din il-lista qieghed igallni nistenna 30 Euro fix-xahar. Tghid jaghtihomli?. Ma nahsibx li le. Daqs kemm ilni nisma li L-ekonomija sejra Tajjeb u qeghdin fit-tieni post fl-Ewropa. Jien nistenna anke bicca kejk.,1,negative,disgust,0,1,1,0,2
20190061,,20190057,N-1-2019,"Insejt tghid,li l-iktar li qed joghola huma il kwantita ta voti li dejjem izid il PL!! Tal PN hlif gdiedem u dwejjaq ma ghandkhomx! Hudu pacenzja--il-poplu jghamel l-ghazliet fl-elezzjonijiet--u s'issa--jidher li l-poplu qed jaghmel ghazliet li jabel lilhu!!",1,positive,joy,0,1,1,1,1
20190062,,20190012,N-1-2019,"Mela budget tad-drips gej; Kemm izommok haj. Insejt issemmi dawk l-affarijiet li gholew. U skond dan il-bravu Ministru, min ghandu Ferrari, l-ahhar mudell ta' mobile u Flat screen TV hu l-istess bhal min ghandu Karrozza tas- 60's, mobile tal-ewwel generazzjoni u TV ta' zmien meta kont thallas 25 biex tiehdu. Insomma x'tistenna minn Lollypop man!",1,negative,disgust,1,0,0,0,2
20190063,,20190062,N-1-2019,Issa tkun taf x'gej - Pawl . Nahseb mhux se' jservi llumi .,1,negative,anticipation,0,1,1,1,1
20190064,,20190012,N-1-2019,"Ghalekk hadu 160,000 fis sena ghalijhom hux? U ahna bic centezmi",1,negative,sadness,0,1,0,1,1
20190065,,20190064,N-1-2019,Ghandek cans bi' centezmi . Bizzejjed li naqqaslek il-kontijiet ta' Dawl b'25 fil-mija . U kemm kien hemm affarijiet ohra - Guz .,1,positive,trust,0,0,0,1,1
20190066,,,N-1-2019,"Yeah sure, a rise of 2 euros a week just to cover the extra cost of bread and milk, As for the other extra costs, we will tackle that in our next budget. Accepting more than 40,000 economic immigrants can never improve the way of life of the Maltese workers, JMO.",1,negative,disgust,0,1,0,1,0
20190067,,20190066,N-1-2019,"stephen koludrovic Oh yes it can improve......!(the acceptance of 40.000 economic migrants). The Maltese can see these as slaves slaving away at jobs normally filled by the Maltese workers. And the Maltese workers, now 'retired', can live a life of luxury as slave-drivers twice-removed from home, with their feet up on the verandah, sipping cocktails in cut-glass goblets held in well-manicured hands.",1,negative,disgust,1,0,0,1,0
20190068,,,N-1-2019,"Note the deceit of this moron (he holds, with his corrupt colleagues, the unenviable record of placing Malta on US sanctions list, the OECD Black List and criminal lists of an increasing number of countries). ""he said statistics showed"" - statistics not facts.",1,negative,anger,0,0,0,1,0
20190069,,20190068,N-1-2019,If professor Scicluna is a moron I wonder which category you come under?,1,negative,anger,1,0,0,1,0
20190070,,20190069,N-1-2019,But what we know for sure that you come under the same category of this sorry excuse for a minister.,1,negative,disgust,0,0,0,1,0
20190071,,20190070,N-1-2019,Well It takes one to know one. So the same applies to you clever clogs.,1,negative,anger,1,0,0,1,0
20190072,,20190069,N-1-2019,"I could live with ""moron's opposer"" but not with your ""lackey"" category.",1,negative,anger,1,0,1,1,0
20190073,,20190072,N-1-2019,"jj micallef I think you missed the point there, jj.",1,neutral,sadness,0,0,0,1,0
20190074,,20190069,N-1-2019,"Anthony Borg. Professur?! Bil-Malti ngħidu, ħu l-fama u tista' tinxteħet il-baħar'.",1,negative,surprise,0,1,0,1,1
20190075,,,N-1-2019,"“The budget will make the needed adjustment to ensure that this continues to apply also in relative terms.” Jaghtu 1.75 EUROS u hafna kliem u figuri sbieh, imbaghad matul is-sena jibdel ir-rotta u jiehdu 20 EUROS hafna aktar milli jkun tak. Kollha f'kexxun wiehed dawn il-politikanti kemm dawk tal-PL u kemm dawk tal-PN. Ara huma eluf jiehdu. No trust and no vote. Emanuel Farrugia - TARXIEN",1,negative,disgust,0,0,1,0,2
20190076,,20190075,N-1-2019,"Jiehdu 'mma dawk li hadu minn wara daharna - Emanuel , 600 / 500 fil-gimgha ma' zjieda li kienu taw lilna ta 1;16 euro ! lanqas haqq gelat. Imbaghad ukoll biex taxxaqa ftit hin wara l-Budget tibda tisma kemm gholew affarijiet li ma' ssemmewx fil-Budget . Bizzejjed il-Fuel, kien qiesu YOYO tiela u niezel .Niezel insomma ! biex tghejd nizel .",1,negative,disgust,0,0,1,1,2
20190077,,,N-1-2019,#LipService at best..,1,negative,sadness,0,1,0,0,0
20190078,,,N-1-2019,"“adjust to a fast growing economy and enjoy its fruits” Are we going to be allowed to open companies in Panama, bank accounts in Dubai and share in the spoils on direct government contracts, selling of public land for a few cents, purchasing of oil, issuing of permits in ODZ or a consultancy job with the OPM?? That will surely help us limp along Mr Scicluna",1,negative,disgust,0,1,0,1,0
20190079,,20190078,N-1-2019,"If you pay the countries due , you can .",1,neutral,anticipation,0,0,0,1,0
20190081,,,N-1-2019,Mela ghandek - Salv . L-ahhar Budget li kellna ma' kien hemm l-ebda taxxa gdida / zjieda ma' li kien hemm . Forsi trid kollox b'xejn hux ! Forsi nnsejt li kien hemm wiehed prim li qalilna ' XEJN MHU B' XEJN ' !,1,positive,surprise,0,1,1,1,2
20190083,,,N-1-2019,"Proset , la l-Pajjiz provdilek .",1,positive,disgust,0,0,0,1,1
20190084,,,N-1-2019,"One thing will SURELY happen, that is the working class WILL not going to be loaded with more taxes as it happened in the past !!!",1,positive,trust,0,0,1,0,0
20190085,,20190084,N-1-2019,"Almost everyone nowadays has to work for a living or haven't you noticed ? There are very few people that don't, no matter how much they have stashed away and Ali Sadr is a perfect example. The ones that don't get taxed are the people that have offshore accounts and companies in hidden jurisdictions such as Panama.",1,negative,sadness,0,1,1,1,0
20190086,,20190085,N-1-2019,"Hallina Rit . Missek tirringrazzja l-Alla li qed isib ix-xoghol , li mohhok mistrieh mill-Pensjoni, li t-tfal / studenti taghhom it-Transport b'xejn, Child Care b'xejn, Breakfast b'xejn . Lista li ma' tispicca qatt . Kunu Onesti ghal darba .",1,positive,joy,0,0,0,0,2
20190087,,20190086,N-1-2019,"You have completely missed the point ,as usual, Ronnie. None of what you have written above is relevant.",1,negative,sadness,0,0,1,1,0
20190088,,20190086,N-1-2019,"For you could be, for others do .",1,neutral,anticipation,0,0,0,1,0
20190089,,20190086,N-1-2019,"Again not relevant to the article but keep trying and you might receive the government bonus and I quote: ""Disability People whose disability precludes them from working will receive an additional €10 a week, with benefit rising to €150 per week. This measure will also apply to people with severe intellectual disabilities, rather than just physical ones"" https://timesofmalta.com/articles/view/budget-2019-at-a-glance.692338",1,negative,anger,1,0,1,1,0
20190090,,20190084,N-1-2019,How can anyone who lives in a garage or on the streets be loaded with taxes? Will the cost of living increase help people and pensioners who are finding it hard to make ends meet ? I hope so !,1,negative,sadness,0,0,0,0,0
20190091,,20190084,N-1-2019,Lucky you. I'm paying more for the same style of living than before and the couple of euros they calculated will be far from enough.,1,negative,sadness,0,0,0,0,0
20190092,,20190084,N-1-2019,The Working Class still pays VAT - and therefore they still carry most of the tax burden.,1,negative,sadness,0,0,0,0,0
20190093,,,N-1-2019,LYING CLOWN!!!,1,negative,anger,0,0,0,1,0
20190094,,20190093,N-1-2019,"Lying imma dak ta' Siggiewi li qal fuq Chris Cardona ma' gurnalist barrani, u dawk li gidbu fuq Joseph u Martu - Joe. Dawn kollha bil-provi u mhux spekkulazzjonijiet . Min jaf min qabbadhom - Joe . Niskantaw kif hadd minn Occupy Justice mhuma jistaqsu .",1,negative,anger,0,0,1,1,2
20190095,,,N-1-2019,Are the people out there on the same wavelength as those of us commentators?!?!?!,1,neutral,anticipation,0,0,0,0,0
20190096,,,N-1-2019,It's totally amazing how those were apoplectic with jealousy at alleged PN pigs with their snouts in the trough now back an administration that has placed convicted criminals/cronies/switchers onto six-figure salaries at their expense and applaud the few crumbs thrown their way to the point of orgasm. A true demonstration of their intelligence!,1,negative,disgust,1,0,0,1,0
20190097,,,N-1-2019,"I do not like the misuse of euphemism and ethics. The title should read, "" Budget will help families adjust to fast growing prices."" Many ""polite"" people use Ethics and Euphemism to hide the truth! At the moment I am thinking of many religious statues of smiling angels(the democratic majority) depicted as flying beside some structure, through having a steel spike driven in their back to carry their weight and the occasional breeze gives them an uplift, while the uplift never equals the weight carried by the spike in their back, through having Millionaire and Billionaires settling down in Malta! This philosophy of having a country with low wages "" importing"" people from higher wage countries is definitely immoral and corrupt and a heavy load on the local people with low pensions and low wages. It will break down the Maltese Family as its values MUST NOW CHANGE! Making money will be the new values. Many youths will be disturbed as they will not know what to hold on. The virtue of Humility and Modesty and Moderation, will be regarded as being stupid, the Christian morality will be regarded as a Slave morality, and aggressive competition will be regarded as the highest virtue and a great success, while a new form or ethics and euphemism will always hide the truth. A form of social silence will slowly reign in Malta as a ferocious camouflaged Monster grows larger and larger in our Renzo Piano building fed by local contractors, as itself has a bankrupt mind of how to generate long term National wealth. And with all this in clear sight, the majority of the angels still smile while others at least did stopped smiling. I would add that as an economist, the minister of finance is in a predicament whether to project a smile or bawl, cry, sob, weep, but being a politician, he has no choice but to appear smiling, at least in public!",1,negative,disgust,0,0,0,1,0
20190098,,,N-1-2019,What a load of bull.,1,negative,disgust,0,0,0,1,0
20190099,,,N-1-2019,"The economy may be flourishing - if you say so! - but this is alien news to families who have struggled, struggle and will continue to struggle. So what, exactly, do you mean by 'the Budget will benefit families'?",1,negative,fear,0,0,0,0,0
20190100,,,N-1-2019,But I though that everyone was reaping the fruits of the new economy. Why would then need government help to adjust to this new-found wealth?,1,negative,anger,0,1,0,0,0
20190101,,,N-1-2019,Randy Marsh. 'staqsi lill min spicca jhallas id doppju f kera dal ahhar sentejn....' Min qiegħed jgħolli l-kera jekk il-kerrej mhux il-Gvern? Mela l-kera mhiex regolata?,1,negative,disgust,0,0,1,0,1
20190102,,,N-1-2019,Reading between the lines it looks like we'll be getting € 2.75 rather than €1.75 this year.,1,positive,surprise,0,0,0,0,0
20190103,,,N-1-2019,"New category in the Olympics: Gergering/gemgemimg. Maltese win gold, silver, bronze and fourth place finish.",1,negative,disgust,0,1,0,1,2
20190104,,,N-2-2019,Il-penzjonijiet tat-tezor ghall dawk li servew fil-korpi dixxiplinarji ser jibqaw l-istess?,1,neutral,anticipation,0,0,0,0,1
20190105,,20190104,N-2-2019,"Sa' fejn naf jien dawn mhux mit-Tezor biss jiehdu, IMMA jiehdu parti ohra mi'Socjal Services tal-Bolol .",1,neutral,anticipation,0,0,1,0,2
20190106,,,N-2-2019,KILL THEM WITH SUCCESS AND BURY THEM WITH A SMILE !!!!,1,positive,joy,0,0,0,0,0
20190107,,20190106,N-2-2019,That is a psychopathic statement. On top of it being delusional.,1,negative,disgust,0,0,0,1,0
20190108,,,N-2-2019,"X'Budget sabih dan ! Veru ghandna Gvern li jiehu hsieb lil kulhadd zghar u kbar . Sintendi hemm ohrajn li pass wara pass jaslu huma wkoll . Differenza milli jwedghuk u tibqa b'xiber imnieher, Budget wara Budget . U konna fil-glorja skont xi whud !. Dan kollu setgha / jistgha jsir ghax Joseph dahhal il-Fiducja fin-nies / Haddiema u l-Posittivita . Proset lil kull min ta'sehmu biex dan isehh . Kemm konna nkunu ahjar kieku ma' kienx hemm min itellef il-hin, jghamel bsaten fir-roti u jghejd kontra Pajjizna mall-Barranin . In-nies dan se' tibqa tiftakru u jghatu rrisposta fl-Elezzjonijiet li gejja . Niex bhal dawn ma' jghamluhx gieh. Qatt ma' rajna lil xi Barrani jghamel dan .",1,positive,trust,0,0,0,0,2
20190109,,20190108,N-2-2019,"Bhal dak li qallu, il-gvern tak xi haga min tieghu. Mentalita ta' poplu li jiddependi mill-budget, u mhux kemm kapaci jaqta bi snienu. Budget li minn hu sinjur se jsir aktar sinjur, u min hu taht il-blata aktar ser jitaffeg.",1,negative,fear,0,0,1,0,2
20190110,,20190109,N-2-2019,Mur obsor - Pawl . Il-Gvern itik minn dak li kien kapaci johloq mhiex xoghol li jkun provda .,1,positive,trust,0,0,0,0,1
20190111,,,N-2-2019,Prezzijiet stabbli għad-dawl u l-ilma!,1,positive,joy,0,0,0,0,1
20190112,,,N-2-2019,Prezzijiet stabbli tad-dawl u l-ilma. Budget għall-poplu Malti,1,positive,joy,0,0,0,0,2
20190113,,,N-2-2019,Lil tal gass dejjem jinsiehom imma!,1,negative,anger,0,0,0,0,1
20190114,,20190113,N-2-2019,Bl-ugih ta' zaqq bill-gass hux !,1,negative,joy,0,1,0,1,1
20190115,,,N-2-2019,Jaghtik lira u jehodlok 100.,1,negative,sadness,0,0,0,0,1
20190116,,20190115,N-2-2019,Ghejdilna kif Joe .,1,neutral,anticipation,0,1,0,0,1
20190117,,20190115,N-2-2019,Tista jekk jogghbok tghidli kif lilek sejjer itik lira u jiehodlok mija meta ma zdiedux taxxi?,1,positive,surprise,0,0,0,0,1
20190118,,20190117,N-2-2019,"Jonqsu s-servizzi, l-affarijiet joghlew kuljum, id-djar u l-lodging jitripplaw (kif gara), skejjel tal-qamel.....!! Meta tigi recession enormi tifmuha.",1,negative,sadness,0,0,0,1,2
20190119,,20190118,N-2-2019,Tista tghidli perezempju x'servizzi naqsu? Kemm il-darba tixtri dar fis-sena? U jekk l-ahhar dar li xtrajt biehejthiex bi' qliegh? Kif f'daqqa wahda l-iskejjel saru tal-qamel?,1,neutral,surprise,0,0,0,1,1
20190120,,20190118,N-2-2019,Kollox ghola. Id-djar u l-kera triplaw. L-edukazzjoni saret aktar tal-qamel ghax l-aktar imbecilli tawhom l-ghola postijiet.,1,negative,anger,0,0,0,0,1
