Text,anger,anticipation,disgust,fear,joy,sadness,surprise,trust
came gozo retire lived several country throughout life work exigency chose gozo retire see something special island climate people even bought place well satisfied life however would nice u ex pat recognized government financial issue know sitting duck apart spending pension participate organization gozo spca made mostly foreigner yes think given assistance necessary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
get wrong one ought get due welcome spend pension malta least far concerned lie issue person know getting decides live another country,0.0,5.0,0.0,0.0,2.0,2.0,0.0,4.0
oh yes know going live life great gozo especially comparing country lived throughout life suggesting make clear brexit fall pound going heavy impact ex pat malta thus leading head back uk thus leading loss income especially gozo incentive offered government please let say lucky government care people might decrease outflow win win situation everyone concerned malta notably quietness gozo would shine perfect place retiree especially u brit,2.0,2.0,0.0,1.0,6.0,2.0,2.0,2.0
goverment care planet living mate,0.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0
yeah keep complaining year prefer one mintoff fenech adami best year whether agree course admit see blue know well enough best time people,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cannot complain whole personally good budget next one need tackle malta long standing problem traffic bus service back shamble,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0
must well complaining,5.0,0.0,2.0,4.0,0.0,2.0,0.0,2.0
hype surplus passed people anywhere practical decent project tackle problem effecting everybody,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pensioner take heart cent day increase wow minister made day,1.0,0.0,1.0,3.0,0.0,2.0,0.0,2.0
non taxable tax ceiling rising figure couple two pension pension couple one pension one never employment single pensioner never married widowed,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0
applies e household one pension,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
sure social service office told ceiling single pensioner know till today always believed whatever write today assuming want take people ride matter seems lace frill whatever government real truth whenever ask info would want real truth,1.0,0.0,2.0,1.0,1.0,3.0,0.0,1.0
week worker nearly week deborah schembri great distribution surplus,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
quite disappointing pensioner said public transport become free next year apart tax bracket grossly unfair going changed paying tax pensioner much person earns year,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0
really paying tax pensioner mean either pension high another income tax applied total taxable income fact pensioner exempt paying tax provides ceiling eur non taxable pension p person earns eur year tax would x amount claim,1.0,2.0,0.0,0.0,2.0,0.0,2.0,2.0
minimum wage earner sure improve much,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
weekly year stagnation,3.0,0.0,0.0,1.0,1.0,5.0,0.0,3.0
malta need dedicated professional educator larger school present circumstance putting cart horse,0.0,3.0,0.0,0.0,1.0,0.0,1.0,3.0
worker get wage increase pensioner get per week rise pensioner get per week wording different year cola cost living increase year word used ae wage increase,0.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0
part budget speech significant benefit handed affordable,0.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0
best measure really impact long term health wellbeing free one year bus pas aged free school transport school child introduced next scholastic year stili wish government would go introduce totally free public transport people year age forbid every body driving private car till least age moreover cigarette vodka high alcohol content drink heavily taxed tax money thus collected put towards constructing spacious secure clean monitored functional bus stop shelter sheltered pedestrian,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
last one sensible comment,0.0,1.0,0.0,0.0,2.0,1.0,0.0,2.0
sensible comment depriving anyone age use private car,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
sorry comment overriding point sensible comment except mentioned,1.0,0.0,2.0,1.0,1.0,2.0,0.0,1.0
think time raise top tax rate earnings k per annum need fund infrastructure project rich easy long need pay bit also refund tax loop whole amended maybe refund important stay competitive also important raise fun needed build infrastructure malta dearly need tunnel underground better road,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
wow look talking rising tax holding pint beer one employ drink pint beer r lucky crazy u gamble invest money create job talk nonsense,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
worker wage increase per week le price cup coffee wow real award think,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0
pensioner getting get coffee maybe sunday celebrate,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0
another broken promise pm week increase u pensioner promised jm election,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
civil service armed force others private pension going endure another year without compensation past theft initiated labour carried successive government justice denied wonder opposition remained silent shoulder part blame,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
live coockoo land,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
sorry budget focus main great problem country hit r f f c big problem remains one even bothered try come least realistic solution,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
encouraging motorbike malta like encouraging accident,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0
intentionally forgot mention word deficit probably go back last nationalist budget find word deficit meant million euro difference,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
p n disgrace lawrence gonzi promoted week rise supporter ashamed mention weak minded support p n stand one foot take phrase dad army doomed,1.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0
remember certain jj micallef use call labourite baqq baqq hiding,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
forgot year year government surplus pl rule bloating consolidated fund ravished successive pn administration led u repeated excessive deficit procedure bet forgot,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0
hand good handing money,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
oh please guy guess must praised dalli tonio budget high heaven even exorbitant utility bill highlight maltese lira devalued fuel price used increase month holiday stolen shall go one thing nats good bankrupting country remember nat minister telling u debt incurred party paid child grandchild eddie eddie shout worry high price comic impressing anyone stop wasting time,0.0,2.0,0.0,0.0,0.0,0.0,1.0,5.0
yes please go feel bound tell immaturity help make sound argument whichever way spin corrupt master nothing offer reaping fruit previous decent pn administration,1.0,3.0,2.0,1.0,2.0,3.0,1.0,3.0
well consider comic sound argument party reduced comic even one mp side sound argument including leader mp offered valid solution problem say country facing course lack talent friend nat party argument sound lost bigger margin four year ago previous administration lay foundation valid organisation nevertheless talent minister unable reap fruit people got high utility bill rise pension excessive deficit budget tax everything etc etc etc cheek call decent nat administration,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
first thing first delia leader let repeat slowly corrupt master absolutely nothing current economic performance reaping fruit massive macro transformation country since vote corrupt beyond understand economy built year decade despite corrupt master key development today reaping fruit name freedom speech infrastructure rule law proper education free trade vat financial service particularly hsbc high value added manufacture financial service low cost airline eu membership euro,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0
increase euroc euro weekly increase surely enough present cost living beloved premier joey always boasting medium economy well surplus ready distributed people coming budget joke granpinto hamrun,1.0,1.0,1.0,3.0,1.0,1.0,1.0,3.0
dear pn created traffic problem lack vision year government could changed everything nothing,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
pl done last year looking cannot see anything,0.0,2.0,0.0,2.0,4.0,1.0,0.0,2.0
telling shameless splendid euphemism ever one grow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cannot afford budget extra day leave vat people earning k boom around forever,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0
wealth spread people encouraged use income think maintained course continued investment industry,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
long labour power boom maintained,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0
soon labour ruined country pn voted clean mess usually pattern late,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
buckle grab bag popcorn join u fiscal ride heh heh like yeah damn well like,0.0,3.0,0.0,0.0,2.0,1.0,1.0,2.0
well j bartolo like refuse take simple,0.0,1.0,0.0,0.0,2.0,1.0,0.0,3.0
nothing wrong riding property wave particularly issue high rental cost local associated industry addressed however see new opportunity another potential bubble blockchain country economy even one small malta cannot dependant two sector,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0
budget make bleak reading sector mention important education,0.0,5.0,0.0,0.0,5.0,0.0,1.0,4.0
mr briguglio let u see better finance minister de lia still around time nats power,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
sensible incentive employment gozo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
government took measure alleviate pensioner,1.0,7.0,0.0,3.0,2.0,3.0,1.0,7.0
prof scicluna budget lack specific amount spent much country earn passport scheme allocated health education infrastructure,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
water electricity seem mentioned problem think responsible entity need recognised good job despite increasing demand,0.0,2.0,0.0,0.0,1.0,1.0,1.0,2.0
pn government left over pn party assetts stolen pn pampaluni red malta coffer bankrupted power station malta forking expensive electrical tariff among eu member,5.0,5.0,1.0,1.0,3.0,2.0,1.0,3.0
bright future indeed extension first time buyer scheme,3.0,5.0,0.0,1.0,5.0,0.0,5.0,4.0
first time buyer denied right scheme minor technical issue,3.0,4.0,0.0,1.0,3.0,1.0,2.0,4.0
first time tax increased budget great news,1.0,2.0,1.0,1.0,1.0,1.0,0.0,2.0
first time tax increased budget general election stress nobody forget deny always meant,0.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0
forget budget prepared budget election year,0.0,2.0,0.0,2.0,1.0,1.0,1.0,3.0
maltese still base everything uk idea progress least using idea country league ahead uk government education quality life,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
well surprise fancy saying something like country occupies waking moment,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
really well people sleeping caffees shop door london,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
lame title dig property speculation,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
ronnie pn presented budget would said opposite said,0.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0
dr delia new tax benefit people,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
phantom budget got miserly weekly raise plus possibly additional one day vacation leave meanwhile insider like deborah schembri earn tax thanks connection,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
thanks previous work department making suited task,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
probability got prior leave,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0
idiot fail realise last pn administration huge finanacial econnomy crisis thanks hard necessary decision taken administration boasting fake generosity corrupt rotten government joined leader opposition,0.0,1.0,0.0,3.0,0.0,5.0,0.0,0.0
idiot tell retort wholehearted bullock trying emulate blair chance soon hearing budget surplus mature decision taken five six year back,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
indeed memory serf right great dr gonzi predicted budget would start recording surplus day honesty prevailed popluism malta mud even opposition leader tainted,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
thanks nats registering surplus go weep,1.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0
behind blindfolded fanaticism say nats surplus nats paved way great dr gonzi predicted surplus merit shared anything exclusively due rotten administration lumped league opposition,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0
criticised reducing price rather raising one show strong budget added word continue make rip u high fuel price expect u thank,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
would disaster fuel price go lower indirect congestion circulation tax happy paying price fuel happy slowly killed traffic pollution traffic jam daily basis transport harsher measure introduced incentive,0.0,7.0,0.0,1.0,3.0,1.0,3.0,8.0
reasoning government double price fuel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
would say get cent maltese lira week extra far enough cover increase price ii wonder much give never know government take enough people please word like give take correct context used,1.0,2.0,0.0,3.0,2.0,3.0,1.0,4.0
budget fruit government hard work give away budget even service pensioner employed british service would enjoying increase ni pension however non taxable people would also getting remuneration tell arrived dwardu pertinent note following daylight robbery mintoff treasury pensioner left wayside joey subsequent administration never cared arrange anomaly,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0
sure small brain washed mind would still complain,0.0,3.0,0.0,0.0,1.0,0.0,2.0,5.0
matter fact happy two euro increase per week pension rushed shop ordered luxury yacht booked holiday luxury hotel dubai mind invest rest shady jurisdiction avoid paying tax,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0
give euro give euro still gave,1.0,1.0,2.0,1.0,1.0,1.0,0.0,1.0
forget agreement social partner please note kola mechanism gonzi efa saying wrong,1.0,1.0,4.0,1.0,1.0,1.0,0.0,1.0
bleating intensifies,1.0,0.0,2.0,1.0,0.0,1.0,0.0,1.0
someone ask dpm podium seem yesterday budget good,0.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0
thank dr muscat prof scicluna giving u back money taking u way regarding additional day one giviing case employer employee make one else lovely trip dubai,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0
genius calm proud keep foot ground see,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
well done prime minister minister scicluna,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
still waiting crash full speed ahead brick wall,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
eggrant taliban,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
dream come true budget without new tax,4.0,5.0,1.0,6.0,4.0,3.0,4.0,6.0
first tax increase even alcohol tobacco giving taking anywhere impressive last year surplus million first year good country would proud result,0.0,2.0,0.0,0.0,1.0,0.0,1.0,1.0
weekly increase pension tax exemption well,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
good budget good rise pension tax exemption well done minister prof scicluna,0.0,3.0,0.0,1.0,3.0,0.0,2.0,2.0
series inter ministerial meeting talk civil society ministry equality establishing first strategy action plan integration migrant living malta open border open border malta everyone,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
water electricity seem mentioned problem think responsible entity need recognised good job despite increasing demand,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
microinvest grant offered malta enterprise increase business based malta go business based gozo well female majority shareholding scheme open enterprise full time employee oh look sexist unconstitutional behaviour labour receiving le euro way born,0.0,1.0,0.0,0.0,2.0,0.0,0.0,3.0
rumor say tony clock behind budget,1.0,0.0,1.0,1.0,0.0,2.0,1.0,0.0
eggrant taliban,0.0,1.0,0.0,1.0,0.0,0.0,0.0,4.0
best measure really impact long term health wellbeing free one year bus pas aged free school transport school child introduced next scholastic year stili wish government would go introduce totally free public transport people year age forbid every body driving private car till least age moreover cigarette vodka high alcohol content drink heavily taxed tax money thus collected put towards constructing spacious secure clean monitored functional bus stop shelter sheltered pedestrian pathway,1.0,3.0,0.0,1.0,3.0,1.0,1.0,4.0
far great,0.0,4.0,1.0,1.0,4.0,0.0,4.0,6.0
seems without doubt party handle purse well better party govern land evidence result huge benefit treasury fact must always kept mind next election pl leadership party pay bill time manage treasury best result malta three time treasury rating improved outside auditing agency meaning ship malta good hand contrast bankrupt pn party leader behind payment inland revenue,0.0,2.0,0.0,1.0,1.0,0.0,0.0,2.0
seems getting budget increase mineral apart course paltry cost living,2.0,2.0,0.0,1.0,5.0,3.0,2.0,4.0
suppose one narrow minded cc one cannot comment better smelly shit,2.0,3.0,1.0,0.0,3.0,1.0,1.0,4.0
prof scicluna previous budget sensible time ripe u see nice goody drastic reduction price petrol diesel vehicle registration tax bringing line european country,0.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0
leave tax car fuel focus benefit electric car,1.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0
entirely convinced electric car far driven one decent drive quite powerful quiet need charging kilometre think petrol diesel car km also expensive battery pack use thousand standard cell like laptop start losing capacity year replacement cost anything euro upwards also acquiring material used battery production exactly environmentally friendly disposal battery longer service,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
farce scicluna going state surplus precisely mintoff strangled population spending tighten belt slogan day could even buy chocolate black market thing time round exactly fashion spend save get new school social housing better health facility fuel reduction poverty rising list go majority idiot say see good joseph surplus god dummy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
well spend spend spend end without money lot debt actually reminds certain maltese political party,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
apparent idea government work america alone trillion debt chinese please debt nothing long economy moving right direction debt nothing long economy moving right direction case know stupid government borrowing much national debt going threw roof tell,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
government debt reduce private sector investment economic growth employment well contribute higher rate taxation yes know government work also know someone head sand,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stupid government invested investment school industry housing argument,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
country planet living,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0
oh please compare usa treasury tiny malta usa power print money currency international currency mean usa dollar main reserve currency country around world usa highest gdp percentage good service produced world per cent china following behind per cent chinese money international reserve money yet country accounting world gdp use u dollar anchor currency,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0
frustrated person sir cannot see cannot spend self oblivion suggest go collection easy debt party attitude pleased see coming bag money good time spending,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
please remember confess lie next time go church try come sensible comment know difficult,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
obvious dim waste time go watch super one,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0
mean intelligent answer comment better watch super one depress seeing pn wallowing doom gloom good boy go say prayer new leader need help get,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
immature even going bother,2.0,1.0,0.0,2.0,2.0,2.0,0.0,1.0
stupid incredible gonzi got billion idiot,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
got u billion spent billion account favuluzi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gonzi said got millionn finished pn party vanishing assetts finished also malta debt left corrupted np government eneded also,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
spent tune staggering billion red tonio fenech minister finance expect better lol tonight sit front tv listen learn country run gnash teeth accept realization living lp government year year come,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
go watch super one idiot stay way,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lol idiot watch one net even cover comedy election simen substitute de liar,0.0,3.0,1.0,1.0,2.0,0.0,0.0,5.0
care de liar ceremony guess dumbo,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
