Online Post ID,Twitter ID,Related Online Post ID,Source ID,Online Post Text,Subjectivity,Sentiment Polarity,Emotion,Sarcasm,Irony,Negation,Off-topic,Language
20200027,,20200026,N-1-2020,Nope --that was what used to happen under the Nats .Mention just one example of what you say.,1,neutral,surprise,0,0,0,1,0
20200028,,20200027,N-1-2020,"Can give you many examples Mr Busutill. Shall we talk about fuel prices? food? bread, contract charges and so on and so forth.",1,negative,anger,0,0,0,0,0
20200029,,20200026,N-1-2020,You must STILL be living in the PN past era - because precisely THAT was the order of the day.,1,negative,anger,1,0,0,1,0
20200030,,20200026,N-1-2020,Can you give examples of the taxes introduced during the year by the PL government?,1,neutral,anticipation,0,0,0,0,0
20200031,,20200021,N-1-2020,Yes for the few bad losers of course.,1,negative,anger,1,0,0,1,0
20200032,,20200031,N-1-2020,"We are all losers, you included, but you have not realized it!",1,negative,sadness,0,0,1,1,0
20200033,,20200032,N-1-2020,"There goes the illuminated one! But then of course you have every right to prefer excessive deficit mechanism, raising national debts, polluting fuel oil scandals, higher utility bills, no increase for pensioner for a quarter of a century and so on and so forth! Also maybe you prefer tax increases in budgets and others out of budget and promises not kept. You prefer higher unemployment and higher youth unemployment. Good for you! But if being a loser means losing all that I prefer to be a loser!",1,negative,anger,0,1,1,0,0
20200034,,20200032,N-1-2020,"Illuminated is too much of a compliment, but definitely not an idiot as the ones devouring and in turn regurgitating the lies coming out of Castile.",1,negative,disgust,0,0,1,1,0
20200035,,,N-1-2020,"“And we know that the people trust us to address these challenges,” he said. : Noooooooooo, we don't, one example, those people in Mellieha, 177 days and nothing moved, even do that you promised them to help them as much as you could, it's a promes á la turning stones of you, what in fact means that nothing will happen.",1,negative,anger,0,0,1,0,3
20200036,,20200035,N-1-2020,"One can speak for himself as one can use ""we"" when he/she has enough solid proof that what one is stating really reflect what all of us think.",1,neutral,anticipation,0,0,0,0,0
20200037,,20200035,N-1-2020,Of course you do not but people does not refer to a few bad losers! It refers to an ever increasing majority.,1,positive,joy,0,0,1,1,0
20200038,,,N-1-2020,Now let the grumpy old men ( Natters.all of them) begin their their wailings. Lucky for them there is the ToM where they vent their frustrations.,1,negative,anticipation,0,0,0,1,0
20200039,,20200038,N-1-2020,Yes it is good to have a free platform to challenge injustices.,1,positive,joy,0,0,0,1,0
20200040,,20200039,N-1-2020,"LOL---using a Nat leaning paper to challenge injustices .Pity you never used it as such during the 25 years of Nat rule. And where are the injustices that you mention? We're discussing the budget here (supposed to be ,anyway ) and you go off at a tangent.",1,negative,disgust,0,0,1,1,0
20200041,,20200040,N-1-2020,The paper only reports the facts. The injustices are there for all to see albeit disguised by the lack of transparency that shrouds everything and prevents the full facts being exposed.,1,negative,sadness,0,0,0,1,0
20200042,,20200039,N-1-2020,See also my reply to Ganni De Martino.,1,neutral,anticipation,0,0,0,1,0
20200043,,20200039,N-1-2020,Yes it is indeed very good to have a platform to challenge the fake challenges with equitable space.,1,negative,disgust,0,1,0,1,0
20200044,,20200038,N-1-2020,U veru luckily https://timesofmalta.com/articles/view/when-times-of-malta-went-up-in-flames.741606,1,negative,sadness,0,0,0,1,2
20200045,,20200044,N-1-2020,"That's because your own paper isn't read except by less than a hundred persons. And in Parliament you have MPs who were described by Gonzi as useless. And don't forget the time when Labour papers were banned and it was a mortal sin to read them ,sell them , print them etc etc etc ...And anyway ,you could always have used the church parvis to preach against Labour ,Gann. One thing for sure ,Gann ---the budget won't be refused acceptance by the EU. .Remember your party in power?",1,positive,anticipation,1,0,1,0,0
20200046,,20200038,N-1-2020,It is one of their three clubs where the can relieve some of their stomach pain.,1,negative,anticipation,0,1,0,1,0
20200047,,20200038,N-1-2020,wouldn't have been here if it were for the MLP-remember-they burnt it down. Democracy at its best.,1,negative,disgust,0,0,1,1,0
20200048,,,N-1-2020,"...............yet another SURPLUS budget ..................after 25 long PN years where deficits were the order of the day in all govt and no govt sectors ................gone are the old problems of unemployment, no pills, long hospital queues, high elec prices etc. etc etc etc ........................true we have problems today BUT THESE ARE PROBLEMS OF AN EXPANDING ECONOMY and with hard work we can solve these too.",1,positive,joy,0,0,1,0,0
20200049,,20200048,N-1-2020,The real problems of the Maltese political syatem which affect the population are total lack of transparency and endemic corruption.,1,negative,anger,0,0,0,0,0
20200050,,20200049,N-1-2020,Lack of transparency did you say Mr Dewar? In comparison to the UK where a prime minister who tried to gag parliament for five whole weeks we must living in a shop window.,1,negative,surprise,0,1,0,1,0
20200051,,20200050,N-1-2020,"Why not? A Parliament that is resolute in betraying the will of the people democratically expressed in a referendum. Reminds me of ""il-partnership rebah"" (Alfred Sant), because you know, ""il-partnership l-aqwa ghazla"" (Joseph Muscat). Besides, in reality, it was only about 5 days of Parliamentary business that would have been lost.",1,negative,surprise,0,0,1,1,2
20200052,,20200050,N-1-2020,Boris Johnston is a known liar and unfit to be Prime Minister and he will be removed at the earliest opportunity. Unfortunately due to a totally ineffective opposition the Maltese Prime Minister and his cohorts looks set to survive somewhat longer.,1,negative,sadness,0,0,0,1,0
20200053,,20200050,N-1-2020,"In the UK there are problems but they fight for their rights. they did re-open parliament, didn't they. while we are still waiting for an EGrant report to be published, whilst all the Labour insiders have knowledge of this report, therefore able to call their people if they are to be investigated.",1,negative,anger,0,0,1,1,0
20200054,,20200048,N-1-2020,"Mr. PC you r right, but tend to forget that the previous government had to contend with the world's worst economic crisis and we all managed to survive without lots of scratches. Not as when the Labour had gone thru the 70's recession, we had to block Japanese cars, do bulk buying and the foreign interference law. Wage freeze and no private schools/hospitals. JM was lucky to have let someone else get the blows while he flew high thru his 10 year plan. We are grateful for all he did but the end result is a miserable wage, high cost of living, long hospital lists except for people who know PEOPLE, bad pollution, the new uneducated rich, overpopulated country, and infrastructure unable to cope with this so called progress. The only ones better off are the cowboys who don't care about Malta-the construction lords, and the opportunists.",1,negative,anger,0,0,1,1,0
20200055,,,N-1-2020,Give back what labour stole. Our hard earn pension which Mintoff stole from us.,1,negative,anger,0,0,0,0,0
20200056,,20200055,N-1-2020,"Did he now? I am to understand that you kept your pension in full but have a grudge because others who had none were given one. Right? And then after 25 years of being totally ignored by PN administrations, the present government is seeking solutions even where there is no real claim. Try to be a little bit more honest Mr Scott Brown.",1,neutral,anger,0,0,1,0,0
20200057,,,N-1-2020,"'In the next general election those who will vote for first time at 16 would have only been six-years-old when Labour first took office in 2013. They did not know what it was like to face sky-high utility bills or long lists of out-of-stock medication.' they will be told that pre 2013 people were dying of hunger in the streets and there were no cars, mobile phones computers in homes and schools. No interactive whiteboards in classes, no restaurants and hotels in short Malta was a third world country where cannibalism was the order of the day!",1,negative,anger,0,1,1,0,0
20200058,,20200057,N-1-2020,And don t bet they wont believe him.Ghal hafna msieken Malta twieldet ma Muscat.,1,negative,sadness,0,0,1,1,2
20200059,,,N-1-2020,"the biggest problem Labour faced after 2013 was the fact that we were members of the EU! We inherited more than 1 billion euros in funds for a start.Every success labour boasts of is thanks to our membership from passport sales to projects, to MEPs making a name in Brussels.",1,negative,disgust,0,1,0,1,0
20200060,,20200059,N-1-2020,"Joseph Muscat had acquired his home and saved 70,000 euros in bank accounts by 2013. Since then he did not save an extra cent. And here he is talking about solving all problems since 2013.",1,negative,surprise,1,0,1,1,0
20200061,,20200059,N-1-2020,I believe that the problem facing 16 year old who will vote in the next general election will be that due to the lack of credibility of the opposition the only choice will be of voting PL.,1,negative,anticipation,0,0,0,0,0
20200062,,,N-1-2020,"The problem facing 16 year olds who will vote at the next election will not be their home utility bills, but whether they can afford to buy their own home in the first place. With property prices and rentals rising steeply, that problem did not exist when they were six years old. The 16 year old new voters will also face a country suffocated by corruption and abuse of power, where it is not what they know, but who they know and who they are related to. They will inherit a quality of life which is poor and frustrating. Now as for the budget, I am expecting it to make everyone a ""little rich man"" as Joseph Muscat himself promised. For the time being, the only rich men that Joseph Muscat has created are the family and friends of his regime.",1,negative,disgust,0,0,1,0,0
20200063,,20200062,N-1-2020,"tell it to the marines, 16 year old new voters will never have to face to pay exorbitant electricity bills so the friends of friends got 60 million commissions. Wasn't that not an abuse of power or corruption? don't tell me it was a charitable act towards the rest of us!!! shall we make a list, a never ending one mind it, of the people that got rich under the previous government, that makes this one look like amateurs. From those getting 750k for taking pics of the previous PM to the ones who took all tenders!!!",1,negative,disgust,0,0,1,1,0
20200064,,20200063,N-1-2020,"60 million of commissions? I only remember that figure in the context of allegations about a former (can I say ""disgraced""?) EU commissioner who Joseph Muscat later hired as his consultant. Check your facts.",1,negative,anger,0,0,0,1,0
20200065,,,N-1-2020,Great work!,1,positive,joy,0,0,0,0,0
20200066,,,N-1-2020,"First off even if you have no more inherited problems what problems have you solved and created? No administration is perfect. Mr Muscat if it sounds to good to be true it usually is. Secondly for pity sake taxes are not about taking something from the people. Yes we pay taxes but those taxes pay for infrastructure, the government itself, the police, medical services and to help those less fortunate. Like any equation if you put more money into the system that money has to come from somewhere. When the tax payer puts money into the system likewise that money goes somewhere. Now you can improve the efficiency of a system but that still has to balance out. The nature of government and economy is such that you can pay now or later. This also means you may no longer be assigned responsibility (good and bad) for future's present.",1,neutral,anticipation,0,0,1,0,0
20200067,,20200066,N-1-2020,"Like any equation if you put more money into the system that money has to come from somewhere Yes, it's quite true that the money has to come from somewhere but there is nothing that says that all the money has to come from taxes. The easiest solution is to source that money from more taxes as was the norm in the past, but this Government prefers to raise funds from other strategies. In fact, although the total amount of revenue is steadily increasing, the rates of taxation have not increased.",1,positive,joy,0,0,1,0,0
20200068,,20200067,N-1-2020,Where exactly is government budget money coming from if not from taxes? Would you care to illuminate us?,1,neutral,anticipation,0,1,1,0,0
20200069,,20200068,N-1-2020,"For a complete breakdown of Government Revenue see the Annual Estimates, otherwise known as 'The Budget', that will be published tomorrow. What is read in Parliament is only a summary of the salient points; for all the details you need to buy or borrow the book. Very dry and boring reading I assure you!",1,neutral,anticipation,0,0,0,0,0
20200070,,20200068,N-1-2020,I thought you could do better than that.,1,negative,sadness,0,0,0,1,0
20200071,,20200068,N-1-2020,Do you expect me to reproduce the long list of the sources of Government revenue? All of that information will be spelled out in the estimates book. Try reading it if you have the patience.,1,neutral,surprise,0,0,0,0,0
20200072,,,N-1-2020,What Joseph Muscat did not mention is if he and his government will continue with the corruption policy.,1,negative,anger,1,0,1,0,0
20200073,,20200072,N-1-2020,That's taken as a given. No changes there. Steady as she goes.,1,neutral,sadness,0,0,1,1,0
20200074,,20200072,N-1-2020,They can't change...too many skeletons.,1,negative,sadness,0,0,1,1,0
20200075,,,N-1-2020,"No new tax hikes, but with all prices going up way more than what we get at the end of the year. How on earth will we be able to effort those expensive electric cars.",1,negative,fear,0,0,1,0,0
20200076,,20200075,N-1-2020,The annual inflation rate in Malta fell to 1.6 percent in September 2019 whereas that in the Netherlands fell 2.6 percent in the same month year on year!,1,positive,surprise,0,0,0,0,0
20200077,,20200076,N-1-2020,Please explain why month after month we have less money left at the end of the month. That counts here and in the Netherlands. The money governments are make should be more equally distributed over its people.,1,negative,sadness,0,0,0,0,0
20200078,,,N-1-2020,Taxes follow the budget.,1,negative,anticipation,0,0,0,0,0
20200079,,20200078,N-1-2020,"That's what the Nats used to do ,remember ? Old habits die hard ,Gann. Had it been Tonio instead of the Profs that would have followed as naturally as day follows night.",1,negative,anger,0,0,0,1,0
20200080,,20200079,N-1-2020,And your question is?,1,neutral,anticipation,0,0,0,1,0
20200081,,20200078,N-1-2020,"mela hsibtu ghadu z-zmienkom jew? sahansitra anke il-minimum wage spicca taxxabli bil-gvern tieghek, apparti l-kontijiet tad-dawl u ilma biex il-hbieb tal-hbieb jiehdu l-commissions, 60 miljun commissions.",1,negative,disgust,0,1,0,1,2
20200082,,20200081,N-1-2020,Commissions int? BIS-SERJETA? Int qed ticcajta. Veru haw ucuh infurrati. JIen lili l-pensjoni jintaxxali. X'rohos id-dawl. Qed jisraqna hajjin. 5000 KULJUM ewro!!!!!!Sai 433 ewro KULJUM. Anqas tibda maghkom il-MAFIA.,1,negative,anger,0,0,0,1,2
20200083,,20200081,N-1-2020,LIli l-pensjoni jintaxxali...Commissions? BIS-SERJETA? Commissions tal-E mail li ssemmi 5ooo ewro KULJUM? Sai mizzi ta xhirex qed tiehu 433 ewro KULJUM? L-isptarijiet li nghataw b'xejn. Commissions? Mela m'ahniex jew?,1,negative,anger,0,0,0,1,2
20200084,,,N-1-2020,From where do electric cars take their energy?,1,neutral,anticipation,0,1,0,0,0
20200085,,20200084,N-1-2020,"From the clean electricity that is generated by the LNG power station that some people insisted that ""we did not need"".",1,positive,surprise,0,0,1,1,0
20200086,,,N-1-2020,Il-mahbub Premier taghna Joey se jgibilna ic-cejca ghada jum il-'budget'! Ghalhekk Maltin u Ghawdxin fil-miserja tal-faqar...ifthu halqkom biex titrejqu! GRANPINTO Hamrun,1,negative,disgust,0,1,0,0,2
20200087,,20200086,N-1-2020,Ghandek ragun ghax tidher li ghadek ma ndunajtx li l-partit fil-gvern inbidel f'Mejja 2013!,1,neutral,surprise,0,1,0,1,1
20200088,,20200086,N-1-2020,"Tant hawn mizerja u faqar li r-restaurants kollha vojta, tidhol f'hanut ma tarax ruh, il-karozzi sparixxew mit-toroq ghax hadd ma jaffordja l-maintenance u l-petrol, deliveries mhux qed isiru ghax hadd ma jrid jixtri, ecc. Kulhadd qed ikollu jibqa gewwa jiekol il-hobz mixwi bla butir ghax ma jaffordjax ahjar minn hekk. Ilek ma tohrog mid-dar qisek!",1,negative,sadness,0,1,1,1,2
20200089,,,N-1-2020,"See what I told you ,folks ? All the Nat grumpy old men are out in force today. LOL. Great entertainment.",1,negative,joy,0,1,0,1,0
20200090,,20200089,N-1-2020,And you needed to be working overtime.,1,neutral,anticipation,0,1,0,1,0
20200091,,,N-1-2020,"And its now about time to start talking about big problems created by yourself.Cheap labour, sky high property prices and rent,sky high food prices, criminality, banks falling to pieces,mafia style money laundering and corruption speaheaded by Castille,filth and lack of law everywhere you look,half of the workforce employed by the government,bursting infrastructure,education and health.....and all this mess in just 5 years and not during a world economic crisis.",1,negative,disgust,0,0,1,1,0
20200092,,,N-1-2020,"Quote: Dr Muscat said the Labour administration had inherited soaring debts from its ""political forefathers"". Previous administrations, he said, had feasted, racking up huge bills, only to pay by “credit card”..........Unquote. Of course, Saint J Muscat and his holy acolytes and their families, have done nothing of the sort and every penny they spent was justified as Government business or some other blatant excuse................viva Acapulco, Monaco, Dubai, New York and every other place visited, which I can't remember.",1,negative,disgust,1,0,1,0,0
20200093,,20200092,N-1-2020,"Worse than that, Muscat and co gave away precious public property virtually for free. Hospitals, ITS, Zonqor, Dock 1. Unaccountability and lack of transparency are the hallmarks of the Muscat regime, over and above corruption.",1,negative,anger,0,0,0,1,0
20200094,,,N-1-2020,"well while its nice that handicaps and pensioners are taken care of, we the boarded out , we are always left out, wether its labour or nationalist government. we cannot work not because we dont want but due to our ailments. but each and every budget no matter who represented we are treated like people with black plague, .all of them remember us when its due to voting time. ty all just remember today its us, who knows tomorrow who it can be?",1,negative,sadness,0,0,1,0,0
20200095,,,N-1-2020,Problems of the past are in the past. But he still mentions them for political mileage to divert attention from the problems of the present.,1,negative,disgust,0,0,0,0,0
20200096,,,N-1-2020,"Sure no taxes in budget, he introduces new taxes during the year!",1,negative,anger,0,0,1,0,0
20200097,,20200096,N-1-2020,Mr Cassar. Last year's budget had not taxes. Can you inform the readers o fthe new taxes introduced during the year? I have a hunch you are still remembering what actually happened during the PN tenure!,1,negative,anger,0,0,1,0,0
20200098,,20200096,N-1-2020,"OK, give us examples of taxes that the PL government introduced during the year that were not mentioned in the budget.",1,neutral,anticipation,0,0,1,0,0
20200099,,,N-1-2020,Peace of mind is when our country is given back to us. Peace of mind when the greedy developers stop demolishing our next door property. Peace of mind when corruption is not tolerated even if it comes from inner circles.Peace of mind when justice is done.,1,negative,anger,0,0,0,0,0
20200100,,,N-1-2020,"“An eye on sustainability” where will you start, constitution?",1,neutral,anticipation,0,1,0,0,0
20200101,,20200100,N-1-2020,Maybe even more basic than that Mr Richard. How about less obsessive bias?,1,negative,sadness,0,1,0,1,0
20200102,,20200101,N-1-2020,“Less obsessive bias?” Do you call talking out when seeing our island disappear bias??? To what please?,1,negative,surprise,0,0,0,1,0
20200103,,,N-1-2020,"""cut-off date for the importation of new combustion engine vehicles"". PLEASE START IT WITH HEAVY CONSTRUCTION VEHICLES AND MACHINES.",1,neutral,anger,0,0,0,0,0
20200104,,,N-1-2020,"Dear PM, you know how much it takes for an electric car to reach fill charge? Would one have to leave his car at a peytol station and collect it later? FYI; time it takes to charge an electric car can be as little as 30 minutes or more than 12 hours. This depends on the size of the battery and the speed of the charging point. A typical electric car (60kWh battery) takes just under 8 hours to charge from empty-to-full with a 7kW charging point.",1,neutral,anticipation,0,0,0,0,0
20200105,,,N-1-2020,"What the people living in Malta today are worried about is the safety and security of their loved ones as our country with the help of Joseph Muscat, had been invaded by African/Muslims who had become a real threat to our country. Joseph Muscat is obsessed with the Multicultural nonsense which have failed in every country that had tried it just look at the thousands of innocent people including children that where killed or raped by these illegal immigrants and the unrest these people are creating in almost every country in Europe. Then this government with his liberal policy have created hardship for those people who don't own a house and have to rent or buy a place to stay because of the exaggerated rent being asked which in most cases is more than the people renting these homes earn while our kids can't afford to buy a home as the prices asked are sky high and the most expensive in Europe while our salaries are the lowest. If Joseph Muscat haven't lost touch with reality he should know that not a week pass buy that shops, services, restaurants and other essential things that a family needs to get by are increasing at a alarming rate. How can he expect pensioners, single parents and those workers who earn less than 1500 Euros every four weeks get by? Yes this government had inherited lots of problems but in the last 7 years he managed to create even more than he inherited like the over crowding of illegal immigrants and foreign workers in Malta. The ever increasing food and medicine and rent prices. And how Malta is fast becoming a lawless country.",1,negative,fear,0,0,1,0,0
20200106,,,N-1-2020,The legacy of Muscat will be leaving his generation and ones before richer at the expense of the younger generations.,1,negative,sadness,0,0,0,0,0
20200107,,,N-1-2020,"""Problems of the past are in the past"" ... Most people refer to those as consequences!",1,negative,anticipation,0,0,0,1,0
20200108,,,N-1-2020,''No new tax hikes'' - in budget no but along the year yes. We know this tactic invictus inherited from the previous administration.,1,negative,anticipation,0,0,1,0,0
20200109,,20200108,N-1-2020,"Can you give us examples of the taxes that were introduced by the PL government, which were not mentioned in the budget, please?",1,neutral,anticipation,0,0,1,0,0
20200110,,,N-1-2020,"In power since 2013, and Muscat and his cronies can only gives us a quote "" a taste of the future changes that Malta would experience in line with the EU-wide direction on climate change."" A delusional state of affairs exists in this administration....",1,negative,disgust,0,0,0,0,0
20200111,,,N-1-2020,"I wonder, does he actually believe his own crap?",1,negative,surprise,0,0,0,0,0
20200112,,,N-1-2020,"Does the following ring a bell in Malta? Hillary Clinton compares Johnson to Trump: “Yes. It’s the same pattern. The total disregard for facts — or 'My assertion should be your facts. Don’t question me, how dare you question me?' It is part of a real undercurrent of authoritarianism. ""You get rid of people who disagree with you. You surround yourself with cronies. You begin to degrade every institution that could possibly hold you to account. You go after the press. This is all part of the playbook of wannabe”. (The Sunday Times - London, October 13, 2019)",1,negative,anticipation,0,1,1,1,0
20200113,,,N-1-2020,"Everyone hopes that those on minimum pay and pensioners will get an increase in this budget but will €4 that is being mentioned make any difference ? Bread ,milk and medicines have all increased since the last budget with much more than €4.",1,negative,sadness,0,0,0,0,0
20200114,,,N-1-2020,The PM mentions that his administration inherited a mountain of debt that his government has paid the off. Did it? His own statistics belie him. Government debt INCREASED from Euro 4.8 billion in 2012 (representing infrastructure investment over the preceding years after the desolate crumbling years of the 1980’s) to an all time high of Euro 5.9 billion in just 5 years to end 2017. And this during a period where interest rates floored to practically zero and the oil price plummeted . What he inherited was a stable economy with high potential of growth ( as proven ) Including a financial industry jurisdiction enjoying an integrity second to none which his inner circle cabal managed to destroy to such an extent that Malta is now held in influential quarters as the a money laundering centre undermining the European Union.,1,negative,disgust,0,0,0,0,0
20200115,,,N-1-2020,"“Previous administrations had feasted, racking up huge bills, only to pay by credit card. We got that bill, paid it, and are now providing that peace of mind to the public that there will be food on the table for generations to come,” PM I wasn't aware that Malta became debt free since 2013. As far as I know Malta's debt has increased from 5 billion to close to about 6 billion. The only thing that makes the absolute values look more favourable is the debt/GDP and debt/capita ratio, which both went down since 2013.",1,negative,sadness,0,1,0,0,0
20200116,,,N-1-2020,Muscat jumping on the bandwagon of climate change. The truth is he does not care about the planet or about anybody. All he cares about is lining his pocket. The Labour government that has inflicted the worst environmental damage on Malta with permits for over-sized developments given out like pastizzi. Excessive development accelerates climate change unnecessarily (or more precisely so that greedy developers increase their greedy profits).,1,negative,disgust,0,0,1,0,2
20200117,,,N-1-2020,"Hekk jonqos ukoll. Izid it-taxxi. Biex ikomplu jistaghnew huma bil-commissions, direct orders u nepotizmu sfrenat. Ghalhekk inhallsu it-taxxi ahna - biex insostnu il-magna ta' abbuz u korruzzjoni tal-Labour.",1,negative,disgust,0,0,0,0,2
20200118,,,N-1-2020,"When the country is in such a huge corruption mess, the budget is IRRELEVANT. The crisis Malta is now facing is worse than that of December 1987.",1,negative,fear,0,0,0,0,0
20200119,,,N-1-2020,"MAKE SURE THAT the ""eye on sustainability"" with respect to electric cars, would take into consideration what load would be placed upon our already stretched national power supply (including interconnector). There are probably as many cars and large vehicles as there are people living in Malta. We see power failures even when too many heaters or too many air-conditioners are used at the same time....",1,negative,sadness,0,0,0,0,0
20200120,,,N-2-2020,Will the €35 for for the increase in the price of key items be given every week/every 4 weeks/ once a year or just once and that's all?,1,neutral,anticipation,0,0,0,0,0
20200121,,,N-2-2020,Labour delivers again! Great job!,1,positive,joy,0,0,0,0,0
20200122,,,N-2-2020,"I expected more from a government who spends €40,000 to inaugurate a flyover and spends €800 of taxpayers monies from a minibar.",1,negative,disgust,0,0,0,0,0
20200123,,20200122,N-2-2020,Good that nowadays optimism has led everyone to expect stuff,1,negative,anger,0,1,0,0,0
20200124,,20200123,N-2-2020,"Frans, people have high expectations, too high as it cannot match inflation.",1,negative,sadness,0,0,1,0,0
20200125,,,N-2-2020,0:50:15 Hsibna fil Kasco wkoll,1,neutral,anticipation,0,1,0,1,1
20200126,,,N-2-2020,"Cancer patients will have the first three days of sick leave covered by government This is a major insult to all cancer patients and their respective close family members. As if you only need 3 days of sick leave to fight cancer, assuming you will survive the battle and still have a job afterwards.",1,negative,disgust,0,0,0,0,0
20200127,,,N-3-2020,"All reasonable except ''Grant of up to €200,000 for contractors to scrap old machinery and buy new'' Why are taxpayers subsidising construction businesses? The excuse of reduced pollution is a flagrant cover up for a handout to men who should undertake modernisation of their machinery from their profits.",1,negative,sadness,0,0,0,0,0
20200128,,20200127,N-3-2020,"Instead of fining them for using polluting or non safe machinery we foot the bill for the change. Still a question of how this will work out and what will happen to the old machinery. Will it be sold, re-purposed by someone else, scrapped, recycled?",1,negative,anger,0,0,0,0,0
20200129,,20200128,N-3-2020,Agree 100%,1,neutral,trust,0,0,0,0,0
